"","baseMean","log2FoldChange","lfcSE","stat","pvalue","padj"
"ENSMUSG00000050967",27.5442457962152,-2.8188343942921,0.625539620637462,-4.50624437093136,6.59850920045951e-06,0.000414546337348648
"ENSMUSG00000026069",297.13256808521,-2.02286950309326,0.441312853640097,-4.58375387530172,4.56701778010673e-06,0.000324204532766635
"ENSMUSG00000026051",16.8749856550074,-2.06145382534821,0.575346697942389,-3.58297672120233,0.000339700891317468,0.00669936514225774
"ENSMUSG00000026043",8923.56625958484,-1.05671979918162,0.282721935789461,-3.73766469952493,0.000185737418396889,0.00435520563189181
"ENSMUSG00000025993",825.264918580441,-1.00355796159013,0.328895921450634,-3.05129342183332,0.00227857781947884,0.0255873546452891
"ENSMUSG00000050296",9.81573206369673,3.63633251252984,1.25625408060466,2.89458364249022,0.00379661745523756,0.0368506000936785
"ENSMUSG00000100444",37.285313343041,-1.37702754041227,0.368418220354278,-3.7376749149054,0.000185729874260637,0.00435520563189181
"ENSMUSG00000061815",143.063772219229,-1.00036525653714,0.351651857957839,-2.84476033297989,0.00444448503552344,0.0413433032441138
"ENSMUSG00000026177",380.146579408876,-1.17497960023742,0.414931916933538,-2.83174070801987,0.00462953735295916,0.0425616481276113
"ENSMUSG00000026173",69.3759470443952,-1.08673356144754,0.321261467476223,-3.38270745628083,0.000717750445643063,0.0115303628702738
"ENSMUSG00000026227",35.8043036193888,1.3556522382583,0.395825228712726,3.42487577830007,0.000615080582895704,0.010359490510099
"ENSMUSG00000014602",680.107910713756,-1.15533436437756,0.208321237511015,-5.54592694523749,2.92400901381585e-08,7.35144599556869e-06
"ENSMUSG00000026285",60.1711127185755,-1.25405452966373,0.425430937142513,-2.94772763374198,0.00320118971390141,0.0328875914875388
"ENSMUSG00000067006",36.0589912874222,1.76237046720929,0.613561638672394,2.87236091067013,0.00407417380173104,0.0389021030039118
"ENSMUSG00000092572",38.8212258121447,1.02785985286186,0.282572659721156,3.6375063811062,0.000275290374165178,0.00576771568650237
"ENSMUSG00000036086",315.506690764349,-1.58965733049114,0.538075599324797,-2.95433826117727,0.0031334035023068,0.0324490104111886
"ENSMUSG00000042474",234.55262350496,1.76082408040876,0.332615252027044,5.29387654257535,1.19750292760807e-07,2.08434596111166e-05
"ENSMUSG00000042268",1232.65818754401,1.06150647448118,0.327299683624209,3.24322487185768,0.00118184892495302,0.0160614333629876
"ENSMUSG00000041801",1636.37324185658,-1.00559851235099,0.168155414779153,-5.98017324432694,2.22900427243742e-09,1.06182724578058e-06
"ENSMUSG00000041782",215.870238172788,1.00185275003451,0.200651411788658,4.99300125079479,5.94481724194462e-07,7.17420544757877e-05
"ENSMUSG00000041605",83.0650544303361,1.52873897426753,0.390868547148696,3.91113325802079,9.18640669403556e-05,0.00261055469349186
"ENSMUSG00000026398",88.7302845398742,-1.215278346221,0.438625180338545,-2.77065339769825,0.00559439420005563,0.0486591916327675
"ENSMUSG00000026358",168.402620069394,-1.17431287225243,0.380405123892055,-3.08700592735881,0.00202183565103333,0.0235820031926581
"ENSMUSG00000042684",84.5949706461986,-1.05495418595579,0.217914467660404,-4.84113880680845,1.29097153547064e-06,0.000126319820189673
"ENSMUSG00000026475",169.05316237972,-1.11488105547636,0.309072958265022,-3.60717761183229,0.000309545780544923,0.0062890728192471
"ENSMUSG00000073530",194.744745306613,-2.41327384977368,0.477693173481444,-5.05193288023284,4.37361403011634e-07,5.77891687395372e-05
"ENSMUSG00000026582",90.2451451415428,-3.00919873338436,0.542452845012675,-5.54739229603276,2.89961664706451e-08,7.35144599556869e-06
"ENSMUSG00000026581",701.890575794475,1.39096314259211,0.267000095883377,5.20959791415081,1.89250313926909e-07,2.97896450669992e-05
"ENSMUSG00000026580",148.632703913318,-1.54394670521977,0.344617425420668,-4.48017596131449,7.45815280237287e-06,0.000450024940095179
"ENSMUSG00000040612",684.541204705858,-1.20536392522837,0.26832359830419,-4.49220244826133,7.0490366377878e-06,0.000434019255840934
"ENSMUSG00000038421",114.539123614929,1.58334197462904,0.341586040277928,4.63526546149475,3.56479705610957e-06,0.000274513627803453
"ENSMUSG00000026656",605.447762112476,-1.14019345880156,0.215162141770079,-5.29922898806224,1.162927109104e-07,2.06813128269603e-05
"ENSMUSG00000038209",205.198843381639,-1.93501249352907,0.481471063837004,-4.01895905874033,5.84558262946463e-05,0.00191004939997416
"ENSMUSG00000005339",59.2360176873106,-3.66385018020781,0.539835383861938,-6.78697671500695,1.14507681012295e-11,1.72734836807048e-08
"ENSMUSG00000037872",28.3195416751364,-1.30091689449451,0.454239891052817,-2.86394242363722,0.00418404056591846,0.0396770200684329
"ENSMUSG00000026616",135.205748294453,1.16877741331295,0.343885681564521,3.39873823183201,0.000676974759922621,0.0111812017373351
"ENSMUSG00000036040",1367.80988234617,-1.24260897160486,0.239450766971809,-5.18941320305376,2.10957807735992e-07,3.20904053414868e-05
"ENSMUSG00000001864",158.686278062754,1.06234046220676,0.306553234141938,3.4654355064311,0.000529373477256387,0.00924080876113319
"ENSMUSG00000026894",24.3070833035476,-1.17938539096341,0.374893248770297,-3.14592325903964,0.00165563441180966,0.0205554510780326
"ENSMUSG00000027068",110.514883961347,-1.17349652535774,0.250971830587262,-4.67580972179949,2.92796001086054e-06,0.000237676825634966
"ENSMUSG00000027102",47.555287324891,-2.55990453832663,0.548358406377658,-4.66830545233514,3.03694162040927e-06,0.000243448238645196
"ENSMUSG00000054510",8.17021287127085,-3.31157921028119,1.19918878981916,-2.76151615024737,0.00575336710227709,0.0494762238885605
"ENSMUSG00000027073",21.9741510224575,-2.08192876308574,0.537319541623816,-3.87465670203248,0.000106775117098329,0.00287663087632989
"ENSMUSG00000086969",15.190946924927,1.61003295173004,0.449825696611923,3.5792373887414,0.000344598338346261,0.00675170920465528
"ENSMUSG00000027239",171.842264081718,-1.26206246339932,0.271274401551529,-4.65234631863925,3.28179306926987e-06,0.000257173238700966
"ENSMUSG00000075014",39.8049039524198,-3.31003011880873,0.591082310041096,-5.59994786272422,2.14416283576578e-08,5.79307994821376e-06
"ENSMUSG00000027186",420.243100877312,1.05729848371615,0.18706479864221,5.65204405847835,1.58550935110486e-08,4.55581202820473e-06
"ENSMUSG00000074968",38.8664277421306,-1.451731477519,0.406651730915858,-3.56996261702715,0.000357032175324671,0.00691969640013618
"ENSMUSG00000085582",6.23276759743616,-4.43227100789229,1.31351299883744,-3.37436402366416,0.000739864580204043,0.0116767406423485
"ENSMUSG00000040133",33.59729812645,-2.18786612670106,0.655265607181581,-3.33889968086603,0.00084110933917814,0.0127412228098767
"ENSMUSG00000079110",15.4026383789971,1.70245056067516,0.501423405165918,3.39523552976517,0.000685695848524254,0.011259428067192
"ENSMUSG00000027199",1040.02978000738,-1.05085571730787,0.166444527142195,-6.31354923679834,2.72707507215279e-10,2.90385370330058e-07
"ENSMUSG00000033213",28.4774750902257,-2.62235890459568,0.539773892776828,-4.85825442780335,1.18425170695569e-06,0.000120564046665311
"ENSMUSG00000001998",680.962748285737,1.87060572530561,0.532971606527058,3.50976619091367,0.000448500882470726,0.00818423686944061
"ENSMUSG00000027380",350.234187237025,1.20210121303613,0.28318657321198,4.24490892841976,2.186822200706e-05,0.000938053447326538
"ENSMUSG00000027400",17.9253383631673,-3.37489207807542,1.01404269937885,-3.32815578687438,0.000874229645514064,0.0130787644984261
"ENSMUSG00000027408",880.971578624612,-1.33605374911407,0.262075573114364,-5.0979712959782,3.43312860021748e-07,4.85519483758882e-05
"ENSMUSG00000027338",46.0308833484611,-3.7801175244312,0.618171182115525,-6.11500120645346,9.65562331094497e-10,5.63826107015245e-07
"ENSMUSG00000037014",34.7652455947941,2.22772629626558,0.554951581685173,4.01427146040532,5.96296881908382e-05,0.00193040088776402
"ENSMUSG00000027442",19.0544009823014,2.42300066034821,0.565915377376763,4.28156003037019,1.85587642128135e-05,0.000837782418404864
"ENSMUSG00000068079",38.7226175673191,-1.3156406005082,0.345326180921266,-3.80984898682838,0.000139051699790408,0.00351061906500135
"ENSMUSG00000027611",257.159232107101,-1.61936475441951,0.299971133363327,-5.39840196042506,6.72370929754241e-08,1.35236206337903e-05
"ENSMUSG00000017950",18.8715702075414,4.83315775657446,1.41064590134818,3.42620196319667,0.000612085078119887,0.0103427892638643
"ENSMUSG00000070529",8.30249179769931,2.10191355033442,0.704755195246352,2.98247329641846,0.00285929590655686,0.0303998671834799
