"","baseMean","log2FoldChange","lfcSE","stat","pvalue","padj"
"ENSMUSG00000050967",27.5442457962152,-2.18589751710393,0.632455854986015,-3.45620567802676,0.000547837124073803,0.0306232775683762
"ENSMUSG00000026069",297.13256808521,-1.54426741245726,0.442013120760958,-3.4937139644151,0.000476351095461199,0.0281392763836165
"ENSMUSG00000100444",37.285313343041,-1.33914387829645,0.369773196814867,-3.62152770896187,0.000292868429652888,0.0205402779538576
"ENSMUSG00000041605",83.0650544303361,1.39130834555214,0.390401616985504,3.56378735389256,0.000365542120208655,0.0235228238592002
"ENSMUSG00000073530",194.744745306613,-2.01034572451206,0.478565831399824,-4.2007715398981,2.66006913912953e-05,0.00389926366284323
"ENSMUSG00000026582",90.2451451415428,-1.95571749680057,0.546406559579103,-3.57923502658361,0.000344601452861534,0.0228112485133869
"ENSMUSG00000040612",684.541204705858,-1.1575975845813,0.268454841262455,-4.31207565167197,1.61729074206313e-05,0.00288432251770231
"ENSMUSG00000005339",59.2360176873106,-3.14236691889054,0.542627070131687,-5.79102498172076,6.99581695114788e-09,2.18339447045325e-05
"ENSMUSG00000027073",21.9741510224575,-2.30482778677881,0.535593197617494,-4.30331788572278,1.68259161050611e-05,0.0029724726885224
"ENSMUSG00000027239",171.842264081718,-1.04641676897562,0.272390615362326,-3.84160360144458,0.000122233124113864,0.0106959695427861
"ENSMUSG00000075014",39.8049039524198,-2.73790038584323,0.594979518447698,-4.60167165583517,4.1911354126599e-06,0.00124576510694396
"ENSMUSG00000040133",33.59729812645,-2.19427378323855,0.655860378886918,-3.34564162415562,0.000820924236590191,0.0406683260698093
"ENSMUSG00000040035",496.364204174295,-1.01170534712333,0.267348321603006,-3.78422180119629,0.000154190271234137,0.0128900313354038
"ENSMUSG00000033213",28.4774750902257,-1.904870831217,0.548987481889265,-3.46978919202611,0.000520867001897601,0.0296072506929457
"ENSMUSG00000027408",880.971578624612,-1.08675782567907,0.26231407308302,-4.14296424475526,3.42845413980016e-05,0.00461879368502861
"ENSMUSG00000027338",46.0308833484611,-2.92698734234385,0.622936980969607,-4.69868932454125,2.61836398578039e-06,0.000932210223127774
"ENSMUSG00000027611",257.159232107101,-1.02065311892479,0.301464279214494,-3.38565193058442,0.000710093892508438,0.0371430676846732
"ENSMUSG00000039155",48.1391640353876,-1.06881473888299,0.327734378497159,-3.261222529611,0.00110932943875447,0.0491662382124241
"ENSMUSG00000034457",281.03805509504,-1.5774115329424,0.277023502557918,-5.69414334299165,1.23992882957798e-08,2.90236340783466e-05
"ENSMUSG00000025597",123.092414431741,-1.101848470594,0.29776031710555,-3.70045438325961,0.000215213765195387,0.0161851123174651
"ENSMUSG00000042750",207.61934722452,1.72356573958324,0.467119537813778,3.68977445826802,0.00022445295854648,0.0167454426364199
"ENSMUSG00000047844",255.838473901293,1.40342892000639,0.349913196250088,4.01079163360086,6.05155001036798e-05,0.00690418206665951
"ENSMUSG00000001865",532.558762844913,-2.70032613727841,0.539256049944353,-5.00750272075215,5.51407724101984e-07,0.000488117406069562
"ENSMUSG00000015852",270.25853361313,-1.05639622796315,0.265315747379709,-3.98165671806611,6.84365738923246e-05,0.0074230355235306
"ENSMUSG00000049128",29.5720735873897,1.89155264298778,0.502114583090222,3.76717328412646,0.000165106403417871,0.0135662219796745
"ENSMUSG00000068744",141.432070088657,-1.17518997777076,0.347844086393891,-3.37849635436954,0.00072883398825761,0.0378064965764875
"ENSMUSG00000051279",166.653231087923,-1.07772526490806,0.304243092342306,-3.54231629915036,0.000396629573017131,0.0250076948966963
"ENSMUSG00000028259",22.89878050457,-1.37547365581773,0.396422939869121,-3.46971256575575,0.000521015610841962,0.0296072506929457
"ENSMUSG00000028364",1826.68702017997,-1.58342367945294,0.44451288660155,-3.56215472527409,0.00036782348823819,0.0235885706874943
"ENSMUSG00000028351",120.578947996112,-1.10583516696751,0.289239121252336,-3.82325586587149,0.000131700987274154,0.0112910236051116
"ENSMUSG00000046093",200.99536179565,1.07567577031541,0.299131434915395,3.59599709278183,0.000323151407359652,0.0217673858065354
"ENSMUSG00000028786",46.5662199086967,1.15125806520561,0.3268023604392,3.5227960522023,0.000427019822868124,0.0261319385719885
"ENSMUSG00000036905",1003.68894890906,-1.02543701704128,0.21933575529515,-4.67519313329193,2.9367710848141e-06,0.000956706588610406
"ENSMUSG00000036896",1061.23385568792,-1.00409198048965,0.203470057004062,-4.9348390385992,8.02168872289613e-07,0.00049677913512626
"ENSMUSG00000041202",418.954130573318,-1.21120360718793,0.232083341796408,-5.21883043312279,1.80056513299549e-07,0.000280412964819608
"ENSMUSG00000073208",13.3172330431482,-2.84901881208993,0.72337735226844,-3.93849600510119,8.19939591218855e-05,0.00825494020707757
"ENSMUSG00000036596",120.019076397691,-1.08045540297685,0.255506929561988,-4.22867358168742,2.35073112898121e-05,0.00370148404420556
"ENSMUSG00000067219",176.895325444057,1.30183686996177,0.290297119388297,4.48449806427618,7.30857695604063e-06,0.00173241027947869
"ENSMUSG00000067149",13217.7732866468,-2.39624816508235,0.488489994686147,-4.90541913068645,9.32280462066226e-07,0.000545558872895379
"ENSMUSG00000029417",75.4065970560472,-1.79372955658527,0.392295715644593,-4.57239140029336,4.82189152134439e-06,0.00138914985582608
"ENSMUSG00000034855",83.1303521640573,-1.38445837264762,0.35242252933235,-3.92840484764245,8.55111715169447e-05,0.0085174584990761
"ENSMUSG00000023078",224.207520660888,-1.18382462865002,0.306087294108196,-3.86760460638906,0.000109909685403119,0.00999111052844078
"ENSMUSG00000029522",294.59139289503,1.00212124541993,0.222833782633783,4.49716929621427,6.88641539674484e-06,0.00167474045090187
"ENSMUSG00000079278",37.5980164202002,1.22675658060674,0.287772354143524,4.2629410467793,2.01753759811505e-05,0.00340364045606329
"ENSMUSG00000029658",42.700941542825,-1.08091505241429,0.311381963920552,-3.47134766190274,0.000517853065696178,0.0296072506929457
"ENSMUSG00000068794",51.7650535671451,-1.2172118005778,0.372497394643018,-3.26770554125437,0.00108423105930674,0.0484565890610454
"ENSMUSG00000038600",95.3393285440671,1.19302427905228,0.287454332930903,4.15030890955141,3.32026865215311e-05,0.00450546020146516
"ENSMUSG00000029829",26.8265122353663,2.47229881242977,0.497607456215843,4.96837171860501,6.75174426799096e-07,0.00049677913512626
"ENSMUSG00000029811",110.076033349733,-1.52006235352782,0.32564962270324,-4.66778478325777,3.04464574789259e-06,0.000956706588610406
"ENSMUSG00000076501",160.55641920716,-2.4825890611833,0.61062748957762,-4.06563592952644,4.79016649386094e-05,0.0060193724050792
"ENSMUSG00000096336",543.242092173945,-2.87948892422839,0.815418333467717,-3.53130265293746,0.000413518302886283,0.0257260589363739
"ENSMUSG00000094335",698.584979060192,-2.33085012412458,0.577259418794921,-4.03778621575449,5.39579915538276e-05,0.00648767579937951
"ENSMUSG00000095771",304.99524536168,-2.21741284465953,0.496616086550059,-4.46504433648871,8.00521726490608e-06,0.00187382123128289
