"","baseMean","log2FoldChange","lfcSE","stat","pvalue","padj"
"ENSMUSG00000042686",73.2403367765023,1.19379315095252,0.374584951594262,3.18697573373316,0.00143768836386786,0.0199232656176101
"ENSMUSG00000050967",27.5442457962152,-3.26227902154463,0.625654238332262,-5.21418831947902,1.84623837380642e-07,2.27275986673323e-05
"ENSMUSG00000026069",297.13256808521,-2.28101435307986,0.441525255232073,-5.16621490175215,2.3888212065573e-07,2.74064419378156e-05
"ENSMUSG00000026051",16.8749856550074,-2.38139472552466,0.577557947001527,-4.12321350245114,3.73623091101738e-05,0.00141917870077271
"ENSMUSG00000026043",8923.56625958484,-1.17717667007485,0.282745401555688,-4.1633804249262,3.13570273443748e-05,0.00125020393891934
"ENSMUSG00000026042",2550.23905021543,-1.12165287547715,0.215826010646872,-5.19702362155213,2.02504639583147e-07,2.43945767612127e-05
"ENSMUSG00000025993",825.264918580441,-1.20145899912502,0.329045966652879,-3.65134090943735,0.000260874679287344,0.00587363128566697
"ENSMUSG00000100444",37.285313343041,-1.60325855646055,0.371251977281599,-4.31851856574614,1.57080010416451e-05,0.000733837777194858
"ENSMUSG00000061815",143.063772219229,-1.03126694061542,0.353013962053711,-2.9213205466885,0.0034855100845677,0.0371141459092726
"ENSMUSG00000026177",380.146579408876,-1.46331889750609,0.415102384032833,-3.52519993571116,0.000423163279417264,0.00831777238621464
"ENSMUSG00000014602",680.107910713756,-1.4378531458329,0.20851882503414,-6.89555557200884,5.36546933205684e-12,6.03257601900924e-09
"ENSMUSG00000036086",315.506690764349,-1.84926232518328,0.53824314059235,-3.43573783986939,0.000590942505178114,0.0103402118201094
"ENSMUSG00000104164",23.8937059990041,-2.23233906335336,0.542911853389473,-4.11178914112219,3.92604788941956e-05,0.0014713955034458
"ENSMUSG00000042581",10.3242099725332,-2.15557856552928,0.770923452006122,-2.7960993532107,0.00517234971068368,0.0488145931005485
"ENSMUSG00000026442",25.3756950954623,-1.53456398136958,0.540528274803756,-2.83900778719987,0.00452540525131012,0.0444354796490913
"ENSMUSG00000041605",83.0650544303361,1.46665137611317,0.395102922817805,3.71207422525066,0.000205567679700571,0.00488134068031861
