"","baseMean","log2FoldChange","lfcSE","stat","pvalue","padj"
"ENSMUSG00000025938",82.4666524832853,-1.43093826894335,0.379304062966559,-3.77253609611217,0.000161596578947869,0.00447422924325528
"ENSMUSG00000025776",121.861018273623,-1.02194643509265,0.299584907406922,-3.41120800756679,0.000646757316202878,0.0124638049943882
"ENSMUSG00000026077",154.167888352614,1.67064513485572,0.404045437327171,4.13479520003324,3.55271316027419e-05,0.00143082657438785
"ENSMUSG00000050967",27.5442457962152,-2.58026257186096,0.61904171205563,-4.16815623505042,3.07073437435665e-05,0.00129959724284213
"ENSMUSG00000026069",297.13256808521,-2.1874541361918,0.443219411753249,-4.93537529761808,7.9996780997444e-07,9.32175823369549e-05
"ENSMUSG00000026051",16.8749856550074,-1.62525030242886,0.552797920796481,-2.94004416674934,0.0032816546541039,0.0375545732961926
"ENSMUSG00000025993",825.264918580441,-1.42891540543129,0.329908701423205,-4.33124497555547,1.48268607444695e-05,0.000749013580787809
"ENSMUSG00000026009",75.7344751631039,-1.00002061309774,0.246748592795192,-4.05279155503748,5.06100922663518e-05,0.00186234484783908
"ENSMUSG00000100444",37.285313343041,-1.27526582623902,0.370175728289689,-3.44502820898358,0.00057099979836584,0.01135438620664
"ENSMUSG00000061815",143.063772219229,-1.06730600397076,0.353357503489284,-3.02047075109905,0.00252382083074084,0.0318281849210095
"ENSMUSG00000048480",156.171336313222,-1.23851526061179,0.405010437015429,-3.05798356639539,0.00222831795778663,0.0291314656575561
"ENSMUSG00000026177",380.146579408876,-1.26474868186825,0.415680645971378,-3.04259698912067,0.00234546219538822,0.0303451766937015
"ENSMUSG00000090186",16.3262673948823,-1.58455167630463,0.548681965746087,-2.88792374312866,0.00387793875260646,0.0423905512550396
"ENSMUSG00000014602",680.107910713756,-1.16402714336683,0.208844505609895,-5.57365461910279,2.49450050245749e-08,7.64936390920255e-06
"ENSMUSG00000026285",60.1711127185755,-1.2607446089846,0.427979829744964,-2.94580380046389,0.00322116649612087,0.0372126696534678
"ENSMUSG00000100182",7.76399054532362,-2.07971360819129,0.739223951286377,-2.81337422113046,0.00490245611133315,0.0497908369378223
"ENSMUSG00000036086",315.506690764349,-1.72290921626162,0.539073956019369,-3.19605352294132,0.00139321264759738,0.0208317781182057
"ENSMUSG00000104164",23.8937059990041,-1.68321307628728,0.57877528569839,-2.9082324658286,0.00363478032301184,0.0404922404499196
"ENSMUSG00000053024",10.2611119202864,-2.04186441398898,0.692323996043064,-2.94929025378165,0.00318504688147666,0.0370155814104592
"ENSMUSG00000097993",111.005435894204,-1.10771494315743,0.177071457780503,-6.25575096654226,3.95607597338939e-10,2.81765169054411e-07
"ENSMUSG00000026398",88.7302845398742,-1.97481779459723,0.451276531841171,-4.37607022581064,1.20838096906564e-05,0.000650976365459764
"ENSMUSG00000026358",168.402620069394,-1.90910182806664,0.389759521124311,-4.89815315494946,9.67416199021878e-07,0.000106267870322108
"ENSMUSG00000026475",169.05316237972,-1.37501875476716,0.312782701206194,-4.39608312564803,1.10221738019093e-05,0.000603939109352893
"ENSMUSG00000073530",194.744745306613,-2.21379220298594,0.477111065218827,-4.63999341949989,3.48420272686939e-06,0.000259553782527838
"ENSMUSG00000026582",90.2451451415428,-2.19086869712185,0.528835625630164,-4.14281601113994,3.43067168108581e-05,0.00139777879519112
"ENSMUSG00000026580",148.632703913318,-1.35455870325202,0.344125414459069,-3.93623558835737,8.27697219041433e-05,0.00270923589730809
"ENSMUSG00000040612",684.541204705858,-1.29359262942933,0.269031696838987,-4.80832795774072,1.52197931376263e-06,0.000146168551787126
"ENSMUSG00000026678",1032.79035996068,-1.24773431635897,0.35876158594922,-3.47789274333173,0.000505372099804874,0.0103800222473436
"ENSMUSG00000026656",605.447762112476,-1.07870828780992,0.215452160366663,-5.00671836371538,5.53658445695496e-07,6.86340139880253e-05
"ENSMUSG00000038209",205.198843381639,-2.45628282664248,0.486499178824127,-5.04889408565774,4.44375004795212e-07,6.16446881652024e-05
"ENSMUSG00000038147",1269.41352322516,-1.00856993227507,0.221560594483491,-4.55211782865213,5.31085757737565e-06,0.000354307174026523
"ENSMUSG00000005339",59.2360176873106,-2.74448632997343,0.500269216053319,-5.48601881128124,4.1109313966399e-08,1.07246223704282e-05
"ENSMUSG00000037872",28.3195416751364,-2.0988265395855,0.501918611952305,-4.1816073156198,2.89455573235279e-05,0.00125855571258195
"ENSMUSG00000073489",554.23203785035,1.04186530118306,0.234785560130006,4.4375186472548,9.10018405870723e-06,0.000524957482383312
"ENSMUSG00000016200",169.108362723274,-1.2111891674573,0.182276148069174,-6.64480339466935,3.03622080038605e-11,2.94833907610821e-08
"ENSMUSG00000026726",31.3847620747933,-1.12244644575871,0.350532662345868,-3.2021165681023,0.00136421781344212,0.0205207944588251
"ENSMUSG00000026940",14.0818437999241,-2.07135857281635,0.63151401805146,-3.27998827200628,0.00103811401983815,0.0171342728543448
"ENSMUSG00000027102",47.555287324891,-3.03345739971786,0.570167537044847,-5.32029132251221,1.03601220904304e-07,2.20834846364187e-05
"ENSMUSG00000054510",8.17021287127085,-5.02349790673689,1.51378500434222,-3.3185015654979,0.000905018152076015,0.0156621903763729
"ENSMUSG00000027004",51.0142816326485,-1.66600808758827,0.506087743179297,-3.29193526229707,0.000995005131024312,0.0167067191980537
"ENSMUSG00000087362",18.130280750638,-1.50940106279093,0.484617689459111,-3.11462230046863,0.0018418058483975,0.0254474088805321
"ENSMUSG00000075224",24.1715483222841,-2.05137614928247,0.517986362931004,-3.96028987650341,7.48588374726324e-05,0.00253297223532363
"ENSMUSG00000002104",47.1639523270598,-1.0468235981191,0.31202612811093,-3.35492288564675,0.000793871112167827,0.0142611235041947
"ENSMUSG00000075014",39.8049039524198,-3.739662921322,0.634160368967503,-5.89703031649655,3.70101882868069e-09,1.65669484224386e-06
"ENSMUSG00000074968",38.8664277421306,-1.86272263504359,0.429408747203075,-4.33787771482605,1.4386515675872e-05,0.000737424948676151
"ENSMUSG00000033213",28.4774750902257,-2.74922459752139,0.561401878115323,-4.89707053840073,9.72759268352728e-07,0.000106267870322108
"ENSMUSG00000027380",350.234187237025,1.53533563549816,0.282856274183943,5.4279709365744,5.69983182078673e-08,1.36475836158262e-05
"ENSMUSG00000027386",60.3381952248034,-1.01228676405528,0.312609689501439,-3.23818102269865,0.00120294455084151,0.0188334767121041
"ENSMUSG00000027400",17.9253383631673,-3.41637702385951,1.03463211078738,-3.30202106453042,0.000959908611377184,0.0162525420045665
"ENSMUSG00000027408",880.971578624612,-1.21017612022208,0.26211454797666,-4.61697425634627,3.89375550833368e-06,0.00028476549175801
"ENSMUSG00000027338",46.0308833484611,-3.22394713729415,0.593598402059054,-5.43119241243075,5.59787364157041e-08,1.36475836158262e-05
"ENSMUSG00000037014",34.7652455947941,1.96220814727637,0.558356654674353,3.51425586289606,0.000440987826050047,0.00943048425474896
"ENSMUSG00000027442",19.0544009823014,2.68511821397813,0.564252787777064,4.75871501593542,1.9482928013326e-06,0.000166932401345552
"ENSMUSG00000027611",257.159232107101,-1.55870362167146,0.300583404521414,-5.1855944081584,2.15326973031589e-07,3.68990211923446e-05
"ENSMUSG00000078956",155.525490587152,1.03834535595393,0.239709638795984,4.33167961526012,1.4797616035114e-05,0.000749013580787809
"ENSMUSG00000042845",26.9598825751044,-2.7112102006332,0.743788129160003,-3.64513776751869,0.000267248597927099,0.00650590284563755
"ENSMUSG00000070529",8.30249179769931,2.33039201016388,0.702451361973109,3.31751369036863,0.000908224645815709,0.0156866191543604
"ENSMUSG00000009731",20.3409008228858,-1.38958863623283,0.412611826154268,-3.36778673840845,0.000757741850331779,0.0138396758641057
"ENSMUSG00000036502",58.4398780105481,-1.32210578551954,0.384059521974314,-3.44245021897403,0.000576469954040635,0.0114112325330422
"ENSMUSG00000031340",66.1023127099943,1.25923249680865,0.3426547037107,3.67493130306424,0.000237913421000748,0.00595772018004596
"ENSMUSG00000031196",114.379170813877,-1.45281622912215,0.275362620519851,-5.27601105182471,1.32026129227748e-07,2.60251001380215e-05
"ENSMUSG00000034457",281.03805509504,-1.68448309158026,0.278082025538987,-6.05750439394759,1.38249566892133e-09,6.61798554479687e-07
"ENSMUSG00000019359",42.979999842707,1.70174963740345,0.446736704726349,3.80928994506029,0.000139366449746696,0.00401315679591844
"ENSMUSG00000047797",130.22449167028,1.24470076548197,0.421739337103312,2.95135088424786,0.00316387272197076,0.0369167765736494
"ENSMUSG00000033777",463.528859348589,-1.20298149395318,0.417283576967251,-2.88288722670625,0.00394048485479604,0.0428065474064512
"ENSMUSG00000025597",123.092414431741,-1.98536786600313,0.293961542094577,-6.75383538899921,1.43987107030353e-11,1.57296915236472e-08
"ENSMUSG00000042750",207.61934722452,2.56564334929717,0.472565020302663,5.42918590896542,5.66116891438892e-08,1.36475836158262e-05
"ENSMUSG00000047844",255.838473901293,2.21715872392267,0.353450476521128,6.27289782077894,3.54389492645928e-10,2.69320606172095e-07
"ENSMUSG00000042425",21.655465654343,-1.90132456353848,0.61724667341803,-3.0803318112835,0.00206770098788955,0.0277310482492684
"ENSMUSG00000057457",175.537474293651,-1.57096551231727,0.380419894101359,-4.12955667323408,3.63463403348803e-05,0.00144714734103274
"ENSMUSG00000097804",20.6209820463874,-1.43922267857003,0.470598731842241,-3.05827997652254,0.00222611485269146,0.0291244472381692
"ENSMUSG00000039519",173.388191762959,-1.28641029787401,0.240722459287348,-5.34395627928692,9.09395114984983e-08,2.0120654702307e-05
"ENSMUSG00000001865",532.558762844913,-2.96212118964143,0.537503707611006,-5.51088513008944,3.57033681959554e-08,9.75092457339226e-06
"ENSMUSG00000063600",11.1072901814961,-1.9374336840407,0.679456002763367,-2.85144832948874,0.00435205588659678,0.0457423841502255
"ENSMUSG00000027955",1575.97466479474,-1.03282058615894,0.151442614090495,-6.81988086617267,9.1116039360143e-12,1.22509019382764e-08
"ENSMUSG00000033981",23.4600856462334,-2.86032481275181,0.770981035661398,-3.70998076534792,0.00020727499455567,0.00539514746511022
"ENSMUSG00000028019",165.841273942931,-1.00188760090699,0.224111551358089,-4.47048621472509,7.80419742930621e-06,0.000472005421684578
"ENSMUSG00000028011",50.8225419039068,-1.06292616349259,0.355701832100283,-2.9882504602701,0.00280579519058427,0.0341046551712256
"ENSMUSG00000015852",270.25853361313,-1.19686167622496,0.262990405143229,-4.55097088265685,5.33989382677979e-06,0.000354889749803361
"ENSMUSG00000049128",29.5720735873897,2.30591701993297,0.508389961762403,4.53572492253623,5.74059618542307e-06,0.000377217596710563
"ENSMUSG00000085956",17.6341420695578,1.21945539258015,0.408515952129854,2.98508635029391,0.00283498281962678,0.0342451034583666
"ENSMUSG00000028111",4203.00234906626,-1.91032839511255,0.574596355216405,-3.32464412238236,0.000885314624065911,0.0154589553586894
"ENSMUSG00000000562",135.299194127914,-1.20970064430319,0.352504278843449,-3.43173322114603,0.000599737208682036,0.0117652151184661
"ENSMUSG00000074344",16.5820541174383,-1.43392039994269,0.499736174191917,-2.86935481959329,0.00411310106270337,0.0441060696165596
"ENSMUSG00000068744",141.432070088657,-1.35513939704445,0.347927269799811,-3.8948927395779,9.82421932091179e-05,0.00309959439549128
"ENSMUSG00000058952",51.6350973424352,-1.43402323549666,0.492021367707191,-2.91455479297409,0.00356196275064057,0.0399099659733631
"ENSMUSG00000028031",100.692993957864,-1.83319510092502,0.487251757152946,-3.76231603891289,0.000168347128649253,0.00460691622931121
"ENSMUSG00000106139",38.1679176114098,1.26191470195659,0.297377400525283,4.24347882430731,2.20081148990477e-05,0.00102855572278197
"ENSMUSG00000054690",1302.57031545538,-1.13599426252833,0.16534759138749,-6.87034055347164,6.40488163645163e-12,1.01773569203216e-08
"ENSMUSG00000028197",79.1602014479429,-2.41076702956629,0.474735863867971,-5.07812283218769,3.81182239475525e-07,5.64634268118026e-05
"ENSMUSG00000039146",72.0517439919478,-1.05372637616316,0.333398536658772,-3.16056089124839,0.0015746568799967,0.0227654488051797
"ENSMUSG00000045573",71.6099213491914,1.33214583525394,0.297643205311831,4.47564671889047,7.61803626559547e-06,0.000463956989151022
"ENSMUSG00000051279",166.653231087923,-1.32060858117269,0.308280908514008,-4.28378321427156,1.83741949091663e-05,0.000889646960712791
"ENSMUSG00000028259",22.89878050457,-1.76072083429364,0.439391196645138,-4.00718277411379,6.14473110760782e-05,0.00216977282888641
"ENSMUSG00000028327",105.917897020614,-1.4356361355954,0.487618899870473,-2.94417656078702,0.00323815210281605,0.0372611327222657
"ENSMUSG00000028339",1302.2954668568,-1.57383650388971,0.368246502345239,-4.27386680896211,1.92111821855844e-05,0.000919978776498164
"ENSMUSG00000061540",11.837309421478,-1.85587525772325,0.617351583416944,-3.00618854405664,0.00264544908747521,0.0327477369688238
"ENSMUSG00000028364",1826.68702017997,-1.6455854825102,0.444242955239951,-3.70424665850101,0.000212019880279909,0.0054659225478061
"ENSMUSG00000028351",120.578947996112,-1.01114283600329,0.288289428768097,-3.50738783702214,0.000452529079411965,0.00957597551942099
"ENSMUSG00000087659",11.2126063962106,-2.45244263508809,0.628900905757395,-3.89956925270218,9.6363972476232e-05,0.0030458334085209
"ENSMUSG00000044303",233.377901643089,-2.02876093503581,0.494002926347331,-4.10677918456176,4.01214447940376e-05,0.0015723828106614
"ENSMUSG00000028519",15.6812963792556,-2.16942803796856,0.52429690494497,-4.13778532260508,3.50674238240151e-05,0.00141557390535788
"ENSMUSG00000028544",43.0796456301724,-1.12963138841069,0.39321610621601,-2.87280040301844,0.00406851071446056,0.0438972214679358
"ENSMUSG00000078597",49.9686072166473,1.15212754633403,0.288920911035582,3.98769179497756,6.67192612740216e-05,0.00232022720298726
"ENSMUSG00000046623",47.4169719494258,1.74806903358859,0.576343513561936,3.03303323877997,0.00242108931141563,0.0309811982844683
"ENSMUSG00000050493",107.049943096684,-2.39782493992406,0.443377326390542,-5.40809102586355,6.37000497461672e-08,1.48455089268434e-05
"ENSMUSG00000036905",1003.68894890906,-1.0571474741287,0.218801225259289,-4.83154275245002,1.35479118009455e-06,0.00013454769907314
"ENSMUSG00000041202",418.954130573318,-1.80378456266339,0.233688536816036,-7.71875500287532,1.17471450141051e-14,6.23270807565271e-11
"ENSMUSG00000028957",1507.38127233025,-1.23335656514019,0.34337581640424,-3.59185622929315,0.00032833097898826,0.00757110446139288
"ENSMUSG00000042116",374.564999711908,-1.53180161043868,0.293248965550126,-5.22355332972809,1.75521882904209e-07,3.19577811591945e-05
"ENSMUSG00000099762",15.054551103061,-2.48285994091055,0.639400829989006,-3.88310403186877,0.000103131417159682,0.00320753387995388
"ENSMUSG00000073208",13.3172330431482,-2.85703129308977,0.648463303977989,-4.40584883610737,1.05370429123077e-05,0.000580158937771685
"ENSMUSG00000025746",22.9115463091527,-1.86737552000101,0.506745941401432,-3.68503300655292,0.000228673004177721,0.00580112545721681
"ENSMUSG00000036596",120.019076397691,-1.01890280076744,0.250525694997505,-4.06705907263358,4.76101773585713e-05,0.00176683288758061
"ENSMUSG00000039252",438.686946464736,-1.05880436507919,0.170520417752825,-6.20925270435336,5.32371544373287e-10,3.20873180141403e-07
"ENSMUSG00000067219",176.895325444057,1.04305090325877,0.29280258764852,3.56230083769222,0.00036761877567472,0.0082804234278588
"ENSMUSG00000067149",13217.7732866468,-1.98120846338897,0.488474964525277,-4.05590584425223,4.9940375625021e-05,0.00184157769103321
"ENSMUSG00000029368",25.675407969679,2.54589609227771,0.834787664019561,3.04975289167432,0.00229029721960393,0.0298079710360813
"ENSMUSG00000029377",96.385417322409,2.17966518793362,0.762942085775936,2.85692089684216,0.00427772431373637,0.0452879123439116
"ENSMUSG00000079362",29.2151043624621,1.10045957254588,0.317016252989439,3.47130332331112,0.000517938587300833,0.0105759913170926
"ENSMUSG00000061578",14.8447335636765,-1.96026223893291,0.61960375338502,-3.16373525535248,0.00155758410966476,0.0225746373572391
"ENSMUSG00000029608",19.0853472811071,-6.22323251296945,1.40782719819111,-4.42045197092765,9.84946761787951e-06,0.000553565416375935
"ENSMUSG00000034310",106.912862514766,1.43303941896059,0.346967131439838,4.13018781638994,3.62466992556316e-05,0.00144714734103274
"ENSMUSG00000037411",2135.93569752941,-1.1572400423139,0.204044558250892,-5.67150651913473,1.41547214285892e-08,4.7578918432752e-06
"ENSMUSG00000047592",56.4591706744112,-1.50584010591882,0.383086654208516,-3.93080805445961,8.46608425710171e-05,0.00274543018051727
"ENSMUSG00000029581",1153.3870253021,-1.36870999139702,0.246817745460305,-5.54542781696845,2.93236291576021e-08,8.40242154173325e-06
"ENSMUSG00000029664",39.6797673825536,-1.01073251631755,0.343289589398223,-2.94425624176174,0.0032373184728102,0.0372611327222657
"ENSMUSG00000092035",96.3660410891877,1.0975469566334,0.312578928537539,3.51126341679038,0.000445982235426128,0.00950649206465035
