"","baseMean","log2FoldChange","lfcSE","stat","pvalue","padj"
"ENSMUSG00000026077",154.167888352614,1.64219024574272,0.404320586306526,4.06160433418478,4.87366280846084e-05,0.00397038747390644
"ENSMUSG00000050967",27.5442457962152,-1.94732569467279,0.626029734390399,-3.11059617091354,0.00186710085917264,0.0426098186602795
"ENSMUSG00000026069",297.13256808521,-1.7088520455558,0.44391667205581,-3.84948832320711,0.000118364825788153,0.00718233083158754
"ENSMUSG00000100444",37.285313343041,-1.2373821641232,0.371524295413946,-3.33055517336902,0.000866729852167728,0.0253392810046555
"ENSMUSG00000043230",123.23187417206,1.34353529887076,0.420555481149149,3.19466838287212,0.0013999159487907,0.0352908557195144
"ENSMUSG00000051998",173.961252908397,-1.15968543255988,0.279993778563588,-4.14182571666146,3.44552124911352e-05,0.00313173900240936
"ENSMUSG00000026358",168.402620069394,-1.65622839298321,0.390718830005854,-4.23892647548724,2.24591193639006e-05,0.00233810523501348
"ENSMUSG00000073530",194.744745306613,-1.81086407772431,0.477984785644309,-3.78853915880047,0.00015153571031017,0.0083517965829445
"ENSMUSG00000040612",684.541204705858,-1.24582628878225,0.269162594630208,-4.62852682221259,3.68276170442225e-06,0.000675106262446536
"ENSMUSG00000038209",205.198843381639,-1.76590976917716,0.487675374592434,-3.62107635771643,0.000293379903099846,0.012785147456793
"ENSMUSG00000005339",59.2360176873106,-2.22300306865616,0.503280406742711,-4.41702684800247,1.00067804899253e-05,0.00133309831754352
"ENSMUSG00000016200",169.108362723274,-1.48257169518299,0.181273293913155,-8.17865479894276,2.87030092996486e-16,2.42038125919287e-12
"ENSMUSG00000026726",31.3847620747933,-1.08926286825847,0.352221432991374,-3.09255135046011,0.00198443897666706,0.0444456352476626
"ENSMUSG00000075014",39.8049039524198,-3.1675331883565,0.637794426157317,-4.96638581092775,6.82121867012794e-07,0.000225568338964133
"ENSMUSG00000074968",38.8664277421306,-1.52878231201175,0.433589854471359,-3.52587196459121,0.000422090976804986,0.0157281398435609
"ENSMUSG00000033213",28.4774750902257,-2.03173652414271,0.570266146439877,-3.56278649333591,0.000366939107175904,0.0146993540202414
"ENSMUSG00000001998",680.962748285737,-1.64694414773095,0.533621940863684,-3.08635013220281,0.00202630063957637,0.0451434085686333
"ENSMUSG00000027380",350.234187237025,1.16613126766507,0.282060652110605,4.13432805653371,3.55994660622224e-05,0.0031935372081882
"ENSMUSG00000027400",17.9253383631673,-3.16026182391409,1.0374453148321,-3.04619605364504,0.00231756664319376,0.049041105944119
"ENSMUSG00000027338",46.0308833484611,-2.3708169552068,0.5985598707046,-3.96086853002018,7.46776423999765e-05,0.00516163294703116
"ENSMUSG00000027446",79.5670073891654,1.03744174593127,0.21886780066825,4.74003824575263,2.1367788163405e-06,0.000500510760244202
"ENSMUSG00000042845",26.9598825751044,-2.42365387620536,0.747564916617969,-3.2420647656529,0.00118667051281792,0.0314178935614979
"ENSMUSG00000034457",281.03805509504,-1.60144483262662,0.278414689956916,-5.75201270045931,8.81871725397636e-09,1.14405897298701e-05
"ENSMUSG00000019359",42.979999842707,1.54070326020066,0.445503370594162,3.45834254440285,0.000543509865075404,0.0190567440218226
"ENSMUSG00000073008",87.0895874748966,-1.048008957124,0.29582703470158,-3.54264091576753,0.000396141711552582,0.0153196699824836
"ENSMUSG00000025597",123.092414431741,-1.00782219702437,0.298649234225945,-3.37460164475724,0.000739226110573416,0.0229588405981833
"ENSMUSG00000042750",207.61934722452,1.4602501708517,0.467725044453243,3.12202690056654,0.00179610526146735,0.0416661832663642
"ENSMUSG00000047844",255.838473901293,1.37193670201654,0.350210865603361,3.91745898475451,8.94872654595072e-05,0.00589532317177574
"ENSMUSG00000057457",175.537474293651,-1.29161250186822,0.381354920157069,-3.38690399309976,0.000706861192847731,0.0222826430231345
"ENSMUSG00000097804",20.6209820463874,-1.60900246462031,0.468757884068304,-3.43248085910776,0.000598086097700639,0.0200658192903233
"ENSMUSG00000001865",532.558762844913,-2.29650480884656,0.537907148577252,-4.26933312732643,1.96058266084866e-05,0.00216112591994854
"ENSMUSG00000049128",29.5720735873897,2.02469927963222,0.502226658612191,4.03144525467265,5.54349100259108e-05,0.00436873718498591
"ENSMUSG00000068744",141.432070088657,-1.13184441548791,0.348969182846829,-3.24339360356843,0.00118114915861599,0.0313702056063917
"ENSMUSG00000028197",79.1602014479429,-1.61819096262729,0.478749793433273,-3.38003480068933,0.00072476652284775,0.0227619877240732
"ENSMUSG00000051279",166.653231087923,-1.34705803568575,0.308481592256063,-4.36673717168703,1.26116332641849e-05,0.00155251967153633
"ENSMUSG00000028259",22.89878050457,-1.89735990592658,0.438527249156118,-4.32666364422685,1.51384860896804e-05,0.00178538858673049
"ENSMUSG00000044303",233.377901643089,-1.53702327889991,0.494797245014003,-3.10636992098937,0.00189399617145519,0.0430046304969303
"ENSMUSG00000028519",15.6812963792556,-1.87859215836623,0.530616948796962,-3.54039229735396,0.000399532669324199,0.015350241672266
"ENSMUSG00000041202",418.954130573318,-1.43197993824063,0.234442366303497,-6.10802544275154,1.00871276358502e-09,2.12649259473266e-06
"ENSMUSG00000028957",1507.38127233025,-1.24777837454487,0.343406639254462,-3.63353014156572,0.000279569770660279,0.0124221916869824
"ENSMUSG00000029075",24.7702910848109,-1.34735831540824,0.399245029705672,-3.37476540760327,0.000738786390289013,0.0229588405981833
"ENSMUSG00000099762",15.054551103061,-2.19474982620287,0.644943460617624,-3.40301120985254,0.000666475460388254,0.0214709720579428
"ENSMUSG00000073208",13.3172330431482,-2.27373792137578,0.658820979332417,-3.45122270344177,0.000558052881722097,0.0194052821654498
"ENSMUSG00000037379",189.805994897639,1.18897420754976,0.359135442973531,3.31065683104239,0.000930772782645263,0.0267418790107536
"ENSMUSG00000090061",49.0090562453796,1.08972305998497,0.327195911238444,3.33049106836435,0.000866929447950561,0.0253392810046555
"ENSMUSG00000067149",13217.7732866468,-2.1350004842571,0.488473823469947,-4.37075720678501,1.23816409215741e-05,0.00153776810930107
"ENSMUSG00000029417",75.4065970560472,-1.21141900279846,0.384058040560344,-3.15426022856074,0.00160905537648707,0.0385464757449636
"ENSMUSG00000029608",19.0853472811071,-5.21722062972632,1.41472030494977,-3.68781066580616,0.000226191850674608,0.010993445422557
"ENSMUSG00000047420",57.2348078231364,-1.06440518675305,0.332119869544123,-3.20488258716373,0.00135117586153189,0.0344121383563802
"ENSMUSG00000038600",95.3393285440671,1.21537426711147,0.288224033639864,4.21676933655742,2.47827243770026e-05,0.00248000312665539
"ENSMUSG00000029829",26.8265122353663,2.72070094042052,0.496516859339752,5.47957413578744,4.26350778578189e-08,2.56800210025756e-05
"ENSMUSG00000108084",65.8485467038124,-1.3773134653343,0.433507967280837,-3.17713529920441,0.00148737628954801,0.0364601760512024
