"","baseMean","log2FoldChange","lfcSE","stat","pvalue","padj"
"ENSMUSG00000033740",8.34396738100692,-2.53942999884677,0.784265380494758,-3.2379728367517,0.00120382270705553,0.0103502222278797
"ENSMUSG00000025938",82.4666524832853,-1.54202602292341,0.381453145422022,-4.04250441090841,5.28833175036825e-05,0.000884980342782805
"ENSMUSG00000026077",154.167888352614,1.93852786314525,0.408168392735504,4.74933360261785,2.0408804060971e-06,6.74817536699809e-05
"ENSMUSG00000050967",27.5442457962152,-3.02370719911349,0.619157529048904,-4.88358302572569,1.04175255063255e-06,3.98119556390717e-05
"ENSMUSG00000026069",297.13256808521,-2.4455989861784,0.443430900831247,-5.51517492712828,3.48433217493762e-08,2.58919064713817e-06
"ENSMUSG00000026051",16.8749856550074,-1.9451912026053,0.555098990790237,-3.50422399405939,0.000457939995943731,0.00490790998825787
"ENSMUSG00000025993",825.264918580441,-1.62681644296617,0.330058286430736,-4.92887623140335,8.27039444552211e-07,3.35219494343825e-05
"ENSMUSG00000079550",19.4199561058439,-1.54849551125579,0.513040363861685,-3.01827228485528,0.00254220377577443,0.0178497592445264
"ENSMUSG00000026011",31.4361936620795,-1.266501976968,0.416159057737009,-3.04331229471487,0.00233989365927603,0.0166984941553365
"ENSMUSG00000100444",37.285313343041,-1.50149684228729,0.372996133539799,-4.02550243091752,5.6853793086208e-05,0.000930632980185604
"ENSMUSG00000061815",143.063772219229,-1.09820768804905,0.354713058340973,-3.0960452744127,0.0019612041405097,0.0147729319127855
"ENSMUSG00000048480",156.171336313222,-1.34462901563184,0.405936921030097,-3.31240876592289,0.000924962894687344,0.00836352253303487
"ENSMUSG00000026177",380.146579408876,-1.55308797913693,0.415850806402918,-3.73472398086958,0.000187921179166295,0.00239867607884392
"ENSMUSG00000047330",313.999593602651,-1.21721547685556,0.257846624514029,-4.72069579793677,2.35039233117308e-06,7.54947629391888e-05
"ENSMUSG00000043230",123.23187417206,1.77566670615821,0.426130329947013,4.16695687063394,3.08692873456558e-05,0.000574039994870656
"ENSMUSG00000026163",46.2274269695353,1.09596981489629,0.346937990502559,3.15897896713103,0.00158322916017472,0.0125955208071753
"ENSMUSG00000079457",22.1441092169129,-1.25122015849088,0.420515105892482,-2.97544640123058,0.00292562470659106,0.0198066696513464
"ENSMUSG00000090186",16.3262673948823,-1.45545553133902,0.559898826492889,-2.5994973778669,0.00933603917446507,0.0475589416705748
"ENSMUSG00000090124",201.194824622498,-1.12925435390883,0.319513469732316,-3.53429342072778,0.00040886690701885,0.00445660168849533
"ENSMUSG00000014602",680.107910713756,-1.44654592482218,0.209041598581033,-6.91989505744926,4.51978340879608e-12,1.70765135348342e-09
"ENSMUSG00000100182",7.76399054532362,-2.32443257972485,0.744354011578545,-3.12275146444827,0.00179168975886789,0.0137617647352584
"ENSMUSG00000047496",103.159907293625,-1.09365122633159,0.215226687988084,-5.08139225927289,3.7467850428171e-07,1.8176760806164e-05
"ENSMUSG00000036086",315.506690764349,-1.98251421095376,0.539241187669106,-3.67648884448769,0.000236466190855182,0.00288661400909658
"ENSMUSG00000104164",23.8937059990041,-2.64889883083655,0.573229377989585,-4.62101024920721,3.81875906988136e-06,0.000111040500531985
"ENSMUSG00000052688",466.694117251116,-1.10168768464829,0.218210777699922,-5.04873176412626,4.44752682948775e-07,2.05640462738241e-05
"ENSMUSG00000079330",9.68143280055993,-2.53042949208431,0.681910868212015,-3.71079214314203,0.000206611703269311,0.0025845095226594
"ENSMUSG00000042066",4358.90467173292,1.14401762415489,0.174110283568572,6.57064936491432,5.00963024655558e-11,1.20269661534615e-08
"ENSMUSG00000053024",10.2611119202864,-2.32358818442236,0.696408215423188,-3.33653184003634,0.000848307111252503,0.00778696027711489
"ENSMUSG00000026442",25.3756950954623,-1.6126583819811,0.548505892215243,-2.94009308718286,0.00328113655977172,0.0215885656334564
"ENSMUSG00000051998",173.961252908397,-1.05179615434343,0.281785690783865,-3.73261023800593,0.00018950571503693,0.00241242965314858
"ENSMUSG00000026458",65.2086339643815,-1.2181721033921,0.27971738769757,-4.35501029599629,1.33060663818813e-05,0.000293831838522534
"ENSMUSG00000097993",111.005435894204,-1.37916196235621,0.178796273119119,-7.7135945749684,1.2232263330648e-14,1.34741978311597e-11
"ENSMUSG00000026398",88.7302845398742,-2.05587608134632,0.452620470264541,-4.54216328339002,5.56798868066143e-06,0.000148640578421247
"ENSMUSG00000026358",168.402620069394,-2.62239078287941,0.389176636772346,-6.73830475700784,1.60245194398534e-11,5.08601950899483e-09
"ENSMUSG00000026475",169.05316237972,-1.62265965343751,0.313385037777405,-5.17784660348102,2.24461667071606e-07,1.20437512251659e-05
"ENSMUSG00000004110",85.9970569751756,-1.12834660751337,0.29377079755372,-3.840908003482,0.000122580050629542,0.00172200602257224
