"","ID","Gene.name","logFC","logCPM","LR","PValue","FDR"
"ENSMUSG00000090877","ENSMUSG00000090877","Hspa1b",-3.59040558637299,6.89440281234455,40.1125881037983,2.39739120247446e-10,4.13286269394573e-06
"ENSMUSG00000091971","ENSMUSG00000091971","Hspa1a",-3.2584017061766,6.16245396421697,38.6959599225343,4.95233047247014e-10,4.26866125074564e-06
"ENSMUSG00000022206","ENSMUSG00000022206","Npr3",-1.59375659393981,7.27399106677621,37.2056400406875,1.06305875812682e-09,6.1086899771161e-06
"ENSMUSG00000034936","ENSMUSG00000034936","Arl4d",-1.0049996570837,4.97330929388316,36.2701330201666,1.7177626371203e-09,7.40312752532921e-06
"ENSMUSG00000030787","ENSMUSG00000030787","Lyve1",-1.8031569220307,7.34682351997506,32.583377514018,1.14187179955547e-08,3.93694559050737e-05
"ENSMUSG00000014773","ENSMUSG00000014773","Dll1",-1.03783128779572,5.19395369976746,30.3107377549408,3.68082580849421e-08,0.00010575626018772
"ENSMUSG00000066363","ENSMUSG00000066363","Serpina3f",-1.4550196714859,3.77615392658671,29.3177683670702,6.14298226817082e-08,0.000151284101887138
"ENSMUSG00000058396","ENSMUSG00000058396","Gpr182",-1.22123866816015,5.57739271507804,28.9731880999375,7.3387048906589e-08,0.000158139917012586
"ENSMUSG00000040613","ENSMUSG00000040613","Apobec1",0.970875706139492,4.34963157150761,27.3448695249162,1.70215458366332e-07,0.000322865734772732
"ENSMUSG00000026360","ENSMUSG00000026360","Rgs2",0.818279403233792,5.90866659663617,27.1600612123367,1.87287971908308e-07,0.000322865734772732
"ENSMUSG00000028525","ENSMUSG00000028525","Pde4b",-0.77081414297459,7.33779757371514,26.7793028890132,2.28066964116885e-07,0.000330293808668187
"ENSMUSG00000079227","ENSMUSG00000079227","Ccr5",0.980291538445222,3.54721578581896,26.7636973303026,2.29916219271317e-07,0.000330293808668187
"ENSMUSG00000005483","ENSMUSG00000005483","Dnajb1",-1.1331052754546,6.81276171295102,25.9991725626265,3.41563718119315e-07,0.000452939764358375
"ENSMUSG00000038587","ENSMUSG00000038587","Akap12",-0.731758293254293,8.36071017468575,24.6686470147449,6.80828017891122e-07,0.000838342442887503
"ENSMUSG00000022579","ENSMUSG00000022579","Gpihbp1",-0.824163783333456,6.70554505492104,24.402862147716,7.81524977497393e-07,0.00089818060580517
"ENSMUSG00000003032","ENSMUSG00000003032","Klf4",-0.853664014822873,8.04045287031855,23.6533835822085,1.1534292911499e-06,0.00117230908778663
"ENSMUSG00000095170","ENSMUSG00000095170","Ighv8-11",1.80779807518274,3.30482990912078,23.6378593445965,1.16277182559584e-06,0.00117230908778663
"ENSMUSG00000042750","ENSMUSG00000042750","Bex2",-1.92099781613888,3.29095614380132,23.5375581055507,1.22498999526625e-06,0.00117230908778663
"ENSMUSG00000037887","ENSMUSG00000037887","Dusp8",-0.752292366626385,6.11545126278159,23.4349992878731,1.29206291942375e-06,0.00117230908778663
"ENSMUSG00000020482","ENSMUSG00000020482","Ccdc117",-0.775445014189321,6.01368840649404,23.1283461949677,1.51540138952056e-06,0.00125599272738679
"ENSMUSG00000038007","ENSMUSG00000038007","Acer2",-0.849061911321918,8.33865344235699,23.034235409099,1.59142081240971e-06,0.00125599272738679
"ENSMUSG00000048878","ENSMUSG00000048878","Hexim1",-0.46364200734576,6.63841324724856,23.0204559829875,1.60286791591794e-06,0.00125599272738679
"ENSMUSG00000033730","ENSMUSG00000033730","Egr3",1.23499755197362,1.92376801241993,22.666946682192,1.92653525566476e-06,0.00144398005532195
"ENSMUSG00000073409","ENSMUSG00000073409","H2-Q6",-0.679272179683941,6.97368909735974,21.8691822842603,2.91884078240559e-06,0.00209657901032875
"ENSMUSG00000027380","ENSMUSG00000027380","Acoxl",-1.29733965217488,4.0551056908557,21.2314944052529,4.07021122913317e-06,0.00280665485516107
"ENSMUSG00000074874","ENSMUSG00000074874","Ctla2b",-0.73275483112741,4.34759072451033,21.1046106013416,4.34880525879e-06,0.00288342514831849
"ENSMUSG00000042066","ENSMUSG00000042066","Tmcc2",-0.765527574966984,7.6914469690478,20.608944965979,5.63322964980609e-06,0.0035967128123336
"ENSMUSG00000036181","ENSMUSG00000036181","Hist1h1c",0.597636449829046,5.9614880718127,20.3832586747695,6.33818591199864e-06,0.00390228524774802
"ENSMUSG00000046556","ENSMUSG00000046556","Zfp319",-0.480205113432587,5.83112180649336,20.3001045942677,6.61969650685105e-06,0.00393506717522777
"ENSMUSG00000021411","ENSMUSG00000021411","Pxdc1",-0.552776491654276,7.45415663408002,20.1820228688475,7.04115491004454e-06,0.00404608231647526
"ENSMUSG00000027346","ENSMUSG00000027346","Gpcpd1",0.641696129645551,6.26182783553456,19.9435671681442,7.97618638710258e-06,0.00436643943217173
"ENSMUSG00000030203","ENSMUSG00000030203","Dusp16",-0.531879899906651,6.15028182923851,19.9128829199634,8.10523010786562e-06,0.00436643943217173
"ENSMUSG00000038418","ENSMUSG00000038418","Egr1",1.38445993651028,6.37153860334927,19.6750406379497,9.17924986645578e-06,0.00472748563242218
"ENSMUSG00000029178","ENSMUSG00000029178","Klf3",-0.458389861561309,7.72807666259159,19.6451662187273,9.32388836373073e-06,0.00472748563242218
"ENSMUSG00000047844","ENSMUSG00000047844","Bex4",-1.53925830459057,3.59542192683726,19.3963745524576,1.06208491802748e-05,0.00523122340053594
"ENSMUSG00000029657","ENSMUSG00000029657","Hsph1",-1.56849308694453,7.05883191797457,19.2031243953786,1.17520886174403e-05,0.00529382964834709
"ENSMUSG00000013089","ENSMUSG00000013089","Etv5",0.526560828463766,7.51451443878209,19.1819290539157,1.18833033023527e-05,0.00529382964834709
"ENSMUSG00000028410","ENSMUSG00000028410","Dnaja1",-0.910911612047836,8.30082151987464,19.1531112559169,1.20640698053206e-05,0.00529382964834709
"ENSMUSG00000030878","ENSMUSG00000030878","Cdr2",-0.692294980583843,5.26138887752989,19.1089027251446,1.23467606125747e-05,0.00529382964834709
"ENSMUSG00000041794","ENSMUSG00000041794","Myrip",-1.34414069746281,3.91765398713124,19.1049976522682,1.23720490551488e-05,0.00529382964834709
"ENSMUSG00000054499","ENSMUSG00000054499","Dedd2",-0.726661493273638,5.49612850411312,19.0715995015309,1.25904643878549e-05,0.00529382964834709
"ENSMUSG00000034387","ENSMUSG00000034387","Ssu2",2.53697300230082,-0.17645339729351,19.0035802956877,1.30473408883225e-05,0.00535531213270931
"ENSMUSG00000074896","ENSMUSG00000074896","Ifit3",0.492144593826272,5.311937008344,18.5524238642647,1.6529490518454e-05,0.0066267880708751
"ENSMUSG00000028195","ENSMUSG00000028195","Cyr61",0.885617108709241,7.83579786623218,18.3985264004494,1.79196510383333e-05,0.00687361053900294
"ENSMUSG00000063060","ENSMUSG00000063060","Sox7",-0.621430332816705,6.2311927707523,18.3960877660031,1.79425995855405e-05,0.00687361053900294
"ENSMUSG00000023243","ENSMUSG00000023243","Kcnk5",-1.16145821722727,3.89331779322185,18.3037221523049,1.88338821023777e-05,0.00705820203397586
"ENSMUSG00000038151","ENSMUSG00000038151","Prdm1",0.805368366782782,4.65126577652195,17.9735372940121,2.23997358897832e-05,0.00821593717029729
"ENSMUSG00000027955","ENSMUSG00000027955","Fam198b",0.588718495411381,6.2244379275567,17.6005250069553,2.72513103766072e-05,0.00978719457463191
"ENSMUSG00000006386","ENSMUSG00000006386","Tek",-0.740050711424058,8.37411273395168,17.3974888342523,3.03226321921134e-05,0.0106679970685682
"ENSMUSG00000040552","ENSMUSG00000040552","C3ar1",0.961463042385506,3.51724468424951,17.2234964535075,3.32300938950485e-05,0.0111535037221963
"ENSMUSG00000030411","ENSMUSG00000030411","Nova2",-0.667735001225808,4.66188398556429,17.2098680535925,3.34693296565204e-05,0.0111535037221963
"ENSMUSG00000042812","ENSMUSG00000042812","Foxf1",-0.663017825794837,8.10958891689885,17.2000014295426,3.36436100443302e-05,0.0111535037221963
"ENSMUSG00000001300","ENSMUSG00000001300","Efnb2",-0.708293912083758,8.34126258066336,17.1528596568384,3.44889790894915e-05,0.011218028500448
"ENSMUSG00000018899","ENSMUSG00000018899","Irf1",-0.440568651918584,6.97126526675248,17.040710692959,3.6586916422276e-05,0.011680034300067
"ENSMUSG00000028060","ENSMUSG00000028060","2810403A07Rik",-0.38229601450194,6.21617932765892,17.0049223086581,3.72830384039144e-05,0.0116858599826378
"ENSMUSG00000089809","ENSMUSG00000089809","Rasgef1b",-0.845607549098614,5.81606107671341,16.6412580041465,4.51579521524567e-05,0.013739676430397
"ENSMUSG00000001240","ENSMUSG00000001240","Ramp2",-0.696292127672045,7.72385554235044,16.6118628198009,4.58632584283339e-05,0.013739676430397
"ENSMUSG00000022297","ENSMUSG00000022297","Fzd6",0.421410616307773,5.96758928317729,16.5961812857928,4.62440397530427e-05,0.013739676430397
"ENSMUSG00000020288","ENSMUSG00000020288","Ahsa2",-0.912909712250098,4.65826179358979,16.5644755271572,4.70236620101759e-05,0.013739676430397
"ENSMUSG00000057722","ENSMUSG00000057722","Lepr",-0.608603614206716,6.74834609713842,16.4257558722877,5.05931019909155e-05,0.0145362414203565
"ENSMUSG00000074918","ENSMUSG00000074918","Inafm2",-0.435993374420385,6.1249819350028,16.1877150522313,5.73649314230528e-05,0.0160269399170177
"ENSMUSG00000111531","ENSMUSG00000111531","Gm32688",1.80610523773714,-0.0820748974588219,16.1676212081521,5.79766916053714e-05,0.0160269399170177
"ENSMUSG00000030096","ENSMUSG00000030096","Slc6a6",0.578281401308383,8.59672951776387,16.1483192262599,5.85705211887066e-05,0.0160269399170177
"ENSMUSG00000054517","ENSMUSG00000054517","Trim65",-0.618714805506829,5.06039747847714,16.081256654262,6.06816723955047e-05,0.0163451773504079
"ENSMUSG00000033170","ENSMUSG00000033170","Card10",-0.45933596571318,5.98041033198721,16.0289622582574,6.2380893591163e-05,0.0165443726864317
"ENSMUSG00000029925","ENSMUSG00000029925","Tbxas1",0.803260685402832,4.30567920240924,15.8719211778514,6.7776862490022e-05,0.0174894255232611
"ENSMUSG00000042985","ENSMUSG00000042985","Upk3b",-0.879036874719613,5.8148154279785,15.8664445403246,6.79732878971224e-05,0.0174894255232611
"ENSMUSG00000028121","ENSMUSG00000028121","Bcar3",-0.431657505852651,6.32485714171243,15.315793392978,9.09529190406053e-05,0.0230579025197205
"ENSMUSG00000029817","ENSMUSG00000029817","Tra2a",-0.37695538400003,6.70664218082465,15.1862874605821,9.74082043457604e-05,0.0241290851500182
"ENSMUSG00000045680","ENSMUSG00000045680","Tcf21",-0.520177409610827,6.97911332885031,15.1752816737657,9.79776066187872e-05,0.0241290851500182
"ENSMUSG00000060550","ENSMUSG00000060550","H2-Q7",-0.650293799213274,6.04338460684888,14.9037293391676,0.000113139101423588,0.0270538475876613
"ENSMUSG00000034471","ENSMUSG00000034471","Caskin2",-0.455119913046302,7.48279109943101,14.9013474120926,0.000113282044570987,0.0270538475876613
"ENSMUSG00000016087","ENSMUSG00000016087","Fli1",-0.523619194838098,5.80123538768941,14.8683486785583,0.0001152811564745,0.0270538475876613
"ENSMUSG00000030256","ENSMUSG00000030256","Bhlhe41",0.793390915326709,5.08912853328161,14.8544924178213,0.000116131139943555,0.0270538475876613
"ENSMUSG00000063011","ENSMUSG00000063011","Msln",-0.654228036838689,5.65573267664439,14.8063572999019,0.000119133214733788,0.027383166517277
"ENSMUSG00000052373","ENSMUSG00000052373","Mpp3",-1.01062757965429,2.21109648814076,14.5500685242952,0.000136483688886101,0.030764239598632
"ENSMUSG00000054252","ENSMUSG00000054252","Fgfr3",-0.461543033738954,7.39479794225102,14.5301350176892,0.000137935363006855,0.030764239598632
"ENSMUSG00000001156","ENSMUSG00000001156","Mxd1",-0.488915151544711,5.45741774051533,14.5129868132387,0.000139196629079024,0.030764239598632
"ENSMUSG00000022596","ENSMUSG00000022596","Slurp1",-1.60573323710335,0.697845631357317,14.3558305432076,0.000151310392152733,0.0330182259534298
"ENSMUSG00000040181","ENSMUSG00000040181","Fmo1",-0.745141440950601,8.62866361612926,14.1885551241509,0.000165373319105988,0.0356358831008516
"ENSMUSG00000069874","ENSMUSG00000069874","Irgm2",-0.569767459734026,5.85496145461275,14.0364711306904,0.000179299086605651,0.0381597154814175
"ENSMUSG00000036867","ENSMUSG00000036867","Smad6",-0.713250928204094,8.05958604942081,13.9782232673985,0.000184940307363162,0.0384560302959714
"ENSMUSG00000078853","ENSMUSG00000078853","Igtp",-0.691991541567685,5.40495185728832,13.9760635022571,0.000185152880942376,0.0384560302959714
"ENSMUSG00000018765","ENSMUSG00000018765","Fxr2",-0.344619948688371,6.53475198169013,13.7743072294804,0.000206136144559175,0.0419978733262009
