,ID,Gene.name,logFC,logCPM,LR,PValue,FDR
ENSMUSG00000041202,ENSMUSG00000041202,Pla2g2d,-1.814507188,4.321353807,65.21710473,6.71E-16,1.16E-11
ENSMUSG00000054555,ENSMUSG00000054555,Adam12,-1.520184301,3.547097642,62.14626891,3.19E-15,2.75E-11
ENSMUSG00000030000,ENSMUSG00000030000,Add2,-1.75150307,3.173583406,60.50089542,7.35E-15,4.23E-11
ENSMUSG00000054690,ENSMUSG00000054690,Emcn,-1.1482688,5.950264612,55.77839416,8.11E-14,3.50E-10
ENSMUSG00000030237,ENSMUSG00000030237,Slco1a4,-4.267495863,0.583261925,54.90332713,1.27E-13,3.84E-10
ENSMUSG00000016494,ENSMUSG00000016494,Cd34,-0.99364993,8.089197091,54.79537034,1.34E-13,3.84E-10
ENSMUSG00000096464,ENSMUSG00000096464,Ighv2-2,-2.672623763,3.566582655,54.48683869,1.56E-13,3.85E-10
ENSMUSG00000029811,ENSMUSG00000029811,Aoc1,-2.444037884,2.42163538,54.13121191,1.88E-13,4.04E-10
ENSMUSG00000027955,ENSMUSG00000027955,Fam198b,-1.045074063,6.224437928,53.68139174,2.36E-13,4.52E-10
ENSMUSG00000073418,ENSMUSG00000073418,C4b,-1.047269032,8.621381802,52.2643849,4.85E-13,8.36E-10
ENSMUSG00000069515,ENSMUSG00000069515,Lyz1,-1.816826274,9.384613671,50.63241472,1.11E-12,1.75E-09
ENSMUSG00000058396,ENSMUSG00000058396,Gpr182,1.613142695,5.577392715,50.33428398,1.30E-12,1.86E-09
ENSMUSG00000030954,ENSMUSG00000030954,Gp2,-3.376952479,2.288124126,49.58969962,1.90E-12,2.45E-09
ENSMUSG00000037010,ENSMUSG00000037010,Apln,-0.852988069,6.670647914,49.4958307,1.99E-12,2.45E-09
ENSMUSG00000001865,ENSMUSG00000001865,Cpa3,-2.971820816,4.663933194,48.62811479,3.09E-12,3.56E-09
ENSMUSG00000012428,ENSMUSG00000012428,Steap4,-0.88786034,5.226624614,48.33985714,3.58E-12,3.86E-09
ENSMUSG00000025597,ENSMUSG00000025597,Klhl4,-1.994395419,2.579660767,46.44622213,9.42E-12,9.55E-09
ENSMUSG00000095519,ENSMUSG00000095519,Ighv1-66,-2.630632701,2.073860521,45.6090836,1.44E-11,1.38E-08
ENSMUSG00000022225,ENSMUSG00000022225,Cma1,-3.623102273,4.583672553,44.40383196,2.67E-11,2.42E-08
ENSMUSG00000076934,ENSMUSG00000076934,Iglv1,-2.438963925,5.010452037,43.29992578,4.70E-11,4.05E-08
ENSMUSG00000042750,ENSMUSG00000042750,Bex2,2.543921642,3.290956144,43.04477349,5.35E-11,4.23E-08
ENSMUSG00000021775,ENSMUSG00000021775,Nr1d2,-1.896492117,6.763509794,43.02953461,5.39E-11,4.23E-08
ENSMUSG00000020826,ENSMUSG00000020826,Nos2,-1.348725995,4.225708508,42.18793847,8.29E-11,6.21E-08
ENSMUSG00000075014,ENSMUSG00000075014,Gm10800,-3.724193712,1.041506164,41.94556584,9.38E-11,6.74E-08
ENSMUSG00000021198,ENSMUSG00000021198,Unc79,-1.127046276,3.713719415,41.81980558,1.00E-10,6.90E-08
ENSMUSG00000031626,ENSMUSG00000031626,Sorbs2,-1.214616438,4.937953119,41.15692476,1.40E-10,9.31E-08
ENSMUSG00000034457,ENSMUSG00000034457,Eda2r,-1.697179153,3.752930564,40.58965167,1.88E-10,1.16E-07
ENSMUSG00000047844,ENSMUSG00000047844,Bex4,2.198570446,3.595421927,40.54216549,1.92E-10,1.16E-07
ENSMUSG00000041445,ENSMUSG00000041445,Mmrn2,-0.916319605,5.75476025,40.43592069,2.03E-10,1.16E-07
ENSMUSG00000105906,ENSMUSG00000105906,Iglc1,-2.25239217,4.702721596,40.43079037,2.04E-10,1.16E-07
ENSMUSG00000046186,ENSMUSG00000046186,Cd109,-2.423161368,3.375491017,40.37816412,2.09E-10,1.16E-07
ENSMUSG00000070547,ENSMUSG00000070547,Mrgprb1,-4.491528613,2.375763419,40.21221535,2.28E-10,1.23E-07
ENSMUSG00000033825,ENSMUSG00000033825,Tpsb2,-3.919939792,4.982292904,40.10411311,2.41E-10,1.26E-07
ENSMUSG00000037411,ENSMUSG00000037411,Serpine1,-1.169223335,6.661979962,39.93813316,2.62E-10,1.33E-07
ENSMUSG00000039252,ENSMUSG00000039252,Lgi2,-1.071437162,4.386710416,39.65261765,3.03E-10,1.49E-07
ENSMUSG00000064325,ENSMUSG00000064325,Hhip,-1.164019207,6.137918148,38.94211106,4.37E-10,2.07E-07
ENSMUSG00000027227,ENSMUSG00000027227,Sord,-0.914947525,5.956771572,38.90512514,4.45E-10,2.07E-07
ENSMUSG00000026069,ENSMUSG00000026069,Il1rl1,-2.196282011,3.826667189,38.80463888,4.68E-10,2.12E-07
ENSMUSG00000040026,ENSMUSG00000040026,Saa3,-3.478628469,3.884804503,38.72435091,4.88E-10,2.16E-07
ENSMUSG00000039239,ENSMUSG00000039239,Tgfb2,-0.661367998,6.193010561,38.53863135,5.37E-10,2.26E-07
ENSMUSG00000038209,ENSMUSG00000038209,Itln1,-2.47197635,3.311430817,38.53606538,5.38E-10,2.26E-07
