"ID","Description","GeneRatio","BgRatio","RichFactor","FoldEnrichment","zScore","pvalue","p.adjust","qvalue","geneID","Count","Source"
"GO:0000768","syncytium formation by plasma membrane fusion","6/373, 7/711, 7/865","68/28905","0.0882352941176471, 0.102941176470588","6.83764390474689, 4.1849714569372, 3.43990139408364","5.51041489949729, 4.17561442487052, 3.53793391249383","0.000247460529472284, 0.0013975510028955, 0.00417297175877025","0.0221159010339801, 0.0200158127704761, 0.0387525578941925","0.0200275574378922, 0.0160802035239929, 0.0304530578942502","23886/235505/83433/20307/17329/226841, 20307/83433/15945/235505/17329/23886/12292, 235505/83433/20307/23886/15945/226841/17329","6, 7","Ure_RT_vs_Ure, Ure_RT_DMXAA_vs_Ure_DMXAA, Ure_RT_DMXAA_vs_Ure"
"GO:0001503","ossification","9/121, 32/711, 37/865","487/28905","0.0184804928131417, 0.0657084188911704, 0.0759753593429158","4.41469954350298, 2.67131061610307, 2.53880666104853","4.92738286122571, 5.90690959974489, 6.01519632640948","0.000216840787908595, 5.91832695317915e-07, 2.68709126532778e-07","0.0215585393873334, 4.294732592357e-05, 2.14010878911445e-05","0.0184164502971676, 3.45028078340602e-05, 1.68176916302763e-05","225998/225642/16193/15891/64654/13386/14119/20750/21990, 21990/16193/225998/140494/17242/225642/17390/12842/16000/17313/22402/16948/13386/15951/18675/80752/19228/20682/14119/74499/20750/11474/108153/15891/21336/20190/214593/64654/12165/12845/71584/16591, 22418/21990/140494/225642/14219/16193/233781/17130/16000/18675/13654/15951/18442/12842/17313/14119/22402/20750/80752/13363/23845/71584/108153/17242/225998/15891/13386/64654/19228/22422/16591/239337/214593/20682/17389/12165/12163","9, 32, 37","Ure_RT_DMXAA_vs_Ure_RT, Ure_RT_DMXAA_vs_Ure_DMXAA, Ure_RT_DMXAA_vs_Ure"
"GO:0001508","action potential","6/232, 12/865","158/28905","0.037974684, 0.0759493670886076","4.731285465, 2.53793809907075","4.230358321, 3.40462401456135","0.001786404, 0.00293466317243849","0.03914493, 0.0317706261621806","0.033653641, 0.0249664221003191","239556/110880/18212/15165/12723/14811, 18212/16490/57814/14799/11549/319504/15165/58226/14168/14811/239556/20273","6, 12","Ure_DMXAA_vs_Ure, Ure_RT_DMXAA_vs_Ure"
"GO:0001649","osteoblast differentiation","6/121, 16/711, 20/865","231/28905","0.025974025974026, 0.0692640692640693, 0.0865800865800866","6.2047869485886, 2.81586205636839, 2.89317618797388","5.14945056015923, 4.40027815359443, 5.07400517952591","0.000436682806097394, 0.000211385333753594, 2.34083655869455e-05","0.037495173668999, 0.00486969176276799, 0.00076386048536845","0.0320303704185314, 0.00391218860519741, 0.000600267152624304","225998/16193/64654/13386/14119/20750, 16193/225998/12842/16000/22402/16948/13386/15951/80752/19228/20682/14119/20750/64654/12165/71584, 16193/17130/16000/15951/12842/14119/22402/20750/80752/13363/23845/71584/225998/13386/64654/19228/22422/20682/12165/12163","6, 16, 20","Ure_RT_DMXAA_vs_Ure_RT, Ure_RT_DMXAA_vs_Ure_DMXAA, Ure_RT_DMXAA_vs_Ure"
"GO:0001655","urogenital system development","10/711, 9/865","67/28905","0.149253731343284, 0.134328358208955","6.06776245355501, 4.48874126477439","6.59487410114229, 5.02136299905338","5.33374085768652e-06, 0.0001668805848376","0.000270036135981013, 0.00386291560665951","0.00021694027992769, 0.0030356084605149","21923/17390/16000/13123/19156/13983/20682/13844/76943/20724, 14228/22418/13123/21923/16000/19156/106389/13983/20682","10, 9","Ure_RT_DMXAA_vs_Ure_DMXAA, Ure_RT_DMXAA_vs_Ure"
"GO:0001662","behavioral fear response","6/711, 8/865","58/28905","0.103448275862069, 0.137931034482759","4.20558707987778, 4.60912896153079","3.8806696621213, 4.83241355033282","0.00296395535537481, 0.000317627681630135","0.0336069312950571, 0.00651760906541487","0.0269989683276055, 0.00512175549142043","18619/17242/225642/56710/13983/13844, 18619/225642/18143/17242/56710/12290/13983/72585","6, 8","Ure_RT_DMXAA_vs_Ure_DMXAA, Ure_RT_DMXAA_vs_Ure"
"GO:0001776","leukocyte homeostasis","6/232, 15/865","141/28905","0.042553191, 0.106382978723404","5.301724138, 3.55491329479769","4.605893291, 5.3414492429548","0.000997743, 2.26213200905855e-05","0.02595677, 0.00074333974199763","0.022315529, 0.000584141265202604","11486/213439/20311/72049/22163/21935, 16197/53945/14728/16193/16889/14130/57916/18733/16184/20296/20311/22163/21935/213439/20371","6, 15","Ure_DMXAA_vs_Ure, Ure_RT_DMXAA_vs_Ure"
"GO:0001818","negative regulation of cytokine production","20/711, 27/865","312/28905","0.0641025641025641, 0.0865384615384615","2.60602618197555, 2.8917852378835","4.52934584161742, 5.90088689594851","0.000105215671777985, 9.45581700706895e-07","0.00293659637770095, 5.48554124891568e-05","0.00235918810606104, 4.31072203519141e-05","17082/16193/14728/83433/14130/16000/11433/93695/246730/57781/18173/19074/81799/11846/13844/23960/100043314/66889/16160/282663, 12490/17082/13388/83433/14728/16193/12523/11433/14130/20612/93695/16000/18173/79221/57781/66889/242248/22163/260315/23960/100043314/20371/246727/20186/19074/15930/16160","20, 27","Ure_RT_DMXAA_vs_Ure_DMXAA, Ure_RT_DMXAA_vs_Ure"
"GO:0001906","cell killing","18/711, 25/865","285/28905","0.0631578947368421, 0.087719298245614","2.56762158560959, 2.93124429571037","4.2234200483708, 5.75470217893318","0.000274324530346386, 1.85401204258828e-06","0.00612517438527263, 0.000100137960783015","0.00492081195325797, 7.8691763404715e-05","17110/12774/20307/14990/15945/20296/14130/13035/17329/55985/11846/16854/16160/19368/19369/19370/56554/379043, 17110/18126/14990/12774/16197/20307/14128/14130/15516/56644/20296/77777/20311/15945/16854/17329/13035/246256/14938/20301/100039863/100040048/16160/385643/58218","18, 25","Ure_RT_DMXAA_vs_Ure_DMXAA, Ure_RT_DMXAA_vs_Ure"
"GO:0001960","negative regulation of cytokine-mediated signaling pathway","7/711, 9/865","83/28905","0.0843373493975904, 0.108433734939759","3.42865131411723, 3.62344174385403","3.51866226089157, 4.20384250800019","0.00436761022637307, 0.000839436605487184","0.0438910051979063, 0.0132811872363107","0.0352609361682283, 0.0104368017439271","16193/17381/83433/246730/11846/23960/16181, 83433/17381/16193/16181/77772/23960/246727/20186/17940","7, 9","Ure_RT_DMXAA_vs_Ure_DMXAA, Ure_RT_DMXAA_vs_Ure"
