GO:0002823,negative regulation of adaptive immune response based on somatic recombination of immune receptors built from immunoglobulin superfamily domains,"7/711, 7/865",55/28905,0.127272727,"5.17414652857691, 4.2529689963216","4.92052625366104, 4.24117686234122","0.000385025729538018, 0.00121959226844494","0.00794503330051437, 0.0171582756569544","0.00638284110379064, 0.0134835476763468","17082/14728/14130/11846/12519/12269/240873, 17082/16197/14728/14130/20371/240873/12269",7,"Ure_RT_DMXAA_vs_Ure_DMXAA, Ure_RT_DMXAA_vs_Ure"
GO:0061037,negative regulation of cartilage development,"5/711, 6/865",33/28905,"0.151515151515152, 0.181818181818182","6.15969824830584, 6.07566999474514","4.70953757354932, 5.12400962147706","0.00119061096047208, 0.000391584983625793","0.0182532398658289, 0.00754122064777705","0.0146641965220486, 0.00592614375564832","13038/22402/20682/20378/108153, 13038/20378/22402/108153/239337/20682","5, 6","Ure_RT_DMXAA_vs_Ure_DMXAA, Ure_RT_DMXAA_vs_Ure"
GO:0050866,negative regulation of cell activation,"11/373, 18/711, 27/865",241/28905,"0.045643153526971, 0.0746887966804979, 0.112033195020747","3.53703847908068, 3.03639897053417, 3.7437219677164","4.52204063303994, 5.04125214107529, 7.51239210406032","0.000322855545022075, 3.28212059962089e-05, 4.63175218836477e-09","0.0246315157275379, 0.0012426393991956, 8.06096427152816e-07","0.0223056295675072, 0.000998305423573475, 6.33457570244975e-07","18782/100039795/83433/14990/240754/12578/93695/234199/217166/18784/12477, 18782/14990/100039795/14728/83433/14130/17242/13035/12578/93695/18784/11846/16854/100043314/12519/240873/329731/234199, 18782/14990/100039795/83433/14728/12523/15507/217303/12578/14130/217166/93695/57916/208154/16184/242248/18784/17242/240754/16854/234199/13035/100043314/12477/20371/240873/15930","11, 18, 27","Ure_RT_vs_Ure, Ure_RT_DMXAA_vs_Ure_DMXAA, Ure_RT_DMXAA_vs_Ure"
GO:0007162,negative regulation of cell adhesion,"26/711, 31/865",342/28905,"0.0760233918128655, 0.0906432748538012","3.09065561230784, 3.02895243890072","6.17630975496564, 6.62950394253865","4.5164297033003e-07, 5.32477437288392e-08","3.44991840845079e-05, 5.68661699504126e-06","2.77157819096341e-05, 4.46873409092746e-06","18782/21923/14990/100039795/17381/14728/17242/17390/12842/13035/11433/12578/93695/18784/11846/13844/16854/100043314/13131/386463/12519/16181/30060/240873/74591/234199, 18782/14990/100039795/18787/17381/14728/21923/15507/11433/217303/12578/93695/208154/12842/16184/13131/18784/17242/240754/16854/234199/16181/13035/100043314/12477/68396/20371/240873/15930/385643/30060","26, 31","Ure_RT_DMXAA_vs_Ure_DMXAA, Ure_RT_DMXAA_vs_Ure"
GO:0010721,negative regulation of cell development,"17/711, 25/865",326/28905,"0.0521472392638037, 0.0766871165644172","2.11999430509177, 2.56259087201674","3.22950920800611, 4.98343263802295","0.0031800531339652, 1.93602562133911e-05","0.0349315751120313, 0.000659230753237135","0.0280631540500641, 0.000518045604855651","12774/12262/14728/83433/17242/18729/100038909/16000/12578/56710/13844/18722/20378/13131/18725/240873/16870, 12774/22418/83433/18729/100038909/14728/15507/12262/12578/217166/16000/18733/20378/13131/18722/17242/18725/56710/14168/22422/12477/20371/16870/100041146/240873","17, 25","Ure_RT_DMXAA_vs_Ure_DMXAA, Ure_RT_DMXAA_vs_Ure"
GO:0022408,negative regulation of cell-cell adhesion,"18/711, 22/865",236/28905,"0.076271186440678, 0.0932203389830508","3.10072945719803, 3.11506809052611","5.14582818557194, 5.73023068224876","2.48579984807483e-05, 2.82940591158526e-06","0.0010307783370017, 0.000144084265666686","0.000828101543373702, 0.000113226241632315","18782/14990/100039795/14728/17242/13035/12578/93695/18784/11846/16854/100043314/386463/12519/16181/240873/74591/234199, 18782/14990/100039795/14728/15507/217303/12578/93695/208154/16184/18784/17242/240754/16854/234199/16181/13035/100043314/12477/20371/240873/15930","18, 22","Ure_RT_DMXAA_vs_Ure_DMXAA, Ure_RT_DMXAA_vs_Ure"
GO:0032682,negative regulation of chemokine production,"5/711, 5/865",35/28905,0.142857143,"5.80771549125979, 4.77374071015689","4.5194419915098, 3.92356372393052","0.00156401718967477, 0.00365666761363549","0.0210827580304766, 0.035300594118314","0.0169373606690215, 0.0277403891459651","16193/14728/246730/81799/23960, 14728/16193/23960/246727/20186",5,"Ure_RT_DMXAA_vs_Ure_DMXAA, Ure_RT_DMXAA_vs_Ure"
GO:0001818,negative regulation of cytokine production,"20/711, 27/865",312/28905,"0.0641025641025641, 0.0865384615384615","2.60602618197555, 2.8917852378835","4.52934584161742, 5.90088689594851","0.000105215671777985, 9.45581700706895e-07","0.00293659637770095, 5.48554124891568e-05","0.00235918810606104, 4.31072203519141e-05","17082/16193/14728/83433/14130/16000/11433/93695/246730/57781/18173/19074/81799/11846/13844/23960/100043314/66889/16160/282663, 12490/17082/13388/83433/14728/16193/12523/11433/14130/20612/93695/16000/18173/79221/57781/66889/242248/22163/260315/23960/100043314/20371/246727/20186/19074/15930/16160","20, 27","Ure_RT_DMXAA_vs_Ure_DMXAA, Ure_RT_DMXAA_vs_Ure"
GO:0001960,negative regulation of cytokine-mediated signaling pathway,"7/711, 9/865",83/28905,"0.0843373493975904, 0.108433734939759","3.42865131411723, 3.62344174385403","3.51866226089157, 4.20384250800019","0.00436761022637307, 0.000839436605487184","0.0438910051979063, 0.0132811872363107","0.0352609361682283, 0.0104368017439271","16193/17381/83433/246730/11846/23960/16181, 83433/17381/16193/16181/77772/23960/246727/20186/17940","7, 9","Ure_RT_DMXAA_vs_Ure_DMXAA, Ure_RT_DMXAA_vs_Ure"
GO:0050680,negative regulation of epithelial cell proliferation,"11/711, 14/865",169/28905,"0.0650887573964497, 0.0828402366863905","2.64611889246748, 2.76820467216199","3.40821372540247, 4.04912097166932","0.00320861804956206, 0.000589553778918637","0.0349315751120313, 0.010493610633101","0.0280631540500641, 0.00824623068758603","235505/12578/13386/333424/16682/13039/13983/20682/16160/12165/57277, 235505/22418/12578/333424/13039/106389/55948/13386/16682/57277/13983/20682/16160/12165","11, 14","Ure_RT_DMXAA_vs_Ure_DMXAA, Ure_RT_DMXAA_vs_Ure"
GO:0002921,negative regulation of humoral immune response,"4/711, 4/865",19/28905,0.210526316,"8.55873861869864, 7.0349863097049","5.23380878289711, 4.62176021348512","0.00104805006779293, 0.00215584811668757","0.0169636059300015, 0.0257114982241495","0.0136281368627506, 0.0202049564342506","14130/17174/12269/13137, 14130/17174/232345/12269",4,"Ure_RT_DMXAA_vs_Ure_DMXAA, Ure_RT_DMXAA_vs_Ure"
GO:0050777,negative regulation of immune response,"21/711, 21/865",241/28905,0.087136929,"3.54246546562319, 2.91178375266831","6.29405615384929, 5.23452060274525","6.43633552489629e-07, 1.3398389521916e-05","4.56196777620106e-05, 0.000507734131963573","3.66497084841915e-05, 0.000398994485932778","14990/17082/17381/14728/83433/14130/17174/12825/109648/15951/246730/380924/11846/16854/23960/16160/12519/12269/240873/381308/13137, 14990/17082/16197/83433/17381/14728/217303/14130/109648/15951/17174/16854/77772/232345/23960/380924/20371/246727/240873/12269/16160",21,"Ure_RT_DMXAA_vs_Ure_DMXAA, Ure_RT_DMXAA_vs_Ure"
GO:0050728,negative regulation of inflammatory response,"15/711, 17/865",172/28905,"0.0872093023255814, 0.0988372093023256","3.54540771268767, 3.30276246807367","5.31699827814769, 5.3201135628035","2.48397587748735e-05, 1.74513273633625e-05","0.0010307783370017, 0.000622667581166957","0.000828101543373702, 0.00048931303966884","83433/14130/17242/16000/11433/109648/57781/18784/81799/19695/11486/16160/27052/329731/16678, 353187/83433/11433/14130/109648/217166/16000/27052/57781/16184/18784/17242/16678/20371/20186/237310/16160","15, 17","Ure_RT_DMXAA_vs_Ure_DMXAA, Ure_RT_DMXAA_vs_Ure"
GO:0002862,negative regulation of inflammatory response to antigenic stimulus,"4/711, 4/865",18/28905,0.222222222,"9.03422409751524, 7.42581888246628","5.41457532838543, 4.78973554689931","0.000843728759398081, 0.00174292903538874","0.0145201384127243, 0.0224384206501142","0.0116651161534422, 0.0176328624546321",83433/14130/109648/16160,4,"Ure_RT_DMXAA_vs_Ure_DMXAA, Ure_RT_DMXAA_vs_Ure"
