"ID","Description","GeneRatio","BgRatio","RichFactor","FoldEnrichment","zScore","pvalue","p.adjust","qvalue","geneID","Count"
"GO:0002377","immunoglobulin production","75/676","275/28905",0.272727272727273,11.6615115653577,27.4902716011884,5.81374481991647e-58,2.48712003396027e-54,1.94362668926892e-54,"16142/108022/637227/692169/380797/14130/381778/381777/545847/626347/243439/546213/16098/692187/628268/545851/14990/435900/14728/384515/16193/434033/667899/636752/381783/385253/385109/619846/620017/243958/692165/626583/434025/545850/692152/667924/434028/235952/381784/69816/243433/243420/213684/667683/434036/236047/100503545/667865/243431/384419/434040/667914/384411/628027/667881/15043/546244/434039/243451/692245/692161/620126/384514/628541/404743/667940/434034/545848/434041/667435/434024/108005/384417/640340/108024",75
"GO:0002440","production of molecular mediator of immune response","86/676","423/28905",0.203309692671395,8.69329388560158,24.6661768486089,5.90039442413564e-55,1.26209436732261e-51,9.86297510055515e-52,"14125/16142/108022/637227/692169/380797/14130/381778/381777/11846/545847/626347/243439/546213/16098/692187/628268/545851/14990/435900/14728/384515/16193/434033/667899/16447/636752/11433/381783/385253/19074/385109/619846/620017/243958/692165/626583/434025/545850/692152/67313/667924/434028/235952/381784/69816/243433/243420/213684/18173/667683/434036/236047/100503545/667865/243431/16159/384419/434040/667914/384411/628027/667881/15043/546244/434039/243451/692245/692161/620126/384514/13137/628541/404743/667940/16160/434034/545848/434041/667435/18124/434024/108005/384417/640340/108024",86
"GO:0002460","adaptive immune response based on somatic recombination of immune receptors built from immunoglobulin superfamily domains","56/676","494/28905",0.11336032388664,4.84716000287473,13.3464277173704,1.49259093872966e-22,2.12843467862849e-19,1.66332239347558e-19,"12268/14125/12262/12260/12259/110785/17082/380797/404711/14130/11846/69169/100775175/14128/83433/238447/238418/780939/12775/14990/544896/780825/434609/777686/14728/636260/16193/12478/56620/195180/668421/780931/780932/100775173/380823/16016/11486/619994/18173/380808/619833/12902/72049/16159/15043/380809/668469/240873/12269/13137/16160/667281/12630/380795/629826/435328",56
"GO:0016064","immunoglobulin mediated immune response","44/676","302/28905",0.145695364238411,6.22976997531251,14.1378979076938,2.88752613655602e-22,3.08820920304667e-19,2.41336394992156e-19,"12268/14125/12262/12260/12259/110785/380797/404711/14130/69169/100775175/14128/83433/238447/238418/780939/14990/544896/780825/434609/777686/636260/12478/195180/668421/780931/780932/100775173/380823/16016/619994/380808/619833/12902/15043/380809/668469/12269/13137/16160/12630/380795/629826/435328",44
"GO:0019724","B cell mediated immunity","44/676","305/28905",0.144262295081967,6.16849354932583,14.0422097895388,4.32383622259851e-22,3.69947427205529e-19,2.89105344062587e-19,"12268/14125/12262/12260/12259/110785/380797/404711/14130/69169/100775175/14128/83433/238447/238418/780939/14990/544896/780825/434609/777686/636260/12478/195180/668421/780931/780932/100775173/380823/16016/619994/380808/619833/12902/15043/380809/668469/12269/13137/16160/12630/380795/629826/435328",44
"GO:0002449","lymphocyte mediated immunity","53/676","482/28905",0.109958506224066,4.70170210415183,12.6822001460255,8.61427888629166e-21,6.14198084592595e-18,4.79981574436181e-18,"12268/14125/12262/12260/12259/110785/380797/404711/14130/11846/69169/100775175/14128/83433/238447/238418/780939/14990/544896/780825/434609/777686/14728/636260/16193/12478/195180/668421/780931/780932/100775173/380823/16016/72310/619994/18173/380808/619833/12902/16159/243655/15043/380809/668469/12269/13137/16160/667281/54698/12630/380795/629826/435328",53
"GO:0006959","humoral immune response","35/676","339/28905",0.103244837758112,4.41463318845892,9.78641809399394,2.51128479952147e-13,1.53475376747898e-10,1.19937451477897e-10,"12268/12262/12260/12259/19695/625018/20307/16069/404711/14130/69169/14128/18778/83433/238447/12775/13035/14990/16447/15945/109648/100034251/17174/16016/12902/17329/15043/209232/12269/330122/13137/14161/12630/380795/385643",35
"GO:0007159","leukocyte cell-cell adhesion","39/676","445/28905",0.0876404494382022,3.74740708729473,9.03837065231243,1.98710325112007e-12,1.06260346353646e-09,8.30399990204913e-10,"18782/20296/11519/20339/11846/20343/15505/16000/12775/13035/15002/14990/12578/100039795/17242/14728/20344/16193/13655/93695/11486/15507/15117/15930/72049/16159/68891/15043/100043314/76747/240873/234199/18784/13137/16160/547431/54698/18124/20533",39
"GO:0002455","humoral immune response mediated by circulating immunoglobulin","15/676","59/28905",0.254237288135593,10.8709006117741,11.7447712005358,4.52196471238736e-12,2.14944055995479e-09,1.67973800310436e-09,"12262/12260/12259/404711/14130/69169/14128/83433/238447/16016/12902/12269/13137/12630/380795",15
"GO:1903037","regulation of leukocyte cell-cell adhesion","36/676","405/28905",0.0888888888888889,3.80078895463511,8.78395378258978,9.50530426573577e-12,4.06636916488176e-09,3.17777329978703e-09,"18782/20296/20339/11846/15505/16000/12775/13035/15002/14990/12578/100039795/17242/14728/20344/16193/13655/93695/11486/15507/15117/15930/72049/16159/15043/100043314/76747/240873/234199/18784/13137/16160/547431/54698/18124/20533",36
"GO:0006956","complement activation","15/676","67/28905",0.223880597014925,9.57288262827872,10.8714202871281,3.29670300043868e-11,1.28211776689788e-08,1.00194533295629e-08,"12268/12262/12260/12259/625018/404711/83433/238447/17174/16016/12902/12269/13137/12630/380795",15
"GO:0006958","complement activation, classical pathway","12/676","42/28905",0.285714285714286,12.2168216398986,11.2571460345931,1.41502163890802e-10,5.0445521427071e-08,3.94220063611568e-08,"12262/12260/12259/404711/83433/238447/16016/12902/12269/13137/12630/380795",12
"GO:0050863","regulation of T cell activation","34/676","408/28905",0.0833333333333333,3.56323964497041,8.06908512913436,2.04073278528574e-10,6.71558065804029e-08,5.2480707093664e-08,"18782/20296/11846/15505/16000/12775/13035/15002/14990/12578/100039795/17242/14728/16193/13655/93695/11486/15507/93675/15930/72049/16159/15043/232174/100043314/76747/240873/234199/18784/13137/16160/547431/54698/20533",34
"GO:0003009","skeletal muscle contraction","12/676","44/28905",0.272727272727273,11.6615115653577,10.9520144613873,2.58587342477252e-10,7.90169036512632e-08,6.17498796772747e-08,"140781/21925/17885/217154/21953/11937/21957/12372/11474/110880/237611/74492",12
"GO:0050670","regulation of lymphocyte proliferation","27/676","280/28905",0.0964285714285714,4.12317730346577,8.12657379308437,6.38666499058082e-10,1.82147685531365e-07,1.42344196561998e-07,"18782/380797/14130/11846/12575/16000/12775/14990/12578/14728/16193/93695/243958/11486/69816/93675/15930/72049/16159/15043/240873/18784/13137/16160/547431/54698/20533",27
"GO:0032944","regulation of mononuclear cell proliferation","27/676","285/28905",0.0947368421052632,4.05084085954531,8.00961691133333,9.45054002493496e-10,2.52683813916699e-07,1.97466546836799e-07,"18782/380797/14130/11846/12575/16000/12775/14990/12578/14728/16193/93695/243958/11486/69816/93675/15930/72049/16159/15043/240873/18784/13137/16160/547431/54698/20533",27
"GO:0006936","muscle contraction","28/676","324/28905",0.0864197530864197,3.69521148367302,7.54972649952452,3.65856073025394e-09,8.83456346761504e-07,6.90400668614094e-07,"140781/17897/17879/21925/17885/217154/17907/21953/17884/11937/544791/21957/243547/11486/12372/11474/17882/20190/109272/12292/18167/110880/320502/17901/237611/13489/18125/74492",28
"GO:0050727","regulation of inflammatory response","32/676","411/28905",0.0778588807785888,3.32915820843951,7.35949077749076,3.71720763013256e-09,8.83456346761504e-07,6.90400668614094e-07,"17228/18782/14125/21923/19695/17082/14130/83433/16000/12775/14990/17242/16193/11433/109648/243958/57781/20302/16016/11486/72310/74603/11542/75697/15930/15043/329731/20617/240873/18784/16160/237625",32
