"ID","Description","GeneRatio","BgRatio","RichFactor","FoldEnrichment","zScore","pvalue","p.adjust","qvalue","geneID","Count"
"GO:0002377","immunoglobulin production","66/425","275/28905",0.24,16.3228235294118,31.1887464397538,1.6224258412116e-60,5.8326208991557e-57,4.9390058239831e-57,"381777/108022/16142/545847/692169/385253/381778/637227/628268/16098/667899/692187/434033/667683/434028/619846/404743/626347/545851/546213/381782/243420/69816/108005/381784/232065/385109/381783/692152/667914/384419/692165/235952/236047/434025/667435/620017/384514/14990/667924/667550/628027/381776/692161/434041/243431/667940/384515/667865/434024/16193/626583/100503545/434040/243433/243439/545850/108004/434036/636752/692245/667881/628541/545848/384411/619806",66
"GO:0002440","production of molecular mediator of immune response","72/425","423/28905",0.170212765957447,11.5764705882353,26.7688155660165,9.58090030269174e-55,1.72216682940884e-51,1.45831387765182e-51,"381777/108022/16142/14125/545847/692169/385253/381778/637227/628268/16098/667899/692187/434033/667683/434028/619846/404743/626347/545851/546213/19074/381782/243420/69816/108005/381784/232065/385109/11846/381783/692152/667914/384419/16447/692165/235952/236047/434025/667435/620017/384514/14990/667924/667550/67313/628027/381776/692161/434041/243431/667940/384515/667865/434024/16193/626583/100503545/434040/243433/243439/545850/16160/108004/434036/636752/692245/667881/628541/545848/384411/619806",72
"GO:0002460","adaptive immune response based on somatic recombination of immune receptors built from immunoglobulin superfamily domains","44/425","494/28905",0.0890688259109312,6.05772803048345,13.8509363491992,1.16605244682503e-21,1.39731951544533e-18,1.18323637762035e-18,"404711/14125/777686/100775175/110785/12262/238447/110786/12260/544896/780825/668469/195180/434609/16016/17082/619833/619994/636260/668421/11846/780932/780956/238418/83433/14990/11486/380823/380808/780939/780931/213570/100775173/380809/16193/380795/16160/668549/19368/19369/19370/56554/629826/379043",44
"GO:0016064","immunoglobulin mediated immune response","35/425","302/28905",0.115894039735099,7.88215816127776,14.6867524352398,3.9942178565627e-21,3.58980329858572e-18,3.03981001083666e-18,"404711/14125/777686/100775175/110785/12262/238447/110786/12260/544896/780825/668469/195180/434609/16016/619833/619994/636260/668421/780932/780956/238418/83433/14990/380823/380808/780939/780931/213570/100775173/380809/380795/16160/668549/629826",35
"GO:0019724","B cell mediated immunity","35/425","305/28905",0.114754098360656,7.8046287367406,14.5940148838739,5.53946773836352e-21,3.98287730388337e-18,3.37266119986259e-18,"404711/14125/777686/100775175/110785/12262/238447/110786/12260/544896/780825/668469/195180/434609/16016/619833/619994/636260/668421/780932/780956/238418/83433/14990/380823/380808/780939/780931/213570/100775173/380809/380795/16160/668549/629826",35
"GO:0002449","lymphocyte mediated immunity","42/425","482/28905",0.0871369294605809,5.9263363436661,13.3234307265142,2.33545576845741e-20,1.39932724793407e-17,1.1849365056805e-17,"404711/14125/777686/100775175/110785/12262/238447/110786/12260/544896/780825/668469/195180/434609/16016/619833/619994/636260/668421/11846/780932/780956/238418/83433/14990/380823/380808/780939/780931/213570/100775173/380809/16193/380795/16160/668549/19368/19369/19370/56554/629826/379043",42
"GO:0030216","keratinocyte differentiation","17/425","162/28905",0.104938271604938,7.13703703703704,9.56871569201668,3.12935749514301e-10,1.6071485992913e-07,1.36091757533137e-07,"16939/16682/12575/21818/20766/19695/16447/72383/386463/12578/235505/332131/110308/16664/74591/20753/18612",17
"GO:1990868","response to chemokine","12/425","80/28905",0.15,10.2017647058824,10.0678075734204,2.13929732652306e-09,8.5453043209449e-07,7.23607937813415e-07,"20307/16948/17329/20296/55985/15945/83433/53416/20306/20302/12777/330122",12
"GO:1990869","cellular response to chemokine","12/425","80/28905",0.15,10.2017647058824,10.0678075734204,2.13929732652306e-09,8.5453043209449e-07,7.23607937813415e-07,"20307/16948/17329/20296/55985/15945/83433/53416/20306/20302/12777/330122",12
"GO:0006936","muscle contraction","22/425","324/28905",0.0679012345679012,4.61808278867102,8.0004744404201,3.52881578425096e-09,1.26860927443822e-06,1.07424581558461e-06,"17885/17879/17907/17897/21925/21953/17884/11937/544791/17882/20190/21957/11486/109272/11474/12372/233199/17901/12292/320502/13489/237611",22
"GO:0070098","chemokine-mediated signaling pathway","11/425","70/28905",0.157142857142857,10.6875630252101,9.91304391021246,6.06488474136476e-09,1.98211460410967e-06,1.67843508823224e-06,"20307/17329/20296/55985/15945/83433/53416/20306/20302/12777/330122",11
"GO:0006959","humoral immune response","22/425","339/28905",0.0648967551622419,4.41374284226965,7.72341520020441,8.06805238798378e-09,2.41705402790014e-06,2.04673750053062e-06,"404711/16069/20307/12262/238447/625018/12260/17329/16016/19695/55985/15945/16447/83433/14990/17174/109648/13035/209232/380795/330122/100034251",22
"GO:0043588","skin development","22/425","342/28905",0.064327485380117,4.3750257997936,7.66993506196519,9.46550053229498e-09,2.61757495489234e-06,2.21653664286616e-06,"16939/16682/12575/21818/67855/11686/20766/19695/16447/20190/72383/386463/16323/12578/20682/235505/332131/110308/16664/74591/20753/18612",22
"GO:0042692","muscle cell differentiation","26/425","476/28905",0.0546218487394958,3.71492832427089,7.2959945326465,1.2719130878831e-08,3.2660911078141e-06,2.76569372192325e-06,"20307/23886/16948/17329/59011/15945/17996/20190/21957/109272/20682/11474/11459/16000/66211/12335/17306/228003/12372/13874/244723/233199/12292/320502/16772/237611",26
"GO:0031424","keratinization","10/425","60/28905",0.166666666666667,11.3352941176471,9.78963817291682,1.66353139937089e-08,3.98693025382556e-06,3.37609319788113e-06,"16939/16682/21818/20766/72383/386463/332131/110308/74591/20753",10
"GO:0008544","epidermis development","23/425","397/28905",0.0579345088161209,3.94022818195288,7.20603489923116,3.05561427418516e-08,6.86558332230978e-06,5.81370821114703e-06,"16939/16682/12575/21818/64661/11686/20766/19695/16447/72383/386463/16323/12578/20682/317653/235505/332131/237523/110308/16664/74591/20753/18612",23
"GO:0019730","antimicrobial humoral response","17/425","222/28905",0.0765765765765766,5.20810810810811,7.68872868548931,3.77951442433752e-08,7.99256138558433e-06,6.76802211466507e-06,"404711/16069/20307/238447/17329/16016/19695/55985/15945/16447/14990/109648/13035/209232/380795/330122/100034251",17
"GO:0009913","epidermal cell differentiation","18/425","251/28905",0.0717131474103586,4.87733770799156,7.53670138227286,4.12665427922202e-08,8.24184562989064e-06,6.97911355292987e-06,"16939/16682/12575/21818/20766/19695/16447/72383/386463/12578/235505/332131/237523/110308/16664/74591/20753/18612",18
"GO:0003012","muscle system process","24/425","449/28905",0.0534521158129176,3.63537272369972,6.87514303398489,6.97123596514757e-08,1.31903122603713e-05,1.11694262665966e-05,"17885/17879/17907/17897/21925/21953/59011/17884/11937/544791/17882/20190/21957/11486/109272/11474/16000/12372/233199/17901/12292/320502/13489/237611",24
"GO:0042742","defense response to bacterium","23/425","430/28905",0.0534883720930233,3.63783857729138,6.73215371398853,1.29426056647326e-07,2.26276407395101e-05,1.91608628998355e-05,"404711/16069/17110/238447/19074/16016/19695/55985/16447/57911/83433/14990/109648/13035/17474/93726/209232/380795/16160/19368/19369/19370/100034251",23
"GO:0055001","muscle cell development","17/425","242/28905",0.0702479338842975,4.77768595041322,7.20901881410773,1.3217815174679e-07,2.26276407395101e-05,1.91608628998355e-05,"16948/59011/17996/20190/21957/109272/11474/11459/16000/12335/17306/228003/12372/233199/12292/320502/237611",17
"GO:0030239","myofibril assembly","10/425","78/28905",0.128205128205128,8.71945701357466,8.33945706823006,2.194113390047e-07,3.56547756234673e-05,3.01921121742383e-05,"59011/17996/21957/109272/11459/12335/228003/12372/233199/320502",10
"GO:0003009","skeletal muscle contraction","8/425","44/28905",0.181818181818182,12.3657754010695,9.21665152346341,2.28111220956814e-07,3.56547756234673e-05,3.01921121742383e-05,"17885/21925/21953/11937/21957/11474/12372/237611",8
