"ID","Description","GeneRatio","BgRatio","RichFactor","FoldEnrichment","zScore","pvalue","p.adjust","qvalue","geneID","Count"
"GO:0002377","immunoglobulin production","11/61","275/28905",0.04,18.9540983606557,13.7573701176848,1.29886070604933e-11,1.43913766230266e-08,1.1129185418149e-08,"380797/620126/677858/626583/108004/620400/628144/381782/232065/236047/384411",11
"GO:0002440","production of molecular mediator of immune response","11/61","423/28905",0.0260047281323877,12.3224043715847,10.7879705528564,1.25588179289041e-09,5.3881105959247e-07,4.16675092635636e-07,"380797/620126/677858/626583/108004/620400/628144/381782/232065/236047/384411",11
"GO:0042026","protein refolding","5/61","24/28905",0.208333333333333,98.719262295082,22.023981605199,1.45887471008791e-09,5.3881105959247e-07,4.16675092635636e-07,"15511/193740/15502/15507/15519",5
"GO:0006457","protein folding","8/61","172/28905",0.0465116279069767,22.0396492565764,12.727068481632,3.00513607943437e-09,8.3242269400332e-07,6.43731781226205e-07,"15511/193740/81489/15502/15505/268390/15507/15519",8
"GO:0009408","response to heat","6/61","90/28905",0.0666666666666667,31.5901639344262,13.3662597153568,3.72290198922173e-08,8.24995080811534e-06,6.37987835626628e-06,"15511/193740/81489/15502/15507/15519",6
"GO:0009266","response to temperature stimulus","7/61","167/28905",0.0419161676646707,19.8620791204476,11.2417953753127,6.35615821447199e-08,1.17377055027249e-05,9.07703997645649e-06,"15511/193740/81489/15502/15507/15519/22227",7
"GO:0061077","chaperone-mediated protein folding","5/61","66/28905",0.0757575757575758,35.897913561848,13.0526135561854,2.86627968642002e-07,4.53691127507626e-05,3.50849874397879e-05,"15511/193740/81489/15505/15507",5
"GO:0051085","chaperone cofactor-dependent protein refolding","4/61","33/28905",0.121212121212121,57.4366616989568,14.9174984200755,7.01484382508935e-07,9.71555869774875e-05,7.51326693897728e-05,"15511/193740/81489/15505",4
"GO:0051084","'de novo' post-translational protein folding","4/61","38/28905",0.105263157894737,49.8792062122519,13.8653636685906,1.25545785298365e-06,0.000154560811233987,0.000119525461091075,"15511/193740/81489/15505",4
"GO:0006458","'de novo' protein folding","4/61","39/28905",0.102564102564103,48.6002522068096,13.6793166268478,1.39673432088998e-06,0.000154758162754609,0.000119678077600467,"15511/193740/81489/15505",4
"GO:0035914","skeletal muscle cell differentiation","5/61","103/28905",0.0485436893203883,23.0025465541939,10.2871811195797,2.64490615143056e-06,0.000266414183253188,0.000206024268637749,"13653/18507/15370/14281/11865",5
"GO:0062197","cellular response to chemical stress","7/61","313/28905",0.0223642172523962,10.5973393390248,7.85085398619502,4.31655824198173e-06,0.000398562211009646,0.000308217404295888,"15502/15507/14281/11865/17751/22227/14080",7
