"ID","Description","GeneRatio","BgRatio","RichFactor","FoldEnrichment","zScore","pvalue","p.adjust","qvalue","geneID","Count"
"GO:0002377","immunoglobulin production","76/711","275/28905",0.276363636363636,11.2352896049099,27.0826548678773,1.48846709566886e-57,6.48078573454221e-54,5.20650121990275e-54,"108022/14990/637227/381777/16193/545847/14728/16098/14130/667683/236047/667899/16142/545851/667865/434036/381778/692152/692169/636752/243451/243433/667924/619846/385109/434028/243420/69816/381784/692165/434025/546213/404743/385253/628027/108004/435900/13844/628268/667914/677858/692187/232065/235952/626347/243439/620017/384515/667881/620400/108024/667550/381783/381782/108005/667435/667940/434033/692161/628144/545850/381831/100503545/546244/434041/243431/384514/640340/384419/620050/434040/619806/213684/434034/692154/434039",76
"GO:0002440","production of molecular mediator of immune response","86/711","423/28905",0.203309692671395,8.26535396155649,23.9043614586774,3.99954034761471e-53,8.70699933675722e-50,6.99498556585456e-50,"14125/108022/14990/637227/21687/381777/16193/545847/14728/16098/14130/667683/236047/667899/16142/11433/545851/667865/434036/381778/692152/692169/636752/243451/16447/18173/243433/667924/619846/385109/434028/243420/19074/69816/381784/692165/434025/546213/404743/385253/628027/11846/108004/435900/13844/628268/67313/667914/677858/692187/232065/235952/626347/16160/243439/620017/384515/667881/620400/108024/667550/381783/381782/108005/667435/667940/434033/692161/628144/545850/381831/100503545/546244/434041/243431/384514/640340/384419/620050/434040/13137/619806/213684/434034/692154/434039",86
"GO:0002460","adaptive immune response based on somatic recombination of immune receptors built from immunoglobulin superfamily domains","55/711","494/28905",0.111336032388664,4.52625600027332,12.5536344859666,9.00883444638005e-21,1.30748217265129e-17,1.05039848650249e-17,"12268/14125/12267/12259/12262/12260/14990/17082/16193/544896/404711/14728/777686/83433/14130/780825/238447/100775175/619994/380808/110786/18173/12984/780939/380809/434609/110785/11846/13844/668469/380823/16016/11486/100775173/16160/195180/780932/12519/668421/213570/12269/780931/240873/238418/19368/19369/19370/56554/636260/780793/629826/619833/13137/780956/379043",55
"GO:0016064","immunoglobulin mediated immune response","40/711","302/28905",0.132450331125828,5.38463687931372,12.1637290557197,4.5708494642336e-18,4.97536964181827e-15,3.99708757096007e-15,"12268/14125/12259/12262/12260/14990/544896/404711/777686/83433/14130/780825/238447/100775175/619994/380808/110786/12984/780939/380809/434609/110785/668469/380823/16016/100775173/16160/195180/780932/668421/213570/12269/780931/238418/636260/780793/629826/619833/13137/780956",40
"GO:0019724","B cell mediated immunity","40/711","305/28905",0.131147540983607,5.33167323787784,12.0769708485415,6.51296135137856e-18,5.67148674478045e-15,4.55633064644862e-15,"12268/14125/12259/12262/12260/14990/544896/404711/777686/83433/14130/780825/238447/100775175/619994/380808/110786/12984/780939/380809/434609/110785/668469/380823/16016/100775173/16160/195180/780932/668421/213570/12269/780931/238418/636260/780793/629826/619833/13137/780956",40
"GO:0002449","lymphocyte mediated immunity","50/711","482/28905",0.103734439834025,4.21722079240856,11.3111003490344,1.09360436520621e-17,7.93592234351307e-15,6.37552158873726e-15,"12268/14125/12259/12262/12260/14990/16193/544896/404711/14728/777686/83433/14130/780825/238447/100775175/619994/380808/110786/18173/12984/780939/380809/434609/110785/11846/668469/380823/16016/100775173/16160/195180/780932/12519/668421/213570/12269/780931/238418/19368/19369/19370/56554/636260/780793/629826/619833/13137/780956/379043",50
"GO:0050900","leukocyte migration","38/711","402/28905",0.0945273631840796,3.84291622058484,9.11522154241026,1.74680408912852e-12,1.08651214343794e-09,8.72876689950987e-10,"12267/20307/114332/67133/11519/83433/20339/20344/15945/20296/84094/17242/19204/17390/13035/13123/17329/16414/55985/57781/20306/20308/19218/12061/16854/20750/53416/11486/20302/20293/14525/12642/21336/20305/68891/240873/330122/26887",38
"GO:1990868","response to chemokine","17/711","80/28905",0.2125,8.63897679324895,10.865030583214,8.76776408716561e-12,4.24164942616879e-09,3.40763509492998e-09,"20307/83433/15945/20296/17329/16948/55985/13349/20306/20308/53416/20302/20293/21832/12777/20305/330122",17
"GO:1990869","cellular response to chemokine","17/711","80/28905",0.2125,8.63897679324895,10.865030583214,8.76776408716561e-12,4.24164942616879e-09,3.40763509492998e-09,"20307/83433/15945/20296/17329/16948/55985/13349/20306/20308/53416/20302/20293/21832/12777/20305/330122",17
"GO:0070098","chemokine-mediated signaling pathway","16/711","70/28905",0.228571428571429,9.29234478601567,11.030668175227,1.09750475158831e-11,4.77853568841552e-09,3.83895609423997e-09,"20307/83433/15945/20296/17329/55985/13349/20306/20308/53416/20302/20293/21832/12777/20305/330122",16
