"ID","Description","GeneRatio","BgRatio","RichFactor","FoldEnrichment","zScore","pvalue","p.adjust","qvalue","geneID","Count"
"GO:0002377","immunoglobulin production","81/865","275/28905",0.294545454545455,9.84258539148713,25.878134079161,5.55558149582158e-57,2.61056774488656e-53,2.05147156708864e-53,"14990/16197/545847/14728/16019/667683/16193/14130/236047/16098/667865/381783/16142/667550/667924/108022/435900/381777/404743/69816/667881/620400/667914/626347/380797/434025/637227/108024/667899/619846/385109/667940/545851/692161/434040/677858/22163/692165/385253/434036/692169/692187/243433/240754/243420/384514/628144/381778/434041/26909/232065/628571/667435/640340/384515/628027/619806/692152/108004/235952/620050/108005/243451/546244/20371/243431/434028/636752/381784/381776/692245/545848/381831/546213/620126/620017/434039/628072/100503545/545850/628541",81
"GO:0002440","production of molecular mediator of immune response","93/865","423/28905",0.219858156028369,7.34682080924855,23.096129341425,4.68393717557675e-53,1.10049103940176e-49,8.64802716417012e-50,"14990/21687/16197/22418/545847/14728/14125/16019/667683/16193/11433/14130/236047/16098/667865/381783/16142/667550/667924/108022/16447/435900/18173/381777/404743/69816/667881/620400/667914/100689/626347/380797/434025/637227/56644/108024/667899/619846/385109/667940/545851/692161/434040/677858/22163/692165/385253/434036/692169/692187/243433/240754/243420/384514/628144/381778/434041/26909/232065/628571/667435/640340/384515/628027/246256/619806/692152/108004/235952/620050/108005/243451/546244/20371/243431/434028/636752/381784/381776/19074/692245/545848/381831/546213/620126/620017/434039/628072/16160/100503545/58218/545850/628541",93
"GO:0019724","B cell mediated immunity","51/865","305/28905",0.167213114754098,5.58762437221643,14.1466229287849,1.33063977925231e-23,2.08422544090221e-20,1.63785415635688e-20,"777686/12268/14990/544896/83433/404711/14125/12259/16019/110786/14128/12260/12262/14130/238447/12984/18733/780939/110787/619994/380797/780825/380823/629826/238418/668421/780931/110785/16016/100775175/26909/619833/100775173/246256/12478/16199/20371/195180/668549/434609/213570/12630/780799/12269/668469/380808/380809/16160/780793/636260/435328",51
"GO:0016064","immunoglobulin mediated immune response","50/865","302/28905",0.165562913907285,5.53248095547985,13.9069434842791,5.78380791054978e-23,6.79452834291836e-20,5.33936793426543e-20,"777686/12268/14990/544896/83433/404711/14125/12259/16019/110786/14128/12260/12262/14130/238447/12984/780939/110787/619994/380797/780825/380823/629826/238418/668421/780931/110785/16016/100775175/26909/619833/100775173/246256/12478/16199/20371/195180/668549/434609/213570/12630/780799/12269/668469/380808/380809/16160/780793/636260/435328",50
"GO:0002460","adaptive immune response based on somatic recombination of immune receptors built from immunoglobulin superfamily domains","62/865","494/28905",0.125506072874494,4.19393414617023,12.5760482574878,1.27531355969937e-21,1.19853968340547e-18,9.41852624721138e-19,"777686/12268/12267/14990/544896/17082/16197/83433/404711/14728/14125/12259/16019/110786/14128/16193/12260/12262/14130/17085/238447/12984/18733/780939/18173/110787/619994/380797/56644/780825/77777/380823/629826/238418/668421/56620/780931/110785/16016/100775175/26909/619833/100775173/246256/12478/16199/20371/195180/668549/434609/213570/12630/780799/240873/12269/668469/380808/380809/16160/780793/636260/435328",62
"GO:0002449","lymphocyte mediated immunity","56/865","482/28905",0.116182572614108,3.88237833689108,11.2082438248141,4.47256198212356e-18,3.50276145899977e-15,2.75258726899815e-15,"777686/12268/14990/544896/16197/83433/404711/14728/14125/12259/16019/110786/14128/16193/12260/12262/14130/238447/12984/18733/780939/18173/110787/619994/380797/780825/77777/380823/629826/238418/668421/780931/110785/16016/100775175/26909/619833/100775173/246256/12478/16199/20371/195180/668549/434609/213570/12630/780799/12269/668469/380808/380809/16160/780793/636260/435328",56
"GO:0006959","humoral immune response","40/865","339/28905",0.117994100294985,3.94291268095555,9.5730545332442,1.70408380249163e-13,1.14392711255831e-10,8.98936237464755e-11,"12268/14990/83433/404711/625018/12259/16019/20307/14128/12260/12262/16069/14130/109648/192200/238447/16447/17174/100689/100034251/20311/15945/16016/16854/66107/17329/26909/232345/13035/16678/12945/12630/330122/12269/209232/20301/100039863/100040048/385643/20202",40
"GO:0045055","regulated exocytosis","34/865","266/28905",0.12781954887218,4.27124168803512,9.41396434482848,1.16866550592548e-12,6.86444901542976e-10,5.39431394050864e-10,"20965/243978/233231/21990/18751/14126/19894/18166/14125/225642/243979/12523/12286/19204/16414/217303/109648/56807/56743/18442/110058/214084/12290/58226/246256/208898/20964/27062/68891/239556/328778/12287/116837/57394",34
"GO:0050900","leukocyte migration","42/865","402/28905",0.104477611940299,3.49124320593564,8.8344982858707,2.53934326049754e-12,1.32581933123088e-09,1.04187323483338e-09,"114332/12490/12267/11519/67133/18787/22418/13123/83433/84094/20307/19204/16414/217303/68279/20344/20750/57781/20339/12061/17242/118453/20308/20296/20305/12642/20311/15945/19218/16854/17329/227288/13035/330122/68891/240873/20293/58218/26887/12771/20202/20306",42
"GO:0019221","cytokine-mediated signaling pathway","44/865","471/28905",0.0934182590233546,3.12168182320239,8.15398208835353,3.27313849977387e-11,1.53804778104374e-08,1.20864945865334e-08,"17082/16197/245527/22418/83433/100038909/84094/17381/14728/20307/16193/13349/12984/18733/16184/20308/20296/20305/18725/20311/18413/15945/21935/13653/12804/17329/16181/231655/77772/12777/23960/16199/13874/100041146/246727/20186/330122/214593/240873/237310/16160/20293/17940/20306",44
"GO:0097530","granulocyte migration","25/865","169/28905",0.14792899408284,4.94322262886069,9.02982878274973,4.75069337378181e-11,2.02940983303643e-08,1.59477821581116e-08,"12267/67133/20307/16414/217303/68279/20750/17242/20308/20296/20305/20311/15945/19218/16854/17329/227288/330122/68891/240873/20293/58218/12771/20202/20306",25
"GO:0007159","leukocyte cell-cell adhesion","42/865","445/28905",0.0943820224719101,3.1538871208677,8.04236020142301,6.67436884209488e-11,2.61357159908365e-08,2.05383209632183e-08,"18782/14990/11519/100039795/16197/14728/15519/16193/15505/19204/15507/13655/16414/217303/12578/93695/16000/20344/208154/16184/20339/18784/17242/108078/20296/381091/240754/16854/234199/13035/100043314/12477/76905/20371/21950/68891/240873/15930/20533/16160/26887/20202",42
"GO:0050727","regulation of inflammatory response","40/865","411/28905",0.097323600973236,3.25218345217501,8.07692383468387,7.54967625172747e-11,2.72891759283595e-08,2.14447484138137e-08,"18782/353187/14990/17228/17082/12774/18787/22418/83433/14125/21923/16193/11433/14130/109648/217166/16000/22402/27052/57781/16184/18784/17242/239849/637515/74603/207728/18413/19218/16016/16678/20371/239337/20186/240873/237310/50905/15930/16160/20202",40
