"ID","Description","GeneRatio","BgRatio","RichFactor","FoldEnrichment","zScore","pvalue","p.adjust","qvalue","geneID","Count"
"GO:0002377","immunoglobulin production","79/573","275/28905",0.287272727272727,14.4914802475012,31.9692864853137,9.1920344863682e-69,3.69795547386593e-65,3.04304720627663e-65,"16142/626347/381783/435900/14990/16197/692187/545847/14130/620126/692169/16098/14728/434040/384515/667924/381778/667881/434025/69816/385253/545851/667683/628571/385109/545848/619846/667914/16193/108022/546213/692161/692165/626583/637227/384514/381777/384411/667940/243439/243431/667865/692245/667550/16019/667899/434039/57765/236047/235952/434041/404743/546244/628072/620017/434033/628268/545850/243433/108024/243420/213684/640340/22163/100503545/26909/667435/628541/384419/628027/434036/636752/381784/692152/434028/619806/620400/620050/108005",79
"GO:0002440","production of molecular mediator of immune response","85/573","423/28905",0.200945626477541,10.1367073880163,26.9210706496983,6.69191744789343e-60,1.34607919464376e-56,1.1076884407171e-56,"16142/626347/381783/14125/435900/14990/16197/692187/545847/14130/620126/692169/16098/11433/14728/434040/16447/384515/667924/381778/667881/434025/69816/385253/545851/667683/628571/385109/545848/619846/667914/16193/108022/546213/18173/692161/692165/626583/637227/384514/381777/384411/667940/243439/243431/667865/692245/667550/16019/667899/434039/57765/236047/235952/434041/404743/546244/628072/620017/434033/628268/545850/243433/108024/243420/213684/640340/22163/100503545/26909/667435/628541/384419/628027/19074/434036/636752/381784/692152/434028/619806/58218/620400/620050/108005",85
"GO:0002460","adaptive immune response based on somatic recombination of immune receptors built from immunoglobulin superfamily domains","47/573","494/28905",0.0951417004048583,4.79942556754351,12.1131145436384,6.86109481070593e-19,9.20072814115665e-16,7.57127830865619e-16,"777686/12268/110785/17082/238418/83433/404711/544896/14125/14990/16197/780939/14130/12260/668421/780931/14728/238447/56620/12984/619833/12267/380823/77777/636260/18646/110786/16193/18173/16016/195180/629826/100775175/100775173/434609/780825/16019/57765/619994/435328/668549/12630/16199/26909/240873/12269/380795",47
"GO:0016064","immunoglobulin mediated immune response","37/573","302/28905",0.122516556291391,6.1803508893589,12.8698808043205,1.01701262877967e-18,1.02286045139515e-15,8.41711767766333e-16,"777686/12268/110785/238418/83433/404711/544896/14125/14990/780939/14130/12260/668421/780931/238447/12984/619833/380823/636260/110786/16016/195180/629826/100775175/100775173/434609/780825/16019/57765/619994/435328/668549/12630/16199/26909/12269/380795",37
"GO:0019724","B cell mediated immunity","37/573","305/28905",0.121311475409836,6.11956055274225,12.7825428097812,1.42076565335489e-18,1.14314804468935e-15,9.40696416800239e-16,"777686/12268/110785/238418/83433/404711/544896/14125/14990/780939/14130/12260/668421/780931/238447/12984/619833/380823/636260/110786/16016/195180/629826/100775175/100775173/434609/780825/16019/57765/619994/435328/668549/12630/16199/26909/12269/380795",37
"GO:0002449","lymphocyte mediated immunity","44/573","482/28905",0.0912863070539419,4.60494014903,11.3502202494305,4.43115251748715e-17,2.97108776297513e-14,2.444907836403e-14,"777686/12268/110785/238418/83433/404711/544896/14125/14990/16197/780939/14130/12260/668421/780931/14728/238447/12984/619833/380823/77777/636260/18646/110786/16193/18173/16016/195180/629826/100775175/100775173/434609/780825/16019/57765/243655/619994/435328/668549/12630/16199/26909/12269/380795",44
"GO:0006959","humoral immune response","30/573","339/28905",0.0884955752212389,4.46416160867349,9.12411911256454,1.06048793622515e-11,6.09477566776256e-09,5.01539031492949e-09,"12268/83433/404711/625018/14990/14130/12260/16069/20307/16447/238447/109648/19695/192200/16016/232345/16019/100034251/12630/13035/385643/26909/330122/20311/16678/20202/12269/12945/14161/380795",30
"GO:0006956","complement activation","13/573","67/28905",0.194029850746269,9.78784090021099,10.2412905377343,6.08337262039922e-10,2.88464867596603e-07,2.37377711995844e-07,"12268/83433/404711/625018/12260/238447/16016/232345/16019/12630/16678/12269/380795",13
"GO:0007599","hemostasis","20/573","181/28905",0.110497237569061,5.57403604176911,8.77877826002925,6.45335274265332e-10,2.88464867596603e-07,2.37377711995844e-07,"18787/21990/19124/14069/100503895/26570/14065/14728/20344/16193/234199/13035/21789/385643/217847/20533/20202/11552/15378/14161",20
"GO:0050727","regulation of inflammatory response","30/573","411/28905",0.072992700729927,3.68211869912485,7.7882496386384,1.152722115303e-09,4.63740106986396e-07,3.81611689750308e-07,"18782/17228/353187/18787/17082/83433/14125/14990/14130/21923/16000/11433/109648/15930/217166/19695/57781/16193/16016/27052/74603/11542/207728/75697/18784/20302/16678/240873/20202/20186",30
"GO:0042060","wound healing","28/573","373/28905",0.0750670241286863,3.78675799727692,7.7038041436618,2.23264902493022e-09,8.16540638844934e-07,6.71931213723018e-07,"235505/18787/19124/17381/14069/100503895/20296/16000/26570/14065/14728/19695/20344/16193/234199/18173/13035/21789/385643/217847/20533/20202/11552/21857/15378/214593/14161/18121",28
"GO:0002444","myeloid leukocyte mediated immunity","18/573","157/28905",0.114649681528662,5.78350618601394,8.54692743511548,2.55426759835269e-09,8.20557327574894e-07,6.75236546495295e-07,"233231/243978/14125/14990/243979/14130/14126/12523/217303/217304/225642/16016/214084/11542/13035/20311/68891/58218",18
"GO:0007596","blood coagulation","19/573","177/28905",0.107344632768362,5.41500281006892,8.37881478069177,2.81485296718272e-09,8.20557327574894e-07,6.75236546495295e-07,"18787/19124/14069/100503895/26570/14065/14728/20344/16193/234199/13035/21789/385643/217847/20533/20202/11552/15378/14161",19
"GO:0050900","leukocyte migration","29/573","402/28905",0.0721393034825871,3.63906905264255,7.5776782790832,2.85553134129966e-09,8.20557327574894e-07,6.75236546495295e-07,"11519/67133/18787/114332/83433/13123/20296/217303/20307/118453/12267/20339/20344/57781/20750/11542/20305/57765/19242/227288/13035/330122/20311/68891/20302/240873/20202/20306/58218",29
"GO:0050817","coagulation","19/573","180/28905",0.105555555555556,5.32475276323444,8.27723313076162,3.73062025288402e-09,1.00055235182349e-06,8.23354434759315e-07,"18787/19124/14069/100503895/26570/14065/14728/20344/16193/234199/13035/21789/385643/217847/20533/20202/11552/15378/14161",19
"GO:0002455","humoral immune response mediated by circulating immunoglobulin","11/573","59/28905",0.186440677966102,9.40500488064602,9.19049376799625,1.99848347096631e-08,5.02493687731091e-06,4.13502007644016e-06,"83433/404711/14130/12260/238447/16016/16019/12630/26909/12269/380795",11
"GO:0019730","antimicrobial humoral response","20/573","222/28905",0.0900900900900901,4.54459695297392,7.53960735256629,2.22192071401547e-08,5.25811001910838e-06,4.32689823255645e-06,"404711/14990/16069/20307/16447/238447/109648/19695/192200/16016/16019/100034251/13035/385643/330122/20311/20202/12945/14161/380795",20
"GO:0048511","rhythmic process","24/573","320/28905",0.075,3.78337696335079,7.12025566588678,3.19258852001664e-08,7.13543534223719e-06,5.87174906166803e-06,"353187/18126/13123/79362/13170/16000/18212/211949/18628/16323/217166/18143/11865/18646/16193/13874/14811/19242/11657/225998/381413/15465/15378/13983",24
"GO:0097529","myeloid leukocyte migration","21/573","255/28905",0.0823529411764706,4.15429627348322,7.19495245863652,4.73840471681022e-08,9.69865939090992e-06,7.98102588652399e-06,"67133/18787/83433/20296/217303/20307/118453/12267/57781/20750/20305/227288/13035/330122/20311/68891/20302/240873/20202/20306/58218",21
"GO:0042742","defense response to bacterium","28/573","430/28905",0.0651162790697674,3.28479240228905,6.78838985945777,4.82160546403675e-08,9.69865939090992e-06,7.98102588652399e-06,"17110/18126/18787/83433/404711/14990/16197/16069/11433/16447/238447/109648/19695/192200/18173/16016/93726/16019/100034251/17474/13035/20311/19074/20186/58218/12945/14161/380795",28
"GO:0002274","myeloid leukocyte activation","22/573","281/28905",0.0782918149466192,3.94943265450616,7.06552034468217,5.61003252772883e-08,1.07472194566919e-05,8.84388586451488e-06,"233231/17082/243978/83433/14125/243979/14126/12523/14728/217303/217304/109648/217166/225642/77777/18173/214084/11542/17474/13035/18784/68891",22
"GO:0045055","regulated exocytosis","21/573","266/28905",0.0789473684210526,3.98250206668504,6.94960811405558,9.74469086522407e-08,1.76861341712159e-05,1.45539181204061e-05,"233231/243978/20965/21990/18166/14125/19894/243979/14126/18442/12523/217303/109648/225642/214084/11542/208898/68891/27062/57394/116837",21
"GO:0002697","regulation of immune effector process","29/573","473/28905",0.0613107822410148,3.09282401514229,6.5264534393099,1.01113866750675e-07,1.76861341712159e-05,1.45539181204061e-05,"83433/14125/14990/16197/14130/14126/12523/20296/11433/14728/217303/16447/69816/77777/16193/16016/232345/11542/16019/57765/243655/22163/18784/20311/68891/19074/240873/20202/12269",29
"GO:0006958","complement activation, classical pathway","9/573","42/28905",0.214285714285714,10.8096484667165,9.04742566842553,1.1056630350972e-07,1.85336766258168e-05,1.52513607253539e-05,"83433/404711/12260/238447/16016/16019/12630/12269/380795",9
"GO:0050878","regulation of body fluid levels","24/573","350/28905",0.0685714285714286,3.45908750934929,6.58240488758893,1.70718606181698e-07,2.64641918521067e-05,2.1777380947676e-05,"18787/21990/19124/14069/18442/100503895/26570/14065/14728/20344/16193/234199/11542/12669/23795/13035/21789/385643/217847/20533/20202/11552/15378/14161",24
"GO:0002279","mast cell activation involved in immune response","11/573","72/28905",0.152777777777778,7.70687899941827,8.1032543703978,1.71033802673322e-07,2.64641918521067e-05,2.1777380947676e-05,"233231/243978/14125/243979/14126/12523/14728/217303/225642/214084/11542",11
"GO:0097530","granulocyte migration","16/573","169/28905",0.0946745562130177,4.7758604665572,7.00106001379358,2.87723797275513e-07,4.28708457940515e-05,3.52784149096097e-05,"67133/20296/217303/20307/12267/20750/20305/227288/330122/20311/68891/20302/240873/20202/20306/58218",16
"GO:0006887","exocytosis","25/573","394/28905",0.0634517766497462,3.20082653413772,6.25526003110663,4.08712674243081e-07,5.87232531599969e-05,4.83233594170861e-05,"233231/243978/74463/20965/21990/18166/14125/19894/243979/17918/14126/18442/12523/217303/20307/109648/225642/214084/11542/208898/68891/27062/57394/116837/14161",25
"GO:0045576","mast cell activation","12/573","97/28905",0.123711340206186,6.24062179521779,7.35241141010096,5.06488018936954e-07,7.02621137994264e-05,5.78186867352711e-05,"233231/243978/14125/243979/14126/12523/14728/217303/217304/225642/214084/11542",12
"GO:0019731","antibacterial humoral response","14/573","138/28905",0.101449275362319,5.11761135139237,6.89533352547447,6.85798135523362e-07,9.19655299736828e-05,7.56784258323148e-05,"404711/14990/16069/16447/238447/109648/192200/16016/16019/100034251/13035/12945/14161/380795",14
"GO:0002275","myeloid cell activation involved in immune response","13/573","119/28905",0.109243697478992,5.51080117911039,7.01219805809011,7.3218011586827e-07,9.50180840689694e-05,7.81903723057966e-05,"233231/243978/83433/14125/243979/14126/12523/14728/217303/225642/214084/11542/68891",13
"GO:1990266","neutrophil migration","14/573","140/28905",0.1,5.04450261780105,6.82204560330628,8.17246332614265e-07,0.00010274318737835,8.45473590813113e-05,"67133/20296/20307/12267/20750/20305/227288/330122/20311/68891/20302/20202/20306/58218",14
"GO:0043303","mast cell degranulation","10/573","68/28905",0.147058823529412,7.4183862026486,7.53568839697995,8.97802998149186e-07,0.000109450347319823,9.00666803565929e-05,"233231/243978/14125/243979/14126/12523/217303/225642/214084/11542",10
"GO:0007623","circadian rhythm","18/573","232/28905",0.0775862068965517,3.91383823794909,6.33709958566359,1.02455521119473e-06,0.000121228988665777,9.97593231952765e-05,"353187/18126/13123/79362/13170/16000/18212/211949/18628/217166/18143/11865/18646/16193/11657/225998/381413/15378",18
"GO:0060326","cell chemotaxis","22/573","334/28905",0.0658682634730539,3.3227262751983,6.07192242422835,1.0885412264635e-06,0.000125120038687504,0.000102961267886547,"18787/20210/270190/13123/20296/20307/118453/12267/20750/20305/19242/227288/23795/13035/12777/330122/20311/20302/240873/20202/20306/58218",22
"GO:0007159","leukocyte cell-cell adhesion","26/573","445/28905",0.0584269662921348,2.94734984410848,5.88740898686207,1.14503176269173e-06,0.000125166451412847,0.000102999460913799,"18782/11519/14990/16197/12578/100039795/20296/16000/14728/217303/15930/93695/20339/20344/16193/234199/54167/57765/13035/381091/15117/18784/68891/20533/240873/20202",26
"GO:0002448","mast cell mediated immunity","10/573","70/28905",0.142857142857143,7.20643231114435,7.39347713411162,1.1822831602506e-06,0.000125166451412847,0.000102999460913799,"233231/243978/14125/243979/14126/12523/217303/225642/214084/11542",10
"GO:0070098","chemokine-mediated signaling pathway","10/573","70/28905",0.142857142857143,7.20643231114435,7.39347713411162,1.1822831602506e-06,0.000125166451412847,0.000102999460913799,"83433/20296/20307/13349/20305/12777/330122/20311/20302/20306",10
"GO:0002237","response to molecule of bacterial origin","25/573","422/28905",0.0592417061611374,2.98844941812858,5.85188222856413,1.43252177153484e-06,0.00014777013043294,0.000121600026220704,"18126/18787/83433/14130/12523/19222/20296/11433/14728/217304/12514/15930/217166/16193/18173/207728/13035/110759/100503545/330122/20311/20202/20186/13983/387217",25
"GO:0030595","leukocyte chemotaxis","18/573","242/28905",0.0743801652892562,3.75210938514127,6.11406738905039,1.87778757913841e-06,0.000188858485771845,0.000155411629905008,"18787/13123/20296/20307/118453/12267/20750/20305/19242/227288/13035/330122/20311/20302/240873/20202/20306/58218",18
"GO:0032496","response to lipopolysaccharide","24/573","402/28905",0.0597014925373134,3.01164335391107,5.77612250536997,2.02919391351261e-06,0.000199108466196616,0.000163846337817642,"18126/18787/83433/12523/19222/20296/11433/14728/217304/12514/15930/217166/16193/18173/207728/13035/110759/100503545/330122/20311/20202/20186/13983/387217",24
"GO:0030593","neutrophil chemotaxis","12/573","112/28905",0.107142857142857,5.40482423335826,6.64219780492851,2.39798972011707e-06,0.000229693158191214,0.000189014477939052,"20296/20307/12267/20750/20305/227288/330122/20311/20302/20202/20306/58218",12
"GO:0019221","cytokine-mediated signaling pathway","26/573","471/28905",0.0552016985138004,2.7846511265993,5.55344497600406,3.23988177730631e-06,0.000290706617257624,0.000239222447577803,"245527/17082/83433/16197/100038909/17381/20296/14728/20307/12984/13349/16193/21935/18725/20305/13874/12777/16199/100041146/330122/20311/20302/240873/20186/20306/214593",26
"GO:0043299","leukocyte degranulation","11/573","96/28905",0.114583333333333,5.7801592495637,6.67162394408885,3.25175187089065e-06,0.000290706617257624,0.000239222447577803,"233231/243978/14125/243979/14126/12523/217303/225642/214084/11542/68891",11
"GO:0070555","response to interleukin-1","11/573","96/28905",0.114583333333333,5.7801592495637,6.67162394408885,3.25175187089065e-06,0.000290706617257624,0.000239222447577803,"18787/20210/20296/20307/217166/20339/16193/108153/20305/20302/20306",11
"GO:0071621","granulocyte chemotaxis","13/573","137/28905",0.0948905109489051,4.78675430886231,6.31815455619244,3.62389594372332e-06,0.000316933334382585,0.000260804410595191,"20296/20307/12267/20750/20305/227288/330122/20311/20302/240873/20202/20306/58218",13
"GO:0002526","acute inflammatory response","13/573","138/28905",0.0942028985507246,4.75206768343577,6.28319573645422,3.92945811577611e-06,0.00033634489361207,0.000276778180831262,"18782/20210/14125/14990/14130/14069/16889/109648/19695/16193/16016/18406/75697",13
"GO:1990868","response to chemokine","10/573","80/28905",0.125,6.30562827225131,6.75794764646205,4.11022287390499e-06,0.000337457686157546,0.000277693897710659,"83433/20296/20307/13349/20305/12777/330122/20311/20302/20306",10
"GO:1990869","cellular response to chemokine","10/573","80/28905",0.125,6.30562827225131,6.75794764646205,4.11022287390499e-06,0.000337457686157546,0.000277693897710659,"83433/20296/20307/13349/20305/12777/330122/20311/20302/20306",10
"GO:0002366","leukocyte activation involved in immune response","21/573","336/28905",0.0625,3.15281413612565,5.64477095359453,4.33648331498484e-06,0.00034891344752368,0.000287120842644785,"233231/243978/83433/14125/243979/14126/18985/12523/14728/217303/225642/16193/18173/214084/11542/57765/17474/26909/68891/240873/12557",21
"GO:0071347","cellular response to interleukin-1","10/573","82/28905",0.121951219512195,6.15183246073298,6.64380282869568,5.15463091554736e-06,0.00040285236654753,0.000331507173958157,"18787/20210/20296/20307/217166/16193/108153/20305/20302/20306",10
"GO:0002263","cell activation involved in immune response","21/573","340/28905",0.0617647058823529,3.11572220511241,5.5808282479449,5.20713971177518e-06,0.00040285236654753,0.000331507173958157,"233231/243978/83433/14125/243979/14126/18985/12523/14728/217303/225642/16193/18173/214084/11542/57765/17474/26909/68891/240873/12557",21
"GO:0007162","negative regulation of cell adhesion","21/573","342/28905",0.0614035087719298,3.0975016074217,5.54920941075462,5.69936665796117e-06,0.000432614189905241,0.000355998175556859,"18782/18787/14990/17381/12578/100039795/21923/11433/14728/13131/217303/15930/93695/234199/57765/13035/385643/68396/18784/240873/30060",21
"GO:0050729","positive regulation of inflammatory response","14/573","167/28905",0.0838323353293413,4.22892435025237,5.95121313447377,6.62735752366538e-06,0.00049373813551307,0.000406297064559992,"18787/17082/83433/14125/14990/15930/16193/16016/11542/207728/75697/20302/240873/20202",14
"GO:0070374","positive regulation of ERK1 and ERK2 cascade","17/573","240/28905",0.0708333333333333,3.57318935427574,5.69271002735641,6.92962058082605e-06,0.000506870247212058,0.000417103478022927,"83433/20296/16000/20307/16323/109648/54635/93695/16193/20608/20305/64654/18784/20302/13983/20306/14161",17
"GO:0007613","memory","14/573","168/28905",0.0833333333333333,4.20375218150087,5.92257420096006,7.1005874108304e-06,0.000507812912935045,0.000417879197556345,"83433/13123/16000/18212/14652/56710/11838/14811/19242/211612/20203/15465/268354/18121",14
"GO:0050777","negative regulation of immune response","17/573","241/28905",0.0705394190871369,3.55836284243227,5.67178723931439,7.32119039279956e-06,0.000507812912935045,0.000417879197556345,"17082/83433/14990/16197/14130/17381/14728/217303/109648/15951/232345/57765/243655/18566/240873/12269/380924",17
"GO:0050866","negative regulation of cell activation","17/573","241/28905",0.0705394190871369,3.55836284243227,5.67178723931439,7.32119039279956e-06,0.000507812912935045,0.000417879197556345,"18782/83433/14990/14130/12578/100039795/12523/14728/217303/15930/217166/93695/234199/57765/13035/18784/240873",17
"GO:1903037","regulation of leukocyte cell-cell adhesion","23/573","405/28905",0.0567901234567901,2.86477926443022,5.37464992132548,7.50796201570569e-06,0.000511941206596339,0.000421276370015957,"18782/14990/16197/12578/100039795/20296/16000/14728/217303/15930/93695/20339/20344/16193/234199/54167/57765/13035/381091/15117/18784/20533/240873",23
"GO:0006935","chemotaxis","25/573","465/28905",0.0537634408602151,2.71209818161347,5.29307460240741,7.87271183578492e-06,0.000527865328589379,0.00043438032848322,"18787/20210/83433/270190/268902/13123/20296/20307/118453/12267/20750/93726/20305/19242/227288/23795/13035/12777/330122/20311/20302/240873/20202/20306/58218",25
"GO:0042330","taxis","25/573","467/28905",0.0535331905781585,2.70048320010763,5.26864491295776,8.47254123364125e-06,0.00055877103906457,0.000459812634681652,"18787/20210/83433/270190/268902/13123/20296/20307/118453/12267/20750/93726/20305/19242/227288/23795/13035/12777/330122/20311/20302/240873/20202/20306/58218",25
"GO:0032102","negative regulation of response to external stimulus","25/573","470/28905",0.0531914893617021,2.68324607329843,5.23223921403669,9.45052538569873e-06,0.000613217155268807,0.000504616338506325,"353187/235505/18787/83433/14990/268902/14130/17381/100503895/16000/11433/109648/15951/118453/217166/19695/57781/27052/232345/243655/385643/18784/16678/20186/14161",25
"GO:0072677","eosinophil migration","6/573","26/28905",0.230769230769231,11.6411598872332,7.71973222142341,9.71018865209827e-06,0.000613663789100638,0.000504983873443883,"20296/217303/20307/20305/20302/20306",6
