ID,category,subcategory,Description,GeneRatio,BgRatio,RichFactor,FoldEnrichment,zScore,pvalue,p.adjust,qvalue,geneID,Count,Source
mmu04820,NA,NA,Cytoskeleton in muscle cells - Mus musculus (house mouse),"45/513, 21/190",232/9775,"0.193965517241379, 0.0905172413793103","3.69593163944344, 4.65687386569873","9.78031556654114, 7.93648903356523","1.05545472505183e-14, 3.94731974199067e-09","3.12414598615342e-12, 3.14469806111923e-07","2.31089034537664e-12, 3.04705383592262e-07","140781/192897/12832/12827/12826/12842/17897/17885/58916/12825/14118/15530/71355/17907/17879/59011/12843/109272/14115/14119/11459/21953/17884/21957/12835/13003/21925/18074/12715/17882/20649/53867/17996/11474/14268/12111/20392/319565/13808/13179/22352/320502/17901/20970/544791, 17885/58916/17879/21953/17882/59011/17996/17907/76441/21957/11459/16401/68553/21925/13717/109272/16907/233199/17897/242702/17884","45, 21","Ure_RT_DMXAAvsUre_DMXAA, Ure_DMXAAvsUre"
mmu04061,Environmental Information Processing,Signaling molecules and interaction,Viral protein interaction with cytokine and cytokine receptor - Mus musculus (house mouse),"18/513, 19/384",95/9775,"0.189473684210526, 0.2","3.61034164358264, 5.09114583333333","6.01677730351551, 8.10242358654084","1.73185206222611e-06, 3.63389319869491e-09","5.1262821041893e-05, 5.35999246807499e-07","3.79184451518981e-05, 4.57105512888465e-07","12774/20307/16193/15945/20296/12978/17329/55985/12768/20306/20308/20312/20302/20293/12777/252837/20305/12772, 12774/20307/16193/16184/20308/20296/20305/20311/15945/17329/227288/12777/330122/20301/100039863/100040048/20293/12771/20306","18, 19","Ure_RT_DMXAAvsUre_DMXAA, Ure_RT_DMXAAvsUre"
mmu04062,Organismal Systems,Immune system,Chemokine signaling pathway - Mus musculus (house mouse),"24/513, 21/384",193/9775,"0.124352331606218, 0.10880829015544","2.36948156228222, 2.76979436528497","4.52219434338397, 5.02133548689453","7.04851363994721e-05, 2.19402733072575e-05","0.00122727061024963, 0.000924625803662995","0.000907796183968433, 0.000788530123373616","12774/20307/15945/20296/17329/216148/55985/12768/320207/20306/20308/20312/11514/20302/20293/12777/20305/104110/66102/18710/104709/12772/17969/19395, 12774/18751/20307/320207/20308/20296/20305/20311/15945/17329/227288/12777/14709/271849/330122/20301/100039863/100040048/20293/12771/20306","24, 21","Ure_RT_DMXAAvsUre_DMXAA, Ure_RT_DMXAAvsUre"
mmu04142,Cellular Processes,Transport and catabolism,Lysosome - Mus musculus (house mouse),"29/513, 14/384",135/9775,"0.214814814814815, 0.103703703703704","4.09320626669555, 2.63985339506173","8.51686395859821, 3.8795312085961","5.04296494590388e-11, 0.000830113600224175","7.46358811993774e-09, 0.0174916794332951","5.52071951972635e-09, 0.014917078981472","140494/13035/11433/13038/16889/18173/110006/13030/13039/19156/12514/27419/13033/13040/27060/11605/64138/11432/17159/19141/15212/242341/11777/19025/15211/50917/110173/16792/14667, 140494/11433/16889/12514/13038/18173/13030/13033/19156/74008/13039/242341/13035/108011","29, 14","Ure_RT_DMXAAvsUre_DMXAA, Ure_RT_DMXAAvsUre"
mmu05144,Human Diseases,Infectious disease: parasitic,Malaria - Mus musculus (house mouse),"11/513, 10/384",57/9775,"0.192982456140351, 0.175438596491228","3.6771998221675, 4.46591739766082","4.77059149441239, 5.30655961806477","0.000152616848897422, 6.43754228596396e-05","0.00237760985650721, 0.00211008330484374","0.00175868723383179, 0.00179950012438057","16193/20339/20344/20296/12491/16414/21808/13349/22329/110257/20293, 16193/13349/16414/20344/20339/20296/21826/110257/14934/20293","11, 10","Ure_RT_DMXAAvsUre_DMXAA, Ure_RT_DMXAAvsUre"
mmu05323,Human Diseases,Immune disease,Rheumatoid arthritis - Mus musculus (house mouse),"19/513, 14/384",87/9775,"0.218390804597701, 0.160919540229885","4.16134525329928, 4.09632423371648","6.97038796097311, 5.86590266544133","8.54363358936922e-08, 6.51145945117397e-06","4.21485923742215e-06, 0.000320146756349387","3.11767681857684e-06, 0.000273024352426417","17392/21687/16193/140494/20296/11433/13038/16414/21808/13039/16476/27060/242341/20302/20293/12524/24099/21934/12519, 21687/140494/16193/11433/16414/13038/13039/20296/381091/20311/242341/12477/330122/20293","19, 14","Ure_RT_DMXAAvsUre_DMXAA, Ure_RT_DMXAAvsUre"
mmu04141,Genetic Information Processing,"Folding, sorting and degradation",Protein processing in endoplasmic reticulum - Mus musculus (house mouse),"6/77, 21/190",175/9775,"0.0342857142857143, 0.12","4.35250463821892, 6.17368421052632","3.98743149858943, 9.72299883954421","0.00250541492671835, 2.01617224334235e-11","0.0391569006491919, 4.8186516615882e-09","0.0328698832897946, 4.66903045826648e-09","15511/193740/81489/15505/15502/15481, 14828/15505/15481/12282/15502/15519/15511/193740/56812/13198/12304/15516/12317/22027/18415/71853/67075/81489/67838/22213/14827","6, 21","Ure_RT_DMXAAvsUre_RT, Ure_DMXAAvsUre"
mmu04612,Organismal Systems,Immune system,Antigen processing and presentation - Mus musculus (house mouse),"7/77, 11/190",87/9775,"0.0804597701149425, 0.126436781609195","10.21421107628, 6.50483968542045","7.69203334072678, 7.26112889614755","5.03335327173013e-06, 8.66783874890796e-07","0.000795269816933361, 5.1790336524725e-05","0.00066758159182947, 5.01822243357829e-05","15511/193740/110557/15018/110558/15481/14990, 15002/14828/15481/15519/15511/193740/15516/12317/15512/15000/14827","7, 11","Ure_RT_DMXAAvsUre_RT, Ure_DMXAAvsUre"
mmu05134,Human Diseases,Infectious disease: bacterial,Legionellosis - Mus musculus (house mouse),"4/77, 8/384",60/9775,"0.0666666666666667, 0.133333333333333","8.46320346320346, 3.39409722222222","5.16677969730929, 3.76133369681979","0.00124277033303127, 0.00225385122410772","0.0327262854364902, 0.0379920631865892","0.0274717652564807, 0.0324000110672429","15511/193740/15481/16193, 15511/193740/15481/16193/16414/330122/16160/17940","4, 8","Ure_RT_DMXAAvsUre_RT, Ure_RT_DMXAAvsUre"
mmu04514,Environmental Information Processing,Signaling molecules and interaction,Cell adhesion molecules - Mus musculus (house mouse),"6/77, 20/513",179/9775,"0.0335195530726257, 0.111731843575419","4.25524196473917, 2.1290034521437","3.91656295177256, 3.58772483817489","0.00280461784346302, 0.00111222748961307","0.0391569006491919, 0.0117578334616239","0.0328698832897946, 0.00869711721201196","110557/15018/110558/20612/12741/14990, 14990/12490/319504/20339/20344/110557/15018/110558/16414/22329/13003/20612/100043314/18190/12524/67374/18189/16409/20970/12519","6, 20","Ure_RT_DMXAAvsUre_RT, Ure_RT_DMXAAvsUre_DMXAA"
