"category","subcategory","ID","Description","GeneRatio","BgRatio","RichFactor","FoldEnrichment","zScore","pvalue","p.adjust","qvalue","geneID","Count"
NA,NA,"mmu04820","Cytoskeleton in muscle cells - Mus musculus (house mouse)","41/538","232/9775",0.176724137931034,3.21092648378413,8.22503331777027,1.92371951206562e-11,5.84810731667948e-09,4.39418035913936e-09,"140781/12826/12827/17897/12832/17879/192897/18074/21925/17885/12825/17907/21953/67399/59011/71355/17884/15530/16905/20649/544791/14115/21957/16402/58916/68553/12842/17996/11474/665033/14118/17882/12335/18073/326618/319565/56376/12843/109272/21825/12111",41
"Cellular Processes","Transport and catabolism","mmu04145","Phagosome - Mus musculus (house mouse)","30/538","183/9775",0.163934426229508,2.97854835760863,6.52047842857521,6.17122161722953e-08,7.42217764325656e-06,5.57691325687906e-06,"14130/15018/110558/110557/15002/14990/73710/21354/140494/14131/22151/16414/12721/12491/17534/16402/22142/69142/13040/70192/242341/140792/226421/50909/67951/11974/66335/21825/20288/12317",30
"Human Diseases","Infectious disease: parasitic","mmu05146","Amoebiasis - Mus musculus (house mouse)","22/538","108/9775",0.203703703703704,3.70112212584332,6.81195973482854,7.32451741110845e-08,7.42217764325656e-06,5.57691325687906e-06,"11846/12826/12827/13035/16193/12825/20248/18710/16775/226519/16414/381286/20708/12842/15507/23928/16777/226421/18126/241197/12843/16159",22
"Environmental Information Processing","Signal transduction","mmu04151","PI3K-Akt signaling pathway - Mus musculus (house mouse)","43/538","367/9775",0.11716621253406,2.12880990245434,5.31945355964495,1.89063896406271e-06,0.000143688561268766,0.00010796543557937,"12444/21923/12575/12826/12827/16000/12064/192897/16193/12478/18710/16590/16775/21687/226519/263803/54635/14182/12443/12978/16402/68553/12842/18127/15519/22629/320207/13874/14745/22628/665033/14573/12669/71785/23928/19699/75705/16777/14257/12843/21825/20393/15370",43
"Cellular Processes","Transport and catabolism","mmu04148","Efferocytosis - Mus musculus (house mouse)","25/538","163/9775",0.153374233128834,2.78667867813077,5.55130653575589,2.7764646419438e-06,0.000147219239416227,0.000110618334325904,"12262/12260/12259/11846/53313/11937/12491/243958/16889/17289/228432/78070/18263/192654/12608/20312/226421/14456/11502/18442/21825/70686/19261/20393/12317",25
"Organismal Systems","Immune system","mmu04610","Complement and coagulation cascades - Mus musculus (house mouse)","18/538","94/9775",0.191489361702128,3.47919797516412,5.82876919466338,2.905642883215e-06,0.000147219239416227,0.000110618334325904,"12268/12262/12260/12259/625018/19124/18787/14065/12062/16414/17174/50908/12267/12258/50909/12902/18791/109828",18
"Human Diseases","Infectious disease: bacterial","mmu05133","Pertussis - Mus musculus (house mouse)","16/538","77/9775",0.207792207792208,3.77540674938444,5.90055341464814,3.39001442332232e-06,0.000147223483527141,0.00011062152328736,"12268/12262/12260/12259/625018/16193/16414/80796/16402/50908/12258/50909/18126/16476/14677/16159",16
"Organismal Systems","Development and regeneration","mmu04380","Osteoclast differentiation - Mus musculus (house mouse)","22/538","136/9775",0.161764705882353,2.93912639405204,5.49567972479629,4.52250127160247e-06,0.000171855048320894,0.000129129312623386,"12702/14130/83433/16440/14728/18710/13038/14131/18724/18729/18730/100038909/11433/53313/11937/16818/12978/14282/18722/18733/16476/19261",22
"Environmental Information Processing","Signaling molecules and interaction","mmu04512","ECM-receptor interaction - Mus musculus (house mouse)","17/538","89/9775",0.191011235955056,3.47051083914623,5.65029819029093,5.66925987402173e-06,0.000191495000189178,0.000143886478674002,"21923/12826/12827/192897/16775/226519/15530/12491/16402/68553/12842/665033/23928/19699/16777/12843/21825",17
"Human Diseases","Endocrine and metabolic disease","mmu04933","AGE-RAGE signaling pathway in diabetic complications - Mus musculus (house mouse)","18/538","101/9775",0.178217821782178,3.23806544223196,5.45622486134496,8.39688035463081e-06,0.000255265162780777,0.00019180242494262,"20296/20339/12826/12827/18787/22329/17390/13653/16193/12825/18710/12443/12842/18127/12028/12843/18802/16476",18
"Organismal Systems","Immune system","mmu04662","B cell receptor signaling pathway - Mus musculus (house mouse)","16/538","84/9775",0.19047619047619,3.46078952026907,5.46627716000988,1.10658951021034e-05,0.000305821101003584,0.000229789400684826,"14130/15985/14728/12478/18710/18724/18729/18730/100038909/242248/12518/18722/18733/12902/16476/68713",16
"Human Diseases","Immune disease","mmu05323","Rheumatoid arthritis - Mus musculus (house mouse)","16/538","87/9775",0.183908045977011,3.34145195060462,5.29406957558775,1.76009879591111e-05,0.000445891694964148,0.000335036349747992,"20296/17392/15002/16193/140494/13038/11433/21687/16414/24099/20302/242341/11974/12524/66335/16476",16
"Organismal Systems","Digestive system","mmu04974","Protein digestion and absorption - Mus musculus (house mouse)","18/538","108/9775",0.166666666666667,3.02819083023544,5.11489433888474,2.1868533575776e-05,0.000511387246695069,0.000384248727606752,"12873/12826/12827/12819/12832/12825/71355/13482/68553/12842/72461/213945/70008/665033/12843/234967/20540/12821",18
"Cellular Processes","Cellular community - eukaryotes","mmu04510","Focal adhesion - Mus musculus (house mouse)","26/538","202/9775",0.128712871287129,2.33860281938975,4.63943638370904,4.36783261556601e-05,0.000948443653665763,0.000712646374118666,"12444/21923/12826/12827/16000/192897/18710/17907/16775/226519/54635/12443/16402/68553/12842/216148/13730/665033/71785/23928/19699/16777/14257/12843/16476/21825",26
"Environmental Information Processing","Signaling molecules and interaction","mmu04061","Viral protein interaction with cytokine and cytokine receptor - Mus musculus (house mouse)","16/538","95/9775",0.168421052631579,3.06006652318529,4.86930750776559,5.44772142267116e-05,0.00110407154166136,0.000829582841206767,"20296/20307/12775/16193/20306/15945/12145/12774/21933/16174/12978/20302/252837/20308/20312/56838",16
"Organismal Systems","Immune system","mmu04612","Antigen processing and presentation - Mus musculus (house mouse)","15/538","87/9775",0.172413793103448,3.13261120369183,4.82187648015031,7.01799473505398e-05,0.00133341899966026,0.00100191109046494,"15018/110558/110557/15002/14990/21354/14828/15512/193740/15511/15519/15481/13040/13030/12317",15
"Organismal Systems","Endocrine system","mmu04915","Estrogen signaling pathway - Mus musculus (house mouse)","19/538","134/9775",0.141791044776119,2.57622204960328,4.43374375358903,0.000128498779193965,0.00229786052205678,0.0017265780238446,"16663/16440/17390/18710/11514/193740/80796/15511/18127/13983/15519/216148/15481/18667/13033/224129/94179/16476/14677",19
"Cellular Processes","Transport and catabolism","mmu04142","Lysosome - Mus musculus (house mouse)","19/538","135/9775",0.140740740740741,2.55713892330993,4.39660613341316,0.000142063069060576,0.00239928738857862,0.00180278865416053,"13035/108011/140494/11777/13038/11433/56722/16889/19156/18173/13040/110006/12514/15211/192654/13030/242341/13033/211286",19
"Environmental Information Processing","Signaling molecules and interaction","mmu04060","Cytokine-cytokine receptor interaction - Mus musculus (house mouse)","32/538","294/9775",0.108843537414966,1.97759401158233,4.1073996129628,0.000164828701918472,0.00263725923069555,0.00198159713663759,"20296/245527/23886/20307/17082/12775/66102/16193/16880/20306/232983/16323/15945/12145/12774/21933/16174/12978/24099/16164/20302/12984/252837/242316/20308/20312/21940/12161/12159/56838/72049/16159",32
"Human Diseases","Infectious disease: bacterial","mmu05150","Staphylococcus aureus infection - Mus musculus (house mouse)","17/538","128/9775",0.1328125,2.41308956784387,3.88365255198132,0.000625359716270635,0.00950546768731364,0.00714226623319619,"12268/12262/12260/12259/625018/14130/16663/15002/20344/14131/16414/19204/17174/50908/12267/50909/94179",17
"Cellular Processes","Cell growth and death","mmu04115","p53 signaling pathway - Mus musculus (house mouse)","12/538","75/9775",0.16,2.90706319702602,4.00102885097849,0.000741997194223565,0.0107412927163792,0.00807084667401071,"12444/22401/12575/18787/16000/12578/12450/12443/21933/12028/68428/21825",12
"Human Diseases","Cardiovascular disease","mmu05417","Lipid and atherosclerosis - Mus musculus (house mouse)","24/538","217/9775",0.110599078341014,2.00949068918849,3.62919667973539,0.000843275027130925,0.0116525276476273,0.00875553497068951,"20296/17392/20339/22329/13198/20344/16193/14828/18710/15512/193740/80796/15511/21933/12491/20302/18127/15519/15481/12028/15510/16476/16159/18987",24
"Human Diseases","Infectious disease: bacterial","mmu05152","Tuberculosis - Mus musculus (house mouse)","21/538","180/9775",0.116666666666667,2.11973358116481,3.65923498463668,0.000882157111954862,0.0116598157406208,0.00876101113474622,"14130/15002/16193/140494/14131/16414/80796/12721/17534/69142/257632/13040/70192/12028/242341/15510/12608/13033/18126/14127/16159",21
"Human Diseases","Infectious disease: parasitic","mmu05144","Malaria - Mus musculus (house mouse)","10/538","57/9775",0.175438596491228,3.18756929498467,3.99735420529188,0.00097293789714055,0.012323880030447,0.00925997910874997,"20296/20339/22329/20344/16193/16414/12491/110257/21825/16159",10
"Human Diseases","Substance dependence","mmu05030","Cocaine addiction - Mus musculus (house mouse)","9/538","48/9775",0.1875,3.40671468401487,4.03383009565785,0.00105764886575754,0.0128610102076117,0.0096635706892373,"12064/214084/14282/18610/14800/19049/224129/16476/14677",9
"Human Diseases","Infectious disease: parasitic","mmu05142","Chagas disease - Mus musculus (house mouse)","14/538","103/9775",0.135922330097087,2.46959252174541,3.6184221655135,0.00146957549015067,0.0171420093662588,0.0128802494199382,"12262/12260/12259/20296/18787/16193/18710/12062/20302/18126/16476/14677/16159/12317",14
"Cellular Processes","Cell growth and death","mmu04216","Ferroptosis - Mus musculus (house mouse)","8/538","41/9775",0.195121951219512,3.54519902076344,3.94121237943421,0.00152248109502956,0.0171420093662588,0.0128802494199382,"12870/26570/53945/15368/14630/213053/14325/68428",8
"Human Diseases","Drug resistance: antineoplastic","mmu01522","Endocrine resistance - Mus musculus (house mouse)","13/538","93/9775",0.139784946236559,2.53977295439101,3.60062137728572,0.00165764417145335,0.0179972795757793,0.0135228866618563,"16450/12575/16000/12578/17390/18710/11514/12443/13983/216148/12028/224129/16476",13
"Metabolism","Amino acid metabolism","mmu00330","Arginine and proline metabolism - Mus musculus (house mouse)","9/538","54/9775",0.166666666666667,3.02819083023544,3.606716914636,0.00250133823959821,0.0256556410883419,0.0192772649451877,"67092/76507/11846/12709/19125/18127/18451/18263/18126",9
"Human Diseases","Infectious disease: parasitic","mmu05145","Toxoplasmosis - Mus musculus (house mouse)","14/538","109/9775",0.128440366972477,2.33365164898878,3.3790459161232,0.00253180668634953,0.0256556410883419,0.0192772649451877,"15002/16775/226519/193740/12774/15511/320207/15481/23928/16777/18126/16145/14677/16159",14
"Human Diseases","Cancer: overview","mmu05202","Transcriptional misregulation in cancer - Mus musculus (house mouse)","23/538","226/9775",0.101769911504425,1.84907227686943,3.11660502958286,0.00319713383288692,0.0313525382321814,0.0235578282423246,"18507/12444/17392/19126/12575/16000/13198/545192/16193/11864/12978/14247/97114/53623/16825/12028/12608/17268/21912/12524/58208/13876/18791",23
"Organismal Systems","Immune system","mmu04611","Platelet activation - Mus musculus (house mouse)","15/538","125/9775",0.12,2.18029739776952,3.20512249917984,0.00352429672421992,0.032954390165104,0.0247614358235026,"16440/14065/12825/18710/14131/11514/12842/18127/19222/320207/19419/224129/12843/14127/14677",15
"Organismal Systems","Endocrine system","mmu04614","Renin-angiotensin system - Mus musculus (house mouse)","7/538","37/9775",0.189189189189189,3.43740580729428,3.58472340849229,0.00357728577450142,0.032954390165104,0.0247614358235026,"12873/17228/17227/13035/70495/72461/70008",7
"Metabolism","Lipid metabolism","mmu00100","Steroid biosynthesis - Mus musculus (house mouse)","5/538","20/9775",0.25,4.54228624535316,3.82689764906141,0.00385400287216951,0.0344593197982215,0.0258922174384144,"13121/16889/15490/66234/20775",5
"Environmental Information Processing","Signal transduction","mmu04371","Apelin signaling pathway - Mus musculus (house mouse)","16/538","139/9775",0.115107913669065,2.09141237196117,3.12758924013119,0.00399198303187228,0.0346732240482621,0.0260529418922191,"30878/18787/17897/16440/13653/11514/80796/12443/18127/320207/20190/14219/18126/224129/18791/14677",16
"Human Diseases","Infectious disease: parasitic","mmu05143","African trypanosomiasis - Mus musculus (house mouse)","7/538","39/9775",0.179487179487179,3.2611285864074,3.41451570730483,0.00486004057813272,0.0410403426597874,0.0308370995747018,"20339/22329/16193/16775/110257/15930/16159",7
"Organismal Systems","Immune system","mmu04640","Hematopoietic cell lineage - Mus musculus (house mouse)","12/538","94/9775",0.127659574468085,2.31946531677608,3.102155966928,0.00526138740511904,0.0432286965177348,0.0324813959291844,"12490/14128/15002/16193/12478/16590/12491/12978/16402/12489/12507/12902",12
