"category","subcategory","ID","Description","GeneRatio","BgRatio","RichFactor","FoldEnrichment","zScore","pvalue","p.adjust","qvalue","geneID","Count"
NA,NA,"mmu04820","Cytoskeleton in muscle cells - Mus musculus (house mouse)","23/179","232/9775",0.0991379310344828,5.41381718358698,9.29251850942932,3.19513891432981e-11,7.79613895096473e-09,6.65934215828739e-09,"140781/17885/17879/58916/17907/17897/21925/21953/59011/17884/17996/544791/17882/192897/21957/12830/109272/12832/11474/11459/242702/12825/12828",23
"Organismal Systems","Immune system","mmu04610","Complement and coagulation cascades - Mus musculus (house mouse)","13/179","94/9775",0.138297872340426,7.55230001188637,8.71796566576607,1.39325449319399e-08,1.69977048169667e-06,1.45191784027585e-06,"12268/12262/12259/625018/12260/12062/50908/18791/12266/17174/19124/50909/12263",13
"Human Diseases","Infectious disease: bacterial","mmu05150","Staphylococcus aureus infection - Mus musculus (house mouse)","14/179","128/9775",0.109375,5.97285265363128,7.73449565752358,8.08974796719357e-08,6.5796616799841e-06,5.62024595615553e-06,"12268/16663/12262/12259/625018/12260/14130/50908/94179/12266/17174/50909/12263/13510",14
"Human Diseases","Infectious disease: bacterial","mmu05133","Pertussis - Mus musculus (house mouse)","10/179","77/9775",0.12987012987013,7.09206994123195,7.32970872515405,1.25223073954264e-06,7.63860751121008e-05,6.52478122182742e-05,"12268/12262/12259/625018/12260/80796/50908/12266/50909/12263",10
"Cellular Processes","Cell motility","mmu04814","Motor proteins - Mus musculus (house mouse)","14/179","198/9775",0.0707070707070707,3.86123807911517,5.55506840083515,1.5557386460552e-05,0.000759200459274938,0.000648497372460905,"140781/17885/17879/17907/17897/21925/21953/17884/16560/73710/544791/17882/21957/11459",14
"Environmental Information Processing","Signaling molecules and interaction","mmu04060","Cytokine-cytokine receptor interaction - Mus musculus (house mouse)","17/179","294/9775",0.0578231292517007,3.15765971192946,5.1303513375448,2.67120970581616e-05,0.0010862919470319,0.000927893897809823,"245527/20307/23886/17329/17082/21933/20296/24099/55985/15945/66102/242316/16323/232983/12978/12159/56838",17
"Cellular Processes","Cell growth and death","mmu04115","p53 signaling pathway - Mus musculus (house mouse)","8/179","75/9775",0.106666666666667,5.82495344506518,5.72869175947534,6.40885081621177e-05,0.0022339422845081,0.00190819919039087,"12444/12575/22401/21933/12578/12450/16000/20724",8
"Human Diseases","Endocrine and metabolic disease","mmu04933","AGE-RAGE signaling pathway in diabetic complications - Mus musculus (house mouse)","9/179","101/9775",0.0891089108910891,4.86614303888489,5.33400141415504,9.30517671665041e-05,0.00253932000643445,0.00216904815044875,"22329/20296/17390/20339/12830/13653/18710/12825/12828",9
"Human Diseases","Immune disease","mmu05322","Systemic lupus erythematosus - Mus musculus (house mouse)","11/179","150/9775",0.0733333333333333,4.00465549348231,5.0647441054853,9.3663442860287e-05,0.00253932000643445,0.00216904815044875,"12268/12262/12259/625018/12260/50908/68024/12266/13035/50909/12263",11
"Environmental Information Processing","Signaling molecules and interaction","mmu04061","Viral protein interaction with cytokine and cytokine receptor - Mus musculus (house mouse)","8/179","95/9775",0.0842105263157895,4.5986474566304,4.813721828808,0.0003384688151696,0.00825863909013824,0.00705440267406114,"20307/17329/21933/20296/55985/15945/12978/56838",8
"Organismal Systems","Endocrine system","mmu04915","Estrogen signaling pathway - Mus musculus (house mouse)","9/179","134/9775",0.0671641791044776,3.66776452930876,4.24674725557929,0.000776089006019053,0.0162970919767894,0.0139207256747381,"16663/80796/17390/94179/18710/268527/193740/15511/216148",9
"Human Diseases","Infectious disease: parasitic","mmu05146","Amoebiasis - Mus musculus (house mouse)","8/179","108/9775",0.0740740740740741,4.04510655907304,4.34596351839595,0.000801496326727346,0.0162970919767894,0.0139207256747381,"381286/20248/11846/12830/13035/18710/12825/12828",8
"Human Diseases","Cancer: overview","mmu05202","Transcriptional misregulation in cancer - Mus musculus (house mouse)","12/179","226/9775",0.0530973451327434,2.89958965738864,3.94595958120415,0.000903326978330741,0.0169547525163616,0.0144824892072459,"12444/12575/19126/17392/18791/14247/545192/104156/12978/13198/16000/53623",12
"Human Diseases","Cardiovascular disease","mmu05418","Fluid shear stress and atherosclerosis - Mus musculus (house mouse)","9/179","148/9775",0.0608108108108108,3.32081383059037,3.8854671264593,0.00156713455057218,0.0273129164528294,0.0233302737603978,"80796/22329/20296/18791/17390/20339/63873/18710/12159",9
"Human Diseases","Cancer: specific types","mmu05214","Glioma - Mus musculus (house mouse)","6/179","74/9775",0.0810810810810811,4.42775177412049,4.04235578573111,0.00229228014929632,0.0372877570952201,0.0318506294428541,"12575/80796/12578/18710/16000/216148",6
"Human Diseases","Infectious disease: parasitic","mmu05142","Chagas disease - Mus musculus (house mouse)","7/179","103/9775",0.0679611650485437,3.71128708575148,3.77792678412391,0.00277836174468392,0.0423700166064298,0.0361918174636459,"12262/12259/12260/12062/20296/12266/18710",7
"Human Diseases","Infectious disease: viral","mmu05171","Coronavirus disease - COVID-19 - Mus musculus (house mouse)","14/179","334/9775",0.0419161676646707,2.28899742414612,3.27366207564768,0.00328235547678161,0.0471114550785125,0.0402418813871677,"12268/12262/12259/625018/12260/17392/20296/50908/15945/12266/17174/18710/50909/12263",14
