"category","subcategory","ID","Description","GeneRatio","BgRatio","RichFactor","FoldEnrichment","zScore","pvalue","p.adjust","qvalue","geneID","Count"
NA,NA,"mmu04820","Cytoskeleton in muscle cells - Mus musculus (house mouse)","32/304","232/9775",0.137931034482759,4.43511796733212,9.4867668508216,9.05219795671307e-13,2.49840663605281e-10,2.19158476846738e-10,"12832/12842/17897/17885/58916/12825/71355/17907/17879/59011/109272/14119/11459/21953/17884/21957/21925/18074/12715/17882/17996/11474/13808/320502/17901/544791/12845/241431/17930/18175/80297/68802",32
"Environmental Information Processing","Signaling molecules and interaction","mmu04060","Cytokine-cytokine receptor interaction - Mus musculus (house mouse)","29/304","294/9775",0.0986394557823129,3.17171276405299,6.77366971618013,3.27431890695513e-08,4.51856009159808e-06,3.96364920315621e-06,"12774/20307/245527/17082/16193/15945/20296/16323/17329/55985/242316/12984/20306/20308/23886/18413/20302/20293/21832/12777/252837/16160/238057/20305/16181/240873/12165/330122/50905",29
"Environmental Information Processing","Signaling molecules and interaction","mmu04061","Viral protein interaction with cytokine and cytokine receptor - Mus musculus (house mouse)","15/304","95/9775",0.157894736842105,5.07704293628809,7.15392610641918,2.03871526610512e-07,1.87561804481671e-05,1.64527898668133e-05,"12774/20307/16193/15945/20296/17329/55985/20306/20308/20302/20293/12777/252837/20305/330122",15
"Human Diseases","Immune disease","mmu05323","Rheumatoid arthritis - Mus musculus (house mouse)","14/304","87/9775",0.160919540229885,5.17430429522081,7.00650936510482,4.10793449400873e-07,2.83447480086602e-05,2.48638140426844e-05,"17392/21687/16193/140494/20296/11433/13038/16414/13039/242341/20302/20293/12519/330122",14
"Organismal Systems","Immune system","mmu04610","Complement and coagulation cascades - Mus musculus (house mouse)","13/304","94/9775",0.138297872340426,4.44691349384099,6.01601958981655,6.17147082572194e-06,0.000340665189579851,0.000298829113666536,"12268/12267/12259/12262/12260/625018/19124/17174/16414/14065/12061/12269/13137",13
"Human Diseases","Infectious disease: bacterial","mmu05150","Staphylococcus aureus infection - Mus musculus (house mouse)","14/304","128/9775",0.109375,3.51690995065789,5.13513143742647,4.19512805940558e-05,0.00192975890732657,0.0016927709713391,"12268/12267/12259/12262/12260/625018/16663/20344/14130/19204/17174/16414/13510/16664",14
"Human Diseases","Infectious disease: parasitic","mmu05144","Malaria - Mus musculus (house mouse)","9/304","57/9775",0.157894736842105,5.07704293628809,5.53056252378751,5.84624320369152e-05,0.00230509017745551,0.00202200892759256,"16193/20339/20344/20296/16414/13349/110257/20293/12845",9
"Metabolism","Lipid metabolism","mmu00592","alpha-Linolenic acid metabolism - Mus musculus (house mouse)","6/304","25/9775",0.24,7.71710526315789,6.02455386156285,9.25155762547463e-05,0.00312301804077252,0.00273948950944958,"18782/18778/18784/211429/237625/329502",6
"Metabolism","Lipid metabolism","mmu00565","Ether lipid metabolism - Mus musculus (house mouse)","8/304","48/9775",0.166666666666667,5.35910087719298,5.42379318494329,0.0001018375448078,0.00312301804077252,0.00273948950944958,"18782/320981/18778/18784/18807/211429/237625/329502",8
"Human Diseases","Infectious disease: bacterial","mmu05133","Pertussis - Mus musculus (house mouse)","10/304","77/9775",0.12987012987013,4.17592276144908,5.01244067296649,0.000126397205667023,0.00348856287640984,0.00306014287404372,"12268/12259/12262/12260/625018/16193/16414/80796/16160/12269",10
"Cellular Processes","Transport and catabolism","mmu04142","Lysosome - Mus musculus (house mouse)","12/304","135/9775",0.0888888888888889,2.85818713450292,3.8948690159474,0.000999436504330789,0.0226394819076425,0.0198591946558268,"140494/13035/11433/13038/18173/13030/13039/19156/12514/13033/242341/76943",12
"Organismal Systems","Immune system","mmu04062","Chemokine signaling pathway - Mus musculus (house mouse)","15/304","193/9775",0.077720207253886,2.49906258521953,3.76829918951273,0.00100008274065406,0.0226394819076425,0.0198591946558268,"12774/20307/15945/20296/17329/216148/55985/20306/20308/20302/20293/12777/20305/271849/330122",15
"Organismal Systems","Development and regeneration","mmu04380","Osteoclast differentiation - Mus musculus (house mouse)","12/304","136/9775",0.0882352941176471,2.83717105263158,3.86525453812937,0.00106635240869331,0.0226394819076425,0.0198591946558268,"14728/83433/14130/18724/18729/18730/100038909/11433/13038/18722/11937/18725",12
"Metabolism","Lipid metabolism","mmu00590","Arachidonic acid metabolism - Mus musculus (house mouse)","9/304","89/9775",0.101123595505618,3.25158929627439,3.82284761994238,0.00173289459185993,0.0341627790966672,0.0299673500847958,"18782/54486/18778/18784/13118/11686/211429/237625/329502",9
