"category","subcategory","ID","Description","GeneRatio","BgRatio","RichFactor","FoldEnrichment","zScore","pvalue","p.adjust","qvalue","geneID","Count"
"Environmental Information Processing","Signaling molecules and interaction","mmu04060","Cytokine-cytokine receptor interaction - Mus musculus (house mouse)","43/384","294/9775",0.146258503401361,3.72311685090703,9.58647024905111,4.44586715863713e-14,1.31153081179795e-11,1.11848657990976e-11,"17082/12774/16197/245527/14561/20307/16193/16323/242316/238057/57916/12984/326623/16184/23886/20308/20296/20305/20311/22163/18413/15945/21935/12804/17329/16181/227288/12777/16199/21942/330122/21950/240873/50905/20301/100039863/100040048/16160/20293/12771/12165/12163/20306",43
"Environmental Information Processing","Signaling molecules and interaction","mmu04061","Viral protein interaction with cytokine and cytokine receptor - Mus musculus (house mouse)","19/384","95/9775",0.2,5.09114583333333,8.10242358654084,3.63389319869491e-09,5.35999246807499e-07,4.57105512888465e-07,"12774/20307/16193/16184/20308/20296/20305/20311/15945/17329/227288/12777/330122/20301/100039863/100040048/20293/12771/20306",19
"Organismal Systems","Immune system","mmu04610","Complement and coagulation cascades - Mus musculus (house mouse)","18/384","94/9775",0.191489361702128,4.87450132978723,7.63247675442983,1.94061995925702e-08,1.9082762932694e-06,1.6273970886401e-06,"12268/12267/18787/625018/12259/19124/12260/12262/14069/16414/16411/14065/17174/12061/232345/12630/12269/385643",18
"Organismal Systems","Immune system","mmu04662","B cell receptor signaling pathway - Mus musculus (house mouse)","15/384","84/9775",0.178571428571429,4.54566592261905,6.59931743414523,7.74674501785637e-07,5.71322445066907e-05,4.87229489280966e-05,"17060/18724/18729/18730/100038909/18751/14728/14130/12518/18733/18722/242248/18725/12478/100041146",15
"Organismal Systems","Environmental adaptation","mmu04710","Circadian rhythm - Mus musculus (house mouse)","9/384","34/9775",0.264705882352941,6.73828125,6.77743524151946,4.44370297517923e-06,0.000262178475535575,0.000223588423382702,"353187/79362/11865/13170/18628/217166/18143/18030/225998",9
"Human Diseases","Immune disease","mmu05323","Rheumatoid arthritis - Mus musculus (house mouse)","14/384","87/9775",0.160919540229885,4.09632423371648,5.86590266544133,6.51145945117397e-06,0.000320146756349387,0.000273024352426417,"21687/140494/16193/11433/16414/13038/13039/20296/381091/20311/242341/12477/330122/20293",14
"Organismal Systems","Immune system","mmu04062","Chemokine signaling pathway - Mus musculus (house mouse)","21/384","193/9775",0.10880829015544,2.76979436528497,5.02133548689453,2.19402733072575e-05,0.000924625803662995,0.000788530123373616,"12774/18751/20307/320207/20308/20296/20305/20311/15945/17329/227288/12777/14709/271849/330122/20301/100039863/100040048/20293/12771/20306",21
"Human Diseases","Infectious disease: bacterial","mmu05133","Pertussis - Mus musculus (house mouse)","12/384","77/9775",0.155844155844156,3.96712662337662,5.28550164545106,4.14408520956994e-05,0.00152813142102892,0.00130320574353581,"12268/18126/625018/12259/16193/12260/12262/16414/20311/70405/12269/16160",12
"Human Diseases","Infectious disease: parasitic","mmu05144","Malaria - Mus musculus (house mouse)","10/384","57/9775",0.175438596491228,4.46591739766082,5.30655961806477,6.43754228596396e-05,0.00211008330484374,0.00179950012438057,"16193/13349/16414/20344/20339/20296/21826/110257/14934/20293",10
"Human Diseases","Infectious disease: bacterial","mmu05150","Staphylococcus aureus infection - Mus musculus (house mouse)","15/384","128/9775",0.1171875,2.98309326171875,4.5666512225301,0.000142961061827548,0.00421735132391267,0.00359659934492463,"12268/12267/625018/12259/12260/19204/12262/16414/14130/20344/17174/381091/246256/12630/13510",15
"Organismal Systems","Development and regeneration","mmu04380","Osteoclast differentiation - Mus musculus (house mouse)","15/384","136/9775",0.110294117647059,2.8076171875,4.29245534092152,0.00028103955629449,0.00753696991880677,0.00642760324922326,"17060/83433/18724/18729/18730/100038909/14728/11433/14130/13038/18733/18722/18725/246256/100041146",15
"Human Diseases","Substance dependence","mmu05031","Amphetamine addiction - Mus musculus (house mouse)","10/384","69/9775",0.144927536231884,3.68923611111111,4.53293190979674,0.000333232108181699,0.00819195599280009,0.00698618191714263,"18751/19049/14799/18610/214084/110877/14800/14811/11838/70405",10
