"category","subcategory","ID","Description","GeneRatio","BgRatio","RichFactor","FoldEnrichment","zScore","pvalue","p.adjust","qvalue","geneID","Count"
NA,NA,"mmu04820","Cytoskeleton in muscle cells - Mus musculus (house mouse)","45/513","232/9775",0.193965517241379,3.69593163944344,9.78031556654114,1.05545472505183e-14,3.12414598615342e-12,2.31089034537664e-12,"140781/192897/12832/12827/12826/12842/17897/17885/58916/12825/14118/15530/71355/17907/17879/59011/12843/109272/14115/14119/11459/21953/17884/21957/12835/13003/21925/18074/12715/17882/20649/53867/17996/11474/14268/12111/20392/319565/13808/13179/22352/320502/17901/20970/544791",45
"Cellular Processes","Transport and catabolism","mmu04142","Lysosome - Mus musculus (house mouse)","29/513","135/9775",0.214814814814815,4.09320626669555,8.51686395859821,5.04296494590388e-11,7.46358811993774e-09,5.52071951972635e-09,"140494/13035/11433/13038/16889/18173/110006/13030/13039/19156/12514/27419/13033/13040/27060/11605/64138/11432/17159/19141/15212/242341/11777/19025/15211/50917/110173/16792/14667",29
"Organismal Systems","Development and regeneration","mmu04380","Osteoclast differentiation - Mus musculus (house mouse)","26/513","136/9775",0.191176470588235,3.64278752436647,7.30395642602802,7.14311733129401e-09,7.04787576687676e-07,5.21322247336546e-07,"14728/83433/14130/12978/18724/18729/18730/100038909/11433/13038/21808/17060/16476/14131/53313/18733/19261/18722/17972/11937/13057/18725/18710/17969/21813/21934",26
"Environmental Information Processing","Signaling molecules and interaction","mmu04060","Cytokine-cytokine receptor interaction - Mus musculus (house mouse)","40/513","294/9775",0.136054421768707,2.5924599859437,6.5246554405793,2.34754294140105e-08,1.73718177663678e-06,1.28497087318794e-06,"12774/20307/245527/17082/16193/15945/20296/12978/16323/16847/17329/21808/55985/12768/12161/242316/12984/20306/232983/20308/23886/20312/18413/16197/14561/20302/12983/20293/21832/12777/252837/16160/238057/20305/66102/12772/12982/21813/24099/21934",40
"Human Diseases","Infectious disease: parasitic","mmu05146","Amoebiasis - Mus musculus (house mouse)","22/513","108/9775",0.203703703703704,3.88148870117681,7.08639572583748,3.13713487530662e-08,1.85718384618152e-06,1.37373485066058e-06,"16193/12827/12826/12842/13035/12825/16414/21808/226421/18126/381286/12843/20248/23928/11846/14268/226519/16160/16775/18710/16409/109711",22
"Human Diseases","Immune disease","mmu05323","Rheumatoid arthritis - Mus musculus (house mouse)","19/513","87/9775",0.218390804597701,4.16134525329928,6.97038796097311,8.54363358936922e-08,4.21485923742215e-06,3.11767681857684e-06,"17392/21687/16193/140494/20296/11433/13038/16414/21808/13039/16476/27060/242341/20302/20293/12524/24099/21934/12519",19
"Organismal Systems","Digestive system","mmu04974","Protein digestion and absorption - Mus musculus (house mouse)","21/513","108/9775",0.194444444444444,3.70505739657786,6.65250124542418,1.50111963126166e-07,6.34759158362075e-06,4.69523132785603e-06,"12873/12832/12827/12826/12842/12825/71355/213945/13482/72461/12819/12843/12821/50934/70008/16529/20540/12835/53867/234967/12818",21
"Human Diseases","Endocrine and metabolic disease","mmu04933","AGE-RAGE signaling pathway in diabetic complications - Mus musculus (house mouse)","20/513","101/9775",0.198019801980198,3.77318433597746,6.59293577982314,2.1757022804284e-07,8.05009843758508e-06,5.95455360959352e-06,"16193/20339/20296/12827/12826/18787/17390/12842/12825/21808/12843/16476/22329/12443/14268/20293/12576/18710/18754/21813",20
"Organismal Systems","Immune system","mmu04610","Complement and coagulation cascades - Mus musculus (house mouse)","18/513","94/9775",0.191489361702128,3.64874953340799,6.07277473404329,1.47416474041272e-06,4.84836403513515e-05,3.58627211702743e-05,"12268/12267/12259/12262/12260/625018/19124/18787/17174/16414/14065/16411/12061/12258/14069/50908/16409/12274",18
"Environmental Information Processing","Signaling molecules and interaction","mmu04061","Viral protein interaction with cytokine and cytokine receptor - Mus musculus (house mouse)","18/513","95/9775",0.189473684210526,3.61034164358264,6.01677730351551,1.73185206222611e-06,5.1262821041893e-05,3.79184451518981e-05,"12774/20307/16193/15945/20296/12978/17329/55985/12768/20306/20308/20312/20302/20293/12777/252837/20305/12772",18
"Human Diseases","Drug resistance: antineoplastic","mmu01522","Endocrine resistance - Mus musculus (house mouse)","17/513","93/9775",0.182795698924731,3.48309543272758,5.6623251941344,5.59413866179686e-06,0.000150533185808352,0.000111347448962081,"17390/16000/12578/216148/13983/16476/11514/12575/16450/12443/17246/13388/54485/12576/104110/16001/18710",17
"Human Diseases","Cancer: specific types","mmu05224","Breast cancer - Mus musculus (house mouse)","22/513","147/9775",0.149659863945578,2.85170598453806,5.32359634619999,7.71976252650949e-06,0.000190420808987234,0.000140851807501226,"22418/16000/216148/16590/13983/16476/14366/12575/16450/14368/22419/12443/15213/14182/14257/13388/54485/16973/18667/16001/18710/14369",22
"Human Diseases","Infectious disease: bacterial","mmu05133","Pertussis - Mus musculus (house mouse)","15/513","77/9775",0.194805194805195,3.71193134351029,5.6224477063032,8.86722360189708e-06,0.000201899860473964,0.000149342713295109,"12268/12259/12262/12260/625018/16193/16414/80796/18126/16476/12258/16160/12362/50908/16409",15
"Environmental Information Processing","Signaling molecules and interaction","mmu04512","ECM-receptor interaction - Mus musculus (house mouse)","16/513","89/9775",0.179775280898876,3.42554263311212,5.40971200142264,1.31282463799563e-05,0.000277568637747648,0.000205313928348189,"21923/192897/12827/12826/12842/12491/15530/12843/12835/23928/19699/20750/14268/15891/226519/16775",16
"Environmental Information Processing","Signal transduction","mmu04151","PI3K-Akt signaling pathway - Mus musculus (house mouse)","39/513","367/9775",0.106267029972752,2.02487371926638,4.70974285606649,1.8996391857672e-05,0.000374862132658062,0.000277280667115494,"21923/21687/16193/192897/12827/12978/12826/12842/16000/16590/12444/12843/235542/54635/320207/18413/12669/12835/23928/12575/19699/16197/14745/20750/263803/12443/14268/14182/14257/15891/17246/226519/16775/98432/12576/16001/13874/18710/104709",39
"Cellular Processes","Cellular community - eukaryotes","mmu04510","Focal adhesion - Mus musculus (house mouse)","25/513","202/9775",0.123762376237624,2.35824020998591,4.59061319034038,5.4128664251165e-05,0.00100138028864655,0.000740708037121205,"21923/192897/12827/12826/12842/16000/216148/17907/12444/12843/16476/54635/12835/23928/19699/20750/12443/14268/14257/15891/226519/16775/16001/18710/109711",25
