"category","subcategory","ID","Description","GeneRatio","BgRatio","RichFactor","FoldEnrichment","zScore","pvalue","p.adjust","qvalue","geneID","Count"
"Organismal Systems","Immune system","mmu04662","B cell receptor signaling pathway - Mus musculus (house mouse)","27/808","84/9775",0.321428571428571,3.88856966053748,7.98098426402064,3.00788877015738e-10,9.43801794686496e-08,7.10927474510349e-08,"17060/18724/18729/18730/100038909/18751/14728/14130/16476/12483/20963/12518/18733/240354/12517/234779/18722/18710/242248/19354/18725/16653/12229/15985/22324/18019/14281",27
"Cellular Processes","Transport and catabolism","mmu04142","Lysosome - Mus musculus (house mouse)","35/808","135/9775",0.259259259259259,3.13645947928126,7.50310960117791,5.772488040896e-10,9.43801794686496e-08,7.10927474510349e-08,"15587/140494/11433/16889/15212/12514/13038/27419/110006/18173/13030/17159/110173/50917/13033/19156/74008/12091/13039/16792/27029/11432/64138/11605/13040/19025/19141/211329/11305/27060/14667/242341/75612/15211/13035",35
"Human Diseases","Endocrine and metabolic disease","mmu04933","AGE-RAGE signaling pathway in diabetic complications - Mus musculus (house mouse)","26/808","101/9775",0.257425742574257,3.11427801195961,6.41118046026319,1.11390402174682e-07,1.21415538370403e-05,9.14573828381596e-06,"21808/18787/18751/16193/16476/50490/17390/21824/12842/21813/12827/234779/12576/20339/18710/18796/12843/13058/20296/12826/16653/13653/14268/12443/12828/12825",26
"Human Diseases","Immune disease","mmu05323","Rheumatoid arthritis - Mus musculus (house mouse)","23/808","87/9775",0.264367816091954,3.19826163650848,6.18215948836103,3.57623186107046e-07,2.9235695464251e-05,2.20220593550128e-05,"21808/21687/140494/16193/11433/16414/16476/13038/14969/13039/20296/381091/20311/17392/24099/14254/15002/27060/242341/21934/12524/24088/14281",23
"Organismal Systems","Development and regeneration","mmu04380","Osteoclast differentiation - Mus musculus (house mouse)","30/808","136/9775",0.220588235294118,2.66862623762376,5.88207821488602,4.80677461804044e-07,3.14363060019845e-05,2.36796896972939e-05,"21808/17060/83433/18724/18729/18730/100038909/14728/11433/14130/16476/13038/12978/19261/20963/17969/18733/21813/234779/18722/18710/16822/18725/17972/12229/21934/16477/18019/246256/14281",30
"Environmental Information Processing","Signaling molecules and interaction","mmu04060","Cytokine-cytokine receptor interaction - Mus musculus (house mouse)","50/808","294/9775",0.170068027210884,2.05744426483465,5.52614582372496,5.96920056368988e-07,3.25321430721098e-05,2.45051391562005e-05,"21808/17082/12774/16197/245527/107527/14561/20307/16193/16323/16847/242316/238057/57916/12772/12978/12984/21813/12982/326623/16184/12161/12983/23886/20308/20296/20305/16154/11482/13051/20311/22163/12775/20312/24099/18413/57890/12160/15945/21935/12804/16182/16878/21934/17329/16181/12768/227288/55985/13607",50
"Metabolism","Glycan biosynthesis and metabolism","mmu00531","Glycosaminoglycan degradation - Mus musculus (house mouse)","10/808","21/9775",0.476190476190476,5.76084394153701,6.55572126915901,2.14020388521652e-06,9.99780957808287e-05,7.53094299459646e-05,"15587/15212/27419/15442/110006/50917/12091/27029/75612/15211",10
"Organismal Systems","Immune system","mmu04640","Hematopoietic cell lineage - Mus musculus (house mouse)","22/808","94/9775",0.234042553191489,2.83139351169159,5.35554596176146,5.80805739726746e-06,0.000237404346113307,0.000178827030389551,"12490/16197/14128/16193/12491/12489/12493/12483/12978/14969/16401/16590/12509/12982/16184/16790/381091/14724/15002/16409/13136/12505",22
"Cellular Processes","Transport and catabolism","mmu04145","Phagosome - Mus musculus (house mouse)","33/808","183/9775",0.180327868852459,2.18156549261484,4.84336302166733,1.43813066662939e-05,0.000522520808875344,0.000393593656130148,"14990/140494/12491/16414/14130/226421/17969/14969/20288/110557/56644/15018/110558/13039/13058/108078/69165/13040/17533/381091/22145/17972/15002/21826/27060/242341/16409/227613/12317/22143/246256/24088/140792",33
"Organismal Systems","Immune system","mmu04062","Chemokine signaling pathway - Mus musculus (house mouse)","34/808","193/9775",0.176165803108808,2.1312137690453,4.76445815253312,1.7892182515043e-05,0.000585074368241905,0.000440712706160006,"12774/18751/104110/20307/94176/12772/320207/17969/234779/19395/18710/18796/19229/21844/20308/20296/20305/19354/30955/13051/20311/12775/20312/11514/15945/16653/109689/216148/17329/12768/227288/22324/14773/55985",34
"Organismal Systems","Immune system","mmu04610","Complement and coagulation cascades - Mus musculus (house mouse)","21/808","94/9775",0.223404255319149,2.7026938066147,4.97918927959336,2.02283922900895e-05,0.000601334934441751,0.000452961128792434,"12268/12267/18787/625018/12259/19124/12260/12262/14069/16414/16411/14065/21824/17174/12509/12061/22370/16409/232345/13136/50908",21
"Human Diseases","Infectious disease: parasitic","mmu05140","Leishmaniasis - Mus musculus (house mouse)","17/808","70/9775",0.242857142857143,2.93803041018388,4.8846123188383,3.97709886761043e-05,0.00108375944142384,0.000816351872825299,"21808/18126/18751/16414/16476/17969/14969/16401/13058/381091/17972/15002/17357/16409/246256/24088/14281",17
"Environmental Information Processing","Signal transduction","mmu04010","MAPK signaling pathway - Mus musculus (house mouse)","45/808","299/9775",0.150501672240803,1.8207349581112,4.3265752640948,5.46812741665177e-05,0.00130523207912244,0.000983178195765814,"21808/15511/193740/21687/17762/15481/18751/18212/12286/15507/66922/17260/14184/16476/16000/12978/16765/18218/21813/16590/54635/26411/19395/14186/26403/19354/320139/14254/12288/70686/13198/16653/12290/109689/58226/64654/13636/12297/58231/18188/17187/16001/15370/14281/19419",45
"Organismal Systems","Environmental adaptation","mmu04710","Circadian rhythm - Mus musculus (house mouse)","11/808","34/9775",0.323529411764706,3.91398514851485,5.10908683042053,5.5881495742245e-05,0.00130523207912244,0.000983178195765814,"353187/79362/11865/13170/18628/20893/217166/18143/18030/12952/225998",11
"Cellular Processes","Transport and catabolism","mmu04148","Efferocytosis - Mus musculus (house mouse)","29/808","163/9775",0.177914110429448,2.15236439288101,4.453433938638,6.06246596820534e-05,0.00132161758106876,0.000995520727410561,"12259/12491/12260/228432/16889/12262/226421/19261/18218/11303/18442/78070/233571/19219/12642/12362/13609/11487/13051/20312/14456/70686/15251/20393/12317/18019/17304/93759/12894",29
