"category","subcategory","ID","Description","GeneRatio","BgRatio","RichFactor","FoldEnrichment","zScore","pvalue","p.adjust","qvalue","geneID","Count"
"Organismal Systems","Immune system","mmu04612","Antigen processing and presentation - Mus musculus (house mouse)","7/77","87/9775",0.0804597701149425,10.21421107628,7.69203334072678,5.03335327173013e-06,0.000795269816933361,0.00066758159182947,"15511/193740/110557/15018/110558/15481/14990",7
"Cellular Processes","Transport and catabolism","mmu04144","Endocytosis - Mus musculus (house mouse)","10/77","270/9775",0.037037037037037,4.7017797017797,5.49612790777847,4.69444787876533e-05,0.00370861382422461,0.00311316017223385,"15511/193740/12774/110557/15018/110558/14184/66313/15481/14990",10
"Human Diseases","Immune disease","mmu05332","Graft-versus-host disease - Mus musculus (house mouse)","5/77","60/9775",0.0833333333333333,10.5790043290043,6.63154975360855,0.000103591694565033,0.00545582924709174,0.00457984333866462,"110557/15018/110558/16193/14990",5
"Human Diseases","Infectious disease: parasitic","mmu05145","Toxoplasmosis - Mus musculus (house mouse)","6/77","109/9775",0.055045871559633,6.98796616227809,5.60156824082337,0.000208832868660012,0.00824889831207047,0.00692445827662144,"15511/193740/12774/54396/16145/15481",6
"Human Diseases","Infectious disease: bacterial","mmu05134","Legionellosis - Mus musculus (house mouse)","4/77","60/9775",0.0666666666666667,8.46320346320346,5.16677969730929,0.00124277033303127,0.0327262854364902,0.0274717652564807,"15511/193740/15481/16193",4
"Human Diseases","Immune disease","mmu05330","Allograft rejection - Mus musculus (house mouse)","4/77","60/9775",0.0666666666666667,8.46320346320346,5.16677969730929,0.00124277033303127,0.0327262854364902,0.0274717652564807,"110557/15018/110558/14990",4
"Human Diseases","Infectious disease: viral","mmu05167","Kaposi sarcoma-associated herpesvirus infection - Mus musculus (house mouse)","7/77","223/9775",0.031390134529148,3.98491642886262,4.0177035707385,0.0018165508223995,0.0361748488266585,0.0303666285953296,"12774/110557/15018/110558/12768/16193/14990",7
"Human Diseases","Endocrine and metabolic disease","mmu04940","Type I diabetes mellitus - Mus musculus (house mouse)","4/77","67/9775",0.0597014925373134,7.5789881760031,4.81473139260833,0.00187397584944178,0.0361748488266585,0.0303666285953296,"110557/15018/110558/14990",4
"Human Diseases","Cancer: overview","mmu05203","Viral carcinogenesis - Mus musculus (house mouse)","7/77","228/9775",0.0307017543859649,3.89752791068581,3.9445914613861,0.00206059265468308,0.0361748488266585,0.0303666285953296,"12774/13655/110557/15018/110558/13654/14990",7
"Genetic Information Processing","Folding, sorting and degradation","mmu04141","Protein processing in endoplasmic reticulum - Mus musculus (house mouse)","6/77","175/9775",0.0342857142857143,4.35250463821892,3.98743149858943,0.00250541492671835,0.0391569006491919,0.0328698832897946,"15511/193740/81489/15505/15502/15481",6
"Environmental Information Processing","Signaling molecules and interaction","mmu04514","Cell adhesion molecules - Mus musculus (house mouse)","6/77","179/9775",0.0335195530726257,4.25524196473917,3.91656295177256,0.00280461784346302,0.0391569006491919,0.0328698832897946,"110557/15018/110558/20612/12741/14990",6
"Human Diseases","Immune disease","mmu05320","Autoimmune thyroid disease - Mus musculus (house mouse)","4/77","76/9775",0.0526315789473684,6.68147641831852,4.43042067353522,0.00297394182145761,0.0391569006491919,0.0328698832897946,"110557/15018/110558/14990",4
"Human Diseases","Infectious disease: viral","mmu05166","Human T-cell leukemia virus 1 infection - Mus musculus (house mouse)","7/77","247/9775",0.0283400809716599,3.59771807140228,3.68451270192893,0.0032276599436435,0.0392284823919748,0.0329299718946624,"110557/13653/15018/110558/16193/13654/14990",7
"Human Diseases","Infectious disease: viral","mmu05163","Human cytomegalovirus infection - Mus musculus (house mouse)","7/77","254/9775",0.0275590551181102,3.49856836077308,3.59506918053099,0.0037661036012409,0.0425031692140045,0.0356788762222822,"12774/110557/15018/110558/12768/16193/14990",7
