"category","subcategory","ID","Description","GeneRatio","BgRatio","RichFactor","FoldEnrichment","zScore","pvalue","p.adjust","qvalue","geneID","Count"
"Organismal Systems","Immune system","mmu04610","Complement and coagulation cascades - Mus musculus (house mouse)","13/223","94/9775",0.138297872340426,6.06216009922717,7.53496319018804,1.88214656820531e-07,5.00650987142614e-05,4.47752762541475e-05,"12268/625018/12259/50908/12266/12260/12262/12267/18787/12263/12062/19124/14069",13
"Organismal Systems","Immune system","mmu04662","B cell receptor signaling pathway - Mus musculus (house mouse)","11/223","84/9775",0.130952380952381,5.74017723681401,6.66639999692202,2.92809549252925e-06,0.00038943670050639,0.0003482892533219,"17060/18710/12518/18751/14130/18724/18729/18730/100038909/14728/18037",11
"Human Diseases","Infectious disease: bacterial","mmu05150","Staphylococcus aureus infection - Mus musculus (house mouse)","12/223","128/9775",0.09375,4.10944506726457,5.41044736410103,3.41062271700155e-05,0.00275868320693973,0.00246720381784084,"12268/625018/14130/12259/50908/12266/12260/12262/94179/12267/12263/15002",12
"Environmental Information Processing","Signaling molecules and interaction","mmu04060","Cytokine-cytokine receptor interaction - Mus musculus (house mouse)","19/223","294/9775",0.0646258503401361,2.83281474024587,4.87535902376126,4.14839579990937e-05,0.00275868320693973,0.00246720381784084,"21808/245527/23886/17082/24099/16197/242316/21935/20307/107527/12778/238057/16154/14561/21933/16323/22163/12978/17329",19
"Human Diseases","Infectious disease: bacterial","mmu05133","Pertussis - Mus musculus (house mouse)","9/223","77/9775",0.116883116883117,5.12346397996622,5.55019088505421,5.97383740677648e-05,0.00317808150040509,0.00284228895564523,"12268/625018/18126/12259/50908/12266/12260/12262/12263",9
"Organismal Systems","Environmental adaptation","mmu04710","Circadian rhythm - Mus musculus (house mouse)","6/223","34/9775",0.176470588235294,7.73542600896861,6.01096498938384,0.000103829108130027,0.00438573614857398,0.0039223441613681,"353187/18628/11865/18143/13170/79362",6
"Human Diseases","Infectious disease: parasitic","mmu05142","Chagas disease - Mus musculus (house mouse)","10/223","103/9775",0.0970873786407767,4.2557359919892,5.07517580703365,0.000115414109172999,0.00438573614857398,0.0039223441613681,"21808/18126/18710/12259/12266/12260/12262/18787/12317/12062",10
"Organismal Systems","Development and regeneration","mmu04380","Osteoclast differentiation - Mus musculus (house mouse)","11/223","136/9775",0.0808823529411765,3.54540358744395,4.56721606787195,0.000271869675830426,0.00903966672136166,0.00808454562337846,"21808/17060/18710/83433/14130/18724/18729/18730/100038909/14728/12978",11
"Human Diseases","Endocrine and metabolic disease","mmu04936","Alcoholic liver disease - Mus musculus (house mouse)","11/223","141/9775",0.0780141843971631,3.4196800559743,4.42186645381765,0.000371702906411687,0.0109858859006121,0.00982512945602821,"12268/625018/50490/12259/12266/12260/12262/12894/12267/12263/13106",11
"Metabolism","Glycan biosynthesis and metabolism","mmu00531","Glycosaminoglycan degradation - Mus musculus (house mouse)","4/223","21/9775",0.19047619047619,8.3493487080931,5.1512018465435,0.00116278673129433,0.0309301270524293,0.0276620843444757,"15587/15212/15442/27029",4
"Organismal Systems","Immune system","mmu04640","Hematopoietic cell lineage - Mus musculus (house mouse)","8/223","94/9775",0.0851063829787234,3.73056006106288,4.06440514432711,0.00133643847660941,0.0323175122525548,0.0289028799726054,"12490/16197/16401/14128/12493/12489/15002/12978",8
"Metabolism","Glycan biosynthesis and metabolism","mmu00534","Glycosaminoglycan biosynthesis - heparan sulfate / heparin - Mus musculus (house mouse)","4/223","24/9775",0.166666666666667,7.30568011958146,4.7255723886451,0.00195674272858787,0.0433417087775044,0.0387622721951563,"233781/50786/23908/15476",4
"Human Diseases","Endocrine and metabolic disease","mmu04933","AGE-RAGE signaling pathway in diabetic complications - Mus musculus (house mouse)","8/223","101/9775",0.0792079207920792,3.47200639346446,3.81547556849909,0.00211820381243442,0.0433417087775044,0.0387622721951563,"21808/50490/18710/12830/18751/17390/18787/12828",8
