"category","subcategory","ID","Description","GeneRatio","BgRatio","RichFactor","FoldEnrichment","zScore","pvalue","p.adjust","qvalue","geneID","Count"
"Organismal Systems","Immune system","mmu04610","Complement and coagulation cascades - Mus musculus (house mouse)","13/229","94/9775",0.138297872340426,5.90332621016445,7.39839981720695,2.56041840595921e-07,6.52906693519598e-05,6.09110062891348e-05,"12268/18787/625018/19124/12260/14069/14065/12267/232345/12630/385643/12269/14161",13
"Organismal Systems","Environmental adaptation","mmu04710","Circadian rhythm - Mus musculus (house mouse)","8/229","34/9775",0.235294117647059,10.0436681222707,8.18135988308313,8.61792608229012e-07,0.000109878557549199,0.000102507962873556,"353187/79362/13170/18628/217166/18143/11865/225998",8
"Environmental Information Processing","Signaling molecules and interaction","mmu04060","Cytokine-cytokine receptor interaction - Mus musculus (house mouse)","22/229","294/9775",0.0748299319727891,3.19415975997386,5.91640685277876,1.42778885950764e-06,0.000121362053058149,0.00011322115166622,"245527/17082/23886/16197/20296/20307/16323/12984/242316/238057/16193/21935/20305/227288/12777/16199/22163/330122/20311/20302/240873/20306",22
"Organismal Systems","Development and regeneration","mmu04380","Osteoclast differentiation - Mus musculus (house mouse)","13/229","136/9775",0.0955882352941176,4.08024017467249,5.60249191519165,1.72402878537355e-05,0.00109906835067564,0.00102534343551164,"17060/83433/18724/18729/18730/100038909/14130/11433/14728/13038/18722/18725/100041146",13
"Organismal Systems","Immune system","mmu04662","B cell receptor signaling pathway - Mus musculus (house mouse)","10/229","84/9775",0.119047619047619,5.08161779995841,5.81876576499924,2.47750027523858e-05,0.00126352514037168,0.00117876855200825,"17060/18724/18729/18730/100038909/14130/14728/18722/18725/100041146",10
"Human Diseases","Immune disease","mmu05323","Rheumatoid arthritis - Mus musculus (house mouse)","10/229","87/9775",0.114942528735632,4.90638959995985,5.66841070821415,3.37641960981328e-05,0.00143497833417064,0.00133872075757509,"20296/11433/13038/140494/16193/242341/381091/330122/20311/20302",10
"Environmental Information Processing","Signaling molecules and interaction","mmu04061","Viral protein interaction with cytokine and cytokine receptor - Mus musculus (house mouse)","10/229","95/9775",0.105263157894737,4.49321994943691,5.2989918212084,7.24255436775637e-05,0.00263835909111125,0.0024613793791172,"20296/20307/16193/20305/227288/12777/330122/20311/20302/20306",10
"Environmental Information Processing","Signaling molecules and interaction","mmu04080","Neuroactive ligand-receptor interaction - Mus musculus (house mouse)","22/229","390/9775",0.0564102564102564,2.40790504982645,4.39472521157943,0.000118857682842964,0.00378858864061947,0.00353445214769865,"18166/18442/19222/14065/14938/109648/225642/12267/18619/14800/14652/20608/94226/18610/14404/11542/12669/14811/13035/385643/15465/11552",22
"Human Diseases","Infectious disease: parasitic","mmu05144","Malaria - Mus musculus (house mouse)","7/229","57/9775",0.12280701754386,5.24208994100973,4.97475899769319,0.000344778843383336,0.00976873389586119,0.00911345246837824,"20296/13349/20339/20344/16193/110257/14934",7
"Human Diseases","Infectious disease: bacterial","mmu05133","Pertussis - Mus musculus (house mouse)","8/229","77/9775",0.103896103896104,4.43486644360007,4.68659388404574,0.000420194466417024,0.0107149588936341,0.00999620520107868,"12268/18126/625018/12260/16193/70405/20311/12269",8
"Human Diseases","Substance dependence","mmu05031","Amphetamine addiction - Mus musculus (house mouse)","7/229","69/9775",0.101449275362319,4.33042212518195,4.29978636756043,0.00110962084773179,0.0257230287428734,0.0239975417786972,"14800/214084/18610/11838/14811/110877/70405",7
"Metabolism","Amino acid metabolism","mmu00380","Tryptophan metabolism - Mus musculus (house mouse)","6/229","52/9775",0.115384615384615,4.92526032919046,4.39554962516455,0.00128070880195261,0.0272150620414929,0.0253894902843236,"76507/21990/15930/13076/56720/224530",6
"Human Diseases","Infectious disease: parasitic","mmu05143","African trypanosomiasis - Mus musculus (house mouse)","5/229","39/9775",0.128205128205128,5.47251147687829,4.33447675331698,0.00203089234020815,0.0398367343656214,0.0371645076021896,"15930/20339/16193/110257/385643",5
"Human Diseases","Immune disease","mmu05310","Asthma - Mus musculus (house mouse)","4/229","25/9775",0.16,6.82969432314411,4.52018982492674,0.00252027590006424,0.0459050253225986,0.0428257408582344,"14125/14126/381091/19074",4
