"category","subcategory","ID","Description","GeneRatio","BgRatio","RichFactor","FoldEnrichment","zScore","pvalue","p.adjust","qvalue","geneID","Count"
"Cellular Processes","Transport and catabolism","mmu04142","Lysosome - Mus musculus (house mouse)","26/462","135/9775",0.192592592592593,4.07487574154241,8.01250458758002,6.58153636318302e-10,1.92180861804944e-07,1.53800112908066e-07,"16889/11433/15212/13038/140494/12514/15587/27419/110006/18173/19156/13040/13030/13033/211329/15211/17159/12091/110173/50917/242341/64138/16792/19141/11605/19025",26
"Organismal Systems","Development and regeneration","mmu04380","Osteoclast differentiation - Mus musculus (house mouse)","23/462","136/9775",0.169117647058824,3.57819264069264,6.74343509940477,8.33257149870081e-08,1.21655543881032e-05,9.7359519616399e-06,"21808/17060/83433/18710/18724/18729/18730/100038909/14130/12702/11433/14728/13038/19261/16476/20963/18733/18722/17969/12978/21813/18725/14131",23
"Organismal Systems","Immune system","mmu04610","Complement and coagulation cascades - Mus musculus (house mouse)","18/462","94/9775",0.191489361702128,4.05153357281017,6.6211636601465,3.19962163458999e-07,3.11429839100093e-05,2.49233685220694e-05,"12268/18787/625018/19124/12259/12260/14069/12262/14065/16414/12267/16411/12509/50908/232345/21824/12266/12062",18
"Human Diseases","Endocrine and metabolic disease","mmu04933","AGE-RAGE signaling pathway in diabetic complications - Mus musculus (house mouse)","18/462","101/9775",0.178217821782178,3.77073421627877,6.23397228173137,9.74945112407334e-07,7.11709932057354e-05,5.69573197248495e-05,"18787/21808/18710/20296/50490/17390/20339/16476/12827/12826/16193/18751/12830/12443/21813/12576/21824/12842",18
"Metabolism","Glycan biosynthesis and metabolism","mmu00531","Glycosaminoglycan degradation - Mus musculus (house mouse)","8/462","21/9775",0.380952380952381,8.06019377447949,7.21352010013365,2.76672883516732e-06,0.000161576963973771,0.000129308168717294,"15212/15587/27419/110006/15442/15211/12091/50917",8
"Organismal Systems","Immune system","mmu04662","B cell receptor signaling pathway - Mus musculus (house mouse)","14/462","84/9775",0.166666666666667,3.52633477633478,5.17915132302735,3.44942952985824e-05,0.00167872237119768,0.00134346202741847,"17060/18710/18724/18729/18730/100038909/14130/14728/16476/20963/18733/18722/18751/18725",14
"Human Diseases","Immune disease","mmu05323","Rheumatoid arthritis - Mus musculus (house mouse)","14/462","87/9775",0.160919540229885,3.40473702542668,5.01790581103629,5.16226163534563e-05,0.00203701380037782,0.00163019849922089,"21808/21687/20296/11433/16414/13038/140494/24099/16476/16193/20304/12524/242341/66335",14
"Environmental Information Processing","Signaling molecules and interaction","mmu04060","Cytokine-cytokine receptor interaction - Mus musculus (house mouse)","30/462","294/9775",0.102040816326531,2.15898047530701,4.49402066662147,5.58085972706251e-05,0.00203701380037782,0.00163019849922089,"245527/17082/21808/23886/16197/20296/20307/16323/24099/12984/242316/238057/14561/12778/16193/12982/21935/107527/21933/12983/12978/21813/12774/20304/20308/326623/20305/16847/16190/20312",30
"Metabolism","Glycan biosynthesis and metabolism","mmu00603","Glycosphingolipid biosynthesis - globo and isoglobo series - Mus musculus (house mouse)","6/462","17/9775",0.352941176470588,7.46753246753247,5.94422205885641,8.55012671954585e-05,0.00277404111345265,0.00222003290261892,"15212/93961/15211/227671/11605/56546",6
"Metabolism","Glycan biosynthesis and metabolism","mmu00511","Other glycan degradation - Mus musculus (house mouse)","6/462","18/9775",0.333333333333333,7.05266955266955,5.72449812982856,0.000123166573644018,0.00359646395040532,0.00287820835252336,"15212/17160/15211/17159/12091/110173",6
"Organismal Systems","Environmental adaptation","mmu04710","Circadian rhythm - Mus musculus (house mouse)","8/462","34/9775",0.235294117647059,4.97835497835498,5.17551500436514,0.000143371135125514,0.00380585195060456,0.0030457791385516,"353187/20893/79362/13170/18628/217166/18143/11865",8
"Organismal Systems","Digestive system","mmu04974","Protein digestion and absorption - Mus musculus (house mouse)","15/462","108/9775",0.138888888888889,2.93861231361231,4.51200257721885,0.000159190389527375,0.00387363281183279,0.00310002337500677,"12873/72461/12819/71355/234967/12818/12827/12832/12826/170745/12830/12822/213945/57442/12842",15
"Cellular Processes","Transport and catabolism","mmu04148","Efferocytosis - Mus musculus (house mouse)","19/462","163/9775",0.116564417177914,2.46627094786604,4.20449174849869,0.000242351455065339,0.00544358652915991,0.00435643911129597,"12259/12260/18442/12262/16889/12491/19261/228432/11303/226421/14456/11487/20393/78070/18263/19219/233571/15251/20312",19
"Human Diseases","Infectious disease: parasitic","mmu05142","Chagas disease - Mus musculus (house mouse)","14/462","103/9775",0.135922330097087,2.87584583701089,4.26255470666945,0.0003289027105832,0.00685997082073531,0.00548995501875717,"18126/18787/21808/18710/12259/12260/20296/12262/16476/16193/21813/20304/12266/12062",14
"Cellular Processes","Transport and catabolism","mmu04145","Phagosome - Mus musculus (house mouse)","20/462","183/9775",0.109289617486339,2.31235067300641,3.99147314616413,0.000397134892729242,0.00773089257846257,0.0061869435919924,"14990/14130/15018/110558/16414/12491/140494/110557/226421/17969/17533/13040/56644/108078/140792/20288/242341/66335/14131/12266",20
"Cellular Processes","Cell growth and death","mmu04115","p53 signaling pathway - Mus musculus (house mouse)","11/462","75/9775",0.146666666666667,3.1031746031746,4.07223138781037,0.000737405135996109,0.013457643731929,0.0107699960652063,"18787/68428/12578/16000/22401/12444/21933/12443/12450/230784/29813",11
"Human Diseases","Infectious disease: bacterial","mmu05133","Pertussis - Mus musculus (house mouse)","11/462","77/9775",0.142857142857143,3.02257266542981,3.96844860256165,0.00092402595605968,0.0158715046570251,0.0127017809439783,"12268/18126/625018/12259/12260/12262/16414/16476/16193/50908/12266",11
"Environmental Information Processing","Signal transduction","mmu04151","PI3K-Akt signaling pathway - Mus musculus (house mouse)","31/462","367/9775",0.0844686648501362,1.78718874222961,3.42354157249208,0.00119693583074773,0.0194169590321299,0.0155391669254969,"16197/18710/192897/12064/21687/21923/16000/18212/320207/54635/20963/16590/12827/12826/16193/12830/12444/12443/20393/12978/20750/13874/16775/64654/78134/71785/12576/30955/12669/16190/12842",31
"Human Diseases","Drug resistance: antineoplastic","mmu01522","Endocrine resistance - Mus musculus (house mouse)","12/462","93/9775",0.129032258064516,2.73006563329144,3.73365227068088,0.0013755279506519,0.0211396927152818,0.0169178506949984,"18710/12578/16000/17390/16476/11514/104110/12443/13557/13388/12576/224129",12
"Human Diseases","Substance dependence","mmu05030","Cocaine addiction - Mus musculus (house mouse)","8/462","48/9775",0.166666666666667,3.52633477633478,3.90781877218532,0.00166728768876026,0.0243424002558999,0.0194809403634094,"12064/19049/16476/14800/214084/18610/14811/224129",8
"Organismal Systems","Development and regeneration","mmu04360","Axon guidance - Mus musculus (house mouse)","18/462","181/9775",0.0994475138121547,2.104111358255,3.33937092536315,0.00225239091014018,0.0313189593219492,0.0250641996015599,"270190/268902/18710/22418/13641/20563/18208/20356/238057/107449/20358/50780/20346/13845/13642/259302/218877/13837",18
"Organismal Systems","Digestive system","mmu04976","Bile secretion - Mus musculus (house mouse)","12/462","101/9775",0.118811881188119,2.51382281085251,3.40600314056169,0.00280068178505292,0.0360132188305411,0.0288209609963235,"28250/18671/13849/11826/11514/104110/18669/26357/20537/239273/320024/224129",12
"Human Diseases","Infectious disease: bacterial","mmu05150","Staphylococcus aureus infection - Mus musculus (house mouse)","14/462","128/9775",0.109375,2.3141571969697,3.33325482941695,0.00283665764761112,0.0360132188305411,0.0288209609963235,"12268/625018/12259/14130/12260/12262/16414/12267/19204/20344/50908/14131/12266/94179",14
"Environmental Information Processing","Signaling molecules and interaction","mmu04512","ECM-receptor interaction - Mus musculus (house mouse)","11/462","89/9775",0.123595505617978,2.61503477795613,3.40892152301221,0.00303899848260656,0.0361418866581995,0.0289239323652498,"192897/21923/12491/12827/12826/12830/15530/20750/16775/329872/12842",11
"Environmental Information Processing","Signaling molecules and interaction","mmu04080","Neuroactive ligand-receptor interaction - Mus musculus (house mouse)","31/462","390/9775",0.0794871794871795,1.68179043179043,3.06040160287267,0.00309433961114722,0.0361418866581995,0.0289239323652498,"30878/18166/18442/19222/14065/14938/109648/225642/12267/18619/19204/21833/14800/14652/20608/94226/18610/54598/14404/11542/16847/12671/78134/19219/233571/12669/14811/12266/12062/19228/14400",31
"Human Diseases","Substance dependence","mmu05032","Morphine addiction - Mus musculus (house mouse)","11/462","92/9775",0.119565217391304,2.5297619047619,3.28341019998832,0.00394117100709732,0.0420921748645661,0.0336858789471293,"23984/12286/11514/104110/18751/54611/14404/18575/109689/14400/224129",11
"Metabolism","Nucleotide metabolism","mmu00230","Purine metabolism - Mus musculus (house mouse)","14/462","134/9775",0.104477611940299,2.2105382180009,3.14255014631616,0.00431141860814016,0.0420921748645661,0.0336858789471293,"23959/22436/18160/23984/18605/11514/104110/14544/54611/11636/18575/210808/224129/18585",14
"Environmental Information Processing","Signal transduction","mmu04072","Phospholipase D signaling pathway - Mus musculus (house mouse)","15/462","149/9775",0.100671140939597,2.13000087161161,3.09571760990954,0.00453014116411595,0.0420921748645661,0.0336858789471293,"14125/18710/14126/320207/103967/54635/20963/16590/11514/104110/78134/71785/30955/72318/224129",15
"Environmental Information Processing","Signal transduction","mmu04024","cAMP signaling pathway - Mus musculus (house mouse)","20/462","224/9775",0.0892857142857143,1.88910791589363,2.99824016079907,0.00464229300746163,0.0420921748645661,0.0336858789471293,"15245/18166/18710/12064/19049/18160/109648/23984/16476/11514/104110/14800/106952/14652/54611/239273/12669/14811/381290/224129",20
"Human Diseases","Cardiovascular disease","mmu05416","Viral myocarditis - Mus musculus (house mouse)","11/462","94/9775",0.117021276595745,2.47593718338399,3.20246243736444,0.00465301720976695,0.0420921748645661,0.0336858789471293,"14990/140781/15018/110558/16414/110557/18646/20649/12443/13052/12524",11
"Environmental Information Processing","Signaling molecules and interaction","mmu04514","Cell adhesion molecules - Mus musculus (house mouse)","17/462","179/9775",0.0949720670391061,2.00941981668239,3.03574700995611,0.00473536732417052,0.0420921748645661,0.0336858789471293,"12490/14990/15018/110558/16414/110557/67374/83964/20339/20612/20344/18190/54167/12524/21367/319504/58187",17
"Human Diseases","Infectious disease: parasitic","mmu05146","Amoebiasis - Mus musculus (house mouse)","12/462","108/9775",0.111111111111111,2.35088985088985,3.14411419238139,0.0048685108787236,0.0420921748645661,0.0336858789471293,"18126/21808/18710/16414/12827/226421/12826/16193/18751/12830/16775/12842",12
"Human Diseases","Substance dependence","mmu05031","Amphetamine addiction - Mus musculus (house mouse)","9/462","69/9775",0.130434782608696,2.75974025974026,3.26712180046792,0.00494643556207384,0.0420921748645661,0.0336858789471293,"19049/16476/14800/18751/214084/18610/11838/14811/224129",9
"Human Diseases","Infectious disease: parasitic","mmu05144","Malaria - Mus musculus (house mouse)","8/462","57/9775",0.140350877192982,2.96954507480823,3.32144647809666,0.00504046746174821,0.0420921748645661,0.0336858789471293,"21808/20296/16414/12491/13349/20339/20344/16193",8
"Environmental Information Processing","Signaling molecules and interaction","mmu04061","Viral protein interaction with cytokine and cytokine receptor - Mus musculus (house mouse)","11/462","95/9775",0.115789473684211,2.44987468671679,3.16276515369278,0.00504529493239662,0.0420921748645661,0.0336858789471293,"20296/20307/12778/16193/21933/12978/12774/20304/20308/20305/20312",11
"Human Diseases","Infectious disease: parasitic","mmu05140","Leishmaniasis - Mus musculus (house mouse)","9/462","70/9775",0.128571428571429,2.72031539888683,3.21715274235304,0.00544569761844221,0.044170658460698,0.0353492652425196,"18126/21808/16414/16476/17357/18751/17969/14131/12266",9
"Environmental Information Processing","Signal transduction","mmu04015","Rap1 signaling pathway - Mus musculus (house mouse)","19/462","214/9775",0.088785046728972,1.87851478739329,2.89412081835495,0.00606820195423722,0.0466486123778868,0.0373323429988856,"18710/21687/16000/14065/16414/54635/16590/19395/11514/104110/18751/106952/12978/20469/64654/78134/71785/14811/224129",19
"Organismal Systems","Immune system","mmu04611","Platelet activation - Mus musculus (house mouse)","13/462","125/9775",0.104,2.2004329004329,3.00844165402183,0.00607070982999897,0.0466486123778868,0.0373323429988856,"18710/19222/14065/320207/20963/21391/19395/11514/104110/30955/14131/224129/12842",13
