"","ID","Gene.name","logFC","logCPM","LR","PValue","FDR"
"ENSMUSG00000030237","ENSMUSG00000030237","Slco1a4",-5.53934826375244,0.583261924680741,71.8318885835716,2.34334517519446e-17,4.03969274751773e-13
"ENSMUSG00000053093","ENSMUSG00000053093","Myh7",1.0719877451704,7.10583622787707,67.7124534411302,1.89164962093623e-16,1.63050739076599e-12
"ENSMUSG00000012428","ENSMUSG00000012428","Steap4",-1.01658177802708,5.2266246139941,63.2456316703975,1.82471878226138e-15,1.0485442362468e-11
"ENSMUSG00000073418","ENSMUSG00000073418","C4b",-1.13608021107335,8.62138180230878,61.2974457782188,4.90716524557425e-15,2.11486554171136e-11
"ENSMUSG00000001865","ENSMUSG00000001865","Cpa3",-3.37551031532706,4.66393319415798,60.3961908128651,7.7562923938343e-15,2.67421449154619e-11
"ENSMUSG00000018102","ENSMUSG00000018102","Hist1h2bc",-0.964117310148191,5.32556625978377,57.9700723303876,2.66136047579874e-14,7.64653220704908e-11
"ENSMUSG00000022225","ENSMUSG00000022225","Cma1",-4.03398983977138,4.58367255261458,52.8243300433226,3.64754802334215e-13,8.98286862491361e-10
"ENSMUSG00000041202","ENSMUSG00000041202","Pla2g2d",-1.59452305962295,4.32135380684575,51.816204345351,6.09467325106239e-13,1.22658728515652e-09
"ENSMUSG00000042750","ENSMUSG00000042750","Bex2",2.80648722226855,3.29095614380132,51.6124751499069,6.76106079696773e-13,1.22658728515652e-09
"ENSMUSG00000037010","ENSMUSG00000037010","Apln",-0.868296735765565,6.67064791399295,51.4146176663664,7.47796563028072e-13,1.22658728515652e-09
"ENSMUSG00000005339","ENSMUSG00000005339","Fcer1a",-3.65493059480098,1.5475665384883,51.3251354144378,7.82670696485976e-13,1.22658728515652e-09
"ENSMUSG00000025597","ENSMUSG00000025597","Klhl4",-2.08809798088385,2.5796607669486,51.0414162809137,9.04375090307577e-13,1.29921018181769e-09
"ENSMUSG00000033825","ENSMUSG00000033825","Tpsb2",-4.55351401437988,4.98229290418191,50.7317006834536,1.05895293287378e-12,1.40425304690855e-09
"ENSMUSG00000054555","ENSMUSG00000054555","Adam12",-1.31992251820836,3.54709764157099,48.7678820109546,2.88119605674409e-12,3.54778134444366e-09
"ENSMUSG00000031665","ENSMUSG00000031665","Sall1",-3.03151655433585,1.02331099067866,47.4173903682489,5.73714471602022e-12,6.59350918396484e-09
"ENSMUSG00000076934","ENSMUSG00000076934","Iglv1",-2.50683921920086,5.01045203698993,45.5983349821243,1.45164924217105e-11,1.56406133036167e-08
"ENSMUSG00000027199","ENSMUSG00000027199","Gatm",-1.06393994504701,5.62670308394192,45.3737507277781,1.62801736763691e-11,1.65090537651134e-08
"ENSMUSG00000030954","ENSMUSG00000030954","Gp2",-3.13862918251619,2.28812412623282,44.7898657614104,2.19355072108833e-11,2.10081227115787e-08
"ENSMUSG00000033200","ENSMUSG00000033200","Tpsg1",-5.99987964070147,-0.0724153804389177,44.3212885562892,2.78669236926147e-11,2.52840998703676e-08
"ENSMUSG00000069515","ENSMUSG00000069515","Lyz1",-1.6906637763715,9.38461367134551,44.2009553974029,2.96336619763281e-11,2.5542734940496e-08
"ENSMUSG00000041801","ENSMUSG00000041801","Phlda3",-1.01988665690829,6.27910926477382,44.0087609517319,3.26909358625513e-11,2.68361449206916e-08
"ENSMUSG00000036896","ENSMUSG00000036896","C1qc",-1.23873075736946,5.65487660544563,43.6543745305194,3.91800354648806e-11,3.07011196081399e-08
"ENSMUSG00000061068","ENSMUSG00000061068","Mcpt4",-3.66668378949299,5.14671831120878,43.2335747367953,4.85798756116242e-11,3.52339093123669e-08
