"","ID","Gene.name","logFC","logCPM","LR","PValue","FDR"
"ENSMUSG00000032575","ENSMUSG00000032575","Manf",-0.998278351651754,6.66738210597061,52.6509920511842,3.98409602960604e-13,6.86818314543786e-09
"ENSMUSG00000021775","ENSMUSG00000021775","Nr1d2",1.96012328351132,6.76350979389965,45.7478417680172,1.34497456365838e-11,1.15930082514534e-07
"ENSMUSG00000059668","ENSMUSG00000059668","Krt4",9.75190236885324,5.51760074285558,42.7917581711671,6.08881510686244e-11,3.49883612090672e-07
"ENSMUSG00000044041","ENSMUSG00000044041","Krt13",10.2677383353648,5.26534712009075,41.7332876003661,1.04612645860968e-10,4.50854350499308e-07
"ENSMUSG00000097554","ENSMUSG00000097554","Gm26825",-1.30138093108845,5.70403032524613,41.2450579415953,1.34290949242669e-10,4.63008334798874e-07
"ENSMUSG00000025511","ENSMUSG00000025511","Tspan4",1.06986940662412,6.21862404436478,39.2885712900864,3.65574842977387e-10,1.05035745301453e-06
"ENSMUSG00000028957","ENSMUSG00000028957","Per3",1.62740754597744,6.16064725404965,37.738853901258,8.08775149980733e-10,1.99178211578826e-06
"ENSMUSG00000005540","ENSMUSG00000005540","Fcer2a",1.42701541236174,3.69647321231554,36.9400350599506,1.21818704029725e-09,2.62504079846054e-06
"ENSMUSG00000037944","ENSMUSG00000037944","Ccr7",1.3823463635786,3.96632296110062,36.6058465431727,1.44597380089094e-09,2.76968248372877e-06
"ENSMUSG00000059956","ENSMUSG00000059956","Serpinb12",11.1836279428099,1.42544191618444,34.0872282307084,5.26960056251856e-09,8.73043401340352e-06
"ENSMUSG00000023272","ENSMUSG00000023272","Creld2",-0.820307756043924,5.52756256814259,33.9790789177471,5.57078566897376e-09,8.73043401340352e-06
"ENSMUSG00000014030","ENSMUSG00000014030","Pax5",1.5886474029598,3.99468548093286,33.4931302051255,7.15161459416653e-09,1.02202035699288e-05
"ENSMUSG00000022769","ENSMUSG00000022769","Sdf2l1",-1.10313991950304,4.7294784716477,33.3476480879798,7.7070970711221e-09,1.02202035699288e-05
"ENSMUSG00000041538","ENSMUSG00000041538","H2-Ob",1.21494641409844,4.11617733273882,31.9171848975023,1.60887465430485e-08,1.86125584528948e-05
"ENSMUSG00000024966","ENSMUSG00000024966","Stip1",-1.1012718041019,6.94478804960028,31.9043794154808,1.61951607862069e-08,1.86125584528948e-05
"ENSMUSG00000104213","ENSMUSG00000104213","Ighd",1.72487609112387,4.62205159475267,31.3441632512016,2.16107407261986e-08,2.32842224611836e-05
"ENSMUSG00000026864","ENSMUSG00000026864","Hspa5",-0.974818156130224,9.29253885898281,31.1830355018544,2.34809141817598e-08,2.38110282105504e-05
"ENSMUSG00000029657","ENSMUSG00000029657","Hsph1",-2.00158961216571,7.05883191797457,30.4547508167158,3.41745377477853e-08,3.27297142352262e-05
"ENSMUSG00000015656","ENSMUSG00000015656","Hspa8",-1.05917855349112,9.67832069995766,30.0550183820403,4.19960319298634e-08,3.81036628652061e-05
