"","ID","Gene.name","logFC","logCPM","LR","PValue","FDR"
"ENSMUSG00000097554","ENSMUSG00000097554","Gm26825",-1.30138093108845,5.70403032524613,41.2450579415953,1.34290949242669e-10,4.63008334798874e-07
"ENSMUSG00000022769","ENSMUSG00000022769","Sdf2l1",-1.10313991950304,4.7294784716477,33.3476480879798,7.7070970711221e-09,1.02202035699288e-05
"ENSMUSG00000024966","ENSMUSG00000024966","Stip1",-1.1012718041019,6.94478804960028,31.9043794154808,1.61951607862069e-08,1.86125584528948e-05
"ENSMUSG00000029657","ENSMUSG00000029657","Hsph1",-2.00158961216571,7.05883191797457,30.4547508167158,3.41745377477853e-08,3.27297142352262e-05
"ENSMUSG00000015656","ENSMUSG00000015656","Hspa8",-1.05917855349112,9.67832069995766,30.0550183820403,4.19960319298634e-08,3.81036628652061e-05
"ENSMUSG00000028410","ENSMUSG00000028410","Dnaja1",-1.11363251699196,8.30082151987464,28.4199234105538,9.7655136574056e-08,6.73390759760061e-05
"ENSMUSG00000100801","ENSMUSG00000100801","Gm15459",-1.00763537710064,5.83829153963537,27.2739407307737,1.76575194015666e-07,0.000105250241561628
"ENSMUSG00000021270","ENSMUSG00000021270","Hsp90aa1",-1.19807984142102,9.0418469429857,27.1663605328201,1.86678719696695e-07,0.000107271814961711
"ENSMUSG00000020288","ENSMUSG00000020288","Ahsa2",-1.10857605138693,4.65826179358979,24.4368019918265,7.6787741542692e-07,0.000321133220748398
"ENSMUSG00000055116","ENSMUSG00000055116","Arntl",-1.9266544221506,3.87019820719412,23.0004258496698,1.61965516987467e-06,0.000537633808673255
"ENSMUSG00000004951","ENSMUSG00000004951","Hspb1",-1.32719748446908,6.72537289532914,22.7022062893938,1.89150565754866e-06,0.000582279750544309
"ENSMUSG00000090877","ENSMUSG00000090877","Hspa1b",-2.52902767540447,6.89440281234455,21.8989231001908,2.87395158936694e-06,0.000834006811264711
"ENSMUSG00000091971","ENSMUSG00000091971","Hspa1a",-2.35277918977324,6.16245396421697,21.8797937287968,2.9027442819121e-06,0.000834006811264711
"ENSMUSG00000023067","ENSMUSG00000023067","Cdkn1a",-1.11731644768482,7.35519153772757,21.3501618313323,3.82588458099468e-06,0.00099930945896617
"ENSMUSG00000022206","ENSMUSG00000022206","Npr3",-1.15650068848782,7.27399106677621,20.073626334865,7.4517221489669e-06,0.00151129691912989
"ENSMUSG00000058145","ENSMUSG00000058145","Adamts17",-1.29978485633839,2.36177458429877,19.4083861164332,1.05542591081249e-05,0.00183782699762591
"ENSMUSG00000037379","ENSMUSG00000037379","Spon2",-1.51866041913968,3.17995513846697,18.7986238052534,1.45271910273453e-05,0.00227667496473095
"ENSMUSG00000056749","ENSMUSG00000056749","Nfil3",-1.0365989510155,3.84457309655844,18.424017419269,1.76815278160888e-05,0.00243849486417243
"ENSMUSG00000026077","ENSMUSG00000026077","Npas2",-1.62834737089429,2.86547427208634,17.4455392418026,2.95657256926489e-05,0.0037476731265851
"ENSMUSG00000044707","ENSMUSG00000044707","Ccnjl",-1.40842772144168,1.6506708126817,16.8466035235459,4.05257896820523e-05,0.00472043302924933
"ENSMUSG00000093798","ENSMUSG00000093798","Gm8355",-1.30781487752198,1.37804638357153,16.79568271076,4.16279025461974e-05,0.00478415607995931
"ENSMUSG00000024222","ENSMUSG00000024222","Fkbp5",-1.03190505476295,5.20455041261022,16.355287754586,5.25094536790307e-05,0.00545307513236633
"ENSMUSG00000030790","ENSMUSG00000030790","Adm",-1.07926184334892,3.58435686619006,15.780418186563,7.11349459415655e-05,0.00675850601929186
"ENSMUSG00000029675","ENSMUSG00000029675","Eln",-1.15715390576031,7.70815456652913,15.7746372945353,7.1352636203441e-05,0.00675850601929186
"ENSMUSG00000097823","ENSMUSG00000097823","Gm16701",-1.27610843658533,0.830745776871273,15.5274341205221,8.13165157322708e-05,0.00761856203645987
"ENSMUSG00000029544","ENSMUSG00000029544","Cabp1",-1.0309328140637,1.82052079429276,15.0160918410263,0.000106598326973522,0.00952149512278006
"ENSMUSG00000029371","ENSMUSG00000029371","Cxcl5",-1.99133677683677,1.87120074075824,14.4243594700341,0.000145902758728617,0.0124740828343794
"ENSMUSG00000001494","ENSMUSG00000001494","Sost",-2.39230762105843,-0.148828621993117,14.2318018749346,0.000161616048234442,0.0133246500887604
"ENSMUSG00000051906","ENSMUSG00000051906","Cd209f",-1.01240074343042,2.76190411464999,12.7985805736554,0.000346882438154615,0.023527617775012
"ENSMUSG00000081058","ENSMUSG00000081058","Hist2h3c2",-1.06466019739121,1.09037900221124,12.3986939103985,0.000429634248712473,0.0277395685900911
