"","ID","Gene.name","logFC","logCPM","LR","PValue","FDR"
"ENSMUSG00000090877","ENSMUSG00000090877","Hspa1b",-3.94508558528823,6.89440281234455,46.8878947936175,7.51655540583626e-12,7.95287451977903e-08
"ENSMUSG00000091971","ENSMUSG00000091971","Hspa1a",-3.6298881880311,6.16245396421697,46.4861975907958,9.22660771480831e-12,7.95287451977903e-08
"ENSMUSG00000005483","ENSMUSG00000005483","Dnajb1",-1.39909904841904,6.81276171295102,39.2049805957358,3.81565642389899e-10,1.64445252728987e-06
"ENSMUSG00000028410","ENSMUSG00000028410","Dnaja1",-1.13531577206692,8.30082151987464,29.5092340578831,5.56509289055133e-08,0.000133672794199204
"ENSMUSG00000029657","ENSMUSG00000029657","Hsph1",-1.95213045373098,7.05883191797457,29.0706340501887,6.97868291544079e-08,0.000133672794199204
"ENSMUSG00000097554","ENSMUSG00000097554","Gm26825",-1.03323550959355,5.70403032524613,26.2435900965416,3.00952074335252e-07,0.000399085600728108
"ENSMUSG00000020288","ENSMUSG00000020288","Ahsa2",-1.07646952562283,4.65826179358979,23.0019215966193,1.61839551436385e-06,0.00116578888345591
"ENSMUSG00000022206","ENSMUSG00000022206","Npr3",-1.22916267806956,7.27399106677621,22.5352930602991,2.06317998433623e-06,0.00136796768269124
"ENSMUSG00000098973","ENSMUSG00000098973","Mir6236",-1.40645321026433,4.35426323143145,21.6906803311265,3.20343827895657e-06,0.00204533601818268
"ENSMUSG00000004951","ENSMUSG00000004951","Hspb1",-1.26485752524183,6.72537289532914,20.6711910840947,5.45303068098412e-06,0.00284863017907531
"ENSMUSG00000021270","ENSMUSG00000021270","Hsp90aa1",-1.02813780436164,9.0418469429857,20.1487032445922,7.16488056040999e-06,0.00352901074231165
"ENSMUSG00000089774","ENSMUSG00000089774","Slc5a3",-1.06725615249018,4.22196334224796,18.3017465237779,1.88534241074954e-05,0.00792717507778326
"ENSMUSG00000076258","ENSMUSG00000076258","Gm23935",-1.19309576610439,6.03879321800016,14.9993668217885,0.000107547255781318,0.0253973581152623
"ENSMUSG00000023243","ENSMUSG00000023243","Kcnk5",-1.03391251661088,3.89331779322185,14.5583848803664,0.00013588259991219,0.0304218199985226
"ENSMUSG00000105746","ENSMUSG00000105746","Gm43595",-1.22448772913415,1.46336338527696,13.0117762833581,0.000309538183296003,0.0580013993678238
"ENSMUSG00000098178","ENSMUSG00000098178","Gm42418",-1.28815136933267,8.96808015773815,12.015895930619,0.000527487255601499,0.0819220972911194
"ENSMUSG00000083899","ENSMUSG00000083899","Gm12346",-1.12753131057232,1.83325446363981,11.8285121521759,0.000583305850522853,0.0866862892858919
