"","ID","Gene.name","logFC","logCPM","LR","PValue","FDR"
"ENSMUSG00000042750","ENSMUSG00000042750","Bex2",-3.62068888274974,3.29095614380132,76.7460257140938,1.94419131685167e-18,1.6757957055603e-14
"ENSMUSG00000047844","ENSMUSG00000047844","Bex4",-2.92303951250252,3.59542192683726,65.6048886922109,5.51019095891776e-16,1.89980363881566e-12
"ENSMUSG00000027380","ENSMUSG00000027380","Acoxl",-2.11274955021019,4.0551056908557,54.5551392147797,1.51146864091487e-13,2.17135065839429e-10
"ENSMUSG00000039114","ENSMUSG00000039114","Nrn1",-1.78672726691782,4.56221611674519,49.7224020102902,1.77112053274075e-12,1.3878339483599e-09
"ENSMUSG00000030787","ENSMUSG00000030787","Lyve1",-2.14024052498917,7.34682351997506,44.8912133196665,2.08290436801648e-11,1.05609377647753e-08
"ENSMUSG00000006386","ENSMUSG00000006386","Tek",-1.15962550582183,8.37411273395168,42.0850509946615,8.73886866779452e-11,3.35457065217014e-08
"ENSMUSG00000058396","ENSMUSG00000058396","Gpr182",-1.44819563903541,5.57739271507804,40.2857635004837,2.19401963706556e-10,7.00420454136542e-08
"ENSMUSG00000044041","ENSMUSG00000044041","Krt13",-9.80055289391002,5.26534712009075,39.7047615277398,2.9540442286391e-10,8.78013249267406e-08
"ENSMUSG00000022579","ENSMUSG00000022579","Gpihbp1",-1.032747039933,6.70554505492104,38.0162919385575,7.01563541885169e-10,1.8051125221729e-07
"ENSMUSG00000019893","ENSMUSG00000019893","Ros1",-3.47416705938067,2.91461998303517,34.8659708840056,3.53200360810195e-09,7.24859645238922e-07
"ENSMUSG00000036192","ENSMUSG00000036192","Rorb",-3.13532925837851,-0.22943023213522,34.7905792554286,3.67145749466396e-09,7.44614773535436e-07
"ENSMUSG00000038600","ENSMUSG00000038600","Atp6v0a4",-1.79296332020379,2.17832854051602,34.3947842533674,4.49927391035877e-09,8.8139753341676e-07
"ENSMUSG00000079278","ENSMUSG00000079278","Tmem233",-1.88318228149753,0.896020785122255,34.3111794138936,4.69676048698606e-09,8.98186915140987e-07
"ENSMUSG00000043165","ENSMUSG00000043165","Lor",-8.4414397338594,5.30054523564829,33.5806403786949,6.83698328375719e-09,1.1786275482869e-06
"ENSMUSG00000034845","ENSMUSG00000034845","Plvap",-1.05479646575532,8.60189942729675,32.022943796678,1.52362396906745e-08,2.32059664975993e-06
"ENSMUSG00000045573","ENSMUSG00000045573","Penk",-1.828686880059,1.78472907828089,31.4237284038682,2.07430349313572e-08,2.88378370307796e-06
"ENSMUSG00000032172","ENSMUSG00000032172","Olfm2",-3.16368231436032,1.47996484423194,30.3938401702889,3.52646196428125e-08,4.4374217373901e-06
"ENSMUSG00000024517","ENSMUSG00000024517","Grp",-2.31073204434606,2.18151218307782,29.1199704904521,6.80320856847354e-08,7.71582319157338e-06
"ENSMUSG00000059741","ENSMUSG00000059741","Myl3",-4.10313119474127,2.36063973194691,27.9706146954757,1.2317174647337e-07,1.27147169907451e-05
"ENSMUSG00000066363","ENSMUSG00000066363","Serpina3f",-1.41463026505559,3.77615392658671,27.5987159345778,1.49277832115974e-07,1.50491260108028e-05
"ENSMUSG00000061740","ENSMUSG00000061740","Cyp2d22",-1.03315057049232,5.08331242804009,27.5292613526092,1.54735653834626e-07,1.5426355058906e-05
"ENSMUSG00000024027","ENSMUSG00000024027","Glp1r",-1.49632230849513,4.65463087656272,27.4826300271157,1.58511766214368e-07,1.56192700703562e-05
"ENSMUSG00000055775","ENSMUSG00000055775","Myh8",-9.8533194599901,4.32355703703553,27.4820724484086,1.58557472145271e-07,1.56192700703562e-05
"ENSMUSG00000020154","ENSMUSG00000020154","Ptprb",-1.06105885512698,10.005201658489,27.3325660855983,1.71301936828333e-07,1.63153264584731e-05
"ENSMUSG00000029829","ENSMUSG00000029829","Tmem213",-2.51730014664141,0.349210926788293,27.1852081381173,1.84867670103214e-07,1.71340524995124e-05
"ENSMUSG00000020642","ENSMUSG00000020642","Rnf144a",-1.02056144301155,7.22963508059624,27.0942986724918,1.93768570572251e-07,1.77679595111438e-05
"ENSMUSG00000040181","ENSMUSG00000040181","Fmo1",-1.02753124370781,8.62866361612926,26.7205473773726,2.35108085073545e-07,2.06787157070553e-05
"ENSMUSG00000041984","ENSMUSG00000041984","Rptn",-5.44689552770277,2.77073327927955,26.4338317923228,2.72721679033147e-07,2.32745001230318e-05
"ENSMUSG00000034310","ENSMUSG00000034310","Tmem132d",-1.79263510122575,2.3635666479975,25.8885178838584,3.61714326997859e-07,2.95525748014981e-05
"ENSMUSG00000051022","ENSMUSG00000051022","Hs3st1",-1.0075472283403,4.28250208897306,25.5810448081452,4.24185968543203e-07,3.4170756596805e-05
"ENSMUSG00000024471","ENSMUSG00000024471","Myot",-9.23361555732553,-0.506894628042843,25.1008429365979,5.44090691107632e-07,4.22503577657859e-05
"ENSMUSG00000039013","ENSMUSG00000039013","Siglec5",-1.03508222970943,3.76321493649997,24.7452571704454,6.54296067552886e-07,4.94710960901061e-05
"ENSMUSG00000058254","ENSMUSG00000058254","Tspan7",-1.11723734700851,8.88056176414505,24.5675130968538,7.17512458760017e-07,5.24118528667964e-05
"ENSMUSG00000047507","ENSMUSG00000047507","Baiap3",-1.0495778898497,3.66978795417729,24.1293896984473,9.00750437660377e-07,6.4165441300939e-05
"ENSMUSG00000027401","ENSMUSG00000027401","Tgm3",-6.80007463613562,2.38942471699625,23.4104430713814,1.30866171365101e-06,8.64368554851714e-05
"ENSMUSG00000033765","ENSMUSG00000033765","Calm4",-10.7422815156971,0.898775027893109,23.3770334930379,1.33158891432891e-06,8.6973024430633e-05
"ENSMUSG00000033508","ENSMUSG00000033508","Asprv1",-5.78041982110632,2.51052357959782,23.3432410715691,1.35518869469648e-06,8.78274357438821e-05
"ENSMUSG00000029522","ENSMUSG00000029522","Pla2g1b",-1.06205108445116,3.8024058574306,23.1508826909091,1.49774436687458e-06,9.49250556637898e-05
"ENSMUSG00000030672","ENSMUSG00000030672","Mylpf",-3.99945958603774,2.05994365927238,23.0512682735474,1.57738420891387e-06,9.88819140998771e-05
"ENSMUSG00000040856","ENSMUSG00000040856","Dlk1",-5.38637556100261,6.00142829260756,22.0450531830277,2.66325165169873e-06,0.000151524076645658
"ENSMUSG00000074199","ENSMUSG00000074199","Krtdap",-11.4246354797388,1.58466048243656,21.5308587208363,3.4818057331145e-06,0.00019218680741013
"ENSMUSG00000030757","ENSMUSG00000030757","Zkscan2",-2.01890902318309,0.137613840989706,21.5305275149177,3.48240711250921e-06,0.00019218680741013
"ENSMUSG00000078956","ENSMUSG00000078956","Gm14221",-1.17029268785303,2.88846180235767,21.4901007447046,3.55659935516485e-06,0.000194641956456149
"ENSMUSG00000097451","ENSMUSG00000097451","Rian",-3.13331669278159,4.23985979078807,21.2702386845009,3.98876522778976e-06,0.000215567776095148
"ENSMUSG00000073489","ENSMUSG00000073489","Ifi204",-1.04450779943081,4.71862029897425,21.2598657193768,4.01040899620395e-06,0.000215567776095148
"ENSMUSG00000049128","ENSMUSG00000049128","Ivl",-2.29933424265824,0.49946054495589,21.2281852119436,4.07724450673191e-06,0.000215603408445115
"ENSMUSG00000038515","ENSMUSG00000038515","Grtp1",-1.08379561363893,3.84283332336411,21.1750128066786,4.19194292198517e-06,0.000219650164231314
"ENSMUSG00000056328","ENSMUSG00000056328","Myh1",-6.77343000158428,2.92491016885257,20.8871910202883,4.87141221192066e-06,0.000246994926827354
"ENSMUSG00000041794","ENSMUSG00000041794","Myrip",-1.40499227676929,3.91765398713124,20.7199384370938,5.31595843164786e-06,0.000264860715038085
"ENSMUSG00000027913","ENSMUSG00000027913","Crct1",-10.5715808489918,0.726362682681738,20.254042144121,6.78100400050349e-06,0.000324715911012999
"ENSMUSG00000059668","ENSMUSG00000059668","Krt4",-5.53147153264087,5.51760074285558,20.2304137375815,6.86527423268902e-06,0.000326934979274381
"ENSMUSG00000068697","ENSMUSG00000068697","Myoz1",-5.06185522690174,-0.093281366425063,20.0899133459591,7.38853178168887e-06,0.000346065779695308
"ENSMUSG00000001943","ENSMUSG00000001943","Vsig2",-1.09527067406219,4.08975717445049,20.0762584563132,7.44147340798513e-06,0.000346712324541231
"ENSMUSG00000017204","ENSMUSG00000017204","Gsdma",-8.77964488528493,-0.883620285678141,19.9633234387825,7.89419420472442e-06,0.00036387169490707
"ENSMUSG00000073601","ENSMUSG00000073601","Serpinb3c",-10.824087805959,0.975569700358216,19.8765151736263,8.26089310595198e-06,0.000379082409293326
"ENSMUSG00000020061","ENSMUSG00000020061","Mybpc1",-10.8082168961618,0.981539034362577,19.5363599843425,9.8702968757539e-06,0.000434066448574289
"ENSMUSG00000045539","ENSMUSG00000045539","Sprr3",-11.0068031829207,1.16144192512533,19.4816029127763,1.01573263846849e-05,0.000444421699354271
"ENSMUSG00000025064","ENSMUSG00000025064","Col17a1",-1.66951184281683,2.32101053289741,19.295923647575,1.11945090705045e-05,0.000472995445751045
"ENSMUSG00000021055","ENSMUSG00000021055","Esr2",-1.97659797153497,1.5504064572866,19.2527135422914,1.14507509792829e-05,0.000481192696296637
"ENSMUSG00000046352","ENSMUSG00000046352","Gjb2",-1.18450311005376,2.38762932095278,19.2230533450025,1.16300411872494e-05,0.000486626893269401
"ENSMUSG00000030228","ENSMUSG00000030228","Pik3c2g",-1.05553615876884,2.09935791452689,19.1948475679474,1.18031542046426e-05,0.000491484481482691
"ENSMUSG00000027442","ENSMUSG00000027442","Cst8",-2.31860709641465,-0.0491011355681243,19.0883067571407,1.24807234273171e-05,0.00051349687628525
"ENSMUSG00000021268","ENSMUSG00000021268","Meg3",-3.1070274610216,5.52331942785858,19.0685068341254,1.26108844918289e-05,0.000517616756558664
"ENSMUSG00000044594","ENSMUSG00000044594","Serpinb3a",-10.2220696200025,0.376751899793762,18.9854875022721,1.31716469735854e-05,0.000538071142601039
"ENSMUSG00000043421","ENSMUSG00000043421","Hilpda",-1.10543731548914,5.98983589384257,18.7732564893174,1.47217074575066e-05,0.000586114353025302
"ENSMUSG00000059956","ENSMUSG00000059956","Serpinb12",-5.9667331287733,1.42544191618444,18.5277758417954,1.67446238245738e-05,0.000660550503688391
"ENSMUSG00000000567","ENSMUSG00000000567","Sox9",-2.88388337863083,1.29617214482143,18.2392922981391,1.94818054786142e-05,0.000749658135370157
