"","ID","Gene.name","logFC","logCPM","LR","PValue","FDR"
"ENSMUSG00000095170","ENSMUSG00000095170","Ighv8-11",3.79103751170273,3.30482990912078,84.719275350834,3.43881574163281e-20,5.9281744570008e-16
"ENSMUSG00000030237","ENSMUSG00000030237","Slco1a4",5.67358005042919,0.583261924680741,75.2055670713843,4.24169415298522e-18,2.43741885011041e-14
"ENSMUSG00000073418","ENSMUSG00000073418","C4b",1.21796286961032,8.62138180230878,70.1569652536338,5.47683148647598e-17,2.36037744988399e-13
"ENSMUSG00000001865","ENSMUSG00000001865","Cpa3",3.52819342877846,4.66393319415798,65.1240753885101,7.03275911012516e-16,2.02062890499079e-12
"ENSMUSG00000041202","ENSMUSG00000041202","Pla2g2d",1.71912440475819,4.32135380684575,59.6557110080779,1.12990899430761e-14,2.78264302183841e-11
"ENSMUSG00000069515","ENSMUSG00000069515","Lyz1",1.95292748367421,9.38461367134551,58.0052497146738,2.61419209053846e-14,5.0073397165325e-11
"ENSMUSG00000022225","ENSMUSG00000022225","Cma1",4.19321809189662,4.58367255261458,56.2710258013508,6.31390242871449e-14,1.08845363968609e-10
"ENSMUSG00000005339","ENSMUSG00000005339","Fcer1a",3.78816451904396,1.5475665384883,54.6406775661052,1.44709143619564e-13,2.17135065839429e-10
"ENSMUSG00000033825","ENSMUSG00000033825","Tpsb2",4.72843102363746,4.98229290418191,53.8365491907382,2.17881628764937e-13,2.68290099877054e-10
"ENSMUSG00000073530","ENSMUSG00000073530","Pappa2",2.87634387938223,3.2233213039436,53.4308875132989,2.6785214720811e-13,3.07833544381373e-10
"ENSMUSG00000014602","ENSMUSG00000014602","Kif1a",1.43207855208701,5.0145513796352,53.0899596119864,3.18616898214147e-13,3.43289794269605e-10
"ENSMUSG00000033200","ENSMUSG00000033200","Tpsg1",6.4403897886662,-0.0724153804389177,52.0629890432847,5.3748509722992e-13,5.45041505361564e-10
"ENSMUSG00000079227","ENSMUSG00000079227","Ccr5",1.40214452618251,3.54721578581896,51.6408772198595,6.66395694062389e-13,6.38221964996751e-10
"ENSMUSG00000094797","ENSMUSG00000094797","Igkv6-15",2.83467122472075,5.48339655115372,51.1308579609561,8.64092034948035e-13,7.84004346866799e-10
"ENSMUSG00000040552","ENSMUSG00000040552","C3ar1",1.71272552549286,3.51724468424951,50.8231238638487,1.01075865523534e-12,8.712234228801e-10
"ENSMUSG00000036887","ENSMUSG00000036887","C1qa",1.21860675160617,6.2134848108826,50.320800657595,1.30558322765195e-12,1.07175948864247e-09
"ENSMUSG00000036896","ENSMUSG00000036896","C1qc",1.32430071150932,5.65487660544563,49.5704273684771,1.91376800896122e-12,1.42331075374178e-09
"ENSMUSG00000095429","ENSMUSG00000095429","Ighv5-12",2.62500131797113,5.32269371914246,49.5021721920889,1.98152201924721e-12,1.42331075374178e-09
"ENSMUSG00000009185","ENSMUSG00000009185","Ccl8",2.99611572456737,3.07839843866705,47.9960940705045,4.27069082172439e-12,2.94489756302827e-09
"ENSMUSG00000036905","ENSMUSG00000036905","C1qb",1.40220685392238,5.57466698636753,47.4016741327434,5.78332725459066e-12,3.83456840545724e-09
"ENSMUSG00000094951","ENSMUSG00000094951","Ighv5-6",2.42485119499781,4.31683741088254,46.993607867571,7.12186016775885e-12,4.54717583081463e-09
"ENSMUSG00000061068","ENSMUSG00000061068","Mcpt4",3.84767094204653,5.14671831120878,46.8388701218019,7.70695459494989e-12,4.65263348290625e-09
"ENSMUSG00000028364","ENSMUSG00000028364","Tnc",2.31732944571087,6.43550225027279,46.8086272670346,7.82680961797559e-12,4.65263348290625e-09
"ENSMUSG00000016283","ENSMUSG00000016283","H2-M2",2.56023260818712,3.6211926194875,45.9379565360529,1.2205799206989e-11,7.01385908430946e-09
"ENSMUSG00000040026","ENSMUSG00000040026","Saa3",3.83985456645287,3.88480450272335,45.6441402612351,1.4180966474261e-11,7.83295679629221e-09
"ENSMUSG00000040612","ENSMUSG00000040612","Ildr2",1.70458014315851,5.02260358812994,45.5951690679753,1.45399743303759e-11,7.83295679629221e-09
"ENSMUSG00000032323","ENSMUSG00000032323","Cyp11a1",2.50373050442153,1.52281654533709,45.4573809164419,1.55996565769527e-11,8.14916605242688e-09
"ENSMUSG00000043613","ENSMUSG00000043613","Mmp3",1.69256033193295,3.98656227222279,44.2213403225195,2.93266703839108e-11,1.44446420213782e-08
"ENSMUSG00000033213","ENSMUSG00000033213","AA467197",3.21097474301473,0.531397888809215,43.5620165849882,4.10734309695291e-11,1.86332862232556e-08
"ENSMUSG00000024680","ENSMUSG00000024680","Ms4a2",2.79127752546832,1.96802072933421,43.3472652579703,4.58376421328229e-11,2.0261413146865e-08
"ENSMUSG00000074109","ENSMUSG00000074109","Mrgprx2",4.54920081064484,1.23044327834741,43.1725927944594,5.01178217787356e-11,2.15995282410906e-08
"ENSMUSG00000095630","ENSMUSG00000095630","Igkv6-23",2.78334748546811,4.47607976403684,42.9488141040457,5.6190953377015e-11,2.36262401284478e-08
"ENSMUSG00000040613","ENSMUSG00000040613","Apobec1",1.23124072129502,4.34963157150761,42.7005128924669,6.37955600961417e-11,2.61850395356521e-08
"ENSMUSG00000034457","ENSMUSG00000034457","Eda2r",1.73553180435104,3.75293056355503,42.460659539973,7.21182958313362e-11,2.89127279496838e-08
"ENSMUSG00000054555","ENSMUSG00000054555","Adam12",1.23446510212498,3.54709764157099,41.9311983915777,9.45420823997417e-11,3.54306730106336e-08
"ENSMUSG00000026069","ENSMUSG00000026069","Il1rl1",2.27761106835812,3.82666718927725,41.8740522372904,9.73459176191051e-11,3.57052398688458e-08
"ENSMUSG00000027199","ENSMUSG00000027199","Gatm",1.02040182616076,5.62670308394192,41.5347131383398,1.15796418440635e-10,4.15878011978771e-08
"ENSMUSG00000029811","ENSMUSG00000029811","Aoc1",2.04535802335332,2.42163538024481,41.0765539332113,1.46381827073651e-10,5.14995166718913e-08
"ENSMUSG00000040046","ENSMUSG00000040046","Tph1",4.25493229797318,1.25088769552434,41.0247583968594,1.50312965824949e-10,5.18249043571258e-08
"ENSMUSG00000030954","ENSMUSG00000030954","Gp2",2.98191169175822,2.28812412623282,40.5177122129723,1.94841760482857e-10,6.58603354698818e-08
"ENSMUSG00000015451","ENSMUSG00000015451","C4a",1.32525934959919,3.93964882093925,40.4129363127024,2.05575440498925e-10,6.81522118992492e-08
"ENSMUSG00000002847","ENSMUSG00000002847","Pla1a",2.12827661629137,2.49901394714032,40.3373305603445,2.13686662331671e-10,6.95046107912392e-08
"ENSMUSG00000025355","ENSMUSG00000025355","Mmp19",1.99792987886283,6.46178203220815,40.182944574112,2.31258448088465e-10,7.20909545871986e-08
"ENSMUSG00000093861","ENSMUSG00000093861","Igkv1-110",2.26747607973759,5.32497500273019,40.1583884468193,2.34183737855045e-10,7.20909545871986e-08
"ENSMUSG00000050425","ENSMUSG00000050425","Mrgprb2",4.86499106110768,0.982098500329731,40.032825604685,2.49730765796976e-10,7.55282223083169e-08
"ENSMUSG00000025746","ENSMUSG00000025746","Il6",2.9175646196548,0.250366084068299,39.5423808015198,3.21016459142955e-10,9.37966565960237e-08
"ENSMUSG00000027338","ENSMUSG00000027338","Prnd",3.6061021131465,1.20569011173871,39.3157694058186,3.60517920624776e-10,1.0203978430038e-07
"ENSMUSG00000095285","ENSMUSG00000095285","Ighv5-9",2.35365021001014,3.47258757795576,39.2482142210022,3.73209556315637e-10,1.03770315182666e-07
"ENSMUSG00000095771","ENSMUSG00000095771","Igkv14-111",2.44509359292336,3.86960120598271,38.8664962132699,4.53802751867993e-10,1.24176279991307e-07
"ENSMUSG00000021091","ENSMUSG00000021091","Serpina3n",1.40973556853543,6.60851487785223,38.6527236454889,5.0632554088894e-10,1.35605229130984e-07
