"","ID","Gene.name","logFC","logCPM","LR","PValue","FDR"
"ENSMUSG00000034936","ENSMUSG00000034936","Arl4d",-1.48212929169968,4.97330929388316,77.5784488175394,1.27554311374736e-18,2.19890877378907e-14
"ENSMUSG00000027380","ENSMUSG00000027380","Acoxl",-2.44500218680706,4.0551056908557,71.7959120709837,2.38646138480931e-17,7.89060872173801e-14
"ENSMUSG00000058396","ENSMUSG00000058396","Gpr182",-1.95368766640655,5.57739271507804,71.5187847401742,2.74631082605882e-17,7.89060872173801e-14
"ENSMUSG00000030787","ENSMUSG00000030787","Lyve1",-2.7000736254963,7.34682351997506,68.5163015718346,1.258330910947e-16,2.71154582172692e-13
"ENSMUSG00000042750","ENSMUSG00000042750","Bex2",-3.35812330292821,3.29095614380132,67.0410306184163,2.65914682205973e-16,5.0934480072764e-13
"ENSMUSG00000047844","ENSMUSG00000047844","Bex4",-2.89185359474616,3.59542192683726,64.247419709501,1.09735558805936e-15,1.57644274854627e-12
"ENSMUSG00000001240","ENSMUSG00000001240","Ramp2",-1.33350965393809,7.72385554235044,59.5179450614478,1.21184038376386e-14,1.30568227348157e-11
"ENSMUSG00000030357","ENSMUSG00000030357","Fkbp4",-1.21639450602625,7.45295488390344,58.2385091927089,2.32189224729214e-14,2.10668949742469e-11
"ENSMUSG00000022579","ENSMUSG00000022579","Gpihbp1",-1.27639570985799,6.70554505492104,57.5404491694468,3.31099752110865e-14,2.71801363173295e-11
"ENSMUSG00000031825","ENSMUSG00000031825","Crispld2",-1.36867169837061,6.26946166354563,55.7079426312552,8.40778979298996e-14,5.57468800928285e-11
"ENSMUSG00000090877","ENSMUSG00000090877","Hspa1b",-4.27577323118511,6.89440281234455,53.4001710800334,2.720731603509e-13,1.34007691751119e-10
"ENSMUSG00000091971","ENSMUSG00000091971","Hspa1a",-3.88799321442058,6.16245396421697,52.0883720224795,5.30581938428651e-13,2.47208163150582e-10
"ENSMUSG00000006386","ENSMUSG00000006386","Tek",-1.28866593323222,8.37411273395168,51.6701113601965,6.5654655912114e-13,2.97847529807614e-10
"ENSMUSG00000097554","ENSMUSG00000097554","Gm26825",-1.45526823101044,5.70403032524613,51.0866227182878,8.83785319074723e-13,3.71599393061687e-10
"ENSMUSG00000022206","ENSMUSG00000022206","Npr3",-1.88115262801107,7.27399106677621,50.9409551664089,9.51866242812761e-13,3.729368672693e-10
"ENSMUSG00000018411","ENSMUSG00000018411","Mapt",-1.14144002702146,6.9254861727287,48.395442304303,3.4837693926956e-12,1.13314529359773e-09
"ENSMUSG00000015656","ENSMUSG00000015656","Hspa8",-1.32338377128262,9.67832069995766,46.3567246945825,9.85686303856025e-12,2.46264437567739e-09
"ENSMUSG00000042066","ENSMUSG00000042066","Tmcc2",-1.14856736685141,7.6914469690478,45.7479622481408,1.34489184391495e-11,3.31208435674997e-09
"ENSMUSG00000014773","ENSMUSG00000014773","Dll1",-1.2531841968046,5.19395369976746,43.6892717280194,3.84875832219518e-11,8.29359308954035e-09
"ENSMUSG00000055116","ENSMUSG00000055116","Arntl",-2.74785003840637,3.87019820719412,43.5696243915639,4.09140636989102e-11,8.70762400130264e-09
"ENSMUSG00000100801","ENSMUSG00000100801","Gm15459",-1.27633973743543,5.83829153963537,43.1197286642082,5.14904204291771e-11,1.04428630326892e-08
"ENSMUSG00000032172","ENSMUSG00000032172","Olfm2",-3.79978469851649,1.47996484423194,42.6139963890224,6.66805408960839e-11,1.26319323572263e-08
"ENSMUSG00000034845","ENSMUSG00000034845","Plvap",-1.19092007653284,8.60189942729675,40.5886035198185,1.87899382359914e-10,3.11461293509861e-08
"ENSMUSG00000041794","ENSMUSG00000041794","Myrip",-1.98010376662678,3.91765398713124,40.2150116970458,2.27493402348487e-10,3.66519510568745e-08
"ENSMUSG00000030878","ENSMUSG00000030878","Cdr2",-1.00694878264328,5.26138887752989,39.947915098604,2.6082582193166e-10,4.05078949935126e-08
"ENSMUSG00000028410","ENSMUSG00000028410","Dnaja1",-1.32183969148373,8.30082151987464,39.646403626154,3.04364690870217e-10,4.64331230611652e-08
"ENSMUSG00000039114","ENSMUSG00000039114","Nrn1",-1.57939863121311,4.56221611674519,39.1101732644478,4.00551363998316e-10,5.85178386776862e-08
