"","ID","Gene.name","logFC","logCPM","LR","PValue","FDR"
"ENSMUSG00000096464","ENSMUSG00000096464","Ighv2-2",3.12200760323498,3.56658265525773,72.4944439425481,1.67502870309916e-17,2.88758198127265e-13
"ENSMUSG00000016200","ENSMUSG00000016200","Syt14",1.49351739827487,3.03235669349188,52.3587032677361,4.62344985236355e-13,3.98518260024476e-09
"ENSMUSG00000076612","ENSMUSG00000076612","Ighg2c",2.68027567084901,5.5339701404128,46.7757825652463,7.95909002839736e-12,4.57355843331807e-08
"ENSMUSG00000076731","ENSMUSG00000076731","Ighv8-12",2.72350260250163,3.73196539668065,42.9409286467973,5.64178987103723e-11,2.43147038967027e-07
"ENSMUSG00000076937","ENSMUSG00000076937","Iglc2",2.08916508906092,4.30328147040098,42.167984261419,8.37601072909271e-11,2.88788097917659e-07
"ENSMUSG00000041202","ENSMUSG00000041202","Pla2g2d",1.44027452906293,4.32135380684575,41.3991303991187,1.24112586018217e-10,3.5659614506134e-07
"ENSMUSG00000039239","ENSMUSG00000039239","Tgfb2",0.682446422717893,6.19301056106402,40.9753121861169,1.54164360657986e-10,3.79662773340432e-07
"ENSMUSG00000021775","ENSMUSG00000021775","Nr1d2",1.78388060502882,6.76350979389965,38.3236917127827,5.99306120911079e-10,1.20001698592819e-06
"ENSMUSG00000029811","ENSMUSG00000029811","Aoc1",2.05374986758098,2.42163538024481,38.0698282636487,6.82575112805341e-10,1.20001698592819e-06
"ENSMUSG00000073418","ENSMUSG00000073418","C4b",0.891096095469088,8.62138180230878,38.0315292511522,6.96105914454545e-10,1.20001698592819e-06
"ENSMUSG00000034457","ENSMUSG00000034457","Eda2r",1.60919466688027,3.75293056355503,36.4859431650487,1.53771210163184e-09,2.40987444727557e-06
"ENSMUSG00000032053","ENSMUSG00000032053","Pou2af1",1.31040965032115,4.33968108282676,35.768621483071,2.22197962791756e-09,3.16242213035903e-06
"ENSMUSG00000076934","ENSMUSG00000076934","Iglv1",2.19351616238773,5.01045203698993,35.5815353547934,2.44595069286085e-09,3.16242213035903e-06
"ENSMUSG00000030954","ENSMUSG00000030954","Gp2",2.82415281473548,2.28812412623282,35.3476660528598,2.75798870352914e-09,3.16242213035903e-06
"ENSMUSG00000069515","ENSMUSG00000069515","Lyz1",1.50175044984855,9.38461367134551,35.2346456601878,2.92277383051416e-09,3.16242213035903e-06
"ENSMUSG00000076619","ENSMUSG00000076619","Ighj3",2.6153601339037,1.52931920260513,35.2264280627697,2.93513278529755e-09,3.16242213035903e-06
"ENSMUSG00000094951","ENSMUSG00000094951","Ighv5-6",2.07324749892351,4.31683741088254,34.8428771701412,3.57414757729358e-09,3.44094832417947e-06
"ENSMUSG00000095285","ENSMUSG00000095285","Ighv5-9",2.23558255332488,3.47258757795576,34.8327182339366,3.59284586317249e-09,3.44094832417947e-06
"ENSMUSG00000070547","ENSMUSG00000070547","Mrgprb1",4.11295487561577,2.37576341921023,34.4397639458616,4.39648839721227e-09,3.98900334102854e-06
"ENSMUSG00000032420","ENSMUSG00000032420","Nt5e",0.945115545973368,7.37522438173596,34.1396657049476,5.1294930764882e-09,4.42136655727901e-06
"ENSMUSG00000096715","ENSMUSG00000096715","Igkv3-4",1.8200149108017,3.49461819595046,33.6914754723135,6.45830826023873e-09,5.30165600467883e-06
"ENSMUSG00000016494","ENSMUSG00000016494","Cd34",0.775608508648077,8.08919709102048,33.5848113055705,6.82233831353229e-09,5.34592228122651e-06
"ENSMUSG00000025511","ENSMUSG00000025511","Tspan4",0.984117539221428,6.21862404436478,33.4277954461507,7.39593611343858e-09,5.54341489824207e-06
"ENSMUSG00000029829","ENSMUSG00000029829","Tmem213",-2.6915790733624,0.349210926788293,33.3281344028231,7.78482033398137e-09,5.59177157239603e-06
"ENSMUSG00000094433","ENSMUSG00000094433","Igkv5-43",2.87263604185461,4.9488993329016,33.2214756499398,8.22372621332688e-09,5.67075264766168e-06
"ENSMUSG00000105906","ENSMUSG00000105906","Iglc1",2.0108196964625,4.7027215962861,32.6772898151735,1.08801043896904e-08,7.21392767591817e-06
"ENSMUSG00000096833","ENSMUSG00000096833","Igkv4-55",2.98482324843882,3.52338025424381,32.141935746698,1.4331030600986e-08,8.75121538745395e-06
"ENSMUSG00000030000","ENSMUSG00000030000","Add2",1.28213920275323,3.17358340643296,32.0963260476842,1.46714503502357e-08,8.75121538745395e-06
"ENSMUSG00000095771","ENSMUSG00000095771","Igkv14-111",2.2098534527672,3.86960120598271,32.0670076309983,1.48945407180817e-08,8.75121538745395e-06
"ENSMUSG00000076609","ENSMUSG00000076609","Igkc",2.07107037868752,10.2086410097143,31.9622549875376,1.5719751383498e-08,8.75121538745395e-06
"ENSMUSG00000076939","ENSMUSG00000076939","Iglv3",3.08306266370076,2.68507482637154,31.9601423495445,1.57368569529017e-08,8.75121538745395e-06
"ENSMUSG00000022225","ENSMUSG00000022225","Cma1",2.99104399541402,4.58367255261458,31.8286284996337,1.68392336402634e-08,9.07161089764064e-06
