"","ID","Gene.name","logFC","logCPM","LR","PValue","FDR"
"ENSMUSG00000029829","ENSMUSG00000029829","Tmem213",-2.6915790733624,0.349210926788293,33.3281344028231,7.78482033398137e-09,5.59177157239603e-06
"ENSMUSG00000039114","ENSMUSG00000039114","Nrn1",-1.05018929586295,4.56221611674519,18.079932227939,2.11822214327046e-05,0.0020630526286915
"ENSMUSG00000055116","ENSMUSG00000055116","Arntl",-1.68574264715813,3.87019820719412,17.9674099691476,2.24719567460911e-05,0.00212093396687429
"ENSMUSG00000049128","ENSMUSG00000049128","Ivl",-2.00049140610184,0.49946054495589,17.8001756011002,2.45360597800358e-05,0.00224141177831861
"ENSMUSG00000027380","ENSMUSG00000027380","Acoxl",-1.14766253463218,4.0551056908557,17.797255342378,2.45737470910271e-05,0.00224141177831861
"ENSMUSG00000026077","ENSMUSG00000026077","Npas2",-1.63218622927924,2.86547427208634,17.6225447874087,2.69375986893647e-05,0.00238972681322342
"ENSMUSG00000038600","ENSMUSG00000038600","Atp6v0a4",-1.19865903613714,2.17832854051602,16.9324017200321,3.87347364478163e-05,0.00310580521685537
"ENSMUSG00000027446","ENSMUSG00000027446","9230104L09Rik",-1.0248421785226,1.93687495540629,16.7740185806719,4.21058839180708e-05,0.0032949040285443
"ENSMUSG00000033533","ENSMUSG00000033533","Acsm1",-1.02521189136753,2.19440080433594,16.7484996202611,4.26759981527742e-05,0.0032949040285443
"ENSMUSG00000047844","ENSMUSG00000047844","Bex4",-1.35259529015559,3.59542192683726,16.3467340512443,5.27469820097491e-05,0.00382937124938854
"ENSMUSG00000042750","ENSMUSG00000042750","Bex2",-1.43712548678933,3.29095614380132,15.0425493832346,0.000105114381256053,0.00618452839069319
"ENSMUSG00000032172","ENSMUSG00000032172","Olfm2",-1.97985504027042,1.47996484423194,14.7891792733205,0.000120223379653835,0.00677297660736101
"ENSMUSG00000044707","ENSMUSG00000044707","Ccnjl",-1.2939055930967,1.6506708126817,14.7152617855402,0.000125030145749445,0.00699803468368404
"ENSMUSG00000019359","ENSMUSG00000019359","Gdpd2",-1.52506086934702,1.03882028904549,13.0450760222191,0.000304082815974635,0.013722732106248
"ENSMUSG00000040963","ENSMUSG00000040963","Asgr2",-1.24485909256988,0.898467523341093,13.0227808577764,0.000307724515533981,0.0137431681950526
"ENSMUSG00000050671","ENSMUSG00000050671","Ism2",-1.55289581867363,-0.788669266218041,12.2529460407429,0.000464524183281589,0.0181794671996719
"ENSMUSG00000037379","ENSMUSG00000037379","Spon2",-1.17772825497964,3.17995513846697,11.6568791510447,0.000639655581714757,0.0229729636941265
"ENSMUSG00000035085","ENSMUSG00000035085","1700020L24Rik",-1.04396224797254,1.94474346912058,11.5793438408537,0.000666884691959628,0.0237529446377934
"ENSMUSG00000040891","ENSMUSG00000040891","Foxa3",-2.12580301530125,-0.596219746952153,10.9833950541766,0.000919318612932523,0.0300883868290378
"ENSMUSG00000043230","ENSMUSG00000043230","Fam124b",-1.33022914747598,2.55923735127253,10.8393620705263,0.000993649595543691,0.0316758455838243
