"","ID","Gene.name","logFC","logCPM","LR","PValue","FDR"
"ENSMUSG00000041202","ENSMUSG00000041202","Pla2g2d",-1.81450718809457,4.32135380684575,65.2171047315975,6.70847120507341e-16,1.15647335104261e-11
"ENSMUSG00000054555","ENSMUSG00000054555","Adam12",-1.52018430145963,3.54709764157099,62.1462689143385,3.1887060667408e-15,2.74850519422723e-11
"ENSMUSG00000030000","ENSMUSG00000030000","Add2",-1.75150306956699,3.17358340643296,60.5008954155605,7.35450173167643e-15,4.226141845079e-11
"ENSMUSG00000054690","ENSMUSG00000054690","Emcn",-1.14826880036805,5.95026461175116,55.7783941563237,8.1118163790031e-14,3.49599006394086e-10
"ENSMUSG00000030237","ENSMUSG00000030237","Slco1a4",-4.26749586325325,0.583261924680741,54.9033271317079,1.26606500397189e-13,3.84301796315799e-10
"ENSMUSG00000016494","ENSMUSG00000016494","Cd34",-0.993649929618947,8.08919709102048,54.7953703368852,1.33755483374604e-13,3.84301796315799e-10
"ENSMUSG00000096464","ENSMUSG00000096464","Ighv2-2",-2.67262376292224,3.56658265525773,54.4868386895682,1.56492407010515e-13,3.8539608635061e-10
"ENSMUSG00000029811","ENSMUSG00000029811","Aoc1",-2.4440378841818,2.42163538024481,54.1312119095313,1.87538513747598e-13,4.04122054811855e-10
"ENSMUSG00000027955","ENSMUSG00000027955","Fam198b",-1.04507406250462,6.2244379275567,53.6813917392336,2.35785963371125e-13,4.51634913617202e-10
"ENSMUSG00000073418","ENSMUSG00000073418","C4b",-1.04726903213887,8.62138180230878,52.2643849034702,4.8509291688987e-13,8.36251679426447e-10
"ENSMUSG00000069515","ENSMUSG00000069515","Lyz1",-1.81682627411326,9.38461367134551,50.6324147237325,1.11390046537121e-12,1.74568455659402e-09
"ENSMUSG00000058396","ENSMUSG00000058396","Gpr182",1.61314269519721,5.57739271507804,50.3342839838531,1.2966436264531e-12,1.86273662303541e-09
"ENSMUSG00000030954","ENSMUSG00000030954","Gp2",-3.37695247856115,2.28812412623282,49.5896996163955,1.89506047006693e-12,2.44786109155704e-09
"ENSMUSG00000037010","ENSMUSG00000037010","Apln",-0.852988068751674,6.67064791399295,49.4958306980547,1.98793754172508e-12,2.44786109155704e-09
"ENSMUSG00000001865","ENSMUSG00000001865","Cpa3",-2.97182081611614,4.66393319415798,48.6281147915518,3.09401777928888e-12,3.55585149981073e-09
"ENSMUSG00000012428","ENSMUSG00000012428","Steap4",-0.887860340400152,5.2266246139941,48.3398571415615,3.58393170448468e-12,3.86146241585072e-09
"ENSMUSG00000025597","ENSMUSG00000025597","Klhl4",-1.99439541864671,2.5796607669486,46.4462221303323,9.41677385768815e-12,9.54916261956976e-09
"ENSMUSG00000095519","ENSMUSG00000095519","Ighv1-66",-2.63063270095145,2.0738605213731,45.6090835954536,1.44370516748461e-11,1.38266852123706e-08
"ENSMUSG00000022225","ENSMUSG00000022225","Cma1",-3.62310227275843,4.58367255261458,44.4038319605381,2.67163648397788e-11,2.42401796564708e-08
"ENSMUSG00000076934","ENSMUSG00000076934","Iglv1",-2.43896392537265,5.01045203698993,43.2999257825365,4.69601325648624e-11,4.04772862642831e-08
"ENSMUSG00000042750","ENSMUSG00000042750","Bex2",2.54392164244703,3.29095614380132,43.0447734924223,5.35013513753063e-11,4.22509904961218e-08
"ENSMUSG00000021775","ENSMUSG00000021775","Nr1d2",-1.89649211668616,6.76350979389965,43.0295346076086,5.39197047923128e-11,4.22509904961218e-08
"ENSMUSG00000020826","ENSMUSG00000020826","Nos2",-1.34872599497671,4.22570850756985,42.1879384695198,8.29098003564613e-11,6.2142697754132e-08
"ENSMUSG00000075014","ENSMUSG00000075014","Gm10800",-3.72419371241428,1.04150616388729,41.9455658368701,9.38499633614618e-11,6.741164659951e-08
"ENSMUSG00000021198","ENSMUSG00000021198","Unc79",-1.12704627606177,3.71371941477896,41.8198055756812,1.00084464019634e-10,6.9014243009379e-08
"ENSMUSG00000031626","ENSMUSG00000031626","Sorbs2",-1.21461643755202,4.93795311901903,41.1569247638157,1.40484660741202e-10,9.31467333275991e-08
"ENSMUSG00000034457","ENSMUSG00000034457","Eda2r",-1.69717915344523,3.75293056355503,40.5896516653432,1.87798617355649e-10,1.16372651302466e-07
"ENSMUSG00000047844","ENSMUSG00000047844","Bex4",2.19857044598247,3.59542192683726,40.5421654873498,1.92418514180342e-10,1.16372651302466e-07
"ENSMUSG00000041445","ENSMUSG00000041445","Mmrn2",-0.916319605155997,5.7547602499836,40.4359206923474,2.03171242097358e-10,1.16372651302466e-07
"ENSMUSG00000105906","ENSMUSG00000105906","Iglc1",-2.25239216966637,4.7027215962861,40.4307903701236,2.03705429135361e-10,1.16372651302466e-07
"ENSMUSG00000046186","ENSMUSG00000046186","Cd109",-2.42316136828003,3.37549101666623,40.3781641243514,2.09266905874844e-10,1.16372651302466e-07
"ENSMUSG00000070547","ENSMUSG00000070547","Mrgprb1",-4.49152861251058,2.37576341921023,40.2122153522704,2.2781926834442e-10,1.22730511468421e-07
"ENSMUSG00000033825","ENSMUSG00000033825","Tpsb2",-3.9199397922545,4.98229290418191,40.1041131085398,2.40781473190317e-10,1.25782782312966e-07
"ENSMUSG00000037411","ENSMUSG00000037411","Serpine1",-1.16922333538168,6.66197996217797,39.9381331620499,2.62135297519216e-10,1.32910305703934e-07
