Unnamed: 0,ID,Gene.name,logFC,logCPM,LR,PValue,FDR
ENSMUSG00000085338,ENSMUSG00000085338,2410004I01Rik,1.11041120657081,2.28761198726579,21.0844806377664,4.39473009396009e-06,0.0002688475027618
ENSMUSG00000073489,ENSMUSG00000073489,Ifi204,1.02545104726539,4.71862029897425,20.750438486435,5.23195978425428e-06,0.0003088827216464
ENSMUSG00000020682,ENSMUSG00000020682,Mmp28,1.12656935707582,3.67447151481235,20.2684339277219,6.73018562298388e-06,0.0003803989178839
ENSMUSG00000026077,ENSMUSG00000026077,Npas2,1.6550714182354,2.86547427208634,18.154261407198,2.03713061345384e-05,0.0009193218493542
ENSMUSG00000055116,ENSMUSG00000055116,Arntl,1.66333971457169,3.87019820719412,17.5451704059823,2.80562492407812e-05,0.0011739361181112
ENSMUSG00000078956,ENSMUSG00000078956,Gm14221,1.0231187254664,2.88846180235767,17.2427772768981,3.28945670721705e-05,0.0013249286022363
ENSMUSG00000037202,ENSMUSG00000037202,Prf1,1.22112780987562,2.164809614054,17.219672339854,3.32970491769258e-05,0.0013380135915175
ENSMUSG00000082292,ENSMUSG00000082292,Gm12250,1.03230424491908,3.97488587790053,16.9252645073705,3.88806434209893e-05,0.0014927915633283
ENSMUSG00000040963,ENSMUSG00000040963,Asgr2,1.38195954492091,0.898467523341093,15.977939881463,6.40849033178678e-05,0.0021619562588977
ENSMUSG00000039628,ENSMUSG00000039628,Hs3st6,1.12420984807819,1.85422476769888,15.8425403773468,6.88373621866144e-05,0.0022864880283912
ENSMUSG00000019359,ENSMUSG00000019359,Gdpd2,1.68143181917374,1.03882028904549,15.7274582144408,7.31544907017511e-05,0.0023808397782698
ENSMUSG00000067297,ENSMUSG00000067297,Ifit1bl2,1.06105449790874,2.4161497184417,15.2088334659873,9.62521266006442e-05,0.0029524740399795
ENSMUSG00000091694,ENSMUSG00000091694,Apol11b,2.86258161523128,1.55823712167302,15.1000719464778,0.0001019594027161,0.0030894654241316
ENSMUSG00000078597,ENSMUSG00000078597,Cyp4a12b,1.13511643988474,1.29160678905934,14.1831481210078,0.0001658492244634,0.0045024799693304
ENSMUSG00000100707,ENSMUSG00000100707,Gm28523,1.28139316169441,0.446599393148779,13.2491093162877,0.0002727094171105,0.0065843664447747
ENSMUSG00000022490,ENSMUSG00000022490,Ppp1r1a,1.03621088861867,1.48621670352512,13.0739269339031,0.000299434710205,0.0070135257734025
ENSMUSG00000048852,ENSMUSG00000048852,Gm12185,1.08902940207518,1.91523254041771,12.5924764776327,0.0003873026237617,0.0084301893068544
ENSMUSG00000044707,ENSMUSG00000044707,Ccnjl,1.16647696033552,1.6506708126817,12.1673396408824,0.0004863362263988,0.0100526980897956
ENSMUSG00000092035,ENSMUSG00000092035,Peg10,1.08089421299175,2.20886292207497,12.138853236627,0.0004938213196609,0.0101584862196091
ENSMUSG00000001444,ENSMUSG00000001444,Tbx21,1.12976673305407,1.49525471469444,11.8875847244856,0.0005650935158395,0.0112750545365256
ENSMUSG00000050241,ENSMUSG00000050241,Klre1,1.61909881194343,-0.144176624002235,11.8680829267006,0.0005710416300011,0.0113805626122421
ENSMUSG00000079362,ENSMUSG00000079362,Gm43302,1.08081941622908,0.541104132722583,11.8054073350413,0.0005905893885878,0.0116890590928425
ENSMUSG00000103857,ENSMUSG00000103857,Gm37249,1.4580667510595,0.151052350453919,11.7877571608586,0.0005962152282729,0.0117733726462747
