"gene1","module1","EntrezID"
"ENSMUSG00000025934","blue","14859"
"ENSMUSG00000028033","blue","226922"
"ENSMUSG00000037138","blue","16764"
"ENSMUSG00000026077","blue","18143"
"ENSMUSG00000026070","blue","16182"
"ENSMUSG00000042807","blue","329152"
"ENSMUSG00000052331","blue","329154"
"ENSMUSG00000026034","blue","12747"
"ENSMUSG00000067336","blue","12168"
"ENSMUSG00000026185","blue","16011"
"ENSMUSG00000026180","blue","12765"
"ENSMUSG00000043230","blue","241128"
"ENSMUSG00000044340","blue","98432"
"ENSMUSG00000042066","blue","68875"
"ENSMUSG00000070643","blue","20668"
"ENSMUSG00000040181","blue","14261"
"ENSMUSG00000040170","blue","55990"
"ENSMUSG00000026691","blue","14262"
"ENSMUSG00000007097","blue","98660"
"ENSMUSG00000073489","blue","15951"
"ENSMUSG00000039377","blue","15284"
"ENSMUSG00000058248","blue","16510"
"ENSMUSG00000009633","blue","14373"
"ENSMUSG00000045319","blue","227545"
"ENSMUSG00000036813","blue","72090"
"ENSMUSG00000078202","blue","67122"
"ENSMUSG00000026961","blue","227618"
"ENSMUSG00000026921","blue","353156"
"ENSMUSG00000026814","blue","13805"
"ENSMUSG00000059013","blue","27387"
"ENSMUSG00000026879","blue","227753"
"ENSMUSG00000035000","blue","13482"
"ENSMUSG00000049044","blue","56508"
"ENSMUSG00000059588","blue","54598"
"ENSMUSG00000027074","blue","58207"
"ENSMUSG00000044338","blue","23796"
"ENSMUSG00000027221","blue","76969"
"ENSMUSG00000027217","blue","241556"
"ENSMUSG00000087006","blue","620695"
"ENSMUSG00000074971","blue","67606"
"ENSMUSG00000041644","blue","241612"
"ENSMUSG00000027314","blue","54485"
"ENSMUSG00000027293","blue","98878"
"ENSMUSG00000027380","blue","74121"
"ENSMUSG00000074793","blue","72630"
"ENSMUSG00000037014","blue","20608"
"ENSMUSG00000074743","blue","21824"
"ENSMUSG00000027442","blue","13012"
"ENSMUSG00000027463","blue","69698"
"ENSMUSG00000027483","blue","18843"
"ENSMUSG00000037754","blue","228852"
"ENSMUSG00000074607","blue","269389"
"ENSMUSG00000018209","blue","58231"
"ENSMUSG00000017754","blue","18830"
"ENSMUSG00000017737","blue","17395"
"ENSMUSG00000027513","blue","18534"
"ENSMUSG00000078866","blue","628308"
"ENSMUSG00000058254","blue","21912"
"ENSMUSG00000036782","blue","67455"
"ENSMUSG00000016239","blue","74365"
"ENSMUSG00000031340","blue","14404"
"ENSMUSG00000031200","blue","17763"
"ENSMUSG00000031216","blue","236920"
"ENSMUSG00000031217","blue","13641"
"ENSMUSG00000071719","blue","620592"
"ENSMUSG00000019359","blue","71584"
"ENSMUSG00000049804","blue","100503043"
"ENSMUSG00000043384","blue","67298"
"ENSMUSG00000025270","blue","11656"
"ENSMUSG00000040289","blue","15213"
"ENSMUSG00000039304","blue","22035"
"ENSMUSG00000037211","blue","24063"
"ENSMUSG00000044864","blue","99696"
"ENSMUSG00000027796","blue","55994"
"ENSMUSG00000027820","blue","17380"
"ENSMUSG00000041842","blue","229474"
"ENSMUSG00000027954","blue","13636"
"ENSMUSG00000046280","blue","214547"
"ENSMUSG00000027931","blue","18160"
"ENSMUSG00000074457","blue","67860"
"ENSMUSG00000056071","blue","20202"
"ENSMUSG00000005968","blue","22156"
"ENSMUSG00000068874","blue","20341"
"ENSMUSG00000015850","blue","229595"
"ENSMUSG00000080727","blue","100042889"
"ENSMUSG00000038543","blue","229600"
"ENSMUSG00000057123","blue","14613"
"ENSMUSG00000086564","blue","630146"
"ENSMUSG00000062778","blue","81600"
"ENSMUSG00000047959","blue","16491"
"ENSMUSG00000056145","blue","229694"
"ENSMUSG00000040724","blue","16490"
"ENSMUSG00000050947","blue","229715"
"ENSMUSG00000045092","blue","13609"
"ENSMUSG00000028116","blue","59006"
"ENSMUSG00000027978","blue","19142"
"ENSMUSG00000046561","blue","271970"
"ENSMUSG00000040253","blue","229900"
"ENSMUSG00000040264","blue","14468"
"ENSMUSG00000045573","blue","18619"
"ENSMUSG00000028248","blue","66625"
"ENSMUSG00000028444","blue","12804"
"ENSMUSG00000028475","blue","71406"
"ENSMUSG00000028476","blue","53614"
"ENSMUSG00000028480","blue","384009"
"ENSMUSG00000028347","blue","230157"
"ENSMUSG00000003032","blue","16600"
"ENSMUSG00000059810","blue","50780"
"ENSMUSG00000008305","blue","21885"
"ENSMUSG00000048706","blue","52829"
"ENSMUSG00000038007","blue","230379"
"ENSMUSG00000006386","blue","21687"
"ENSMUSG00000052684","blue","16476"
"ENSMUSG00000035407","blue","242553"
"ENSMUSG00000057722","blue","16847"
"ENSMUSG00000028713","blue","13120"
"ENSMUSG00000046093","blue","170638"
"ENSMUSG00000028859","blue","12986"
"ENSMUSG00000028909","blue","19273"
"ENSMUSG00000028906","blue","269587"
"ENSMUSG00000028862","blue","53608"
"ENSMUSG00000047281","blue","55948"
"ENSMUSG00000028832","blue","16765"
"ENSMUSG00000037266","blue","27981"
"ENSMUSG00000057530","blue","230857"
"ENSMUSG00000060572","blue","17150"
"ENSMUSG00000028977","blue","69743"
"ENSMUSG00000002944","blue","12491"
"ENSMUSG00000042453","blue","19699"
"ENSMUSG00000029168","blue","65254"
"ENSMUSG00000037379","blue","100689"
"ENSMUSG00000054252","blue","14184"
"ENSMUSG00000029096","blue","78558"
"ENSMUSG00000051022","blue","15476"
"ENSMUSG00000048373","blue","14181"
"ENSMUSG00000039706","blue","16826"
"ENSMUSG00000029090","blue","70693"
"ENSMUSG00000037999","blue","212285"
"ENSMUSG00000054920","blue","71778"
"ENSMUSG00000029231","blue","18595"
"ENSMUSG00000005672","blue","16590"
"ENSMUSG00000029238","blue","12753"
"ENSMUSG00000037605","blue","319387"
"ENSMUSG00000029273","blue","53315"
"ENSMUSG00000029371","blue","20311"
"ENSMUSG00000029334","blue","19092"
"ENSMUSG00000029298","blue","236573"
"ENSMUSG00000079363","blue","17472"
"ENSMUSG00000029287","blue","21814"
"ENSMUSG00000042190","blue","14747"
"ENSMUSG00000087516","blue","100039542"
"ENSMUSG00000018604","blue","21386"
"ENSMUSG00000029455","blue","11669"
"ENSMUSG00000034310","blue","243274"
"ENSMUSG00000042985","blue","100647"
"ENSMUSG00000048988","blue","243312"
"ENSMUSG00000018001","blue","19159"
"ENSMUSG00000029641","blue","68895"
"ENSMUSG00000092035","blue","170676"
"ENSMUSG00000002588","blue","18979"
"ENSMUSG00000000058","blue","12390"
"ENSMUSG00000007655","blue","12389"
"ENSMUSG00000041301","blue","12638"
"ENSMUSG00000017978","blue","320405"
"ENSMUSG00000079654","blue","101359"
"ENSMUSG00000003500","blue","23917"
"ENSMUSG00000043421","blue","69573"
"ENSMUSG00000029772","blue","74340"
"ENSMUSG00000038871","blue","12183"
"ENSMUSG00000029864","blue","76263"
"ENSMUSG00000029859","blue","13835"
"ENSMUSG00000079560","blue","15400"
"ENSMUSG00000038253","blue","15402"
"ENSMUSG00000043496","blue","66873"
"ENSMUSG00000038065","blue","68235"
"ENSMUSG00000003477","blue","21743"
"ENSMUSG00000004655","blue","11826"
"ENSMUSG00000045441","blue","243385"
"ENSMUSG00000025889","blue","20617"
"ENSMUSG00000054422","blue","14080"
"ENSMUSG00000053907","blue","232087"
"ENSMUSG00000063415","blue","232174"
"ENSMUSG00000015053","blue","14461"
"ENSMUSG00000030087","blue","66277"
"ENSMUSG00000034037","blue","232237"
"ENSMUSG00000097462","blue","330385"
"ENSMUSG00000030067","blue","108655"
"ENSMUSG00000030278","blue","14311"
"ENSMUSG00000030134","blue","70727"
"ENSMUSG00000001930","blue","22371"
"ENSMUSG00000030352","blue","109246"
"ENSMUSG00000033082","blue","243653"
"ENSMUSG00000030189","blue","56449"
"ENSMUSG00000041741","blue","54611"
"ENSMUSG00000030246","blue","16832"
"ENSMUSG00000062524","blue","17086"
"ENSMUSG00000035458","blue","21954"
"ENSMUSG00000085272","blue","381835"
"ENSMUSG00000041560","blue","68077"
"ENSMUSG00000040987","blue","243864"
"ENSMUSG00000003545","blue","14282"
"ENSMUSG00000052974","blue","13107"
"ENSMUSG00000040488","blue","108075"
"ENSMUSG00000037166","blue","68458"
"ENSMUSG00000074218","blue","12865"
"ENSMUSG00000036570","blue","56188"
"ENSMUSG00000030495","blue","53896"
"ENSMUSG00000064023","blue","259277"
"ENSMUSG00000110206","blue","14256"
"ENSMUSG00000070570","blue","72961"
"ENSMUSG00000063511","blue","20637"
"ENSMUSG00000030554","blue","233335"
"ENSMUSG00000005533","blue","16001"
"ENSMUSG00000097415","blue","108167440"
"ENSMUSG00000049791","blue","14366"
"ENSMUSG00000030616","blue","83671"
"ENSMUSG00000035686","blue","21835"
"ENSMUSG00000035547","blue","12337"
"ENSMUSG00000090958","blue","434215"
"ENSMUSG00000018909","blue","109689"
"ENSMUSG00000073940","blue","101488143"
"ENSMUSG00000052305","blue","15129"
"ENSMUSG00000036989","blue","55992"
"ENSMUSG00000007279","blue","56788"
"ENSMUSG00000030787","blue","114332"
"ENSMUSG00000038296","blue","233733"
"ENSMUSG00000055116","blue","11865"
"ENSMUSG00000055723","blue","66922"
"ENSMUSG00000058420","blue","110058"
"ENSMUSG00000030878","blue","12585"
"ENSMUSG00000030717","blue","56312"
"ENSMUSG00000030711","blue","20887"
"ENSMUSG00000025488","blue","12869"
"ENSMUSG00000037664","blue","12577"
"ENSMUSG00000019762","blue","70337"
