"gene1","module1","EntrezID"
"ENSMUSG00000042686","brown","57339"
"ENSMUSG00000079588","brown","381339"
"ENSMUSG00000047528","brown","108812"
"ENSMUSG00000061816","brown","17901"
"ENSMUSG00000050296","brown","74591"
"ENSMUSG00000026208","brown","13346"
"ENSMUSG00000059956","brown","71869"
"ENSMUSG00000044594","brown","20248"
"ENSMUSG00000073602","brown","383548"
"ENSMUSG00000073601","brown","381286"
"ENSMUSG00000026327","brown","66957"
"ENSMUSG00000026450","brown","71884"
"ENSMUSG00000026413","brown","18772"
"ENSMUSG00000026407","brown","12292"
"ENSMUSG00000007122","brown","12372"
"ENSMUSG00000026489","brown","67426"
"ENSMUSG00000044103","brown","215257"
"ENSMUSG00000026983","brown","54450"
"ENSMUSG00000036731","brown","67859"
"ENSMUSG00000026950","brown","17996"
"ENSMUSG00000027022","brown","241431"
"ENSMUSG00000075307","brown","228003"
"ENSMUSG00000051747","brown","22138"
"ENSMUSG00000027077","brown","68678"
"ENSMUSG00000075217","brown","228151"
"ENSMUSG00000050808","brown","269328"
"ENSMUSG00000027401","brown","21818"
"ENSMUSG00000017697","brown","11486"
"ENSMUSG00000040154","brown","209232"
"ENSMUSG00000017300","brown","21925"
"ENSMUSG00000016349","brown","13628"
"ENSMUSG00000041476","brown","66106"
"ENSMUSG00000043461","brown","66183"
"ENSMUSG00000074489","brown","12095"
"ENSMUSG00000043165","brown","16939"
"ENSMUSG00000045539","brown","20766"
"ENSMUSG00000057609","brown","67127"
"ENSMUSG00000027923","brown","68720"
"ENSMUSG00000068890","brown","73722"
"ENSMUSG00000042092","brown","73719"
"ENSMUSG00000103243","brown","69611"
"ENSMUSG00000068889","brown","68694"
"ENSMUSG00000042124","brown","67828"
"ENSMUSG00000027919","brown","66195"
"ENSMUSG00000049593","brown","67718"
"ENSMUSG00000068888","brown","76585"
"ENSMUSG00000095870","brown","631101"
"ENSMUSG00000059832","brown","433619"
"ENSMUSG00000090314","brown","66533"
"ENSMUSG00000054325","brown","545548"
"ENSMUSG00000042031","brown","66344"
"ENSMUSG00000045475","brown","94060"
"ENSMUSG00000074433","brown","69514"
"ENSMUSG00000068885","brown","69520"
"ENSMUSG00000027913","brown","74175"
"ENSMUSG00000027912","brown","66203"
"ENSMUSG00000102439","brown","14246"
"ENSMUSG00000041991","brown","68723"
"ENSMUSG00000041984","brown","20129"
"ENSMUSG00000028148","brown","66198"
"ENSMUSG00000038403","brown","69585"
"ENSMUSG00000027868","brown","21384"
"ENSMUSG00000027887","brown","17306"
"ENSMUSG00000090066","brown","102634333"
"ENSMUSG00000055301","brown","11529"
"ENSMUSG00000028464","brown","22004"
"ENSMUSG00000032643","brown","14201"
"ENSMUSG00000037188","brown","230824"
"ENSMUSG00000037139","brown","242702"
"ENSMUSG00000028749","brown","26971"
"ENSMUSG00000006221","brown","29818"
"ENSMUSG00000062077","brown","58522"
"ENSMUSG00000043430","brown","76943"
"ENSMUSG00000072845","brown","194597"
"ENSMUSG00000072720","brown","74376"
"ENSMUSG00000029361","brown","18125"
"ENSMUSG00000029683","brown","93677"
"ENSMUSG00000039070","brown","71791"
"ENSMUSG00000076589","brown","667859"
"ENSMUSG00000055027","brown","12180"
"ENSMUSG00000033508","brown","67855"
"ENSMUSG00000044086","brown","320502"
"ENSMUSG00000030137","brown","53857"
"ENSMUSG00000030433","brown","381836"
"ENSMUSG00000030399","brown","12715"
"ENSMUSG00000060621","brown","69547"
"ENSMUSG00000030484","brown","76942"
"ENSMUSG00000011632","brown","641361"
"ENSMUSG00000057454","brown","72434"
"ENSMUSG00000063651","brown","72383"
"ENSMUSG00000047586","brown","233038"
"ENSMUSG00000053522","brown","16858"
"ENSMUSG00000030592","brown","20190"
"ENSMUSG00000036854","brown","243912"
"ENSMUSG00000046056","brown","282619"
"ENSMUSG00000060962","brown","73712"
"ENSMUSG00000074199","brown","64661"
"ENSMUSG00000044737","brown","317653"
"ENSMUSG00000030693","brown","69540"
"ENSMUSG00000047884","brown","101533"
"ENSMUSG00000038670","brown","233199"
"ENSMUSG00000038763","brown","116904"
"ENSMUSG00000030747","brown","67800"
"ENSMUSG00000030730","brown","11937"
"ENSMUSG00000030672","brown","17907"
"ENSMUSG00000030785","brown","12862"
"ENSMUSG00000031097","brown","21953"
"ENSMUSG00000061723","brown","21957"
"ENSMUSG00000000031","brown","14955"
"ENSMUSG00000039891","brown","378431"
"ENSMUSG00000019851","brown","64058"
"ENSMUSG00000019787","brown","76757"
"ENSMUSG00000020067","brown","68802"
"ENSMUSG00000005355","brown","12365"
