"","ID","Gene.name","logFC","logCPM","LR","PValue","FDR"
"ENSMUSG00000022206","ENSMUSG00000022206","Npr3",1.39198777016077,6.68839676291668,96.4030040930975,9.37248349733114e-23,1.61572243010492e-18
"ENSMUSG00000030787","ENSMUSG00000030787","Lyve1",1.58604372980424,6.03884573093037,75.0427168959239,4.60639065611114e-18,3.970478426035e-14
"ENSMUSG00000087582","ENSMUSG00000087582","Ighv6-7",6.96630130906042,0.49015452822365,71.9939488793371,2.1585828054391e-17,1.24039363276549e-13
"ENSMUSG00000095079","ENSMUSG00000095079","Igha",1.51404461617377,11.6857504668148,59.5119584644465,1.2155324513599e-14,5.23864098224835e-11
"ENSMUSG00000096464","ENSMUSG00000096464","Ighv2-2",1.51895298484947,4.28875330392071,48.0165182816729,4.22643491467006e-12,1.45719022987994e-08
"ENSMUSG00000067149","ENSMUSG00000067149","Jchain",1.50416278044217,9.95853967676494,46.9456159200718,7.29840670340629e-12,2.09695388600035e-08
"ENSMUSG00000096672","ENSMUSG00000096672","Ighv1-63",5.40964040309369,1.32484330234294,42.1615619312587,8.40356341000419e-11,2.06955756607232e-07
"ENSMUSG00000000794","ENSMUSG00000000794","Kcnn3",-0.986637201958717,5.33228068767,39.2320984221588,3.76302742748925e-10,8.1088537278109e-07
"ENSMUSG00000110631","ENSMUSG00000110631","Gm42047",1.51461905996438,5.10796065021501,33.4498011352042,7.31272540010776e-09,1.40071192413842e-05
"ENSMUSG00000024030","ENSMUSG00000024030","Abcg1",-0.740421924681369,7.73509677061818,33.0598038574333,8.93672876796187e-09,1.44419768549206e-05
"ENSMUSG00000096499","ENSMUSG00000096499","Ighv1-5",3.60258569858413,3.16173480944155,33.0001338104837,9.21525293834485e-09,1.44419768549206e-05
"ENSMUSG00000024353","ENSMUSG00000024353","Mzb1",1.5750925741471,3.75062122204345,31.0552306217472,2.50789582156431e-08,3.6028013389956e-05
"ENSMUSG00000076609","ENSMUSG00000076609","Igkc",1.42379558901362,10.8631808216528,30.3318078271657,3.64105872006886e-08,4.82832394425132e-05
"ENSMUSG00000031972","ENSMUSG00000031972","Acta1",-1.63678369550701,2.78457220599974,29.6457846796003,5.18652939239131e-08,6.38647001395956e-05
"ENSMUSG00000041481","ENSMUSG00000041481","Serpina3g",1.13039135360805,4.46827750585229,28.7040603933046,8.43267393737268e-08,9.69139106709117e-05
"ENSMUSG00000027322","ENSMUSG00000027322","Siglec1",-0.718885046140491,6.07643243600197,27.7807890806369,1.35868583498656e-07,0.000146389906933334
"ENSMUSG00000098178","ENSMUSG00000098178","Gm42418",-1.0368867641677,8.59503818812504,27.6302142806812,1.4686665328843e-07,0.000148931425649368
"ENSMUSG00000040035","ENSMUSG00000040035","Disp2",1.23418525888006,4.69385608244686,27.2022026931949,1.83249780156703e-07,0.000175502386673411
"ENSMUSG00000094433","ENSMUSG00000094433","Igkv5-43",1.56636559621974,5.53108700293084,26.9555936997806,2.08183781691349e-07,0.000187134218985688
"ENSMUSG00000026980","ENSMUSG00000026980","Ly75",-0.716322607535723,6.31996009288388,26.874490399264,2.17105654603734e-07,0.000187134218985688
"ENSMUSG00000031596","ENSMUSG00000031596","Slc7a2",-0.693298543311673,6.76124681936547,26.4266676283196,2.7373505219995e-07,0.000224710407851188
"ENSMUSG00000094345","ENSMUSG00000094345","Igkv14-126",3.22257780675841,1.95906922825245,25.3953487419299,4.67042848783251e-07,0.000365970530462475
"ENSMUSG00000076613","ENSMUSG00000076613","Ighg2b",1.17559248757802,7.16518296313459,25.3034889915741,4.89821936085859e-07,0.00036713218939931
"ENSMUSG00000040809","ENSMUSG00000040809","Chil3",-1.08721101919257,7.41861680192456,24.1841234293375,8.7551054445207e-07,0.000628871928158718
"ENSMUSG00000076940","ENSMUSG00000076940","Iglv2",2.14682846808027,3.05984415714521,23.7358622771732,1.10504120029556e-06,0.00076199221007581
"ENSMUSG00000032068","ENSMUSG00000032068","Plet1",-0.655570606129444,7.10941385370756,22.9454420831098,1.66664912939326e-06,0.00110505247467733
