"","ID","Gene.name","logFC","logCPM","LR","PValue","FDR"
"ENSMUSG00000091971","ENSMUSG00000091971","Hspa1a",-2.44982776385028,4.77617811550536,218.011870957999,2.45501410773061e-49,4.2321988203168e-45
"ENSMUSG00000090877","ENSMUSG00000090877","Hspa1b",-2.58335412500922,5.38326389734012,207.2298329323,5.524035302295e-47,4.76144222881318e-43
"ENSMUSG00000028195","ENSMUSG00000028195","Cyr61",1.41051678249709,8.00969480982117,165.03535244507,8.98643262343156e-38,5.16390373317789e-34
"ENSMUSG00000029657","ENSMUSG00000029657","Hsph1",-1.25339630643081,6.30410973432982,88.172197827403,5.99972897684024e-21,2.58573319579372e-17
"ENSMUSG00000005483","ENSMUSG00000005483","Dnajb1",-0.990658162738437,6.34110151985782,73.139888009735,1.2077877901149e-17,4.16421074275816e-14
"ENSMUSG00000004951","ENSMUSG00000004951","Hspb1",-0.77720306315513,6.1521766907049,55.6312057334446,8.7424765569979e-14,2.51185922276811e-10
"ENSMUSG00000098973","ENSMUSG00000098973","Mir6236",-1.1390248932551,3.95561815749536,46.8301810207996,7.74120093748579e-12,1.90643661373311e-08
"ENSMUSG00000035202","ENSMUSG00000035202","Lars2",-0.716703264245373,6.12440608787346,46.206674860861,1.06413828495962e-11,2.29308498680237e-08
"ENSMUSG00000015656","ENSMUSG00000015656","Hspa8",-0.721269882544192,9.26769866017033,45.1637810645921,1.81225918308762e-11,3.4712817841386e-08
"ENSMUSG00000021701","ENSMUSG00000021701","Plk2",0.724994772588148,7.03058384637409,44.6342920150283,2.37495349573907e-11,4.09418233130458e-08
"ENSMUSG00000053113","ENSMUSG00000053113","Socs3",-0.843737560221982,6.14246656237772,44.3454906463971,2.75245290110838e-11,4.31359414201885e-08
"ENSMUSG00000028410","ENSMUSG00000028410","Dnaja1",-0.800864489667729,7.88179572725577,43.885724344126,3.48118730808691e-11,5.00101566700919e-08
"ENSMUSG00000076258","ENSMUSG00000076258","Gm23935",-0.812745721192084,5.66009832264333,42.365704861748,7.57059724322546e-11,1.00391942981511e-07
"ENSMUSG00000098178","ENSMUSG00000098178","Gm42418",-0.940296496685383,8.59503818812504,38.3414887489166,5.93865368438336e-10,7.31260363322034e-07
"ENSMUSG00000031972","ENSMUSG00000031972","Acta1",-1.29844972013467,2.78457220599974,34.2507398913675,4.84491208184164e-09,5.56809595859121e-06
"ENSMUSG00000100801","ENSMUSG00000100801","Gm15459",-0.768481189301602,5.44412952687745,33.873809434289,5.8805011078391e-09,6.33587241237739e-06
"ENSMUSG00000033730","ENSMUSG00000033730","Egr3",1.79175158801896,2.30989012474499,31.3924168450354,2.10802620789487e-08,2.13766257634704e-05
"ENSMUSG00000044041","ENSMUSG00000044041","Krt13",-2.90602896892784,-0.743375794085767,30.6222243914444,3.13482273200967e-08,3.00228939317304e-05
"ENSMUSG00000049804","ENSMUSG00000049804","Armcx4",0.686104562896134,6.22077891553323,30.5007878488088,3.33730949658161e-08,3.02799360060897e-05
"ENSMUSG00000054499","ENSMUSG00000054499","Dedd2",-0.687779144549249,5.23451269162733,29.9019475211627,4.54456127263061e-08,3.91718458894395e-05
"ENSMUSG00000055775","ENSMUSG00000055775","Myh8",-3.38400380493632,-1.19837886253878,29.4317493950464,5.79209257423713e-08,4.50955486280324e-05
"ENSMUSG00000028238","ENSMUSG00000028238","Atp6v0d2",-0.655817856721038,7.36194673194058,29.3465746334973,6.05234040129872e-08,4.50955486280324e-05
"ENSMUSG00000020482","ENSMUSG00000020482","Ccdc117",-0.625460375563109,5.7044808682604,29.3053836695636,6.18236889312074e-08,4.50955486280324e-05
"ENSMUSG00000078925","ENSMUSG00000078925","D030018L15Rik",-1.70433494972284,1.21903912766976,29.2755880153848,6.27816675603445e-08,4.50955486280324e-05
"ENSMUSG00000030203","ENSMUSG00000030203","Dusp16",-0.643191388694017,6.06389603094516,27.896104430454,1.28007227000262e-07,8.82686634503008e-05
"ENSMUSG00000023349","ENSMUSG00000023349","Clec4n",-0.698867120627209,6.08319700113796,27.0567169604346,1.97572508215356e-07,0.000130998171889405
"ENSMUSG00000076508","ENSMUSG00000076508","Igkv17-127",1.35707231757463,3.76173858071015,26.6256542512969,2.46942908393824e-07,0.000157668473992635
"ENSMUSG00000001774","ENSMUSG00000001774","Chordc1",-0.606057576421212,5.84293178845688,26.4540236842242,2.69885718771534e-07,0.000166162853782231
"ENSMUSG00000030724","ENSMUSG00000030724","Cd19",1.54566745517562,3.46072145784564,25.8155466882156,3.75650475312694e-07,0.000223304777376398
"ENSMUSG00000021270","ENSMUSG00000021270","Hsp90aa1",-0.544486680032304,8.54151327196953,25.5881400382213,4.22629057180366e-07,0.000242856743891078
"ENSMUSG00000040809","ENSMUSG00000040809","Chil3",-0.859787493222256,7.41861680192456,25.4266306633427,4.59530578785549e-07,0.000255543472505938
"ENSMUSG00000038508","ENSMUSG00000038508","Gdf15",-0.905819010425473,4.64756474759936,25.3270290940711,4.83880501924382e-07,0.000260675499146076
"ENSMUSG00000014226","ENSMUSG00000014226","Cacybp",-0.649739640064538,5.64455940769634,25.2411141411041,5.05921188303534e-07,0.000264290162580746
"ENSMUSG00000056501","ENSMUSG00000056501","Cebpb",-0.556191873797363,7.10405242595068,24.9291096307707,5.94775309790015e-07,0.000301568575455002
"ENSMUSG00000094797","ENSMUSG00000094797","Igkv6-15",1.21509253180285,6.07609199502982,24.7418334172856,6.55459360284204e-07,0.000322841826055411
"ENSMUSG00000016087","ENSMUSG00000016087","Fli1",-0.557149064300104,5.87286568109493,24.1433483041938,8.94245080247965e-07,0.000420935567707597
"ENSMUSG00000034394","ENSMUSG00000034394","Lif",1.24223247097575,3.21911042777102,24.123621752417,9.03452404732357e-07,0.000420935567707597
