"X","ID","Gene.name","logFC","logCPM","LR","PValue","FDR"
"ENSMUSG00000091971","ENSMUSG00000091971","Hspa1a",-2.44982776385028,4.77617811550536,218.011870957999,2.45501410773061e-49,4.2321988203168e-45
"ENSMUSG00000090877","ENSMUSG00000090877","Hspa1b",-2.58335412500922,5.38326389734012,207.2298329323,5.524035302295e-47,4.76144222881318e-43
"ENSMUSG00000029657","ENSMUSG00000029657","Hsph1",-1.25339630643081,6.30410973432982,88.172197827403,5.99972897684024e-21,2.58573319579372e-17
"ENSMUSG00000098973","ENSMUSG00000098973","Mir6236",-1.1390248932551,3.95561815749536,46.8301810207996,7.74120093748579e-12,1.90643661373311e-08
"ENSMUSG00000031972","ENSMUSG00000031972","Acta1",-1.29844972013467,2.78457220599974,34.2507398913675,4.84491208184164e-09,5.56809595859121e-06
"ENSMUSG00000044041","ENSMUSG00000044041","Krt13",-2.90602896892784,-0.743375794085767,30.6222243914444,3.13482273200967e-08,3.00228939317304e-05
"ENSMUSG00000055775","ENSMUSG00000055775","Myh8",-3.38400380493632,-1.19837886253878,29.4317493950464,5.79209257423713e-08,4.50955486280324e-05
"ENSMUSG00000078925","ENSMUSG00000078925","D030018L15Rik",-1.70433494972284,1.21903912766976,29.2755880153848,6.27816675603445e-08,4.50955486280324e-05
"ENSMUSG00000027102","ENSMUSG00000027102","Hoxd8",-1.09762276747829,2.13488255197614,19.4347889373398,1.04093561039157e-05,0.00326267072500731
"ENSMUSG00000020108","ENSMUSG00000020108","Ddit4",-1.13956908671333,6.410262002062,16.8418966023967,4.06264223148111e-05,0.00959395745595929
"ENSMUSG00000040283","ENSMUSG00000040283","Btnl9",-1.08717386603539,4.84516369529666,16.6967379335112,4.38563446424369e-05,0.0100805270038796
"ENSMUSG00000024770","ENSMUSG00000024770","Lipn",-1.49108497471898,0.115410660951349,15.3037476568546,9.15347346811323e-05,0.0174847235857549
"ENSMUSG00000033860","ENSMUSG00000033860","Fgg",-1.18257087761824,1.66882906072056,15.2810195916259,9.26427319803092e-05,0.0174847235857549
"ENSMUSG00000043165","ENSMUSG00000043165","Lor",-1.74804870563764,0.00443770968081649,13.9176908483454,0.000190992344880763,0.0310614814471649
"ENSMUSG00000094322","ENSMUSG00000094322","Ighv9-4",-1.62643351522097,0.66755763993087,13.8505151173765,0.000197942469157043,0.0318909366897034
"ENSMUSG00000086324","ENSMUSG00000086324","Gm15564",-1.06636594573819,1.54838769073158,12.3491571002077,0.000441185623761127,0.0516739396623498
"ENSMUSG00000020061","ENSMUSG00000020061","Mybpc1",-5.21153817858561,-2.53254146593148,12.3388411936718,0.000443630319045639,0.0516739396623498
"ENSMUSG00000028001","ENSMUSG00000028001","Fga",-1.05221723933028,1.4411536018582,10.95360262667,0.00093421798437582,0.0847630728034461
"ENSMUSG00000095497","ENSMUSG00000095497","Igkv1-122",-2.29368018931455,3.56387869017493,10.3930046827663,0.00126493615900371,0.103347082678033
"ENSMUSG00000095642","ENSMUSG00000095642","Ighv14-3",-1.02542950129355,3.60327275904984,9.31492478208565,0.00227294710312753,0.142813743315254
"ENSMUSG00000105741","ENSMUSG00000105741","C79130",-1.20671767990342,0.118628453019427,8.48083786240643,0.00358906763815121,0.188060598827017
"ENSMUSG00000103726","ENSMUSG00000103726","Gm30074",-1.38658258954509,-0.49277213221523,7.4086270544397,0.0064911841283959,0.27630005725782
"ENSMUSG00000076615","ENSMUSG00000076615","Ighg3",-1.07072731208726,5.24305082286497,7.11680889988516,0.00763645118264689,0.30193757325149
"ENSMUSG00000078452","ENSMUSG00000078452","Raet1d",-1.7188766982691,-1.41240352296047,6.89440485608441,0.00864659441377578,0.329775754643984
"ENSMUSG00000048636","ENSMUSG00000048636","A730049H05Rik",-1.32614020986871,-0.555738457071627,6.79822708010295,0.00912484383414466,0.339722195945163
"ENSMUSG00000058542","ENSMUSG00000058542","Gm15590",-1.29636433304472,-0.319601924440195,6.76154908646636,0.00931428687720799,0.340711086636447
"ENSMUSG00000027401","ENSMUSG00000027401","Tgm3",-1.66851054074977,-1.19485198425903,6.71361963644944,0.00956793211492771,0.340798197813553
"ENSMUSG00000096632","ENSMUSG00000096632","Igkv9-124",-1.45542921221961,4.37605807973824,6.67147642293975,0.0097967998649938,0.345372255363248
"ENSMUSG00000092500","ENSMUSG00000092500","Gm20400",-1.26313108472183,-0.35381909754227,6.5066754670503,0.0107470250019579,0.36542004735454
"ENSMUSG00000027887","ENSMUSG00000027887","Sypl2",-1.47410077625735,-1.03657150068223,6.29498436812233,0.0121080084982016,0.390149455141115
"ENSMUSG00000071478","ENSMUSG00000071478","Hist1h2ad",-1.47453973414919,-0.893108338513741,6.03071550501545,0.014059033229494,0.423224917050685
"ENSMUSG00000086657","ENSMUSG00000086657","Stamos",-1.3800949446055,-0.976947483680733,5.75354678462526,0.0164554013136958,0.450277243248893
"ENSMUSG00000030669","ENSMUSG00000030669","Calca",-1.0145551800177,0.00637318561255442,5.51546253021294,0.0188490884207378,0.471703622286549
"ENSMUSG00000086697","ENSMUSG00000086697","4933427G23Rik",-1.3809372754739,-1.06655552706519,5.40951094407168,0.0200273260521324,0.486269118046071
"ENSMUSG00000031760","ENSMUSG00000031760","Mt3",-1.16256218794287,-0.412481619971005,5.267778630606,0.0217237169185242,0.507446010783792
"ENSMUSG00000107319","ENSMUSG00000107319","Gm42670",-1.19645810944731,-0.0692725407700875,5.22630825142868,0.0222477049041614,0.51549487210059
"ENSMUSG00000051832","ENSMUSG00000051832","E230016K23Rik",-1.05417097248926,0.145427338291593,5.19071742062979,0.0227078403556094,0.517452992388342
"ENSMUSG00000045539","ENSMUSG00000045539","Sprr3",-3.94686208866319,-3.0344936368325,5.07216389882983,0.0243130150180646,0.525373601001278
