"X","ID","Gene.name","logFC","logCPM","LR","PValue","FDR"
"ENSMUSG00000028195","ENSMUSG00000028195","Cyr61",1.41051678249709,8.00969480982117,165.03535244507,8.98643262343156e-38,5.16390373317789e-34
"ENSMUSG00000033730","ENSMUSG00000033730","Egr3",1.79175158801896,2.30989012474499,31.3924168450354,2.10802620789487e-08,2.13766257634704e-05
"ENSMUSG00000076508","ENSMUSG00000076508","Igkv17-127",1.35707231757463,3.76173858071015,26.6256542512969,2.46942908393824e-07,0.000157668473992635
"ENSMUSG00000030724","ENSMUSG00000030724","Cd19",1.54566745517562,3.46072145784564,25.8155466882156,3.75650475312694e-07,0.000223304777376398
"ENSMUSG00000094797","ENSMUSG00000094797","Igkv6-15",1.21509253180285,6.07609199502982,24.7418334172856,6.55459360284204e-07,0.000322841826055411
"ENSMUSG00000034394","ENSMUSG00000034394","Lif",1.24223247097575,3.21911042777102,24.123621752417,9.03452404732357e-07,0.000420935567707597
"ENSMUSG00000030468","ENSMUSG00000030468","Siglecg",1.48678079020629,2.62067403056196,22.3559850974706,2.26506046106187e-06,0.00102756256021699
"ENSMUSG00000095170","ENSMUSG00000095170","Ighv8-11",2.63364279762799,4.34296545782081,21.887686745967,2.89082915059776e-06,0.00124587509317887
"ENSMUSG00000094345","ENSMUSG00000094345","Igkv14-126",2.69072966195961,1.95906922825245,21.6516234366199,3.26933192194878e-06,0.001374634463475
"ENSMUSG00000016756","ENSMUSG00000016756","Cmah",1.0479334409619,4.70406767507628,20.7242891678127,5.30389403802501e-06,0.0020318628738114
"ENSMUSG00000038151","ENSMUSG00000038151","Prdm1",1.1149706089975,4.82007492717063,20.5044689039919,5.94921898628102e-06,0.00209303236947956
"ENSMUSG00000003545","ENSMUSG00000003545","Fosb",1.09487655020466,3.54316996275275,19.5743637515682,9.67588707078899e-06,0.00308893735580243
"ENSMUSG00000014030","ENSMUSG00000014030","Pax5",1.5292644049029,3.93339118743256,18.7039516544192,1.5266577639281e-05,0.0044785452862317
"ENSMUSG00000104213","ENSMUSG00000104213","Ighd",1.65886194710662,4.65291473029561,18.6729825132382,1.55165593082777e-05,0.0044785452862317
"ENSMUSG00000038418","ENSMUSG00000038418","Egr1",2.00676856901493,6.61996257323991,18.6327722322178,1.58472801473481e-05,0.0044785452862317
"ENSMUSG00000076617","ENSMUSG00000076617","Ighm",1.27596533627751,7.67406726390141,18.3518317206335,1.83642344638799e-05,0.00493809647890563
"ENSMUSG00000003379","ENSMUSG00000003379","Cd79a",1.21843065595845,4.7509832240693,15.4438417801082,8.49934387199836e-05,0.0170372312801604
"ENSMUSG00000095633","ENSMUSG00000095633","Igkv4-58",4.37147265394702,2.50653400501548,15.4056074933967,8.67305414600845e-05,0.017185606945177
"ENSMUSG00000076548","ENSMUSG00000076548","Igkv4-69",6.63404519403729,-0.861068138725943,14.7611668054384,0.000122022711094267,0.0219119741307715
"ENSMUSG00000076606","ENSMUSG00000076606","Igkj3",1.67399014898298,0.690155487960621,14.3766736493618,0.000149644637531952,0.0257972390641331
"ENSMUSG00000104452","ENSMUSG00000104452","Ighv8-8",1.92983334713407,2.84770863865639,13.5299175944154,0.000234790356131659,0.0361388477620864
"ENSMUSG00000095200","ENSMUSG00000095200","Ighv1-7",2.48611223409342,3.33390410436277,13.32380349371,0.00026205807464088,0.0382849080401197
"ENSMUSG00000000861","ENSMUSG00000000861","Bcl11a",1.15464967696942,2.44438413555248,13.1766287861086,0.000283462242010739,0.0395333864448498
"ENSMUSG00000096670","ENSMUSG00000096670","Ighv2-6",1.80408509503638,4.54962617292235,13.0066082262706,0.000310393648084895,0.0408463824376757
"ENSMUSG00000096672","ENSMUSG00000096672","Ighv1-63",2.83197469667972,1.32484330234294,12.9415977464947,0.000321360614328273,0.0416536513564293
"ENSMUSG00000059994","ENSMUSG00000059994","Fcrl1",1.08286430479105,2.32972704626418,12.9081381920518,0.000327156551669775,0.0420884462256362
"ENSMUSG00000095682","ENSMUSG00000095682","Igkv3-1",2.52284903808328,2.2596582879483,12.843324921689,0.000338685262904404,0.0432488536830297
"ENSMUSG00000076646","ENSMUSG00000076646","Ighv2-6-8",1.81402196168492,4.78258927470787,12.7336704144976,0.000359131043844484,0.0451902194513508
"ENSMUSG00000021250","ENSMUSG00000021250","Fos",1.19639972027559,6.1478399331282,12.6813599246317,0.000369318863145515,0.0455023675718665
"ENSMUSG00000042474","ENSMUSG00000042474","Fcmr",1.68401364302114,3.48197065500549,12.2546287442259,0.00046410547998457,0.0526362787464079
"ENSMUSG00000026616","ENSMUSG00000026616","Cr2",1.32283858716789,2.61306874107881,12.1793938390301,0.000483203439766631,0.05374157482669
"ENSMUSG00000076533","ENSMUSG00000076533","Igkv4-90",3.93459994066891,1.85708928059604,11.6925976097769,0.000627492353451809,0.0637850560135024
"ENSMUSG00000095442","ENSMUSG00000095442","Ighv1-4",2.50244378040784,3.42920118673754,11.6891167940602,0.000628667333788537,0.0637850560135024
"ENSMUSG00000096336","ENSMUSG00000096336","Igkv1-135",2.38383074923806,5.42936546411488,11.6814694548927,0.000631256570561049,0.0637850560135024
"ENSMUSG00000020193","ENSMUSG00000020193","Zpbp",2.08141782020711,-0.0908808260219495,11.3235905830493,0.000765285908659321,0.0741166504459441
"ENSMUSG00000091956","ENSMUSG00000091956","C2cd4b",1.35023543437429,1.09388720777649,11.19514412766,0.000820116672696114,0.0787211872207296
"ENSMUSG00000032572","ENSMUSG00000032572","Col6a4",1.37040419964258,1.26482802032324,11.1741146191315,0.000829464687405554,0.0787211872207296
"ENSMUSG00000076586","ENSMUSG00000076586","Igkv8-21",1.72367085508458,4.56524582294913,11.1558986134728,0.00083764905543421,0.0787211872207296
"ENSMUSG00000004110","ENSMUSG00000004110","Cacna1e",1.02771288341117,2.20069260772842,10.8986613423138,0.000962337817293164,0.0859150177240882
"ENSMUSG00000029379","ENSMUSG00000029379","Cxcl3",5.64844159044351,-1.61723452987388,10.7973718892363,0.00101644294111656,0.0894003054178997
