"","ID","Gene.name","logFC","logCPM","LR","PValue","FDR"
"ENSMUSG00000090877","ENSMUSG00000090877","Hspa1b",-3.15341020698602,5.38326389734012,315.80799270423,1.18584998213144e-70,2.0442867841964e-66
"ENSMUSG00000091971","ENSMUSG00000091971","Hspa1a",-2.80836903412288,4.77617811550536,291.978559022405,1.84268533198187e-65,1.58830262190177e-61
"ENSMUSG00000022206","ENSMUSG00000022206","Npr3",-1.79652743536516,6.68839676291668,284.280230659263,8.76767606946672e-64,5.03819892538456e-60
"ENSMUSG00000028195","ENSMUSG00000028195","Cyr61",1.49457906646917,8.00969480982117,181.477883895442,2.30539545253941e-41,9.93567805158172e-38
"ENSMUSG00000087582","ENSMUSG00000087582","Ighv6-7",-6.80248474310159,0.49015452822365,153.634926179594,2.78299573606299e-35,9.59521269879797e-32
"ENSMUSG00000030787","ENSMUSG00000030787","Lyve1",-1.55274389762644,6.03884573093037,128.607087270831,8.26646421218637e-30,2.37509294256468e-26
"ENSMUSG00000029657","ENSMUSG00000029657","Hsph1",-1.23411277539971,6.30410973432982,84.6554169454322,3.55169501505835e-20,8.74681005208443e-17
"ENSMUSG00000005483","ENSMUSG00000005483","Dnajb1",-0.946672713590404,6.34110151985782,65.7341673091505,5.16034572962633e-16,1.11199000041285e-12
"ENSMUSG00000076613","ENSMUSG00000076613","Ighg2b",-1.41352230181444,7.16518296313459,64.0433905242267,1.21708921999066e-15,2.33126678482434e-12
"ENSMUSG00000016087","ENSMUSG00000016087","Fli1",-0.818656387596358,5.87286568109493,53.2517232141513,2.93429950120744e-13,5.05843891013151e-10
"ENSMUSG00000028410","ENSMUSG00000028410","Dnaja1",-0.837395329474685,7.88179572725577,47.9937424740294,4.27581602602251e-12,6.70098113387292e-09
"ENSMUSG00000022579","ENSMUSG00000022579","Gpihbp1",-0.772921251096583,6.13582806981978,39.8735412893958,2.70948771614763e-10,3.89240489488908e-07
"ENSMUSG00000066363","ENSMUSG00000066363","Serpina3f",-1.42409653429237,3.19075184963474,39.336470118473,3.56716040219015e-10,4.73032909025815e-07
"ENSMUSG00000076940","ENSMUSG00000076940","Iglv2",-1.95532627117466,3.05984415714521,37.2454370297306,1.04158419357707e-09,1.28256213664822e-06
"ENSMUSG00000020482","ENSMUSG00000020482","Ccdc117",-0.699931583210951,5.7044808682604,36.4480899325086,1.56786699134427e-09,1.80189727091892e-06
"ENSMUSG00000076934","ENSMUSG00000076934","Iglv1",-0.905105685757486,5.48582256246622,35.7677776716174,2.22294221735803e-09,2.39508130531469e-06
"ENSMUSG00000015656","ENSMUSG00000015656","Hspa8",-0.643234971094511,9.26769866017033,35.574802382716,2.45441953606618e-09,2.48892578719088e-06
"ENSMUSG00000023243","ENSMUSG00000023243","Kcnk5",-1.20021474590327,3.35371630940124,34.9682384895053,3.35127527819009e-09,3.20959080670661e-06
"ENSMUSG00000094433","ENSMUSG00000094433","Igkv5-43",-1.32078303285104,5.53108700293084,34.0608848213108,5.34142729274602e-09,4.84636132103414e-06
"ENSMUSG00000076615","ENSMUSG00000076615","Ighg3",-2.25046257308916,5.24305082286497,33.9446580659658,5.67021523409955e-09,4.88744202103211e-06
"ENSMUSG00000004951","ENSMUSG00000004951","Hspb1",-0.608992673168202,6.1521766907049,32.8180045577474,1.01203142134497e-08,8.20904475301574e-06
"ENSMUSG00000028957","ENSMUSG00000028957","Per3",0.729855723944429,6.38677192918522,32.7508243058581,1.04761868186291e-08,8.20904475301574e-06
"ENSMUSG00000059824","ENSMUSG00000059824","Dbp",1.74587941600782,5.80422585556748,31.8334119172459,1.67978141280244e-08,1.24653273355774e-05
"ENSMUSG00000105906","ENSMUSG00000105906","Iglc1",-1.24888051768049,5.0769975968192,31.6511730664078,1.84503115807748e-08,1.24653273355774e-05
"ENSMUSG00000076532","ENSMUSG00000076532","Igkv4-91",-1.75657742707896,3.25570858693637,31.6273880093348,1.86776753279787e-08,1.24653273355774e-05
"ENSMUSG00000038481","ENSMUSG00000038481","Cdk19",0.769159027999613,6.91956791496192,31.6146792307765,1.88003080645636e-08,1.24653273355774e-05
