"X","ID","Gene.name","logFC","logCPM","LR","PValue","FDR"
"ENSMUSG00000090877","ENSMUSG00000090877","Hspa1b",-3.15341020698602,5.38326389734012,315.80799270423,1.18584998213144e-70,2.0442867841964e-66
"ENSMUSG00000091971","ENSMUSG00000091971","Hspa1a",-2.80836903412288,4.77617811550536,291.978559022405,1.84268533198187e-65,1.58830262190177e-61
"ENSMUSG00000022206","ENSMUSG00000022206","Npr3",-1.79652743536516,6.68839676291668,284.280230659263,8.76767606946672e-64,5.03819892538456e-60
"ENSMUSG00000087582","ENSMUSG00000087582","Ighv6-7",-6.80248474310159,0.49015452822365,153.634926179594,2.78299573606299e-35,9.59521269879797e-32
"ENSMUSG00000030787","ENSMUSG00000030787","Lyve1",-1.55274389762644,6.03884573093037,128.607087270831,8.26646421218637e-30,2.37509294256468e-26
"ENSMUSG00000029657","ENSMUSG00000029657","Hsph1",-1.23411277539971,6.30410973432982,84.6554169454322,3.55169501505835e-20,8.74681005208443e-17
"ENSMUSG00000076613","ENSMUSG00000076613","Ighg2b",-1.41352230181444,7.16518296313459,64.0433905242267,1.21708921999066e-15,2.33126678482434e-12
"ENSMUSG00000066363","ENSMUSG00000066363","Serpina3f",-1.42409653429237,3.19075184963474,39.336470118473,3.56716040219015e-10,4.73032909025815e-07
"ENSMUSG00000076940","ENSMUSG00000076940","Iglv2",-1.95532627117466,3.05984415714521,37.2454370297306,1.04158419357707e-09,1.28256213664822e-06
"ENSMUSG00000023243","ENSMUSG00000023243","Kcnk5",-1.20021474590327,3.35371630940124,34.9682384895053,3.35127527819009e-09,3.20959080670661e-06
"ENSMUSG00000094433","ENSMUSG00000094433","Igkv5-43",-1.32078303285104,5.53108700293084,34.0608848213108,5.34142729274602e-09,4.84636132103414e-06
"ENSMUSG00000076615","ENSMUSG00000076615","Ighg3",-2.25046257308916,5.24305082286497,33.9446580659658,5.67021523409955e-09,4.88744202103211e-06
"ENSMUSG00000105906","ENSMUSG00000105906","Iglc1",-1.24888051768049,5.0769975968192,31.6511730664078,1.84503115807748e-08,1.24653273355774e-05
"ENSMUSG00000076532","ENSMUSG00000076532","Igkv4-91",-1.75657742707896,3.25570858693637,31.6273880093348,1.86776753279787e-08,1.24653273355774e-05
"ENSMUSG00000095497","ENSMUSG00000095497","Igkv1-122",-3.86151057618763,3.56387869017493,30.0695305922874,4.16829242160046e-08,2.47783424330932e-05
"ENSMUSG00000096672","ENSMUSG00000096672","Ighv1-63",-2.57766570641398,1.32484330234294,29.9629866808855,4.40372557578136e-08,2.53052750669649e-05
"ENSMUSG00000014773","ENSMUSG00000014773","Dll1",-1.06883394049877,4.71783975445037,29.2016478939123,6.52237093872896e-08,3.51372351914839e-05
"ENSMUSG00000055994","ENSMUSG00000055994","Nod2",-1.12805459787329,3.29719538134009,23.1802557365115,1.47504036680456e-06,0.000508564417666877
"ENSMUSG00000096499","ENSMUSG00000096499","Ighv1-5",-1.94098602221516,3.16173480944155,21.3985210551711,3.73058842475552e-06,0.00112667483584218
"ENSMUSG00000076731","ENSMUSG00000076731","Ighv8-12",-2.1833489305394,4.29581236443313,20.6463665693383,5.52419212702432e-06,0.00153701483953366
"ENSMUSG00000076562","ENSMUSG00000076562","Igkv4-50",-2.83036904598993,4.17452214729493,18.5962560122764,1.61537490244181e-05,0.00362354927176782
"ENSMUSG00000076571","ENSMUSG00000076571","Igkv5-37",-3.40252730896367,-0.121092592333485,18.5679736039305,1.63951994430007e-05,0.00362354927176782
"ENSMUSG00000095583","ENSMUSG00000095583","Ighv14-2",-1.16334030078671,2.92523476902863,18.0140941011614,2.19275499034997e-05,0.00466677818254854
"ENSMUSG00000096715","ENSMUSG00000096715","Igkv3-4",-1.05657741201168,4.01843985543613,15.3522410873003,8.92150402376949e-05,0.0147171318252157
"ENSMUSG00000096632","ENSMUSG00000096632","Igkv9-124",-2.14911825157461,4.37605807973824,15.1422541274878,9.97065288085553e-05,0.0160639331787914
"ENSMUSG00000095127","ENSMUSG00000095127","Ighv1-82",-1.19115619750173,3.07245395230602,14.9902728665726,0.00010806678373737,0.0172496600448938
