"X","ID","Gene.name","logFC","logCPM","LR","PValue","FDR"
"ENSMUSG00000028195","ENSMUSG00000028195","Cyr61",1.49457906646917,8.00969480982117,181.477883895442,2.30539545253941e-41,9.93567805158172e-38
"ENSMUSG00000059824","ENSMUSG00000059824","Dbp",1.74587941600782,5.80422585556748,31.8334119172459,1.67978141280244e-08,1.24653273355774e-05
"ENSMUSG00000020889","ENSMUSG00000020889","Nr1d1",1.40166250558674,6.20325745157911,30.5122002079091,3.31773507375191e-08,2.11831240505219e-05
"ENSMUSG00000055254","ENSMUSG00000055254","Ntrk2",1.71114385905772,5.87487717247706,30.3851863338881,3.5422292987428e-08,2.18087467432239e-05
"ENSMUSG00000038151","ENSMUSG00000038151","Prdm1",1.15636804900824,4.82007492717063,21.633669374332,3.30007718830745e-06,0.0010343641936224
"ENSMUSG00000054672","ENSMUSG00000054672","5830411N06Rik",1.64684821844437,1.89797214297035,21.3380632502344,3.85010552326264e-06,0.00112667483584218
"ENSMUSG00000033730","ENSMUSG00000033730","Egr3",1.42081297242749,2.30989012474499,20.6144593499394,5.61702737343352e-06,0.00153701483953366
"ENSMUSG00000085971","ENSMUSG00000085971","Gm15411",2.04654158420838,1.01064758331763,18.8278643476955,1.43061749263031e-05,0.00333275877776405
"ENSMUSG00000076617","ENSMUSG00000076617","Ighm",1.24202570911858,7.67406726390141,17.4475434592774,2.95345703924553e-05,0.00620910315848216
"ENSMUSG00000030237","ENSMUSG00000030237","Slco1a4",1.62070537590799,1.44817302348019,17.2685930545884,3.2450643563386e-05,0.00652408056121616
"ENSMUSG00000107355","ENSMUSG00000107355","AI839979",2.18987362909294,0.412672584022142,16.2827201041617,5.4559230778076e-05,0.0102233323846006
"ENSMUSG00000021250","ENSMUSG00000021250","Fos",1.36824702551922,6.1478399331282,16.1422138049177,5.87596262750761e-05,0.0108920128747961
"ENSMUSG00000038418","ENSMUSG00000038418","Egr1",1.75738022640935,6.61996257323991,14.7760887000954,0.000121060881021064,0.018468748034709
"ENSMUSG00000063415","ENSMUSG00000063415","Cyp26b1",1.66795353153224,3.34138302447975,14.3719211704139,0.00015002281708923,0.0221046439641132
"ENSMUSG00000096967","ENSMUSG00000096967","Gm26621",1.63362541194997,0.841835987440981,13.7369438853067,0.000210277350515943,0.0288951322318107
"ENSMUSG00000102780","ENSMUSG00000102780","Gm38253",1.68572222429463,0.602349738872027,13.5105242446474,0.000237229257926883,0.0312182837969582
"ENSMUSG00000104519","ENSMUSG00000104519","Gm37161",1.76004849083958,0.489982496611442,13.4238955266499,0.000248439247830376,0.0324457893435443
"ENSMUSG00000044145","ENSMUSG00000044145","1810024B03Rik",3.55991154553221,-0.554333982341708,13.3739456594296,0.000255144019909939,0.0328240877554286
"ENSMUSG00000095170","ENSMUSG00000095170","Ighv8-11",1.94515650015405,4.34296545782081,13.1683027416782,0.000284724508405448,0.0350597557171537
"ENSMUSG00000098041","ENSMUSG00000098041","Gm26981",6.11368139046931,-1.19309152397713,12.8608597931356,0.000335526398601842,0.0388197287617259
"ENSMUSG00000030209","ENSMUSG00000030209","Grin2b",2.28694289808187,-0.0494281525335368,12.569181056432,0.000392160390351159,0.0433362369824592
"ENSMUSG00000076533","ENSMUSG00000076533","Igkv4-90",3.91778791956136,1.85708928059604,11.4505211693695,0.000714739508516156,0.0696123976684182
"ENSMUSG00000097658","ENSMUSG00000097658","Gm16755",2.77518397688381,-0.531789590231572,11.3132958034145,0.000769540576267976,0.0724924043403477
"ENSMUSG00000095576","ENSMUSG00000095576","Fmo6",2.03902303970867,-0.0343903886650658,11.2749591341333,0.000785595840793835,0.073307472047154
"ENSMUSG00000071551","ENSMUSG00000071551","Akr1c19",1.26922699866408,1.79532509400677,11.1420474857112,0.00084392689301617,0.0761699251764699
"ENSMUSG00000045545","ENSMUSG00000045545","Krt14",5.87162223542568,-1.44826051656159,10.3801182228639,0.00127379538028478,0.102445359802123
"ENSMUSG00000050930","ENSMUSG00000050930","Map10",1.32661433096324,1.76944920521347,9.98640262194747,0.00157700385715963,0.119717408864482
"ENSMUSG00000085072","ENSMUSG00000085072","Ict1os",3.23959756291152,-0.89183530020596,9.93116403277655,0.00162503735047389,0.121800082107911
"ENSMUSG00000030041","ENSMUSG00000030041","M1ap",1.67826752286962,1.25072620088291,9.84367661404075,0.00170416546533506,0.125547472038082
"ENSMUSG00000111531","ENSMUSG00000111531","Gm32688",1.59176260536879,0.625711889182338,9.68425957164314,0.00185853266813819,0.132393573000142
"ENSMUSG00000092281","ENSMUSG00000092281","Hmgb1-ps7",2.5293190496831,-0.810637441115999,9.38229990877499,0.00219090508380936,0.151682782087508
"ENSMUSG00000086533","ENSMUSG00000086533","Mypopos",1.18114506250326,1.12206562219141,9.19856464480937,0.0024220496978217,0.163100448206048
"ENSMUSG00000108923","ENSMUSG00000108923","4933431C10Rik",2.21976593634113,-0.573549730506411,9.07462168850841,0.00259181189122763,0.170535286995699
"ENSMUSG00000024124","ENSMUSG00000024124","Prss30",1.49178831921435,0.311281097718198,9.01000760250986,0.0026850530246395,0.174106895648137
"ENSMUSG00000106427","ENSMUSG00000106427","Gm42820",2.49074215355386,-0.57613471419257,8.9165195366071,0.00282602573192753,0.180436509602588
"ENSMUSG00000027107","ENSMUSG00000027107","Chrna1",2.08212004147057,-0.596856034761741,8.06279003005308,0.00451835524558907,0.246493436957943
"ENSMUSG00000101122","ENSMUSG00000101122","Gm17971",1.61368404213275,0.369670224006744,8.02454435207839,0.0046147634101841,0.249385286608664
"ENSMUSG00000053916","ENSMUSG00000053916","Nanp",1.36105001658089,0.276975790010115,7.77896606462884,0.00528580409877845,0.265661740113241
"ENSMUSG00000030111","ENSMUSG00000030111","A2m",3.65563826235603,1.79633010770024,7.70091138940454,0.0055192949936567,0.274431152413494
"ENSMUSG00000086231","ENSMUSG00000086231","Rapgef4os3",1.51365948550942,0.391434158509591,7.68271572235855,0.00557522045100336,0.274603501013848
"ENSMUSG00000105403","ENSMUSG00000105403","Gm43618",1.71606455809535,-0.261507824590511,7.56349985483037,0.00595622113569669,0.286813676419763
"ENSMUSG00000098789","ENSMUSG00000098789","Jmjd7",1.84834831859533,-0.595404052627253,7.54568501780886,0.00601539492580075,0.288856248261502
"ENSMUSG00000023034","ENSMUSG00000023034","Nr4a1",1.03956243548922,7.05363634883749,7.50636496920444,0.00614813282636308,0.291756207668406
"ENSMUSG00000109555","ENSMUSG00000109555","Gm44891",2.32103049296104,-0.864402457454262,7.49620539748308,0.00618291324965128,0.292019839755448
"ENSMUSG00000084974","ENSMUSG00000084974","Gm15567",1.49681290910578,-0.0943278429266602,7.29121242159425,0.00692926974959892,0.317695960673765
"ENSMUSG00000102336","ENSMUSG00000102336","Gm37233",1.22144945909053,0.926289764584486,7.25519638185414,0.00706961401515925,0.320718621071922
"ENSMUSG00000034387","ENSMUSG00000034387","Ssu2",1.56798974362854,0.868062929463062,7.17915634333193,0.007375538130499,0.327698200597093
"ENSMUSG00000093734","ENSMUSG00000093734","Gm25082",1.52495277414521,0.0552945792888014,7.15598438570919,0.00747142782357712,0.329933754085125
"ENSMUSG00000110757","ENSMUSG00000110757","Gm18228",2.32470340104071,-1.00268153565068,7.02274348851477,0.00804808263539888,0.342570114942324
"ENSMUSG00000097855","ENSMUSG00000097855","A930007I19Rik",1.24715570263832,0.550503143321736,6.9505690887946,0.00837925735712086,0.348913085940595
"ENSMUSG00000076535","ENSMUSG00000076535","Igkv1-88",2.00763205016132,0.590751271973867,6.93849644836932,0.00843599947943693,0.34958700727407
"ENSMUSG00000103527","ENSMUSG00000103527","Gm37261",1.22119818088962,0.524253504940822,6.75501686538919,0.00934844629935587,0.375659360733324
"ENSMUSG00000035456","ENSMUSG00000035456","Prdm8",1.22117665566294,0.921191918037538,6.70907893112764,0.00959232581111721,0.378422265416454
"ENSMUSG00000020963","ENSMUSG00000020963","Tshr",1.08257247016248,1.15799578951993,6.65511213499063,0.00988717487747292,0.381235363253834
"ENSMUSG00000078902","ENSMUSG00000078902","Gm14443",1.59796467290202,-0.550982208864837,6.50723764677258,0.0107436277431953,0.395576934151282
"ENSMUSG00000097000","ENSMUSG00000097000","Gm17435",1.77697266855172,-0.242794541779227,6.44540591336719,0.0111239622641801,0.398429252486559
"ENSMUSG00000052749","ENSMUSG00000052749","Trim30b",1.09146223249444,0.774582046474158,6.41993656210271,0.0112846192147904,0.398429252486559
"ENSMUSG00000105597","ENSMUSG00000105597","4633401B06Rik",2.70761433559356,-1.29753004100454,6.39314185753982,0.0114562082294444,0.400595484112356
"ENSMUSG00000102559","ENSMUSG00000102559","Gm37570",1.51235993322942,-0.144448908881852,6.35678663456872,0.0116933130594462,0.403162047663587
"ENSMUSG00000103821","ENSMUSG00000103821","D430013B06Rik",2.32310762509503,-0.333616305600302,6.3461336660184,0.0117637406105606,0.404780687396116
"ENSMUSG00000044966","ENSMUSG00000044966","Fbxo48",1.32972123025069,-0.109546840263333,6.31240352768878,0.0119896193579212,0.406868204943314
"ENSMUSG00000026940","ENSMUSG00000026940","Ccdc183",1.39656449316926,-0.00361551113145384,6.27908491649515,0.0122171170151617,0.410547524803845
"ENSMUSG00000098889","ENSMUSG00000098889","Gm27206",2.18056549063395,-0.975398228597487,6.22138094595265,0.0126216629727231,0.41365940681896
"ENSMUSG00000049741","ENSMUSG00000049741","Rxfp4",1.41663464463737,0.160271481641002,6.08869317761085,0.0136049677195008,0.431009697386632
"ENSMUSG00000098021","ENSMUSG00000098021","Gm9522",1.37250119095994,0.197841478008223,5.98508921336686,0.0144273128774647,0.442945687130153
"ENSMUSG00000098055","ENSMUSG00000098055","Gm26947",1.67989250543134,-0.641452836501505,5.9480042796518,0.0147339577566692,0.446394899415148
"ENSMUSG00000075224","ENSMUSG00000075224","Lrrc55",1.07525568104038,1.00456100780614,5.91986174051175,0.0149711333194145,0.449629559744576
"ENSMUSG00000079434","ENSMUSG00000079434","Neu2",1.14287028296372,0.655263633907906,5.89286517945738,0.0152023465034623,0.454894769196649
"ENSMUSG00000107944","ENSMUSG00000107944","Gm44280",1.1939946498434,0.630160461744365,5.86353981375878,0.0154576761999774,0.457860618576306
