"Gene_ID","Gene_Name","Count"
"ENSMUSG00000051951","Xkr4",33
"ENSMUSG00000025900","Rp1",457
"ENSMUSG00000025902","Sox17",2368
"ENSMUSG00000102269","Gm7357",36
"ENSMUSG00000033845","Mrpl15",568
"ENSMUSG00000025903","Lypla1",1998
"ENSMUSG00000033813","Tcea1",2559
"ENSMUSG00000033793","Atp6v1h",1926
"ENSMUSG00000025907","Rb1cc1",3413
"ENSMUSG00000090031","4732440D04Rik",159
"ENSMUSG00000087247","Alkal1",125
"ENSMUSG00000051285","Pcmtd1",3830
"ENSMUSG00000103509","Gm38372",105
"ENSMUSG00000061024","Rrs1",814
"ENSMUSG00000025911","Adhfe1",432
"ENSMUSG00000079671","2610203C22Rik",204
"ENSMUSG00000025912","Mybl1",112
"ENSMUSG00000045210","Vcpip1",2276
"ENSMUSG00000097893","1700034P13Rik",25
"ENSMUSG00000025915","Sgk3",742
"ENSMUSG00000098234","Snhg6",212
"ENSMUSG00000099032","Tcf24",61
"ENSMUSG00000025916","Ppp1r42",32
"ENSMUSG00000025917","Cops5",1628
"ENSMUSG00000056763","Cspp1",1054
"ENSMUSG00000067851","Arfgef1",5914
"ENSMUSG00000048960","Prex2",13880
"ENSMUSG00000057715","A830018L16Rik",82
"ENSMUSG00000016918","Sulf1",1968
"ENSMUSG00000025938","Slco5a1",136
"ENSMUSG00000005886","Ncoa2",3061
"ENSMUSG00000025935","Tram1",4435
"ENSMUSG00000025937","Lactb2",1765
"ENSMUSG00000025932","Eya1",294
"ENSMUSG00000025930","Msc",22
"ENSMUSG00000092083","Kcnb2",26
"ENSMUSG00000025925","Terf1",470
"ENSMUSG00000104379","Gm37509",17
"ENSMUSG00000032719","Sbspon",59
"ENSMUSG00000067795","4930444P10Rik",21
"ENSMUSG00000043716","Rpl7",14738
"ENSMUSG00000025921","Rdh10",1245
"ENSMUSG00000025920","Stau2",745
"ENSMUSG00000025939","Ube2w",1162
"ENSMUSG00000079658","Eloc",1520
"ENSMUSG00000025940","Tmem70",621
"ENSMUSG00000025779","Ly96",83
"ENSMUSG00000042686","Jph1",129
"ENSMUSG00000067780","Pi15",468
"ENSMUSG00000025776","Crispld1",178
"ENSMUSG00000043760","Pkhd1",41
"ENSMUSG00000041859","Mcm3",811
"ENSMUSG00000025931","Paqr8",1405
"ENSMUSG00000041809","Efhc1",422
"ENSMUSG00000041779","Tram2",1395
"ENSMUSG00000025933","Tmem14a",207
"ENSMUSG00000025934","Gsta3",6766
"ENSMUSG00000025936","Gm4956",556
"ENSMUSG00000028033","Kcnq5",348
"ENSMUSG00000082935","Gm7658",84
"ENSMUSG00000041670","Rims1",10
"ENSMUSG00000097970","Gm27028",52
"ENSMUSG00000026158","Ogfrl1",1126
"ENSMUSG00000026156","B3gat2",45
"ENSMUSG00000026155","Smap1",1167
"ENSMUSG00000026154","Sdhaf4",333
"ENSMUSG00000026153","Fam135a",1213
"ENSMUSG00000100131","Gm28439",54
"ENSMUSG00000067736","Gm10222",47
"ENSMUSG00000101939","Gm28438",326
"ENSMUSG00000101111","Gm28437",100
"ENSMUSG00000100862","Gm10925",94
"ENSMUSG00000102070","Gm28661",105
"ENSMUSG00000101249","Gm29216",52
"ENSMUSG00000073725","Lmbrd1",3767
"ENSMUSG00000073722","4931408C20Rik",33
"ENSMUSG00000086240","Gm7846",21
"ENSMUSG00000048874","Phf3",4520
"ENSMUSG00000026064","Ptp4a1",2157
"ENSMUSG00000026134","Prim2",285
"ENSMUSG00000004768","Rab23",883
"ENSMUSG00000042215","Bag2",200
"ENSMUSG00000042197","Zfp451",1428
"ENSMUSG00000042182","Bend6",53
"ENSMUSG00000026131","Dst",14415
"ENSMUSG00000102336","Gm37233",66
"ENSMUSG00000042111","Ccdc115",802
"ENSMUSG00000026127","Imp4",1360
"ENSMUSG00000026126","Ptpn18",741
"ENSMUSG00000100280","Gm28417",88
"ENSMUSG00000037509","Arhgef4",231
"ENSMUSG00000104002","Gm38336",30
"ENSMUSG00000037503","Fam168b",7782
"ENSMUSG00000026123","Plekhb2",4985
"ENSMUSG00000045216","Hs6st1",1957
"ENSMUSG00000102202","Gm33280",22
"ENSMUSG00000037470","Uggt1",4257
"ENSMUSG00000047180","Neurl3",1246
"ENSMUSG00000037447","Arid5a",1104
"ENSMUSG00000010453","Kansl3",3190
"ENSMUSG00000037432","Fer1l5",141
"ENSMUSG00000001143","Lman2l",687
"ENSMUSG00000037408","Cnnm4",505
"ENSMUSG00000001138","Cnnm3",1222
"ENSMUSG00000067653","Ankrd23",74
"ENSMUSG00000079610","Ankrd39",260
"ENSMUSG00000026121","Sema4c",1635
"ENSMUSG00000087589","D430040D24Rik",171
"ENSMUSG00000061518","Cox5b",2393
"ENSMUSG00000037351","Actr1b",3486
"ENSMUSG00000026117","Zap70",302
"ENSMUSG00000026116","Tmem131",3193
"ENSMUSG00000050122","Vwa3b",275
"ENSMUSG00000026113","Inpp4a",1748
"ENSMUSG00000026112","Coa5",3765
"ENSMUSG00000026111","Unc50",1655
"ENSMUSG00000026110","Mgat4a",979
"ENSMUSG00000026090","2010300C02Rik",1038
"ENSMUSG00000060771","Tsga10",454
"ENSMUSG00000037216","Lipt1",113
"ENSMUSG00000026088","Mitd1",447
"ENSMUSG00000026087","Mrpl30",956
"ENSMUSG00000058407","Txndc9",1643
"ENSMUSG00000026083","Eif5b",4977
"ENSMUSG00000026082","Rev1",810
"ENSMUSG00000037138","Aff3",2347
"ENSMUSG00000048814","Lonrf2",33
"ENSMUSG00000026080","Chst10",96
"ENSMUSG00000026078","Pdcl3",1657
"ENSMUSG00000103046","Gm37309",38
"ENSMUSG00000026077","Npas2",128
"ENSMUSG00000073702","Rpl31",8221
"ENSMUSG00000003134","Tbc1d8",1494
"ENSMUSG00000003135","Cnot11",1059
"ENSMUSG00000085894","Gm15832",67
"ENSMUSG00000048234","Rnf149",1685
"ENSMUSG00000050967","Creg2",25
"ENSMUSG00000057173","Rfx8",24
"ENSMUSG00000026074","Map4k4",8842
"ENSMUSG00000026073","Il1r2",34
"ENSMUSG00000026072","Il1r1",2179
"ENSMUSG00000070942","Il1rl2",746
"ENSMUSG00000026069","Il1rl1",209
"ENSMUSG00000026070","Il18r1",4706
"ENSMUSG00000026068","Il18rap",411
"ENSMUSG00000026065","Slc9a4",239
"ENSMUSG00000026062","Slc9a2",106
"ENSMUSG00000041945","Mfsd9",78
"ENSMUSG00000079588","Tmem182",134
"ENSMUSG00000060679","Mrps9",1002
"ENSMUSG00000070939","Tgfbrap1",3238
"ENSMUSG00000010290","AI597479",1111
"ENSMUSG00000008136","Fhl2",110
"ENSMUSG00000094497","Gm8210",435
"ENSMUSG00000066877","Nck2",1345
"ENSMUSG00000103945","Gm38228",20
"ENSMUSG00000026051","1500015O10Rik",16
"ENSMUSG00000057363","Uxs1",1255
"ENSMUSG00000100701","Gm19587",19
"ENSMUSG00000041763","Tpp2",2204
"ENSMUSG00000026049","Tex30",171
"ENSMUSG00000026047","Kdelc1",541
"ENSMUSG00000041684","Bivm",673
"ENSMUSG00000026048","Ercc5",1084
"ENSMUSG00000046828","Mettl21e",210
"ENSMUSG00000089703","Gm15833",16
"ENSMUSG00000056870","Gulp1",734
"ENSMUSG00000026043","Col3a1",7771
"ENSMUSG00000026042","Col5a2",2715
"ENSMUSG00000025995","Wdr75",880
"ENSMUSG00000084817","Gm5526",133
"ENSMUSG00000025993","Slc40a1",897
"ENSMUSG00000041144","Dnah7b",259
"ENSMUSG00000101337","Dnah7c",164
"ENSMUSG00000025986","Slc39a10",1636
