"Gene_ID","Gene.name","Count","entrezgene_id"
"ENSMUSG00000051951","Xkr4",33,497097
"ENSMUSG00000025900","Rp1",457,19888
"ENSMUSG00000025902","Sox17",2368,20671
"ENSMUSG00000102269","Gm7357",36,NA
"ENSMUSG00000033845","Mrpl15",568,27395
"ENSMUSG00000025903","Lypla1",1998,18777
"ENSMUSG00000033813","Tcea1",2559,21399
"ENSMUSG00000033793","Atp6v1h",1926,108664
"ENSMUSG00000025907","Rb1cc1",3413,12421
"ENSMUSG00000090031","4732440D04Rik",159,NA
"ENSMUSG00000087247","Alkal1",125,620393
"ENSMUSG00000051285","Pcmtd1",3830,319263
"ENSMUSG00000103509","Gm38372",105,NA
"ENSMUSG00000061024","Rrs1",814,59014
"ENSMUSG00000025911","Adhfe1",432,76187
"ENSMUSG00000079671","2610203C22Rik",204,NA
"ENSMUSG00000025912","Mybl1",112,17864
"ENSMUSG00000045210","Vcpip1",2276,70675
"ENSMUSG00000097893","1700034P13Rik",25,NA
"ENSMUSG00000025915","Sgk3",742,170755
"ENSMUSG00000098234","Snhg6",212,NA
"ENSMUSG00000099032","Tcf24",61,100039596
"ENSMUSG00000025916","Ppp1r42",32,69312
"ENSMUSG00000025917","Cops5",1628,26754
"ENSMUSG00000056763","Cspp1",1054,211660
"ENSMUSG00000067851","Arfgef1",5914,211673
"ENSMUSG00000048960","Prex2",13880,109294
"ENSMUSG00000057715","A830018L16Rik",82,320492
"ENSMUSG00000016918","Sulf1",1968,240725
"ENSMUSG00000025938","Slco5a1",136,240726
"ENSMUSG00000005886","Ncoa2",3061,17978
"ENSMUSG00000025935","Tram1",4435,72265
"ENSMUSG00000025937","Lactb2",1765,212442
"ENSMUSG00000025932","Eya1",294,14048
"ENSMUSG00000025930","Msc",22,17681
"ENSMUSG00000092083","Kcnb2",26,98741
"ENSMUSG00000025925","Terf1",470,21749
"ENSMUSG00000104379","Gm37509",17,NA
"ENSMUSG00000032719","Sbspon",59,226866
"ENSMUSG00000067795","4930444P10Rik",21,75799
"ENSMUSG00000043716","Rpl7",14738,19989
"ENSMUSG00000025921","Rdh10",1245,98711
"ENSMUSG00000025920","Stau2",745,29819
"ENSMUSG00000025939","Ube2w",1162,66799
"ENSMUSG00000079658","Eloc",1520,67923
"ENSMUSG00000025940","Tmem70",621,70397
"ENSMUSG00000025779","Ly96",83,17087
"ENSMUSG00000042686","Jph1",129,57339
"ENSMUSG00000067780","Pi15",468,94227
"ENSMUSG00000025776","Crispld1",178,83691
