"gene1","gene2","correlation","module1","module2"
"ENSMUSG00000042686","ENSMUSG00000079588",0.136225675833479,"brown","brown"
"ENSMUSG00000042686","ENSMUSG00000047528",0.0452795393187887,"brown","brown"
"ENSMUSG00000042686","ENSMUSG00000061816",0.304582674785002,"brown","brown"
"ENSMUSG00000042686","ENSMUSG00000050296",0.242643084636185,"brown","brown"
"ENSMUSG00000042686","ENSMUSG00000026208",0.13699522783166,"brown","brown"
"ENSMUSG00000042686","ENSMUSG00000059956",0.399339992600359,"brown","brown"
"ENSMUSG00000042686","ENSMUSG00000044594",0.44733988929553,"brown","brown"
"ENSMUSG00000042686","ENSMUSG00000073602",0.44733988929553,"brown","brown"
"ENSMUSG00000042686","ENSMUSG00000073601",0.443509900673803,"brown","brown"
"ENSMUSG00000042686","ENSMUSG00000026327",0.35283795924257,"brown","brown"
"ENSMUSG00000042686","ENSMUSG00000026450",0.20145264074004,"brown","brown"
"ENSMUSG00000042686","ENSMUSG00000026413",0.419542428065094,"brown","brown"
"ENSMUSG00000042686","ENSMUSG00000026407",0.401439645833159,"brown","brown"
"ENSMUSG00000042686","ENSMUSG00000007122",0.369262894381889,"brown","brown"
"ENSMUSG00000042686","ENSMUSG00000026489",0.126822675985373,"brown","brown"
"ENSMUSG00000042686","ENSMUSG00000044103",0.149712105600884,"brown","brown"
"ENSMUSG00000042686","ENSMUSG00000026983",0.43589961226848,"brown","brown"
"ENSMUSG00000042686","ENSMUSG00000036731",0.382420376643055,"brown","brown"
"ENSMUSG00000042686","ENSMUSG00000026950",0.417013015662825,"brown","brown"
"ENSMUSG00000042686","ENSMUSG00000027022",0.229467187485752,"brown","brown"
"ENSMUSG00000042686","ENSMUSG00000075307",0.352037684812423,"brown","brown"
"ENSMUSG00000042686","ENSMUSG00000051747",0.13891655623653,"brown","brown"
"ENSMUSG00000042686","ENSMUSG00000027077",0.284569622572506,"brown","brown"
"ENSMUSG00000042686","ENSMUSG00000075217",0.326040000385941,"brown","brown"
"ENSMUSG00000042686","ENSMUSG00000050808",0.194760767113245,"brown","brown"
"ENSMUSG00000042686","ENSMUSG00000027401",0.429498730371712,"brown","brown"
"ENSMUSG00000042686","ENSMUSG00000017697",0.388457931048679,"brown","brown"
"ENSMUSG00000042686","ENSMUSG00000040154",0.215691852659189,"brown","brown"
"ENSMUSG00000042686","ENSMUSG00000017300",0.439602859424322,"brown","brown"
"ENSMUSG00000042686","ENSMUSG00000016349",0.140655165273094,"brown","brown"
"ENSMUSG00000042686","ENSMUSG00000041476",0.130965180108285,"brown","brown"
"ENSMUSG00000042686","ENSMUSG00000043461",0.144054001717745,"brown","brown"
"ENSMUSG00000042686","ENSMUSG00000074489",0.305884813761943,"brown","brown"
"ENSMUSG00000042686","ENSMUSG00000043165",0.437692647304866,"brown","brown"
"ENSMUSG00000042686","ENSMUSG00000045539",0.440626230332464,"brown","brown"
"ENSMUSG00000042686","ENSMUSG00000057609",0.393924695479594,"brown","brown"
"ENSMUSG00000042686","ENSMUSG00000027923",0.44733988929553,"brown","brown"
"ENSMUSG00000042686","ENSMUSG00000068890",0.423809800334338,"brown","brown"
"ENSMUSG00000042686","ENSMUSG00000042092",0.419130027863232,"brown","brown"
"ENSMUSG00000042686","ENSMUSG00000103243",0.42704033627531,"brown","brown"
"ENSMUSG00000042686","ENSMUSG00000068889",0.425203157929639,"brown","brown"
"ENSMUSG00000042686","ENSMUSG00000042124",0.418965729818052,"brown","brown"
"ENSMUSG00000042686","ENSMUSG00000027919",0.44733988929553,"brown","brown"
"ENSMUSG00000042686","ENSMUSG00000049593",0.44733988929553,"brown","brown"
"ENSMUSG00000042686","ENSMUSG00000068888",0.44733988929553,"brown","brown"
"ENSMUSG00000042686","ENSMUSG00000095870",0.44733988929553,"brown","brown"
"ENSMUSG00000042686","ENSMUSG00000059832",0.44733988929553,"brown","brown"
"ENSMUSG00000042686","ENSMUSG00000090314",0.44733988929553,"brown","brown"
"ENSMUSG00000042686","ENSMUSG00000054325",0.434841796140442,"brown","brown"
"ENSMUSG00000042686","ENSMUSG00000042031",0.44733988929553,"brown","brown"
"ENSMUSG00000042686","ENSMUSG00000045475",0.44733988929553,"brown","brown"
"ENSMUSG00000042686","ENSMUSG00000074433",0.44733988929553,"brown","brown"
"ENSMUSG00000042686","ENSMUSG00000068885",0.44733988929553,"brown","brown"
"ENSMUSG00000042686","ENSMUSG00000027913",0.439637889910905,"brown","brown"
