"X","ID","Gene.name","logFC","logCPM","LR","PValue","FDR"
"ENSMUSG00000097554","ENSMUSG00000097554","Gm26825",-1.30179074567061,5.87372790641126,91.0374388492752,1.40979278783527e-21,1.21517089347461e-17
"ENSMUSG00000021270","ENSMUSG00000021270","Hsp90aa1",-1.19812414852937,9.16727745570996,53.1390654147729,3.1075046670749e-13,6.69628411946302e-10
"ENSMUSG00000056749","ENSMUSG00000056749","Nfil3",-1.03443379611163,4.02492091020659,44.7906977942769,2.19261881415227e-11,2.69989683836936e-08
"ENSMUSG00000029675","ENSMUSG00000029675","Eln",-1.1569331268578,7.82045758198419,44.1104450301437,3.10360407396988e-11,3.56686870874445e-08
"ENSMUSG00000015656","ENSMUSG00000015656","Hspa8",-1.05919620666152,9.84357107201641,43.1652465685959,5.03063503622746e-11,4.95907861655319e-08
"ENSMUSG00000024966","ENSMUSG00000024966","Stip1",-1.10136683287116,7.06133082365527,43.1087589240384,5.17799263866566e-11,4.95907861655319e-08
"ENSMUSG00000022769","ENSMUSG00000022769","Sdf2l1",-1.10327420512926,4.71289529264284,40.3033747281802,2.17433064849989e-10,1.78491838330903e-07
"ENSMUSG00000029657","ENSMUSG00000029657","Hsph1",-2.0016362914108,7.05950773938098,37.8468326352358,7.65225214386221e-10,5.07373748877079e-07
"ENSMUSG00000028410","ENSMUSG00000028410","Dnaja1",-1.11367075501641,8.3661273307125,36.1986256952604,1.78196176672431e-09,1.02397462988535e-06
"ENSMUSG00000055116","ENSMUSG00000055116","Arntl",-1.92560680795865,4.50714232933464,34.3333147065912,4.6436440937658e-09,2.42581153128572e-06
"ENSMUSG00000023067","ENSMUSG00000023067","Cdkn1a",-1.11750972144288,7.02887778600597,32.5431750636344,1.16573785923922e-08,5.74175855869285e-06
"ENSMUSG00000020288","ENSMUSG00000020288","Ahsa2",-1.10862862987051,4.75438957320076,31.2428318701312,2.27686642621765e-08,9.57339032233319e-06
"ENSMUSG00000100801","ENSMUSG00000100801","Gm15459",-1.00764839769514,5.97785866029121,29.916378499602,4.51086262323507e-08,1.62005751587394e-05
"ENSMUSG00000090877","ENSMUSG00000090877","Hspa1b",-2.52911588755876,7.04378485566297,29.7724522397467,4.85846794352914e-08,1.70928834445916e-05
"ENSMUSG00000037379","ENSMUSG00000037379","Spon2",-1.5173711990678,3.48570977652126,28.748594474151,8.24097072504083e-08,2.68049234582979e-05
"ENSMUSG00000058145","ENSMUSG00000058145","Adamts17",-1.29943989931041,2.31367058081418,28.0951429888815,1.15495350314356e-07,3.68708211864663e-05
"ENSMUSG00000044707","ENSMUSG00000044707","Ccnjl",-1.40583128930039,2.13312346449395,26.6130010274786,2.48565465325301e-07,7.5175790469173e-05
"ENSMUSG00000091971","ENSMUSG00000091971","Hspa1a",-2.35284792531233,6.28251592240977,25.8449826389456,3.69965124847109e-07,0.000104554570282612
"ENSMUSG00000004951","ENSMUSG00000004951","Hspb1",-1.32722495224564,6.86918857638609,25.0204253489084,5.67261929665665e-07,0.000148167097053127
"ENSMUSG00000026077","ENSMUSG00000026077","Npas2",-1.62717208237256,3.4514743474419,23.453743320645,1.27953511414827e-06,0.000275723822910025
