"X","ID","Gene.name","logFC","logCPM","LR","PValue","FDR"
"ENSMUSG00000028957","ENSMUSG00000028957","Per3",1.62770397637552,5.93227091134831,110.26801212287,8.55988036088864e-26,1.47563777541359e-21
"ENSMUSG00000014030","ENSMUSG00000014030","Pax5",1.58871272783756,4.19006851262882,77.6471635309676,1.23193088206254e-18,7.07908549195871e-15
"ENSMUSG00000040592","ENSMUSG00000040592","Cd79b",1.17756462282105,4.42252426438975,72.300572684504,1.84793759146263e-17,7.96414903480609e-14
"ENSMUSG00000003379","ENSMUSG00000003379","Cd79a",1.23136442016434,4.58148637485932,60.5853405235986,7.04567527718607e-15,2.02433993505684e-11
"ENSMUSG00000104213","ENSMUSG00000104213","Ighd",1.72431529134255,4.75742269774888,59.3510617539658,1.31908994953016e-14,3.24854166285006e-11
"ENSMUSG00000005540","ENSMUSG00000005540","Fcer2a",1.42692704311254,3.69656408905388,49.7831412619588,1.71713080301892e-12,2.96016179132432e-09
"ENSMUSG00000021775","ENSMUSG00000021775","Nr1d2",1.96012547289717,6.32575101399344,48.1211664884725,4.0067778417074e-12,6.27934938301762e-09
"ENSMUSG00000059824","ENSMUSG00000059824","Dbp",2.75977777534041,4.78077128453551,43.6419803222381,3.94289585793077e-11,4.24822385592928e-08
"ENSMUSG00000038421","ENSMUSG00000038421","Fcrla",1.64038498443456,2.6322964136383,42.5421929132441,6.91738211717892e-11,6.27625001673933e-08
"ENSMUSG00000001998","ENSMUSG00000001998","Ap4e1",1.78970546784111,5.08443468128308,41.605959007549,1.11652432137877e-10,9.62388138812429e-08
"ENSMUSG00000037944","ENSMUSG00000037944","Ccr7",1.38216927592474,4.08491107373125,39.9634303350064,2.58762265764669e-10,2.0276375906896e-07
"ENSMUSG00000025511","ENSMUSG00000025511","Tspan4",1.06984154347949,5.9429242381473,37.0097917980884,1.17537504549666e-09,6.98699669286792e-07
"ENSMUSG00000026581","ENSMUSG00000026581","Sell",1.10336261045364,5.25317169135088,32.400668540701,1.2544331114527e-08,6.00699233564806e-06
"ENSMUSG00000030156","ENSMUSG00000030156","Cd69",1.26698357329216,2.52297131326988,32.1332342709705,1.43953598985215e-08,6.7070705213679e-06
"ENSMUSG00000079278","ENSMUSG00000079278","Tmem233",1.57111719021289,1.42184010356292,31.6219677236845,1.87298798089402e-08,8.07210995065801e-06
"ENSMUSG00000044770","ENSMUSG00000044770","Scml4",1.32850388218301,2.50979688842733,30.909135068105,2.70396016637053e-08,1.08403649553632e-05
"ENSMUSG00000037922","ENSMUSG00000037922","Bank1",1.43209096667973,3.1728495581419,30.4986585507932,3.34097444482189e-08,1.30897860123374e-05
"ENSMUSG00000030724","ENSMUSG00000030724","Cd19",1.45785840934152,3.67958199219026,30.1979929821432,3.90112960660898e-08,1.43088453804962e-05
"ENSMUSG00000109904","ENSMUSG00000109904","Gm45819",1.29498296716749,3.04276743658969,29.7010963772057,5.0406304372815e-08,1.73790856216591e-05
"ENSMUSG00000041538","ENSMUSG00000041538","H2-Ob",1.21495325490646,4.20084955757307,28.7879317794027,8.07527305639051e-08,2.67710831190608e-05
"ENSMUSG00000059994","ENSMUSG00000059994","Fcrl1",1.403679430199,2.34738413903277,24.8939571288005,6.05719947787766e-07,0.000152205584059768
"ENSMUSG00000105646","ENSMUSG00000105646","Gm30211",1.85174185189098,0.143546695179703,24.1887253058014,8.7342103677173e-07,0.000209123684068165
"ENSMUSG00000014453","ENSMUSG00000014453","Blk",1.06752503583265,2.84065097941706,23.7858943428786,1.07668614980463e-06,0.000247479900486428
"ENSMUSG00000042474","ENSMUSG00000042474","Fcmr",1.38478804701314,3.66683212649964,23.2255848285896,1.44067857602088e-06,0.000304233571125685
"ENSMUSG00000020889","ENSMUSG00000020889","Nr1d1",1.81014192632046,5.46574969530782,23.2169861085838,1.44713456884426e-06,0.000304233571125685
"ENSMUSG00000025938","ENSMUSG00000025938","Slco5a1",1.64260351934444,1.81226441248859,22.5977386343942,1.99719545450009e-06,0.000403201022788206
"ENSMUSG00000044453","ENSMUSG00000044453","Ffar1",1.74338375896418,0.546599720194418,22.5583355951633,2.03858073635409e-06,0.00040394360131044
"ENSMUSG00000029254","ENSMUSG00000029254","Stap1",1.00868616720442,2.43956825502998,22.3437796969862,2.27950188173196e-06,0.000427134053686709
"ENSMUSG00000022416","ENSMUSG00000022416","Cacna1i",1.52537459818554,1.53676250055054,20.9654950023435,4.67630192166137e-06,0.000814290594217377
"ENSMUSG00000074497","ENSMUSG00000074497","A430078G23Rik",1.09941478887666,2.18787721351092,20.6647597114378,5.47137793803583e-06,0.00090693350263269
