"","ID","Gene.name","logFC","logCPM","LR","PValue","FDR"
"ENSMUSG00000090877","ENSMUSG00000090877","Hspa1b",-3.15341020698602,5.38326389734012,315.807992704141,1.18584998218409e-70,2.04428678428714e-66
"ENSMUSG00000091971","ENSMUSG00000091971","Hspa1a",-2.80836903412288,4.77617811550536,291.978559022411,1.84268533197704e-65,1.58830262189761e-61
"ENSMUSG00000022206","ENSMUSG00000022206","Npr3",-1.79652743536516,6.68839676291668,284.280230659289,8.76767606935444e-64,5.03819892532004e-60
"ENSMUSG00000028195","ENSMUSG00000028195","Cyr61",1.49457906646917,8.00969480982117,181.477883895494,2.30539545247939e-41,9.93567805132306e-38
"ENSMUSG00000087582","ENSMUSG00000087582","Ighv6-7",-6.80248474310159,0.49015452822365,153.634926179586,2.78299573607413e-35,9.5952126988364e-32
"ENSMUSG00000030787","ENSMUSG00000030787","Lyve1",-1.55274389762644,6.03884573093037,128.607087270816,8.26646421224887e-30,2.37509294258264e-26
"ENSMUSG00000029657","ENSMUSG00000029657","Hsph1",-1.23411277539971,6.30410973432982,84.6554169454239,3.55169501507334e-20,8.74681005212133e-17
"ENSMUSG00000005483","ENSMUSG00000005483","Dnajb1",-0.946672713590404,6.34110151985782,65.7341673091517,5.16034572962316e-16,1.11199000041217e-12
"ENSMUSG00000076613","ENSMUSG00000076613","Ighg2b",-1.41352230181444,7.16518296313459,64.0433905241996,1.21708922000741e-15,2.33126678485642e-12
"ENSMUSG00000016087","ENSMUSG00000016087","Fli1",-0.818656387596358,5.87286568109493,53.251723214164,2.93429950118841e-13,5.0584389100987e-10
"ENSMUSG00000028410","ENSMUSG00000028410","Dnaja1",-0.837395329474685,7.88179572725577,47.9937424740301,4.27581602602109e-12,6.70098113387068e-09
"ENSMUSG00000022579","ENSMUSG00000022579","Gpihbp1",-0.772921251096583,6.13582806981978,39.8735412893964,2.70948771614677e-10,3.89240489488785e-07
"ENSMUSG00000066363","ENSMUSG00000066363","Serpina3f",-1.42409653429237,3.19075184963474,39.3364701184707,3.56716040219436e-10,4.73032909026373e-07
