"","ID","Gene.name","logFC","logCPM","LR","PValue","FDR"
"ENSMUSG00000091971","ENSMUSG00000091971","Hspa1a",2.44982776385028,4.77617811550536,218.011870958001,2.45501410772833e-49,4.23219882031287e-45
"ENSMUSG00000090877","ENSMUSG00000090877","Hspa1b",2.58335412500922,5.38326389734012,207.229832932263,5.52403530239731e-47,4.76144222890136e-43
"ENSMUSG00000028195","ENSMUSG00000028195","Cyr61",-1.41051678249709,8.00969480982117,165.035352445099,8.98643262330206e-38,5.16390373310347e-34
"ENSMUSG00000029657","ENSMUSG00000029657","Hsph1",1.25339630643081,6.30410973432982,88.1721978273975,5.99972897685675e-21,2.58573319580084e-17
"ENSMUSG00000005483","ENSMUSG00000005483","Dnajb1",0.990658162738437,6.34110151985782,73.1398880097377,1.20778779011326e-17,4.16421074275249e-14
"ENSMUSG00000004951","ENSMUSG00000004951","Hspb1",0.77720306315513,6.1521766907049,55.631205733453,8.74247655696084e-14,2.51185922275747e-10
"ENSMUSG00000098973","ENSMUSG00000098973","Mir6236",1.1390248932551,3.95561815749536,46.8301810208063,7.74120093745915e-12,1.90643661372655e-08
"ENSMUSG00000035202","ENSMUSG00000035202","Lars2",0.716703264245373,6.12440608787346,46.20667486087,1.06413828495474e-11,2.29308498679185e-08
"ENSMUSG00000015656","ENSMUSG00000015656","Hspa8",0.721269882544192,9.26769866017033,45.1637810645874,1.81225918309205e-11,3.47128178414709e-08
"ENSMUSG00000021701","ENSMUSG00000021701","Plk2",-0.724994772588148,7.03058384637409,44.6342920150335,2.37495349573276e-11,4.09418233129371e-08
"ENSMUSG00000053113","ENSMUSG00000053113","Socs3",0.843737560221982,6.14246656237772,44.3454906463955,2.75245290111064e-11,4.31359414202239e-08
"ENSMUSG00000028410","ENSMUSG00000028410","Dnaja1",0.800864489667729,7.88179572725577,43.8857243441226,3.48118730809308e-11,5.00101566701805e-08
"ENSMUSG00000076258","ENSMUSG00000076258","Gm23935",0.812745721192084,5.66009832264333,42.3657048617514,7.57059724321201e-11,1.00391942981332e-07
"ENSMUSG00000098178","ENSMUSG00000098178","Gm42418",0.940296496685383,8.59503818812504,38.3414887489101,5.93865368440308e-10,7.31260363324462e-07
"ENSMUSG00000031972","ENSMUSG00000031972","Acta1",1.29844972013467,2.78457220599974,34.2507398913697,4.84491208183625e-09,5.568095958585e-06
"ENSMUSG00000100801","ENSMUSG00000100801","Gm15459",0.768481189301602,5.44412952687745,33.8738094342918,5.88050110783082e-09,6.33587241236847e-06
"ENSMUSG00000033730","ENSMUSG00000033730","Egr3",-1.79175158801896,2.30989012474499,31.3924168450363,2.10802620789392e-08,2.13766257634607e-05
"ENSMUSG00000044041","ENSMUSG00000044041","Krt13",2.90602896892784,-0.743375794085767,30.6222243914444,3.13482273200968e-08,3.00228939317304e-05
"ENSMUSG00000049804","ENSMUSG00000049804","Armcx4",-0.686104562896134,6.22077891553323,30.5007878488095,3.33730949658051e-08,3.02799360060797e-05
"ENSMUSG00000054499","ENSMUSG00000054499","Dedd2",0.687779144549249,5.23451269162733,29.9019475211676,4.54456127261908e-08,3.91718458893401e-05
"ENSMUSG00000055775","ENSMUSG00000055775","Myh8",3.38400380493632,-1.19837886253878,29.4317493950466,5.79209257423659e-08,4.50955486279801e-05
"ENSMUSG00000028238","ENSMUSG00000028238","Atp6v0d2",0.655817856721038,7.36194673194058,29.3465746334959,6.05234040130298e-08,4.50955486279801e-05
"ENSMUSG00000020482","ENSMUSG00000020482","Ccdc117",0.625460375563109,5.7044808682604,29.3053836695683,6.18236889310573e-08,4.50955486279801e-05
"ENSMUSG00000078925","ENSMUSG00000078925","D030018L15Rik",1.70433494972284,1.21903912766976,29.275588015387,6.27816675602716e-08,4.50955486279801e-05
"ENSMUSG00000030203","ENSMUSG00000030203","Dusp16",0.643191388694017,6.06389603094516,27.8961044304539,1.28007227000267e-07,8.8268663450304e-05
"ENSMUSG00000023349","ENSMUSG00000023349","Clec4n",0.698867120627209,6.08319700113796,27.0567169604332,1.97572508215501e-07,0.000130998171889501
"ENSMUSG00000076508","ENSMUSG00000076508","Igkv17-127",-1.35707231757463,3.76173858071015,26.6256542512948,2.4694290839409e-07,0.000157668473992804
"ENSMUSG00000001774","ENSMUSG00000001774","Chordc1",0.606057576421212,5.84293178845688,26.4540236842259,2.69885718771298e-07,0.000166162853782086
"ENSMUSG00000030724","ENSMUSG00000030724","Cd19",-1.54566745517562,3.46072145784564,25.8155466882127,3.75650475313256e-07,0.000223304777376732
"ENSMUSG00000021270","ENSMUSG00000021270","Hsp90aa1",0.544486680032304,8.54151327196953,25.5881400382264,4.22629057179258e-07,0.000242856743890441
"ENSMUSG00000040809","ENSMUSG00000040809","Chil3",0.859787493222256,7.41861680192456,25.4266306633377,4.59530578786734e-07,0.000255543472506597
"ENSMUSG00000038508","ENSMUSG00000038508","Gdf15",0.905819010425473,4.64756474759936,25.3270290940705,4.83880501924548e-07,0.000260675499146165
"ENSMUSG00000014226","ENSMUSG00000014226","Cacybp",0.649739640064538,5.64455940769634,25.2411141411058,5.05921188303087e-07,0.000264290162580513
"ENSMUSG00000056501","ENSMUSG00000056501","Cebpb",0.556191873797363,7.10405242595068,24.9291096307722,5.9477530978955e-07,0.000301568575454766
"ENSMUSG00000094797","ENSMUSG00000094797","Igkv6-15",-1.21509253180285,6.07609199502982,24.7418334172803,6.55459360286004e-07,0.000322841826056298
"ENSMUSG00000016087","ENSMUSG00000016087","Fli1",0.557149064300104,5.87286568109493,24.1433483041967,8.9424508024662e-07,0.000420935567707544
"ENSMUSG00000034394","ENSMUSG00000034394","Lif",-1.24223247097575,3.21911042777102,24.1236217524172,9.03452404732242e-07,0.000420935567707544
"ENSMUSG00000030468","ENSMUSG00000030468","Siglecg",-1.48678079020629,2.62067403056196,22.3559850974698,2.26506046106284e-06,0.00102756256021743
"ENSMUSG00000023087","ENSMUSG00000023087","Noct",0.95024698220492,3.92096572716439,22.2936765508603,2.33975819428488e-06,0.00103423311567377
"ENSMUSG00000095170","ENSMUSG00000095170","Ighv8-11",-2.63364279762799,4.34296545782081,21.8876867459603,2.89082915060791e-06,0.00124587509318324
"ENSMUSG00000094345","ENSMUSG00000094345","Igkv14-126",-2.69072966195961,1.95906922825245,21.6516234366166,3.26933192195447e-06,0.00137463446347739
"ENSMUSG00000026864","ENSMUSG00000026864","Hspa5",0.470535021097873,9.11224025056282,21.2478534403162,4.03562059146042e-06,0.00165643008038538
"ENSMUSG00000024966","ENSMUSG00000024966","Stip1",0.469134631591899,6.54107603133418,21.1406180938666,4.26785501835072e-06,0.00171101285258949
"ENSMUSG00000097554","ENSMUSG00000097554","Gm26825",0.683770364217488,5.23866424012877,21.0581160087736,4.45561578677965e-06,0.00174569001246123
"ENSMUSG00000016756","ENSMUSG00000016756","Cmah",-1.0479334409619,4.70406767507628,20.7242891678105,5.30389403803105e-06,0.00203186287381372
"ENSMUSG00000023944","ENSMUSG00000023944","Hsp90ab1",0.50625338993145,10.1832273240775,20.5803699042245,5.71794283192174e-06,0.00209303236948314
"ENSMUSG00000028035","ENSMUSG00000028035","Dnajb4",0.499905994968771,6.61926022965198,20.5509955531192,5.80635862148159e-06,0.00209303236948314
"ENSMUSG00000021453","ENSMUSG00000021453","Gadd45g",0.714044713088597,5.06761303051066,20.535988884115,5.85205646475751e-06,0.00209303236948314
"ENSMUSG00000038151","ENSMUSG00000038151","Prdm1",-1.1149706089975,4.82007492717063,20.5044689039886,5.94921898629118e-06,0.00209303236948314
"ENSMUSG00000042745","ENSMUSG00000042745","Id1",0.576241995809917,6.43457757547572,20.0827327900857,7.41632434048108e-06,0.00255700030611106
"ENSMUSG00000070436","ENSMUSG00000070436","Serpinh1",0.513039072168916,7.96766323925597,19.7879993245334,8.65242250485751e-06,0.00292468846198507
"ENSMUSG00000030357","ENSMUSG00000030357","Fkbp4",0.447734082503052,6.98935828124132,19.7180467372024,8.97498001637714e-06,0.00296720914427691
"ENSMUSG00000095079","ENSMUSG00000095079","Igha",-0.727563819584657,11.6857504668148,19.686899777198,9.12245980896086e-06,0.00296720914427691
"ENSMUSG00000003545","ENSMUSG00000003545","Fosb",-1.09487655020466,3.54316996275275,19.5743637515678,9.67588707079117e-06,0.00308893735580313
"ENSMUSG00000027102","ENSMUSG00000027102","Hoxd8",1.09762276747829,2.13488255197614,19.434788937342,1.04093561039039e-05,0.00326267072500363
"ENSMUSG00000067780","ENSMUSG00000067780","Pi15",0.720417942240302,4.40657542062445,18.9992592595671,1.30769209551947e-05,0.00402559000618931
"ENSMUSG00000003541","ENSMUSG00000003541","Ier3",-0.575185851426031,6.46059891305816,18.9123848464527,1.36861270064674e-05,0.00413921304323671
"ENSMUSG00000014030","ENSMUSG00000014030","Pax5",-1.5292644049029,3.93339118743256,18.7039516544159,1.52665776393071e-05,0.00447854528624639
"ENSMUSG00000104213","ENSMUSG00000104213","Ighd",-1.65886194710662,4.65291473029561,18.6729825132335,1.5516559308316e-05,0.00447854528624639
"ENSMUSG00000024030","ENSMUSG00000024030","Abcg1",0.439301532796259,7.73509677061818,18.6532194325392,1.5678230967183e-05,0.00447854528624639
"ENSMUSG00000038418","ENSMUSG00000038418","Egr1",-2.00676856901493,6.61996257323991,18.6327722322116,1.58472801474001e-05,0.00447854528624639
"ENSMUSG00000045193","ENSMUSG00000045193","Cirbp",-0.557705824026864,6.15205991276738,18.5413222430458,1.66260421089125e-05,0.00462284419218616
"ENSMUSG00000076617","ENSMUSG00000076617","Ighm",-1.27596533627751,7.67406726390141,18.3518317206244,1.83642344639675e-05,0.00493809647889797
"ENSMUSG00000030218","ENSMUSG00000030218","Mgp",0.431697749125388,9.3602061894604,18.3385283868941,1.84929127371407e-05,0.00493809647889797
"ENSMUSG00000000794","ENSMUSG00000000794","Kcnn3",0.520533508241122,5.33228068767,18.3255630509375,1.86191931741034e-05,0.00493809647889797
"ENSMUSG00000032575","ENSMUSG00000032575","Manf",0.449835139930224,6.45569781409484,18.0421325796384,2.16069685330842e-05,0.00564367470517937
"ENSMUSG00000079445","ENSMUSG00000079445","B3gnt7",0.576028605540177,5.19318510356199,17.995874268845,2.21384258829299e-05,0.00569618393725119
"ENSMUSG00000041642","ENSMUSG00000041642","Kif21b",-0.698680900441861,4.92086447070149,17.5356798869395,2.81966357920064e-05,0.00714826182968233
"ENSMUSG00000037465","ENSMUSG00000037465","Klf10",0.604465020541191,5.88872438385402,17.4560836680928,2.94021833502771e-05,0.0073458585329772
"ENSMUSG00000019916","ENSMUSG00000019916","P4ha1",0.499068115007876,6.74351934613962,17.3779181135317,3.06364704512289e-05,0.0075448873444105
"ENSMUSG00000049103","ENSMUSG00000049103","Ccr2",-0.636930653015972,5.21950528253779,17.0976502736108,3.55062066362398e-05,0.00862100698876251
"ENSMUSG00000026980","ENSMUSG00000026980","Ly75",0.448225418426648,6.31996009288388,17.0002494789085,3.73749072012036e-05,0.00894869479502151
"ENSMUSG00000020108","ENSMUSG00000020108","Ddit4",1.13956908671333,6.410262002062,16.8418966023909,4.0626422314934e-05,0.00959395745598833
"ENSMUSG00000032068","ENSMUSG00000032068","Plet1",0.442619567130376,7.10941385370756,16.7335125803029,4.30144313966517e-05,0.01002061868712
"ENSMUSG00000040283","ENSMUSG00000040283","Btnl9",1.08717386603539,4.84516369529666,16.6967379335074,4.38563446425242e-05,0.0100805270038997
"ENSMUSG00000020901","ENSMUSG00000020901","Pik3r5",0.455680514638232,5.83903296645982,16.6687193605233,4.4508901042776e-05,0.0100959071720581
"ENSMUSG00000026065","ENSMUSG00000026065","Slc9a4",0.971597721135151,3.53667044911076,16.6334235415496,4.53448589041115e-05,0.0101519483460776
"ENSMUSG00000009013","ENSMUSG00000009013","Dynll1",0.402823008640538,7.09775100794736,16.4249482982488,5.06146603244912e-05,0.0111864888376141
"ENSMUSG00000067149","ENSMUSG00000067149","Jchain",-0.741771810036148,9.95853967676494,16.3060643067312,5.3891209168448e-05,0.011759880441201
"ENSMUSG00000034640","ENSMUSG00000034640","Tiparp",0.62516827995523,5.79518538099124,16.2816541420511,5.45899325512283e-05,0.0117634480906328
"ENSMUSG00000040808","ENSMUSG00000040808","S100g",0.578095886518087,4.93515805137297,16.2499548913817,5.55109160972081e-05,0.0118142306493799
"ENSMUSG00000096464","ENSMUSG00000096464","Ighv2-2",-0.756422653163468,4.28875330392071,16.1336081868944,5.90272138883868e-05,0.0124093919539256
"ENSMUSG00000025597","ENSMUSG00000025597","Klhl4",0.735694969118053,3.22811395865557,16.058665454503,6.14099498528833e-05,0.0127547725965525
"ENSMUSG00000039377","ENSMUSG00000039377","Hlx",-0.593517874306849,5.70674415155542,15.9666215040547,6.44692071764487e-05,0.0132307697918429
"ENSMUSG00000020300","ENSMUSG00000020300","Cpeb4",0.506044479583173,7.25091142858293,15.7762501364166,7.12918343242306e-05,0.0144588227284166
"ENSMUSG00000003379","ENSMUSG00000003379","Cd79a",-1.21843065595845,4.7509832240693,15.4438417801044,8.49934387201526e-05,0.0170372312801943
"ENSMUSG00000095633","ENSMUSG00000095633","Igkv4-58",-4.37147265394702,2.50653400501548,15.4056074933922,8.67305414602886e-05,0.0171856069452174
"ENSMUSG00000031765","ENSMUSG00000031765","Mt1",0.616196801840697,6.04738454947677,15.381480665645,8.78450370728068e-05,0.0172086431147513
"ENSMUSG00000024770","ENSMUSG00000024770","Lipn",1.49108497471898,0.115410660951349,15.303747656856,9.15347346810631e-05,0.017484723585762
"ENSMUSG00000031327","ENSMUSG00000031327","Chic1",0.824230625503685,3.22183260095749,15.2829566433165,9.25477765490534e-05,0.017484723585762
"ENSMUSG00000033860","ENSMUSG00000033860","Fgg",1.18257087761824,1.66882906072056,15.2810195916268,9.26427319802643e-05,0.017484723585762
"ENSMUSG00000034271","ENSMUSG00000034271","Jdp2",0.564576968364844,5.56228832272494,15.2674361152024,9.33113620215849e-05,0.017484723585762
"ENSMUSG00000035356","ENSMUSG00000035356","Nfkbiz",-0.685723610816483,4.84779952006913,15.0931369907919,0.0001023346593331,0.0189693246477776
"ENSMUSG00000071984","ENSMUSG00000071984","Fndc1",-0.512478561490292,5.33574460301235,14.9764316611011,0.000108862369268415,0.0198820029083701
