"X","ID","Gene.name","logFC","logCPM","LR","PValue","FDR","entrezgene_id"
"ENSMUSG00000090877","ENSMUSG00000090877","Hspa1b",3.15341020698602,5.38326389734012,315.807992704174,1.18584998216498e-70,2.04428678425421e-66,15511
"ENSMUSG00000091971","ENSMUSG00000091971","Hspa1a",2.80836903412288,4.77617811550536,291.978559022407,1.84268533198003e-65,1.58830262190019e-61,193740
"ENSMUSG00000022206","ENSMUSG00000022206","Npr3",1.79652743536516,6.68839676291668,284.280230659281,8.7676760693897e-64,5.0381989253403e-60,18162
"ENSMUSG00000087582","ENSMUSG00000087582","Ighv6-7",6.80248474310159,0.49015452822365,153.634926179586,2.78299573607421e-35,9.59521269883667e-32,NA
"ENSMUSG00000030787","ENSMUSG00000030787","Lyve1",1.55274389762644,6.03884573093037,128.607087270821,8.26646421222934e-30,2.37509294257703e-26,114332
"ENSMUSG00000029657","ENSMUSG00000029657","Hsph1",1.23411277539971,6.30410973432982,84.6554169454273,3.55169501506721e-20,8.74681005210624e-17,15505
"ENSMUSG00000076613","ENSMUSG00000076613","Ighg2b",1.41352230181444,7.16518296313459,64.0433905242127,1.2170892199993e-15,2.33126678484088e-12,NA
"ENSMUSG00000066363","ENSMUSG00000066363","Serpina3f",1.42409653429237,3.19075184963474,39.3364701184716,3.56716040219272e-10,4.73032909026156e-07,238393
"ENSMUSG00000076940","ENSMUSG00000076940","Iglv2",1.95532627117467,3.05984415714521,37.2454370297221,1.04158419358162e-09,1.28256213665383e-06,NA
"ENSMUSG00000023243","ENSMUSG00000023243","Kcnk5",1.20021474590327,3.35371630940124,34.968238489507,3.35127527818707e-09,3.20959080670371e-06,16529
"ENSMUSG00000094433","ENSMUSG00000094433","Igkv5-43",1.32078303285104,5.53108700293084,34.0608848213026,5.34142729276853e-09,4.84636132105456e-06,NA
"ENSMUSG00000076615","ENSMUSG00000076615","Ighg3",2.25046257308916,5.24305082286497,33.9446580659536,5.67021523413498e-09,4.88744202106264e-06,NA
"ENSMUSG00000105906","ENSMUSG00000105906","Iglc1",1.24888051768049,5.0769975968192,31.6511730664003,1.84503115808458e-08,1.24653273355848e-05,NA
"ENSMUSG00000076532","ENSMUSG00000076532","Igkv4-91",1.75657742707896,3.25570858693637,31.6273880093278,1.86776753280453e-08,1.24653273355848e-05,NA
"ENSMUSG00000095497","ENSMUSG00000095497","Igkv1-122",3.86151057618763,3.56387869017493,30.0695305922766,4.16829242162359e-08,2.47783424332307e-05,NA
"ENSMUSG00000096672","ENSMUSG00000096672","Ighv1-63",2.57766570641398,1.32484330234294,29.9629866808781,4.40372557579815e-08,2.53052750670614e-05,NA
"ENSMUSG00000014773","ENSMUSG00000014773","Dll1",1.06883394049877,4.71783975445037,29.2016478939099,6.52237093873728e-08,3.51372351915287e-05,13388
"ENSMUSG00000055994","ENSMUSG00000055994","Nod2",1.12805459787329,3.29719538134009,23.1802557365105,1.47504036680534e-06,0.000508564417667143,257632
