"X","ID","Gene.name","logFC","logCPM","LR","PValue","FDR","entrezgene_id"
"ENSMUSG00000090877","ENSMUSG00000090877","Hspa1b",3.15341020698602,5.38326389734012,315.807992704174,1.18584998216498e-70,2.04428678425421e-66,15511
"ENSMUSG00000091971","ENSMUSG00000091971","Hspa1a",2.80836903412288,4.77617811550536,291.978559022407,1.84268533198003e-65,1.58830262190019e-61,193740
"ENSMUSG00000022206","ENSMUSG00000022206","Npr3",1.79652743536516,6.68839676291668,284.280230659281,8.7676760693897e-64,5.0381989253403e-60,18162
"ENSMUSG00000028195","ENSMUSG00000028195","Cyr61",-1.49457906646917,8.00969480982117,181.477883895475,2.3053954525006e-41,9.93567805141448e-38,NA
"ENSMUSG00000087582","ENSMUSG00000087582","Ighv6-7",6.80248474310159,0.49015452822365,153.634926179586,2.78299573607421e-35,9.59521269883667e-32,NA
"ENSMUSG00000030787","ENSMUSG00000030787","Lyve1",1.55274389762644,6.03884573093037,128.607087270821,8.26646421222934e-30,2.37509294257703e-26,114332
"ENSMUSG00000029657","ENSMUSG00000029657","Hsph1",1.23411277539971,6.30410973432982,84.6554169454273,3.55169501506721e-20,8.74681005210624e-17,15505
"ENSMUSG00000005483","ENSMUSG00000005483","Dnajb1",0.946672713590404,6.34110151985782,65.7341673091522,5.16034572962205e-16,1.11199000041193e-12,81489
"ENSMUSG00000076613","ENSMUSG00000076613","Ighg2b",1.41352230181444,7.16518296313459,64.0433905242127,1.2170892199993e-15,2.33126678484088e-12,NA
"ENSMUSG00000016087","ENSMUSG00000016087","Fli1",0.818656387596358,5.87286568109493,53.2517232141598,2.9342995011947e-13,5.05843891010955e-10,14247
"ENSMUSG00000028410","ENSMUSG00000028410","Dnaja1",0.837395329474685,7.88179572725577,47.9937424740258,4.27581602603043e-12,6.70098113388533e-09,15502
"ENSMUSG00000022579","ENSMUSG00000022579","Gpihbp1",0.772921251096583,6.13582806981978,39.8735412893953,2.7094877161482e-10,3.8924048948899e-07,68453
"ENSMUSG00000066363","ENSMUSG00000066363","Serpina3f",1.42409653429237,3.19075184963474,39.3364701184716,3.56716040219272e-10,4.73032909026156e-07,238393
"ENSMUSG00000076940","ENSMUSG00000076940","Iglv2",1.95532627117467,3.05984415714521,37.2454370297221,1.04158419358162e-09,1.28256213665383e-06,NA
"ENSMUSG00000020482","ENSMUSG00000020482","Ccdc117",0.699931583210951,5.7044808682604,36.4480899325127,1.56786699134093e-09,1.80189727091509e-06,104479
"ENSMUSG00000076934","ENSMUSG00000076934","Iglv1",0.905105685757486,5.48582256246622,35.7677776716156,2.22294221736009e-09,2.39508130531691e-06,NA
"ENSMUSG00000015656","ENSMUSG00000015656","Hspa8",0.643234971094511,9.26769866017033,35.5748023827209,2.45441953605995e-09,2.48892578718456e-06,15481
"ENSMUSG00000023243","ENSMUSG00000023243","Kcnk5",1.20021474590327,3.35371630940124,34.968238489507,3.35127527818707e-09,3.20959080670371e-06,16529
"ENSMUSG00000094433","ENSMUSG00000094433","Igkv5-43",1.32078303285104,5.53108700293084,34.0608848213026,5.34142729276853e-09,4.84636132105456e-06,NA
"ENSMUSG00000076615","ENSMUSG00000076615","Ighg3",2.25046257308916,5.24305082286497,33.9446580659536,5.67021523413498e-09,4.88744202106264e-06,NA
"ENSMUSG00000004951","ENSMUSG00000004951","Hspb1",0.608992673168202,6.1521766907049,32.8180045577538,1.0120314213416e-08,8.209044753005e-06,15507
"ENSMUSG00000028957","ENSMUSG00000028957","Per3",-0.729855723944429,6.38677192918522,32.7508243058606,1.04761868186154e-08,8.209044753005e-06,18628
"ENSMUSG00000059824","ENSMUSG00000059824","Dbp",-1.74587941600782,5.80422585556748,31.8334119172366,1.67978141281047e-08,1.24653273355848e-05,13170
"ENSMUSG00000105906","ENSMUSG00000105906","Iglc1",1.24888051768049,5.0769975968192,31.6511730664003,1.84503115808458e-08,1.24653273355848e-05,NA
"ENSMUSG00000076532","ENSMUSG00000076532","Igkv4-91",1.75657742707896,3.25570858693637,31.6273880093278,1.86776753280453e-08,1.24653273355848e-05,NA
