"","ID","Gene.name","logFC","logCPM","LR","PValue","FDR"
"ENSMUSG00000053093","ENSMUSG00000053093","Myh7",1.0719877451704,7.10583622787707,67.7124534411302,1.89164962093623e-16,1.63050739076599e-12
"ENSMUSG00000042750","ENSMUSG00000042750","Bex2",2.80648722226855,3.29095614380132,51.6124751499069,6.76106079696773e-13,1.22658728515652e-09
"ENSMUSG00000047844","ENSMUSG00000047844","Bex4",2.22975636373883,3.59542192683726,41.692736146267,1.06805062511509e-10,5.75378897698722e-08
"ENSMUSG00000014030","ENSMUSG00000014030","Pax5",1.66639217492352,3.99468548093286,37.3093987254481,1.00797653764643e-09,3.77750163749714e-07
"ENSMUSG00000019893","ENSMUSG00000019893","Ros1",3.48749066036343,2.91461998303517,35.4775522353117,2.58006881626157e-09,7.32435945457522e-07
"ENSMUSG00000024027","ENSMUSG00000024027","Glp1r",1.66997656733534,4.65463087656272,34.1021164606337,5.22943564258437e-09,1.20323920743341e-06
"ENSMUSG00000104213","ENSMUSG00000104213","Ighd",1.78506607667909,4.62205159475267,33.7644844704289,6.22041666297633e-09,1.34042203566311e-06
"ENSMUSG00000039114","ENSMUSG00000039114","Nrn1",1.41044049283838,4.56221611674519,32.1872807124062,1.40004297367793e-08,2.56758944928019e-06
"ENSMUSG00000044041","ENSMUSG00000044041","Krt13",8.03545636668935,5.26534712009075,31.2234574510421,2.2997035561076e-08,3.77567520035609e-06
"ENSMUSG00000027186","ENSMUSG00000027186","Elf5",1.04285922134421,4.31691293254613,31.0846647145901,2.47015240315477e-08,3.97971563345655e-06
"ENSMUSG00000079278","ENSMUSG00000079278","Tmem233",1.69556129732805,0.896020785122255,30.8985777634895,2.71870942403941e-08,4.33961405194586e-06
"ENSMUSG00000019987","ENSMUSG00000019987","Arg1",1.8503208836948,0.660259121503333,30.1723085015323,3.95313700986137e-08,5.92592425330436e-06
"ENSMUSG00000042474","ENSMUSG00000042474","Fcmr",1.74500881463924,3.48401552457023,29.1446477998574,6.71710466953193e-08,8.5854153722076e-06
"ENSMUSG00000026581","ENSMUSG00000026581","Sell",1.37659909034894,5.06017157450225,28.5689363367548,9.04211939043017e-08,1.12141795806925e-05
"ENSMUSG00000043165","ENSMUSG00000043165","Lor",7.43373008395683,5.30054523564829,28.5437722829894,9.16039870937015e-08,1.12797223822023e-05
"ENSMUSG00000005540","ENSMUSG00000005540","Fcer2a",1.21826915167665,3.69647321231554,28.2093662165838,1.08876433430003e-07,1.29442816268953e-05
