"","ID","Gene.name","logFC","logCPM","LR","PValue","FDR"
"ENSMUSG00000044041","ENSMUSG00000044041","Krt13",9.86895849844302,5.26534712009075,40.2808905698232,2.19949892877561e-10,4.27973478778276e-07
"ENSMUSG00000043165","ENSMUSG00000043165","Lor",8.01734713127059,5.30054523564829,31.5152926570089,1.97875714415094e-08,1.10038046477477e-05
"ENSMUSG00000029829","ENSMUSG00000029829","Tmem213",2.44428459951469,0.349210926788293,27.5530463711851,1.52844444178819e-07,5.26977074639732e-05
"ENSMUSG00000059668","ENSMUSG00000059668","Krt4",6.80655706924991,5.51760074285558,27.1683722038756,1.8648457540214e-07,6.06567470822167e-05
"ENSMUSG00000055775","ENSMUSG00000055775","Myh8",9.58417748623662,4.32355703703553,26.8024636070808,2.25349869212655e-07,6.92654888445797e-05
"ENSMUSG00000039114","ENSMUSG00000039114","Nrn1",1.25751793156766,4.56221611674519,25.8225197261912,3.74295814645441e-07,0.000101827354819229
"ENSMUSG00000039013","ENSMUSG00000039013","Siglec5",1.03184515910874,3.76321493649997,25.1112378230406,5.41165637471753e-07,0.000122752199107192
"ENSMUSG00000033765","ENSMUSG00000033765","Calm4",10.7422815156971,0.898775027893109,24.5920038049478,7.08450985374303e-07,0.000145392696867472
"ENSMUSG00000041984","ENSMUSG00000041984","Rptn",5.10725287474727,2.77073327927955,24.2151133902399,8.61535564568768e-07,0.00017269780927443
"ENSMUSG00000056328","ENSMUSG00000056328","Myh1",7.358612469101,2.92491016885257,23.4216573962021,1.30105501353959e-06,0.000236093551351674
"ENSMUSG00000027401","ENSMUSG00000027401","Tgm3",6.57784616907388,2.38942471699625,22.610132410019,1.98435323192685e-06,0.000325793003477971
"ENSMUSG00000074199","ENSMUSG00000074199","Krtdap",11.4246354797388,1.58466048243656,22.5229101798162,2.07652221091185e-06,0.000334552956952424
"ENSMUSG00000024471","ENSMUSG00000024471","Myot",7.51365004397378,-0.506894628042843,22.1552929358207,2.51461731672718e-06,0.000383623786929733
"ENSMUSG00000027913","ENSMUSG00000027913","Crct1",10.5715808489918,0.726362682681738,21.3006350054026,3.9260142467858e-06,0.000550248452035288
"ENSMUSG00000030672","ENSMUSG00000030672","Mylpf",3.77566425091026,2.05994365927238,21.182544451073,4.17550161442302e-06,0.000575851778648308
"ENSMUSG00000059741","ENSMUSG00000059741","Myl3",3.42722324103732,2.36063973194691,21.0935376282507,4.37400740297067e-06,0.000593728453699303
"ENSMUSG00000017300","ENSMUSG00000017300","Tnnc2",10.829339529272,0.983693241679198,20.9798210158126,4.6414637877109e-06,0.000623296562346266
"ENSMUSG00000033508","ENSMUSG00000033508","Asprv1",5.31554358087535,2.51052357959782,20.8638355161833,4.93117396676857e-06,0.000638935585190669
"ENSMUSG00000073601","ENSMUSG00000073601","Serpinb3c",10.824087805959,0.975569700358216,20.859756794358,4.9416857624397e-06,0.000638935585190669
"ENSMUSG00000042750","ENSMUSG00000042750","Bex2",1.69969106661086,3.29095614380132,20.8501657611133,4.96649274410056e-06,0.000638935585190669
"ENSMUSG00000032807","ENSMUSG00000032807","Alox12b",9.23419273217743,-0.491245342622097,20.6638817171108,5.47388745989766e-06,0.000698995154971673
"ENSMUSG00000067219","ENSMUSG00000067219","Nipal1",1.28429665028473,3.06755601830205,20.5278025128232,5.87713734714806e-06,0.000739532633047339
"ENSMUSG00000045539","ENSMUSG00000045539","Sprr3",11.0068031829207,1.16144192512533,20.4152642074013,6.23306486317763e-06,0.000767512894116565
"ENSMUSG00000044594","ENSMUSG00000044594","Serpinb3a",10.2220696200025,0.376751899793762,20.0085174010379,7.70979834544938e-06,0.000922980650536123
