"","ID","Gene.name","logFC","logCPM","LR","PValue","FDR"
"ENSMUSG00000095170","ENSMUSG00000095170","Ighv8-11",1.80779807518274,3.30482990912078,23.6378593445965,1.16277182559584e-06,0.00117230908778663
"ENSMUSG00000033730","ENSMUSG00000033730","Egr3",1.23499755197362,1.92376801241993,22.666946682192,1.92653525566476e-06,0.00144398005532195
"ENSMUSG00000038418","ENSMUSG00000038418","Egr1",1.38445993651028,6.37153860334927,19.6750406379497,9.17924986645578e-06,0.00472748563242218
"ENSMUSG00000034387","ENSMUSG00000034387","Ssu2",2.53697300230082,-0.17645339729351,19.0035802956877,1.30473408883225e-05,0.00535531213270931
"ENSMUSG00000111531","ENSMUSG00000111531","Gm32688",1.80610523773714,-0.0820748974588219,16.1676212081521,5.79766916053714e-05,0.0160269399170177
"ENSMUSG00000054672","ENSMUSG00000054672","5830411N06Rik",1.20238500260735,1.5143462433479,13.5926554146623,0.000227072195372907,0.0449942250118797
"ENSMUSG00000079330","ENSMUSG00000079330","Lemd1",1.77739440831779,-0.852605456852118,13.4333640778357,0.000247188446576963,0.0478795688824748
"ENSMUSG00000030237","ENSMUSG00000030237","Slco1a4",1.57864948990154,0.583261924680741,13.3378600112606,0.000260101002252029,0.0492734195365135
"ENSMUSG00000038457","ENSMUSG00000038457","Tmem255b",1.3656420335682,0.679401780191369,12.1341829504476,0.000495059532216989,0.0682746502071094
"ENSMUSG00000041347","ENSMUSG00000041347","Bdkrb1",1.10907403692905,1.06800092556035,11.9936125491732,0.000533832055492532,0.0707902369587366
"ENSMUSG00000025746","ENSMUSG00000025746","Il6",1.34051055932339,0.250366084068299,11.5708078635482,0.000669953049777063,0.0819100753553673
"ENSMUSG00000016283","ENSMUSG00000016283","H2-M2",1.18610296642039,3.6211926194875,11.0231760880575,0.000899797684276465,0.0953987764759254
"ENSMUSG00000025355","ENSMUSG00000025355","Mmp19",1.01647016594796,6.46178203220815,11.0122793577031,0.000905102761664347,0.0953987764759254
"ENSMUSG00000048217","ENSMUSG00000048217","Nags",1.61630390674523,-0.830879499249297,10.9959899434693,0.000913092297611677,0.0953987764759254
