"","ID","Gene.name","logFC","logCPM","LR","PValue","FDR"
"ENSMUSG00000095170","ENSMUSG00000095170","Ighv8-11",3.51909411164869,3.30482990912078,74.8153206070124,5.16870478517493e-18,4.45516508958153e-14
"ENSMUSG00000041202","ENSMUSG00000041202","Pla2g2d",1.93910853322981,4.32135380684575,73.7634225123003,8.80634177233981e-18,5.0604175271122e-14
"ENSMUSG00000027955","ENSMUSG00000027955","Fam198b",1.22121258834156,6.2244379275567,72.6621426535974,1.53857319605426e-17,6.63086583169484e-14
"ENSMUSG00000096464","ENSMUSG00000096464","Ighv2-2",3.06359386320856,3.56658265525773,69.9198534287139,6.17636660577888e-17,1.52106262738603e-13
"ENSMUSG00000027227","ENSMUSG00000027227","Sord",1.20433009262527,5.95677157161033,66.6670861236572,3.21457863591335e-16,5.54161211045103e-13
"ENSMUSG00000069515","ENSMUSG00000069515","Lyz1",2.07908998141597,9.38461367134551,65.1584916512895,6.91100008633072e-16,1.08307936807505e-12
"ENSMUSG00000040613","ENSMUSG00000040613","Apobec1",1.49161034413128,4.34963157150761,60.8340389914145,6.20949146913265e-15,7.64610167402698e-12
"ENSMUSG00000073418","ENSMUSG00000073418","C4b",1.12915169067584,8.62138180230878,60.5166006242417,7.29605796996564e-15,8.38511622294918e-12
"ENSMUSG00000029811","ENSMUSG00000029811","Aoc1",2.57326588855697,2.42163538024481,59.3548042541734,1.31658369469552e-14,1.33509331252095e-11
"ENSMUSG00000016494","ENSMUSG00000016494","Cd34",1.02607116466737,8.08919709102048,58.2844585270747,2.26828939085202e-14,2.10668949742469e-11
"ENSMUSG00000030237","ENSMUSG00000030237","Slco1a4",4.40172764993001,0.583261924680741,58.0790601498637,2.51792279755393e-14,2.17032355535161e-11
"ENSMUSG00000020826","ENSMUSG00000020826","Nos2",1.58213755937711,4.22570850756985,57.3686725775336,3.61316704904903e-14,2.83124485266164e-11
"ENSMUSG00000040552","ENSMUSG00000040552","C3ar1",1.83331094536377,3.51724468424951,56.9982745982203,4.36194428544572e-14,3.26937206681734e-11
"ENSMUSG00000061132","ENSMUSG00000061132","Blnk",1.52064325786286,3.52837962962046,55.7875826489142,8.07399112793696e-14,5.56750132218021e-11
"ENSMUSG00000021775","ENSMUSG00000021775","Nr1d2",2.17469542735211,6.76350979389965,55.5351906039479,9.18008237971899e-14,5.76159433227996e-11
"ENSMUSG00000016283","ENSMUSG00000016283","H2-M2",2.86672143058767,3.6211926194875,55.4974315927497,9.3581206162677e-14,5.76159433227996e-11
"ENSMUSG00000030096","ENSMUSG00000030096","Slc6a6",1.07454427286063,8.59672951776387,54.7027038423983,1.40213252480081e-13,7.96307140666246e-11
"ENSMUSG00000049001","ENSMUSG00000049001","Ndnf",1.00386618891701,8.61633032946885,54.6613382398732,1.43195784910109e-13,7.96307140666246e-11
"ENSMUSG00000054555","ENSMUSG00000054555","Adam12",1.43472688537625,3.54709764157099,54.4503044609859,1.59428996529115e-13,8.58873897239191e-11
"ENSMUSG00000030000","ENSMUSG00000030000","Add2",1.66493696108456,3.17358340643296,53.8489438780932,2.16511444720067e-13,1.13104266531189e-10
"ENSMUSG00000014602","ENSMUSG00000014602","Kif1a",1.4402333600365,5.0145513796352,53.4132322255717,2.70270240812614e-13,1.34007691751119e-10
"ENSMUSG00000001865","ENSMUSG00000001865","Cpa3",3.12450392956754,4.66393319415798,53.0786154935344,3.204623038674e-13,1.5345693489917e-10
"ENSMUSG00000025511","ENSMUSG00000025511","Tspan4",1.22706445171915,6.21862404436478,51.4590760482723,7.31052283317501e-13,3.23143854156677e-10
"ENSMUSG00000064325","ENSMUSG00000064325","Hhip",1.34009118015524,6.13791814806833,51.1531915924518,8.5431666453089e-13,3.681891244962e-10
"ENSMUSG00000040675","ENSMUSG00000040675","Mthfd1l",1.44410137686325,3.96678946228379,50.992069871682,9.27398822032333e-13,3.71800657977102e-10
