gene1	gene2	correlation	module1	module2
ENSMUSG00000061816	ENSMUSG00000044594	0.7156244578255188	brown	brown
ENSMUSG00000061816	ENSMUSG00000073602	0.7156244578255188	brown	brown
ENSMUSG00000061816	ENSMUSG00000073601	0.7133010048422129	brown	brown
ENSMUSG00000061816	ENSMUSG00000017300	0.702930997932159	brown	brown
ENSMUSG00000061816	ENSMUSG00000045539	0.7099463988041708	brown	brown
ENSMUSG00000061816	ENSMUSG00000027923	0.7156244578255188	brown	brown
ENSMUSG00000061816	ENSMUSG00000027919	0.7156244578255188	brown	brown
ENSMUSG00000061816	ENSMUSG00000049593	0.7156244578255188	brown	brown
ENSMUSG00000061816	ENSMUSG00000068888	0.7156244578255188	brown	brown
ENSMUSG00000061816	ENSMUSG00000095870	0.7156244578255179	brown	brown
ENSMUSG00000061816	ENSMUSG00000059832	0.7156244578255188	brown	brown
ENSMUSG00000061816	ENSMUSG00000090314	0.7156244578255188	brown	brown
ENSMUSG00000061816	ENSMUSG00000054325	0.7024997102273614	brown	brown
ENSMUSG00000061816	ENSMUSG00000042031	0.7156244578255188	brown	brown
ENSMUSG00000061816	ENSMUSG00000045475	0.7156244578255188	brown	brown
ENSMUSG00000061816	ENSMUSG00000074433	0.7156244578255188	brown	brown
ENSMUSG00000061816	ENSMUSG00000068885	0.7156244578255188	brown	brown
ENSMUSG00000061816	ENSMUSG00000027913	0.708752916618946	brown	brown
ENSMUSG00000061816	ENSMUSG00000102439	0.7156244578255188	brown	brown
ENSMUSG00000061816	ENSMUSG00000074199	0.7117866478577975	brown	brown
ENSMUSG00000061816	ENSMUSG00000031097	0.7039930229548522	brown	brown
ENSMUSG00000061816	ENSMUSG00000061723	0.7005411197232757	brown	brown
ENSMUSG00000061816	ENSMUSG00000059230	0.7156244578255188	brown	brown
ENSMUSG00000061816	ENSMUSG00000056328	0.7099847758779846	brown	brown
ENSMUSG00000061816	ENSMUSG00000044041	0.7058178586918381	brown	brown
ENSMUSG00000061816	ENSMUSG00000044322	0.7037161610015558	brown	brown
ENSMUSG00000061816	ENSMUSG00000071858	0.7124735679477471	brown	brown
ENSMUSG00000050296	ENSMUSG00000044594	0.7160643628693424	brown	brown
ENSMUSG00000050296	ENSMUSG00000073602	0.7160643628693424	brown	brown
ENSMUSG00000050296	ENSMUSG00000073601	0.7130974203495074	brown	brown
ENSMUSG00000050296	ENSMUSG00000017300	0.7055394489428787	brown	brown
ENSMUSG00000050296	ENSMUSG00000045539	0.7095176698243174	brown	brown
ENSMUSG00000050296	ENSMUSG00000027923	0.7160643628693424	brown	brown
ENSMUSG00000050296	ENSMUSG00000027919	0.7160643628693424	brown	brown
ENSMUSG00000050296	ENSMUSG00000049593	0.7160643628693424	brown	brown
ENSMUSG00000050296	ENSMUSG00000068888	0.7160643628693424	brown	brown
ENSMUSG00000050296	ENSMUSG00000095870	0.7160643628693418	brown	brown
ENSMUSG00000050296	ENSMUSG00000059832	0.7160643628693424	brown	brown
ENSMUSG00000050296	ENSMUSG00000090314	0.7160643628693424	brown	brown
ENSMUSG00000050296	ENSMUSG00000054325	0.7017367815123728	brown	brown
ENSMUSG00000050296	ENSMUSG00000042031	0.7160643628693424	brown	brown
ENSMUSG00000050296	ENSMUSG00000045475	0.7160643628693424	brown	brown
ENSMUSG00000050296	ENSMUSG00000074433	0.7160643628693424	brown	brown
ENSMUSG00000050296	ENSMUSG00000068885	0.7160643628693424	brown	brown
ENSMUSG00000050296	ENSMUSG00000027913	0.7081139973445688	brown	brown
ENSMUSG00000050296	ENSMUSG00000102439	0.7160643628693424	brown	brown
ENSMUSG00000050296	ENSMUSG00000063651	0.7028253484934573	brown	brown
ENSMUSG00000050296	ENSMUSG00000074199	0.7113629102001072	brown	brown
ENSMUSG00000050296	ENSMUSG00000031097	0.7072320295341269	brown	brown
ENSMUSG00000050296	ENSMUSG00000061723	0.7017538643776424	brown	brown
ENSMUSG00000050296	ENSMUSG00000059230	0.7160643628693424	brown	brown
ENSMUSG00000050296	ENSMUSG00000056328	0.7076440675948411	brown	brown
ENSMUSG00000050296	ENSMUSG00000044041	0.7057503491230687	brown	brown
ENSMUSG00000050296	ENSMUSG00000044322	0.7007933210136528	brown	brown
ENSMUSG00000050296	ENSMUSG00000071858	0.7115137673413717	brown	brown
ENSMUSG00000059956	ENSMUSG00000044594	0.7852836513498807	brown	brown
ENSMUSG00000059956	ENSMUSG00000073602	0.7852836513498807	brown	brown
ENSMUSG00000059956	ENSMUSG00000073601	0.7847446402293907	brown	brown
ENSMUSG00000059956	ENSMUSG00000026327	0.729304855571745	brown	brown
ENSMUSG00000059956	ENSMUSG00000026413	0.7562802714743437	brown	brown
ENSMUSG00000059956	ENSMUSG00000026407	0.7134330723695872	brown	brown
ENSMUSG00000059956	ENSMUSG00000007122	0.7112663556968596	brown	brown
ENSMUSG00000059956	ENSMUSG00000026983	0.7576983141982825	brown	brown
ENSMUSG00000059956	ENSMUSG00000036731	0.7073493278094296	brown	brown
ENSMUSG00000059956	ENSMUSG00000026950	0.7235549213208637	brown	brown
ENSMUSG00000059956	ENSMUSG00000027077	0.7236237682200013	brown	brown
ENSMUSG00000059956	ENSMUSG00000050808	0.7053103837855059	brown	brown
ENSMUSG00000059956	ENSMUSG00000027401	0.7614301265469083	brown	brown
ENSMUSG00000059956	ENSMUSG00000017697	0.7405788533997697	brown	brown
ENSMUSG00000059956	ENSMUSG00000040154	0.734599780796234	brown	brown
ENSMUSG00000059956	ENSMUSG00000017300	0.771261708709011	brown	brown
ENSMUSG00000059956	ENSMUSG00000043461	0.7005231280065897	brown	brown
ENSMUSG00000059956	ENSMUSG00000074489	0.7111213974317284	brown	brown
ENSMUSG00000059956	ENSMUSG00000043165	0.7573432160270154	brown	brown
ENSMUSG00000059956	ENSMUSG00000045539	0.7817245650825374	brown	brown
ENSMUSG00000059956	ENSMUSG00000057609	0.7049319719324862	brown	brown
ENSMUSG00000059956	ENSMUSG00000027923	0.7852836513498807	brown	brown
ENSMUSG00000059956	ENSMUSG00000068890	0.7589328612839437	brown	brown
ENSMUSG00000059956	ENSMUSG00000042092	0.7573345889828961	brown	brown
ENSMUSG00000059956	ENSMUSG00000103243	0.7612975148674533	brown	brown
ENSMUSG00000059956	ENSMUSG00000068889	0.7609749726829421	brown	brown
ENSMUSG00000059956	ENSMUSG00000042124	0.7422216742988125	brown	brown
ENSMUSG00000059956	ENSMUSG00000027919	0.7852836513498807	brown	brown
ENSMUSG00000059956	ENSMUSG00000049593	0.7852836513498807	brown	brown
ENSMUSG00000059956	ENSMUSG00000068888	0.7852836513498807	brown	brown
ENSMUSG00000059956	ENSMUSG00000095870	0.7852836513498794	brown	brown
ENSMUSG00000059956	ENSMUSG00000059832	0.7852836513498807	brown	brown
ENSMUSG00000059956	ENSMUSG00000090314	0.7852836513498807	brown	brown
ENSMUSG00000059956	ENSMUSG00000054325	0.7744965696463348	brown	brown
ENSMUSG00000059956	ENSMUSG00000042031	0.7852836513498807	brown	brown
ENSMUSG00000059956	ENSMUSG00000045475	0.7852836513498807	brown	brown
ENSMUSG00000059956	ENSMUSG00000074433	0.7852836513498807	brown	brown
ENSMUSG00000059956	ENSMUSG00000068885	0.7852836513498807	brown	brown
ENSMUSG00000059956	ENSMUSG00000027913	0.7798221893511654	brown	brown
ENSMUSG00000059956	ENSMUSG00000027912	0.7344895539629039	brown	brown
ENSMUSG00000059956	ENSMUSG00000102439	0.7852836513498807	brown	brown
ENSMUSG00000059956	ENSMUSG00000041991	0.7148087052891752	brown	brown
ENSMUSG00000059956	ENSMUSG00000041984	0.7131282695417552	brown	brown
ENSMUSG00000059956	ENSMUSG00000028148	0.7355995037685851	brown	brown
ENSMUSG00000059956	ENSMUSG00000027868	0.7183452422051957	brown	brown
ENSMUSG00000059956	ENSMUSG00000028749	0.7458448870315726	brown	brown
ENSMUSG00000059956	ENSMUSG00000043430	0.7267556614116555	brown	brown
ENSMUSG00000059956	ENSMUSG00000072845	0.7237772870892272	brown	brown
ENSMUSG00000059956	ENSMUSG00000039070	0.7166519690629186	brown	brown
ENSMUSG00000059956	ENSMUSG00000033508	0.7249981844711222	brown	brown
ENSMUSG00000059956	ENSMUSG00000030484	0.7419284288807254	brown	brown
ENSMUSG00000059956	ENSMUSG00000011632	0.7120448850411727	brown	brown
ENSMUSG00000059956	ENSMUSG00000057454	0.725527331686695	brown	brown
ENSMUSG00000059956	ENSMUSG00000063651	0.771043740599398	brown	brown
ENSMUSG00000059956	ENSMUSG00000047586	0.7034214299972424	brown	brown
ENSMUSG00000059956	ENSMUSG00000053522	0.7360945099016585	brown	brown
ENSMUSG00000059956	ENSMUSG00000030592	0.7432499160201352	brown	brown
ENSMUSG00000059956	ENSMUSG00000074199	0.782758010647446	brown	brown
ENSMUSG00000059956	ENSMUSG00000030693	0.7382335996395695	brown	brown
ENSMUSG00000059956	ENSMUSG00000038670	0.7011921225747706	brown	brown
ENSMUSG00000059956	ENSMUSG00000030730	0.7191299412458313	brown	brown
ENSMUSG00000059956	ENSMUSG00000030672	0.73407771148019	brown	brown
ENSMUSG00000059956	ENSMUSG00000031097	0.7748924689950024	brown	brown
ENSMUSG00000059956	ENSMUSG00000061723	0.759273702230249	brown	brown
ENSMUSG00000059956	ENSMUSG00000000031	0.7565978699366718	brown	brown
ENSMUSG00000059956	ENSMUSG00000005355	0.7463346884964946	brown	brown
ENSMUSG00000059956	ENSMUSG00000020216	0.7068830161740352	brown	brown
ENSMUSG00000059956	ENSMUSG00000020061	0.7491020344092848	brown	brown
ENSMUSG00000059956	ENSMUSG00000035923	0.7260612192579425	brown	brown
ENSMUSG00000059956	ENSMUSG00000059230	0.7852836513498807	brown	brown
ENSMUSG00000059956	ENSMUSG00000074156	0.7291082254402982	brown	brown
ENSMUSG00000059956	ENSMUSG00000031757	0.767197000995369	brown	brown
ENSMUSG00000059956	ENSMUSG00000062826	0.7223480271881961	brown	brown
ENSMUSG00000059956	ENSMUSG00000031972	0.7084857417286259	brown	brown
ENSMUSG00000059956	ENSMUSG00000068697	0.7209027043284661	brown	brown
ENSMUSG00000059956	ENSMUSG00000043681	0.7482075461381645	brown	brown
ENSMUSG00000059956	ENSMUSG00000032373	0.7315164689737252	brown	brown
ENSMUSG00000059956	ENSMUSG00000032262	0.7091941635050797	brown	brown
ENSMUSG00000059956	ENSMUSG00000033196	0.7415455673912787	brown	brown
ENSMUSG00000059956	ENSMUSG00000056328	0.7747592286521106	brown	brown
ENSMUSG00000059956	ENSMUSG00000057003	0.7415783537648175	brown	brown
ENSMUSG00000059956	ENSMUSG00000055775	0.7683003447102521	brown	brown
ENSMUSG00000059956	ENSMUSG00000032807	0.7341989629013219	brown	brown
ENSMUSG00000059956	ENSMUSG00000017204	0.7252916292941839	brown	brown
ENSMUSG00000059956	ENSMUSG00000044041	0.7770131682110917	brown	brown
ENSMUSG00000059956	ENSMUSG00000045545	0.7053856533547669	brown	brown
ENSMUSG00000059956	ENSMUSG00000020722	0.7311275946422799	brown	brown
ENSMUSG00000059956	ENSMUSG00000018862	0.7257184183977571	brown	brown
ENSMUSG00000059956	ENSMUSG00000033765	0.7602510153510186	brown	brown
ENSMUSG00000059956	ENSMUSG00000021506	0.7263041201825905	brown	brown
ENSMUSG00000059956	ENSMUSG00000021565	0.7150466782433504	brown	brown
ENSMUSG00000059956	ENSMUSG00000034634	0.7169270949451539	brown	brown
ENSMUSG00000059956	ENSMUSG00000059668	0.7396018397533252	brown	brown
ENSMUSG00000059956	ENSMUSG00000050463	0.7014722443264921	brown	brown
ENSMUSG00000059956	ENSMUSG00000090356	0.7445403517045972	brown	brown
ENSMUSG00000059956	ENSMUSG00000034362	0.7315977391436446	brown	brown
ENSMUSG00000059956	ENSMUSG00000046748	0.7286680942711821	brown	brown
ENSMUSG00000059956	ENSMUSG00000062713	0.7144381887749153	brown	brown
ENSMUSG00000059956	ENSMUSG00000002500	0.70857364079029606	brown	brown
ENSMUSG00000059956	ENSMUSG00000092586	0.7322708159627157	brown	brown
ENSMUSG00000059956	ENSMUSG00000039518	0.7340522415427453	brown	brown
ENSMUSG00000059956	ENSMUSG00000039269	0.7416844570219033	brown	brown
ENSMUSG00000059956	ENSMUSG00000025431	0.7495394210175209	brown	brown
ENSMUSG00000059956	ENSMUSG00000059898	0.7150331379492909	brown	brown
ENSMUSG00000059956	ENSMUSG00000044322	0.7600218925963517	brown	brown
ENSMUSG00000059956	ENSMUSG00000069441	0.7338063529526664	brown	brown
ENSMUSG00000059956	ENSMUSG00000061928	0.7364322084088765	brown	brown
ENSMUSG00000059956	ENSMUSG00000056632	0.7442217328006482	brown	brown
ENSMUSG00000059956	ENSMUSG00000071858	0.7766712368937417	brown	brown
ENSMUSG00000059956	ENSMUSG00000024471	0.7208865092803648	brown	brown
ENSMUSG00000059956	ENSMUSG00000069372	0.7438327026077697	brown	brown
ENSMUSG00000059956	ENSMUSG00000049173	0.7292903908350591	brown	brown
