"pathway","pval","padj","log2err","ES","NES","size"
"DESCARTES_MAIN_FETAL_SKELETAL_MUSCLE_CELLS",1.30560945204678e-16,7.78143233419879e-14,1.04762648849882,0.805863042292162,2.64682426396129,117
"AIZARANI_LIVER_C6_KUPFFER_CELLS_2",1.7827620200425e-14,5.31263081972664e-12,0.97599468306432,-0.647180477878485,-2.28119990162723,211
"HAY_BONE_MARROW_PLASMA_CELL",4.73260724832814e-14,9.40211306667856e-12,0.965327754226083,-0.741984470925769,-2.41683815607534,108
"DESCARTES_FETAL_EYE_SKELETAL_MUSCLE_CELLS",2.52882860278728e-13,3.76795461815305e-11,0.932595211336209,0.751990242278314,2.4834830039838,126
"DESCARTES_FETAL_MUSCLE_SKELETAL_MUSCLE_CELLS",4.18634883349267e-13,4.99012780952326e-11,0.932595211336209,0.73749422778239,2.48788671015225,144
"TRAVAGLINI_LUNG_MACROPHAGE_CELL",9.07775095448692e-12,9.01723261479035e-10,0.875325132024659,-0.628069665912152,-2.18803946490672,191
"BUSSLINGER_ESOPHAGEAL_LATE_SUPRABASAL_CELLS",4.98342787690167e-11,4.04863376087791e-09,0.851339057116899,0.729947940490572,2.40132043070737,121
"FAN_EMBRYONIC_CTX_BIG_GROUPS_MICROGLIA",5.43440773272203e-11,4.04863376087791e-09,0.851339057116899,-0.530570802762759,-1.99148893519002,360
"DESCARTES_FETAL_CEREBELLUM_MICROGLIA",7.98692259915089e-10,5.28911763232659e-08,0.801215574617779,-0.482022010711416,-1.84555965066674,466
"DESCARTES_FETAL_STOMACH_CILIATED_EPITHELIAL_CELLS",1.34254079713972e-09,8.00154315095271e-08,0.788186810800237,-0.555695876556905,-2.01936123487018,264
"FAN_OVARY_CL13_MONOCYTE_MACROPHAGE",1.87420278128519e-09,9.90248450798382e-08,0.774939030136436,-0.48138515270551,-1.83146025112034,439
"ZHONG_PFC_MAJOR_TYPES_MICROGLIA",1.99378882711084e-09,9.90248450798382e-08,0.774939030136436,-0.489556088728123,-1.85826158477588,421
"AIZARANI_LIVER_C2_KUPFFER_CELLS_1",3.13403230984673e-09,1.4368332743605e-07,0.774939030136436,-0.600676280117764,-2.09069132213757,188
"DESCARTES_FETAL_LUNG_SQUAMOUS_EPITHELIAL_CELLS",5.87634468273465e-09,2.50164387922132e-07,0.761460801445585,0.676789757941846,2.28493784333282,141
"DESCARTES_FETAL_LIVER_MYELOID_CELLS",8.44093321855226e-09,3.35386413217143e-07,0.747739663149885,-0.614036039795187,-2.11279141096191,158
"GAO_LARGE_INTESTINE_24W_C11_PANETH_LIKE_CELL",1.0539219597387e-08,3.92585930002665e-07,0.747739663149885,-0.521873938866447,-1.91402657530466,295
"DESCARTES_FETAL_STOMACH_SQUAMOUS_EPITHELIAL_CELLS",1.23096068919476e-08,4.31560335741223e-07,0.747739663149885,0.847879974391384,2.35139175362199,43
"FAN_OVARY_CL17_PUTATIVE_APOPTOTIC_SMOOTH_MUSCLE_CELL",1.39452626225132e-08,4.6174314016766e-07,0.747739663149885,-0.562317435926323,-1.99879779681162,223
"HU_FETAL_RETINA_MICROGLIA",1.64262601845658e-08,5.15265845789536e-07,0.73376198835648,-0.501245362055361,-1.88182998241853,365
"DESCARTES_FETAL_CEREBRUM_MICROGLIA",2.74559758156096e-08,8.18188079305167e-07,0.73376198835648,-0.507749181517968,-1.88908879727817,336
"DURANTE_ADULT_OLFACTORY_NEUROEPITHELIUM_RESPIRATORY_CILIATED_CELLS",4.72720300649572e-08,1.3416252342245e-06,0.719512826338911,-0.619780395270051,-2.10583733774904,141
"DESCARTES_FETAL_ADRENAL_MYELOID_CELLS",5.09435328599223e-08,1.3534006004701e-06,0.719512826338911,-0.619409329728081,-2.10457656267613,141
"DURANTE_ADULT_OLFACTORY_NEUROEPITHELIUM_MACROPHAGES",5.22285466624368e-08,1.3534006004701e-06,0.719512826338911,-0.698215510123565,-2.14486535288276,78
"DESCARTES_FETAL_PANCREAS_MYELOID_CELLS",5.8997067350809e-08,1.46509383921176e-06,0.719512826338911,-0.574538583831291,-1.99171470740075,175
"AIZARANI_LIVER_C21_STELLATE_CELLS_1",6.83402842990841e-08,1.56656959393285e-06,0.704975715167238,-0.574234005057471,-1.99865733172381,188
"CUI_DEVELOPING_HEART_C8_MACROPHAGE",6.61616510747845e-08,1.56656959393285e-06,0.704975715167238,-0.528145929813403,-1.91845221171502,268
"GAO_LARGE_INTESTINE_24W_C1_DCLK1POS_PROGENITOR",9.55145235875715e-08,2.10839466882195e-06,0.704975715167238,-0.668556569783865,-2.11830718239695,95
"AIZARANI_LIVER_C18_NK_NKT_CELLS_5",1.37833274901847e-07,2.93387970862503e-06,0.690132458796796,-0.647054252840318,-2.11260984914516,111
"DESCARTES_FETAL_HEART_MYELOID_CELLS",1.75864655958648e-07,3.61432189487428e-06,0.690132458796796,-0.634227865350661,-2.06663686188697,109
"DESCARTES_MAIN_FETAL_CILIATED_EPITHELIAL_CELLS",1.87501493636004e-07,3.72502967356861e-06,0.690132458796796,-0.450622236009239,-1.72463550225706,491
"TRAVAGLINI_LUNG_ADVENTITIAL_FIBROBLAST_CELL",2.70443127981076e-07,5.19948723473295e-06,0.674962860011025,-0.501697544055653,-1.83776787071816,283
"GAO_LARGE_INTESTINE_ADULT_CJ_IMMUNE_CELLS",2.80289046461524e-07,5.22038349034588e-06,0.674962860011025,-0.449647076217039,-1.72026990416374,456
"DURANTE_ADULT_OLFACTORY_NEUROEPITHELIUM_MAST_CELLS",3.28871525838585e-07,5.93961907272111e-06,0.674962860011025,-0.686275680657613,-2.09392494763506,71
"FAN_OVARY_CL18_B_LYMPHOCYTE",6.40266937153125e-07,1.12235027806842e-05,0.659444398037935,-0.457453792528872,-1.73556740164612,413
"RUBENSTEIN_SKELETAL_MUSCLE_FAP_CELLS",9.14755539102022e-07,1.55769800372801e-05,0.659444398037935,-0.555637286631375,-1.92339460263416,172
"CUI_DEVELOPING_HEART_C7_MAST_CELL",1.62644655613648e-06,2.61989769583066e-05,0.643551836150722,-0.573837897313074,-1.95321305965397,147
"RUBENSTEIN_SKELETAL_MUSCLE_FBN1_FAP_CELLS",1.60504014514732e-06,2.61989769583066e-05,0.643551836150722,-0.495363940796983,-1.81148112428976,278
"DESCARTES_MAIN_FETAL_SQUAMOUS_EPITHELIAL_CELLS",1.74800148467986e-06,2.74160232860315e-05,0.643551836150722,0.731032821284136,2.16344707759425,69
"TRAVAGLINI_LUNG_IGSF21_DENDRITIC_CELL",2.67201104914035e-06,4.08338098791705e-05,0.627256739718528,-0.758186384947218,-2.10598698173268,42
"CUI_DEVELOPING_HEART_VASCULAR_ENDOTHELIAL_CELL",2.90910366479236e-06,4.12815662908631e-05,0.627256739718528,-0.532551959419373,-1.85147697576649,181
"DESCARTES_FETAL_STOMACH_LYMPHOID_CELLS",2.88911993757726e-06,4.12815662908631e-05,0.627256739718528,0.706079803872675,2.13892413683226,75
"TRAVAGLINI_LUNG_LIPOFIBROBLAST_CELL",2.88009037232082e-06,4.12815662908631e-05,0.627256739718528,-0.570868606590039,-1.94075877849327,143
"DESCARTES_FETAL_LUNG_CILIATED_EPITHELIAL_CELLS",4.23350596280803e-06,5.86783617170602e-05,0.610526878385931,-0.450273503870374,-1.69791278678129,374
"DESCARTES_FETAL_KIDNEY_LYMPHOID_CELLS",4.53435214200106e-06,6.14198608325598e-05,0.610526878385931,0.604499392568842,2.03923766236024,144
"FAN_OVARY_CL5_HEALTHY_SELECTABLE_FOLLICLE_THECAL_CELL",4.67371687638079e-06,6.19007835182878e-05,0.610526878385931,-0.475159104561444,-1.74516538861818,299
"HAY_BONE_MARROW_NEUTROPHIL",5.36368546269773e-06,6.9494707299301e-05,0.610526878385931,-0.438266491876108,-1.66451852350579,422
"AIZARANI_LIVER_C20_LSECS_3",6.50930456336835e-06,8.25435216971816e-05,0.610526878385931,-0.474021032574075,-1.73740419779707,284
"DESCARTES_FETAL_KIDNEY_MYELOID_CELLS",7.05240114660077e-06,8.75673142369596e-05,0.610526878385931,-0.553221924388847,-1.88304099931843,147
"DESCARTES_FETAL_INTESTINE_LYMPHOID_CELLS",1.750538914623e-05,0.000212922692472512,0.575610261071129,0.607245168727974,2.00530207185142,122
"DESCARTES_FETAL_LUNG_MYELOID_CELLS",1.9255136693586e-05,0.000223115652358304,0.575610261071129,-0.556136767432403,-1.87784119656666,135
"FAN_EMBRYONIC_CTX_BRAIN_ENDOTHELIAL_2",1.9211682164087e-05,0.000223115652358304,0.575610261071129,-0.468407878635334,-1.71794781339623,287
"TRAVAGLINI_LUNG_BASOPHIL_MAST_2_CELL",1.94664663131406e-05,0.000223115652358304,0.575610261071129,-0.417617084921547,-1.59880427411113,467
"AIZARANI_LIVER_C23_KUPFFER_CELLS_3",2.23817798735037e-05,0.000250217177853808,0.575610261071129,-0.497416992045016,-1.73810720609613,203
"DESCARTES_FETAL_MUSCLE_VASCULAR_ENDOTHELIAL_CELLS",2.26706838995061e-05,0.000250217177853808,0.575610261071129,-0.692485816248308,-2.01117194671519,54
"FAN_OVARY_CL6_PUTATIVE_EARLY_ATRETIC_FOLLICLE_THECAL_CELL_2",3.00342733540243e-05,0.000325462307618155,0.575610261071129,-0.453623421193094,-1.66474219883579,291
"CUI_DEVELOPING_HEART_C5_VALVAR_CELL",3.22163489845271e-05,0.000342873999906753,0.557332238758646,-0.504249091196764,-1.75164905617559,193
"AIZARANI_LIVER_C33_STELLATE_CELLS_2",4.46370033036698e-05,0.00046673077138574,0.557332238758646,-0.561003137550985,-1.8748109661634,126
"DESCARTES_FETAL_MUSCLE_MYELOID_CELLS",4.82868441324414e-05,0.000496188950050605,0.557332238758646,-0.572241105858235,-1.86998365078767,110
"DURANTE_ADULT_OLFACTORY_NEUROEPITHELIUM_VASCULAR_SMOOTH_MUSCLE_CELLS",5.4993520324505e-05,0.000555527764633983,0.557332238758646,-0.592383690001644,-1.8561313523641,89
"BUSSLINGER_ESOPHAGEAL_DENDRITIC_CELLS",5.69481602244184e-05,0.000565685058229223,0.557332238758646,-0.491017773029233,-1.72540975450858,207
"DESCARTES_FETAL_ADRENAL_LYMPHOID_CELLS",5.83668853546539e-05,0.000570273174940553,0.557332238758646,0.582588534259406,1.94537068667881,129
"MENON_FETAL_KIDNEY_3_STROMAL_CELLS",6.54504782636575e-05,0.000629169113631288,0.538434096309916,-0.616750303311655,-1.88333269559248,72
"HAY_BONE_MARROW_IMMATURE_NEUTROPHIL",6.98664403865021e-05,0.000660958705878655,0.538434096309916,-0.507973451536162,-1.76942062542117,182
"DESCARTES_FETAL_PANCREAS_LYMPHOID_CELLS",7.21789954259129e-05,0.000672166894903813,0.538434096309916,0.599143951759023,1.93432534238037,100
"TRAVAGLINI_LUNG_LYMPHATIC_CELL",8.01907898938152e-05,0.00073528785810329,0.538434096309916,-0.495297849969863,-1.72534139897156,195
"AIZARANI_LIVER_C25_KUPFFER_CELLS_4",9.23202850987102e-05,0.000831554856315425,0.538434096309916,-0.509103877284284,-1.75594923899137,165
"DURANTE_ADULT_OLFACTORY_NEUROEPITHELIUM_PLASMA_CELLS",9.3480160022036e-05,0.000831554856315425,0.538434096309916,-0.809619547364297,-1.99162304691617,22
"FAN_OVARY_CL14_MATURE_SMOOTH_MUSCLE_CELL",9.77377042414479e-05,0.000856642231292691,0.538434096309916,-0.445732577337371,-1.63884811057283,300
"GAO_ESOPHAGUS_25W_C1_CILIATED_EPITHELIAL_CELLS",9.93622855343785e-05,0.000858259741717241,0.538434096309916,-0.412103204742487,-1.56015437272805,395
"DESCARTES_FETAL_EYE_CORNEAL_AND_CONJUNCTIVAL_EPITHELIAL_CELLS",0.000105939670047871,0.000902000619264733,0.538434096309916,0.499587705416057,1.78797930449195,210
"HU_FETAL_RETINA_FIBROBLAST",0.000107938102567598,0.000906071959581527,0.538434096309916,-0.420351217053472,-1.5777815011618,360
"DESCARTES_MAIN_FETAL_CORNEAL_AND_CONJUNCTIVAL_EPITHELIAL_CELLS",0.000123871353021156,0.00102537953334179,0.518848077743792,0.496934340884428,1.77649956416366,207
"MURARO_PANCREAS_ENDOTHELIAL_CELL",0.00016355710652397,0.00133534295189433,0.518848077743792,-0.422466089124752,-1.58597249672248,357
"DESCARTES_FETAL_PANCREAS_VASCULAR_ENDOTHELIAL_CELLS",0.000176734532240345,0.0014234294758817,0.518848077743792,-0.657966173496369,-1.86849703849973,49
"TRAVAGLINI_LUNG_BRONCHIAL_VESSEL_2_CELL",0.000186635160830734,0.00148312741140157,0.518848077743792,-0.447085267950675,-1.62365047646512,262
"FAN_EMBRYONIC_CTX_BIG_GROUPS_BRAIN_ENDOTHELIAL",0.000192557187404988,0.00151005373280754,0.518848077743792,-0.419591425249022,-1.57134202698133,354
"DESCARTES_MAIN_FETAL_MYELOID_CELLS",0.000201174204397294,0.00155714059507516,0.518848077743792,-0.587716729210442,-1.79927786539693,76
"CUI_DEVELOPING_HEART_C3_FIBROBLAST_LIKE_CELL",0.000325063717137147,0.00248382019761205,0.49849310876659,-0.531303019981042,-1.7312553829807,109
"DESCARTES_FETAL_KIDNEY_URETERIC_BUD_CELLS",0.000349776768528789,0.00263882220307796,0.49849310876659,0.483898798974314,1.71068934347697,193
"DESCARTES_FETAL_PLACENTA_MYELOID_CELLS",0.000409980431615204,0.00291953412770659,0.49849310876659,-0.518393554567116,-1.71935499602792,121
