"pathway","pval","padj","log2err","ES","NES","size"
"HALLMARK_EPITHELIAL_MESENCHYMAL_TRANSITION",2.29969473626727e-11,1.14984736813363e-09,0.863415391606693,-0.622996506291615,-2.16694782402745,191
"HALLMARK_MYOGENESIS",9.90249274883928e-09,2.47562318720982e-07,0.747739663149885,0.608958061776579,2.15194293572091,191
"HALLMARK_KRAS_SIGNALING_DN",2.09210314119636e-07,3.4868385686606e-06,0.690132458796796,0.630930990063119,2.15156629550576,149
"HALLMARK_MTORC1_SIGNALING",0.000211799105015394,0.00264748881269242,0.518848077743792,-0.476521809988966,-1.66873232617678,200
"HALLMARK_INFLAMMATORY_RESPONSE",0.000545652459785355,0.00454710383154462,0.477270815362862,-0.46334720733673,-1.61119630202817,188
"HALLMARK_TNFA_SIGNALING_VIA_NFKB",0.000522999703289697,0.00454710383154462,0.477270815362862,-0.460090518906831,-1.60662900567326,197
"HALLMARK_ANGIOGENESIS",0.00211004558936033,0.0146414565875176,0.431707695803346,-0.689508263118381,-1.89538389159658,34
"HALLMARK_COAGULATION",0.00234263305400282,0.0146414565875176,0.431707695803346,-0.503021778110695,-1.6448373325796,113
"HALLMARK_CHOLESTEROL_HOMEOSTASIS",0.00356233468640906,0.0197907482578281,0.431707695803346,-0.551388293249575,-1.69339816054362,72
"HALLMARK_COMPLEMENT",0.0101798575659971,0.0508992878299853,0.380730400722792,-0.409240593438528,-1.41685899737279,182
"HALLMARK_IL2_STAT5_SIGNALING",0.0113272261797484,0.0514873917261289,0.380730400722792,-0.403336784631593,-1.40274315749036,193
"HALLMARK_IL6_JAK_STAT3_SIGNALING",0.0194974022659607,0.0812391761081697,0.352487857583619,-0.475197910237435,-1.48050036983065,83
"HALLMARK_TGF_BETA_SIGNALING",0.0255332842408029,0.0982049393877033,0.352487857583619,-0.508637145117803,-1.5058324934857,53
"HALLMARK_APICAL_SURFACE",0.0366094610608701,0.122031536869567,0.321775918075361,0.595276539260085,1.704398233703,40
"HALLMARK_UNFOLDED_PROTEIN_RESPONSE",0.0346361634035558,0.122031536869567,0.321775918075361,-0.44452690265231,-1.45171255502806,112
"HALLMARK_INTERFERON_GAMMA_RESPONSE",0.0635349965759873,0.186867636988198,0.287805130535564,-0.376285193106694,-1.31758364480973,201
"HALLMARK_KRAS_SIGNALING_UP",0.0623916811091854,0.186867636988198,0.237793834423688,-0.369253835145731,-1.28316219982604,192
"HALLMARK_HYPOXIA",0.0860585197934595,0.239051443870721,0.199915231309662,-0.358473172160389,-1.24651803273174,188
"HALLMARK_ESTROGEN_RESPONSE_EARLY",0.0945626477541371,0.24263431542461,0.224966093540314,0.346978033662622,1.22614575180426,189
"HALLMARK_UV_RESPONSE_DN",0.097053726169844,0.24263431542461,0.188204146308491,-0.373761979725658,-1.2586546355366,143
"HALLMARK_ADIPOGENESIS",0.102739726027397,0.244618395303327,0.181383128498408,-0.347148145280621,-1.21567852689785,200
"HALLMARK_PANCREAS_BETA_CELLS",0.160092807424594,0.36384728960135,0.16823816568964,0.524480350233978,1.32299219569382,21
"HALLMARK_ANDROGEN_RESPONSE",0.222961730449251,0.464551172098342,0.116234148779716,-0.360426198619593,-1.16488568165184,98
"HALLMARK_GLYCOLYSIS",0.222984562607204,0.464551172098342,0.118287526124085,-0.32042064535241,-1.11611165347224,187
"HALLMARK_P53_PATHWAY",0.249569707401033,0.494312026002167,0.11101149245045,-0.315891953271596,-1.1017804794316,196
"HALLMARK_UV_RESPONSE_UP",0.257042253521127,0.494312026002167,0.110564716336619,-0.327431952707543,-1.1140225410469,152
"HALLMARK_APOPTOSIS",0.279646017699115,0.505952380952381,0.105520936843198,-0.324760680471801,-1.10478284680471,157
"HALLMARK_PROTEIN_SECRETION",0.283333333333333,0.505952380952381,0.100990587455923,-0.345482000294534,-1.10548308873653,95
"HALLMARK_MYC_TARGETS_V1",0.321367521367521,0.535612535612536,0.0949751525905595,-0.302947545331296,-1.0607877702235,201
"HALLMARK_XENOBIOTIC_METABOLISM",0.312354312354312,0.535612535612536,0.116234148779716,0.307346227110724,1.07185412798352,174
"HALLMARK_APICAL_JUNCTION",0.377622377622378,0.609068351003835,0.103958471559957,0.294013372476015,1.03429348176819,183
