"pathway","pval","padj","log2err","ES","NES","size"
"HALLMARK_MYOGENESIS",1.07797410299288e-08,5.3898705149644e-07,0.747739663149885,0.683902501971958,2.28128381423511,191
"HALLMARK_EPITHELIAL_MESENCHYMAL_TRANSITION",3.25333967276782e-08,8.13334918191955e-07,0.719512826338911,-0.606886500868302,-1.99364765186998,191
"HALLMARK_KRAS_SIGNALING_DN",1.79256683830643e-07,2.98761139717738e-06,0.690132458796796,0.690808151917169,2.22280795828773,149
"HALLMARK_INFLAMMATORY_RESPONSE",0.000803837331923622,0.0100479666490453,0.477270815362862,-0.486354378319307,-1.59323378481414,188
"HALLMARK_INTERFERON_GAMMA_RESPONSE",0.00131076243204229,0.0131076243204229,0.45505986738723,-0.479715014950013,-1.58841563271877,201
"HALLMARK_ANGIOGENESIS",0.00316300976969078,0.0263584147474232,0.431707695803346,-0.686056787589251,-1.74413940214199,34
"HALLMARK_TNFA_SIGNALING_VIA_NFKB",0.0152685329965474,0.109060949975338,0.380730400722792,-0.423925695750821,-1.39794558669527,197
"HALLMARK_COMPLEMENT",0.0249391593320121,0.155869745825076,0.352487857583619,-0.424549967265105,-1.38655279031366,182
"HALLMARK_ALLOGRAFT_REJECTION",0.0566929133858268,0.283464566929134,0.237793834423688,-0.401039371244165,-1.31743118300443,191
"HALLMARK_ESTROGEN_RESPONSE_EARLY",0.0553695685660521,0.283464566929134,0.321775918075361,0.416020931126139,1.38386416882343,189
"HALLMARK_MTORC1_SIGNALING",0.10031847133758,0.455993051534453,0.176694268938498,-0.376614663410627,-1.24466936282826,200
"HALLMARK_COAGULATION",0.129353233830846,0.497512437810945,0.157402899305283,-0.402111727759082,-1.2445886396949,113
"HALLMARK_KRAS_SIGNALING_UP",0.120689655172414,0.497512437810945,0.158514105424824,-0.372219447231355,-1.22495372954681,192
"HALLMARK_APICAL_SURFACE",0.14519906323185,0.507833603457591,0.178219874951973,0.52535306923152,1.38548473374068,40
"HALLMARK_IL6_JAK_STAT3_SIGNALING",0.152350081037277,0.507833603457591,0.142056643575821,-0.409163858590374,-1.23675042421932,83
"HALLMARK_INTERFERON_ALPHA_RESPONSE",0.165289256198347,0.516528925619835,0.137250779610133,-0.399921685521684,-1.21714976504761,97
"HALLMARK_CHOLESTEROL_HOMEOSTASIS",0.19016393442623,0.524663306618194,0.126253987849115,-0.40952533354201,-1.21087517685898,72
"HALLMARK_IL2_STAT5_SIGNALING",0.199372056514914,0.524663306618194,0.119887845115423,-0.349081734514723,-1.1489389464285,193
"HALLMARK_UNFOLDED_PROTEIN_RESPONSE",0.191803278688525,0.524663306618194,0.12563992130984,-0.379375329571165,-1.17683751242966,112
"HALLMARK_UV_RESPONSE_DN",0.229903536977492,0.57475884244373,0.111918316325105,-0.359763571438422,-1.14508821974581,143
"HALLMARK_APICAL_JUNCTION",0.255434782608696,0.580533596837945,0.142056643575821,0.33378915085921,1.10636506876671,183
"HALLMARK_TGF_BETA_SIGNALING",0.249578414839798,0.580533596837945,0.109684061970549,-0.415235935405657,-1.16776855072439,53
"HALLMARK_APOPTOSIS",0.275590551181102,0.599109893871962,0.0992333343771191,-0.34100316667507,-1.10414896409703,157
"HALLMARK_ESTROGEN_RESPONSE_LATE",0.300813008130081,0.626693766937669,0.129442887745046,0.321274117081394,1.06730431408103,188
"HALLMARK_UV_RESPONSE_UP",0.377358490566038,0.754716981132076,0.0813027345384498,-0.322722473787091,-1.04138474069945,152
"HALLMARK_PANCREAS_BETA_CELLS",0.412844036697248,0.764571542051435,0.09754492162472,0.438139913577763,1.04118961247274,21
"HALLMARK_XENOBIOTIC_METABOLISM",0.412868632707775,0.764571542051435,0.107140237276725,0.306510123486468,1.01510203022481,174
"HALLMARK_ADIPOGENESIS",0.43312101910828,0.773430391264786,0.0747385227439092,-0.306482900800206,-1.01289172705638,200
"HALLMARK_HYPOXIA",0.451816745655608,0.778994389061393,0.0721797965581253,-0.306848093821542,-1.00519450769976,188
"HALLMARK_PEROXISOME",0.508771929824561,0.847953216374269,0.0905428948469474,0.312701979401758,0.941071250888362,95
"HALLMARK_MYC_TARGETS_V2",0.588235294117647,0.865051903114187,0.062249042949858,-0.318149356162736,-0.903800483252261,58
